year,week,loc,state,country,loc_type,number,event
1968,1,DELAWARE,DE,US,STATE,9,CASES
1968,2,DELAWARE,DE,US,STATE,1,CASES
1968,3,DELAWARE,DE,US,STATE,9,CASES
1968,4,DELAWARE,DE,US,STATE,11,CASES
1968,5,DELAWARE,DE,US,STATE,6,CASES
1968,6,DELAWARE,DE,US,STATE,7,CASES
1968,7,DELAWARE,DE,US,STATE,18,CASES
1968,8,DELAWARE,DE,US,STATE,7,CASES
1968,9,DELAWARE,DE,US,STATE,12,CASES
1968,11,DELAWARE,DE,US,STATE,44,CASES
1968,12,DELAWARE,DE,US,STATE,10,CASES
1968,13,DELAWARE,DE,US,STATE,13,CASES
1968,14,DELAWARE,DE,US,STATE,11,CASES
1968,15,DELAWARE,DE,US,STATE,5,CASES
1968,16,DELAWARE,DE,US,STATE,13,CASES
1968,17,DELAWARE,DE,US,STATE,5,CASES
1968,18,DELAWARE,DE,US,STATE,6,CASES
1968,19,DELAWARE,DE,US,STATE,4,CASES
1968,20,DELAWARE,DE,US,STATE,13,CASES
1968,21,DELAWARE,DE,US,STATE,7,CASES
1968,22,DELAWARE,DE,US,STATE,5,CASES
1968,24,DELAWARE,DE,US,STATE,13,CASES
1968,25,DELAWARE,DE,US,STATE,5,CASES
1968,26,DELAWARE,DE,US,STATE,6,CASES
1968,27,DELAWARE,DE,US,STATE,4,CASES
1968,28,DELAWARE,DE,US,STATE,4,CASES
1968,29,DELAWARE,DE,US,STATE,3,CASES
1968,30,DELAWARE,DE,US,STATE,1,CASES
1968,31,DELAWARE,DE,US,STATE,4,CASES
1968,32,DELAWARE,DE,US,STATE,9,CASES
1968,33,DELAWARE,DE,US,STATE,1,CASES
1968,34,DELAWARE,DE,US,STATE,1,CASES
1968,35,DELAWARE,DE,US,STATE,1,CASES
1968,36,DELAWARE,DE,US,STATE,2,CASES
1968,37,DELAWARE,DE,US,STATE,2,CASES
1968,39,DELAWARE,DE,US,STATE,1,CASES
1968,40,DELAWARE,DE,US,STATE,3,CASES
1968,41,DELAWARE,DE,US,STATE,3,CASES
1968,44,DELAWARE,DE,US,STATE,2,CASES
1968,45,DELAWARE,DE,US,STATE,3,CASES
1968,46,DELAWARE,DE,US,STATE,1,CASES
1968,47,DELAWARE,DE,US,STATE,2,CASES
1968,48,DELAWARE,DE,US,STATE,2,CASES
1968,49,DELAWARE,DE,US,STATE,8,CASES
1968,50,DELAWARE,DE,US,STATE,4,CASES
1968,51,DELAWARE,DE,US,STATE,1,CASES
1969,4,DELAWARE,DE,US,STATE,1,CASES
1969,5,DELAWARE,DE,US,STATE,6,CASES
1969,7,DELAWARE,DE,US,STATE,4,CASES
1969,8,DELAWARE,DE,US,STATE,1,CASES
1969,9,DELAWARE,DE,US,STATE,2,CASES
1969,10,DELAWARE,DE,US,STATE,2,CASES
1969,12,DELAWARE,DE,US,STATE,1,CASES
1969,14,DELAWARE,DE,US,STATE,1,CASES
1969,15,DELAWARE,DE,US,STATE,4,CASES
1969,16,DELAWARE,DE,US,STATE,5,CASES
1969,17,DELAWARE,DE,US,STATE,1,CASES
1969,18,DELAWARE,DE,US,STATE,3,CASES
1969,19,DELAWARE,DE,US,STATE,3,CASES
1969,20,DELAWARE,DE,US,STATE,4,CASES
1969,21,DELAWARE,DE,US,STATE,3,CASES
1969,22,DELAWARE,DE,US,STATE,1,CASES
1969,23,DELAWARE,DE,US,STATE,1,CASES
1969,24,DELAWARE,DE,US,STATE,6,CASES
1969,25,DELAWARE,DE,US,STATE,5,CASES
1969,26,DELAWARE,DE,US,STATE,5,CASES
1969,27,DELAWARE,DE,US,STATE,1,CASES
1969,28,DELAWARE,DE,US,STATE,1,CASES
1969,29,DELAWARE,DE,US,STATE,8,CASES
1969,30,DELAWARE,DE,US,STATE,5,CASES
1969,31,DELAWARE,DE,US,STATE,8,CASES
1969,32,DELAWARE,DE,US,STATE,3,CASES
