year,week,loc,state,country,loc_type,number,event
1927,47,FLORIDA,FL,US,STATE,2,CASES
1927,48,FLORIDA,FL,US,STATE,1,CASES
1927,49,FLORIDA,FL,US,STATE,3,CASES
1927,51,FLORIDA,FL,US,STATE,5,CASES
1927,52,FLORIDA,FL,US,STATE,8,CASES
1928,1,FLORIDA,FL,US,STATE,3,CASES
1928,2,FLORIDA,FL,US,STATE,7,CASES
1928,3,FLORIDA,FL,US,STATE,6,CASES
1928,4,FLORIDA,FL,US,STATE,13,CASES
1928,5,FLORIDA,FL,US,STATE,7,CASES
1928,6,FLORIDA,FL,US,STATE,24,CASES
1928,7,FLORIDA,FL,US,STATE,19,CASES
1928,8,FLORIDA,FL,US,STATE,16,CASES
1928,9,FLORIDA,FL,US,STATE,11,CASES
1928,10,FLORIDA,FL,US,STATE,32,CASES
1928,11,FLORIDA,FL,US,STATE,48,CASES
1928,12,FLORIDA,FL,US,STATE,70,CASES
1928,13,FLORIDA,FL,US,STATE,66,CASES
1928,14,FLORIDA,FL,US,STATE,42,CASES
1928,15,FLORIDA,FL,US,STATE,81,CASES
1928,16,FLORIDA,FL,US,STATE,92,CASES
1928,17,FLORIDA,FL,US,STATE,94,CASES
1928,18,FLORIDA,FL,US,STATE,142,CASES
1928,19,FLORIDA,FL,US,STATE,101,CASES
1928,20,FLORIDA,FL,US,STATE,70,CASES
1928,21,FLORIDA,FL,US,STATE,133,CASES
1928,22,FLORIDA,FL,US,STATE,175,CASES
1928,23,FLORIDA,FL,US,STATE,79,CASES
1928,24,FLORIDA,FL,US,STATE,118,CASES
1928,25,FLORIDA,FL,US,STATE,92,CASES
1928,26,FLORIDA,FL,US,STATE,21,CASES
1928,27,FLORIDA,FL,US,STATE,47,CASES
1928,28,FLORIDA,FL,US,STATE,35,CASES
1928,29,FLORIDA,FL,US,STATE,9,CASES
1928,30,FLORIDA,FL,US,STATE,4,CASES
1928,31,FLORIDA,FL,US,STATE,13,CASES
1928,33,FLORIDA,FL,US,STATE,1,CASES
1928,34,FLORIDA,FL,US,STATE,2,CASES
1928,36,FLORIDA,FL,US,STATE,6,CASES
1928,42,FLORIDA,FL,US,STATE,2,CASES
1928,44,FLORIDA,FL,US,STATE,6,CASES
1928,45,FLORIDA,FL,US,STATE,2,CASES
1928,47,FLORIDA,FL,US,STATE,4,CASES
1928,48,FLORIDA,FL,US,STATE,3,CASES
1928,49,FLORIDA,FL,US,STATE,6,CASES
1928,50,FLORIDA,FL,US,STATE,5,CASES
1928,51,FLORIDA,FL,US,STATE,5,CASES
1929,1,FLORIDA,FL,US,STATE,10,CASES
1929,2,FLORIDA,FL,US,STATE,2,CASES
1929,3,FLORIDA,FL,US,STATE,15,CASES
1929,4,FLORIDA,FL,US,STATE,4,CASES
1929,5,FLORIDA,FL,US,STATE,5,CASES
1929,6,FLORIDA,FL,US,STATE,5,CASES
1929,7,FLORIDA,FL,US,STATE,10,CASES
1929,8,FLORIDA,FL,US,STATE,16,CASES
1929,9,FLORIDA,FL,US,STATE,41,CASES
1929,10,FLORIDA,FL,US,STATE,19,CASES
1929,11,FLORIDA,FL,US,STATE,53,CASES
1929,12,FLORIDA,FL,US,STATE,26,CASES
1929,13,FLORIDA,FL,US,STATE,85,CASES
1929,14,FLORIDA,FL,US,STATE,79,CASES
1929,15,FLORIDA,FL,US,STATE,58,CASES
1929,16,FLORIDA,FL,US,STATE,56,CASES
1929,17,FLORIDA,FL,US,STATE,48,CASES
1929,18,FLORIDA,FL,US,STATE,71,CASES
1929,19,FLORIDA,FL,US,STATE,68,CASES
1929,20,FLORIDA,FL,US,STATE,89,CASES
1929,21,FLORIDA,FL,US,STATE,85,CASES
1929,22,FLORIDA,FL,US,STATE,76,CASES
1929,23,FLORIDA,FL,US,STATE,61,CASES
1929,24,FLORIDA,FL,US,STATE,19,CASES
1929,25,FLORIDA,FL,US,STATE,23,CASES
1929,26,FLORIDA,FL,US,STATE,12,CASES
1929,27,FLORIDA,FL,US,STATE,12,CASES
1929,28,FLORIDA,FL,US,STATE,4,CASES
1929,29,FLORIDA,FL,US,STATE,4,CASES
1929,30,FLORIDA,FL,US,STATE,9,CASES
1929,31,FLORIDA,FL,US,STATE,4,CASES
1929,33,FLORIDA,FL,US,STATE,1,CASES
1929,34,FLORIDA,FL,US,STATE,2,CASES
1929,35,FLORIDA,FL,US,STATE,1,CASES
1929,36,FLORIDA,FL,US,STATE,1,CASES
1929,38,FLORIDA,FL,US,STATE,1,CASES
1929,39,FLORIDA,FL,US,STATE,3,CASES
1929,40,FLORIDA,FL,US,STATE,3,CASES
1929,41,FLORIDA,FL,US,STATE,1,CASES
1929,42,FLORIDA,FL,US,STATE,2,CASES
1929,43,FLORIDA,FL,US,STATE,1,CASES
1929,44,FLORIDA,FL,US,STATE,1,CASES
1929,46,FLORIDA,FL,US,STATE,2,CASES
1929,47,FLORIDA,FL,US,STATE,3,CASES
1929,48,FLORIDA,FL,US,STATE,5,CASES
1929,49,FLORIDA,FL,US,STATE,7,CASES
1929,50,FLORIDA,FL,US,STATE,8,CASES
1929,51,FLORIDA,FL,US,STATE,9,CASES
1929,52,FLORIDA,FL,US,STATE,7,CASES
1930,1,FLORIDA,FL,US,STATE,13,CASES
1930,2,FLORIDA,FL,US,STATE,9,CASES
1930,3,FLORIDA,FL,US,STATE,32,CASES
1930,4,FLORIDA,FL,US,STATE,12,CASES
1930,5,FLORIDA,FL,US,STATE,50,CASES
1930,6,FLORIDA,FL,US,STATE,39,CASES
1930,7,FLORIDA,FL,US,STATE,102,CASES
1930,8,FLORIDA,FL,US,STATE,76,CASES
1930,9,FLORIDA,FL,US,STATE,228,CASES
1930,10,FLORIDA,FL,US,STATE,275,CASES
1930,11,FLORIDA,FL,US,STATE,301,CASES
1930,12,FLORIDA,FL,US,STATE,388,CASES
1930,13,FLORIDA,FL,US,STATE,424,CASES
1930,14,FLORIDA,FL,US,STATE,396,CASES
1930,15,FLORIDA,FL,US,STATE,529,CASES
1930,16,FLORIDA,FL,US,STATE,282,CASES
1930,17,FLORIDA,FL,US,STATE,530,CASES
1930,18,FLORIDA,FL,US,STATE,220,CASES
1930,19,FLORIDA,FL,US,STATE,313,CASES
1930,20,FLORIDA,FL,US,STATE,247,CASES
1930,21,FLORIDA,FL,US,STATE,210,CASES
1930,22,FLORIDA,FL,US,STATE,120,CASES
1930,23,FLORIDA,FL,US,STATE,60,CASES
1930,24,FLORIDA,FL,US,STATE,82,CASES
1930,25,FLORIDA,FL,US,STATE,38,CASES
1930,26,FLORIDA,FL,US,STATE,36,CASES
1930,27,FLORIDA,FL,US,STATE,14,CASES
1930,28,FLORIDA,FL,US,STATE,16,CASES
1930,29,FLORIDA,FL,US,STATE,23,CASES
1930,30,FLORIDA,FL,US,STATE,5,CASES
1930,31,FLORIDA,FL,US,STATE,4,CASES
