year,week,loc,state,country,loc_type,number,event
1968,1,FLORIDA,FL,US,STATE,36,CASES
1968,2,FLORIDA,FL,US,STATE,30,CASES
1968,3,FLORIDA,FL,US,STATE,80,CASES
1968,4,FLORIDA,FL,US,STATE,46,CASES
1968,5,FLORIDA,FL,US,STATE,81,CASES
1968,6,FLORIDA,FL,US,STATE,18,CASES
1968,7,FLORIDA,FL,US,STATE,76,CASES
1968,8,FLORIDA,FL,US,STATE,80,CASES
1968,9,FLORIDA,FL,US,STATE,60,CASES
1968,10,FLORIDA,FL,US,STATE,55,CASES
1968,11,FLORIDA,FL,US,STATE,47,CASES
1968,12,FLORIDA,FL,US,STATE,124,CASES
1968,13,FLORIDA,FL,US,STATE,86,CASES
1968,14,FLORIDA,FL,US,STATE,86,CASES
1968,15,FLORIDA,FL,US,STATE,140,CASES
1968,16,FLORIDA,FL,US,STATE,36,CASES
1968,17,FLORIDA,FL,US,STATE,117,CASES
1968,18,FLORIDA,FL,US,STATE,66,CASES
1968,19,FLORIDA,FL,US,STATE,44,CASES
1968,20,FLORIDA,FL,US,STATE,63,CASES
1968,21,FLORIDA,FL,US,STATE,129,CASES
1968,22,FLORIDA,FL,US,STATE,29,CASES
1968,23,FLORIDA,FL,US,STATE,35,CASES
1968,24,FLORIDA,FL,US,STATE,60,CASES
1968,25,FLORIDA,FL,US,STATE,54,CASES
1968,26,FLORIDA,FL,US,STATE,26,CASES
1968,27,FLORIDA,FL,US,STATE,26,CASES
1968,28,FLORIDA,FL,US,STATE,16,CASES
1968,29,FLORIDA,FL,US,STATE,19,CASES
1968,30,FLORIDA,FL,US,STATE,30,CASES
1968,31,FLORIDA,FL,US,STATE,22,CASES
1968,32,FLORIDA,FL,US,STATE,19,CASES
1968,33,FLORIDA,FL,US,STATE,16,CASES
1968,34,FLORIDA,FL,US,STATE,5,CASES
1968,35,FLORIDA,FL,US,STATE,17,CASES
1968,36,FLORIDA,FL,US,STATE,19,CASES
1968,37,FLORIDA,FL,US,STATE,5,CASES
1968,38,FLORIDA,FL,US,STATE,13,CASES
1968,39,FLORIDA,FL,US,STATE,22,CASES
1968,40,FLORIDA,FL,US,STATE,19,CASES
1968,41,FLORIDA,FL,US,STATE,27,CASES
1968,42,FLORIDA,FL,US,STATE,12,CASES
1968,43,FLORIDA,FL,US,STATE,41,CASES
1968,44,FLORIDA,FL,US,STATE,7,CASES
1968,45,FLORIDA,FL,US,STATE,36,CASES
1968,46,FLORIDA,FL,US,STATE,30,CASES
1968,47,FLORIDA,FL,US,STATE,39,CASES
1968,48,FLORIDA,FL,US,STATE,21,CASES
1968,49,FLORIDA,FL,US,STATE,27,CASES
1968,50,FLORIDA,FL,US,STATE,9,CASES
1968,52,FLORIDA,FL,US,STATE,33,CASES
1969,1,FLORIDA,FL,US,STATE,29,CASES
1969,2,FLORIDA,FL,US,STATE,11,CASES
1969,3,FLORIDA,FL,US,STATE,21,CASES
1969,4,FLORIDA,FL,US,STATE,16,CASES
1969,5,FLORIDA,FL,US,STATE,39,CASES
1969,6,FLORIDA,FL,US,STATE,61,CASES
1969,7,FLORIDA,FL,US,STATE,44,CASES
1969,8,FLORIDA,FL,US,STATE,8,CASES
1969,9,FLORIDA,FL,US,STATE,83,CASES
1969,10,FLORIDA,FL,US,STATE,12,CASES
1969,12,FLORIDA,FL,US,STATE,75,CASES
1969,13,FLORIDA,FL,US,STATE,113,CASES
1969,14,FLORIDA,FL,US,STATE,28,CASES
1969,15,FLORIDA,FL,US,STATE,52,CASES
1969,16,FLORIDA,FL,US,STATE,88,CASES
1969,17,FLORIDA,FL,US,STATE,35,CASES
1969,18,FLORIDA,FL,US,STATE,73,CASES
1969,19,FLORIDA,FL,US,STATE,17,CASES
1969,20,FLORIDA,FL,US,STATE,64,CASES
1969,21,FLORIDA,FL,US,STATE,44,CASES
1969,22,FLORIDA,FL,US,STATE,96,CASES
1969,23,FLORIDA,FL,US,STATE,39,CASES
