year,week,loc,state,country,loc_type,number,event
1966,3,FLORIDA,FL,US,STATE,16,CASES
1966,4,FLORIDA,FL,US,STATE,21,CASES
1966,5,FLORIDA,FL,US,STATE,17,CASES
1966,6,FLORIDA,FL,US,STATE,11,CASES
1966,7,FLORIDA,FL,US,STATE,7,CASES
1966,8,FLORIDA,FL,US,STATE,25,CASES
1966,9,FLORIDA,FL,US,STATE,43,CASES
1966,10,FLORIDA,FL,US,STATE,42,CASES
1966,11,FLORIDA,FL,US,STATE,32,CASES
1966,12,FLORIDA,FL,US,STATE,116,CASES
1966,13,FLORIDA,FL,US,STATE,60,CASES
1966,14,FLORIDA,FL,US,STATE,24,CASES
1966,15,FLORIDA,FL,US,STATE,65,CASES
1966,16,FLORIDA,FL,US,STATE,88,CASES
1966,17,FLORIDA,FL,US,STATE,57,CASES
1966,18,FLORIDA,FL,US,STATE,104,CASES
1966,19,FLORIDA,FL,US,STATE,104,CASES
1966,20,FLORIDA,FL,US,STATE,66,CASES
1966,21,FLORIDA,FL,US,STATE,38,CASES
1966,22,FLORIDA,FL,US,STATE,109,CASES
1966,23,FLORIDA,FL,US,STATE,70,CASES
1966,24,FLORIDA,FL,US,STATE,31,CASES
1966,25,FLORIDA,FL,US,STATE,22,CASES
1966,26,FLORIDA,FL,US,STATE,35,CASES
1966,27,FLORIDA,FL,US,STATE,30,CASES
1966,28,FLORIDA,FL,US,STATE,18,CASES
1966,29,FLORIDA,FL,US,STATE,10,CASES
1966,30,FLORIDA,FL,US,STATE,4,CASES
1966,31,FLORIDA,FL,US,STATE,12,CASES
1966,32,FLORIDA,FL,US,STATE,1,CASES
1966,33,FLORIDA,FL,US,STATE,4,CASES
1966,34,FLORIDA,FL,US,STATE,14,CASES
1966,36,FLORIDA,FL,US,STATE,8,CASES
1966,37,FLORIDA,FL,US,STATE,3,CASES
1966,38,FLORIDA,FL,US,STATE,9,CASES
1966,40,FLORIDA,FL,US,STATE,21,CASES
1966,41,FLORIDA,FL,US,STATE,10,CASES
1966,42,FLORIDA,FL,US,STATE,6,CASES
1966,43,FLORIDA,FL,US,STATE,4,CASES
1966,44,FLORIDA,FL,US,STATE,8,CASES
1966,45,FLORIDA,FL,US,STATE,8,CASES
1966,46,FLORIDA,FL,US,STATE,9,CASES
1966,47,FLORIDA,FL,US,STATE,12,CASES
1966,48,FLORIDA,FL,US,STATE,2,CASES
1966,50,FLORIDA,FL,US,STATE,10,CASES
1966,52,FLORIDA,FL,US,STATE,4,CASES
1967,1,FLORIDA,FL,US,STATE,16,CASES
1967,2,FLORIDA,FL,US,STATE,10,CASES
1967,3,FLORIDA,FL,US,STATE,7,CASES
1967,4,FLORIDA,FL,US,STATE,41,CASES
1967,5,FLORIDA,FL,US,STATE,43,CASES
1967,6,FLORIDA,FL,US,STATE,20,CASES
1967,7,FLORIDA,FL,US,STATE,25,CASES
1967,8,FLORIDA,FL,US,STATE,21,CASES
1967,9,FLORIDA,FL,US,STATE,27,CASES
