year,week,loc,state,country,loc_type,number,event
1972,11,GEORGIA,GA,US,STATE,6,CASES
1972,21,GEORGIA,GA,US,STATE,4,CASES
1972,23,GEORGIA,GA,US,STATE,2,CASES
1972,24,GEORGIA,GA,US,STATE,1,CASES
1972,26,GEORGIA,GA,US,STATE,7,CASES
1972,30,GEORGIA,GA,US,STATE,9,CASES
1972,33,GEORGIA,GA,US,STATE,1,CASES
1972,41,GEORGIA,GA,US,STATE,1,CASES
1972,48,GEORGIA,GA,US,STATE,3,CASES
1973,4,GEORGIA,GA,US,STATE,1,CASES
1973,5,GEORGIA,GA,US,STATE,7,CASES
1973,6,GEORGIA,GA,US,STATE,7,CASES
1973,12,GEORGIA,GA,US,STATE,1,CASES
1973,13,GEORGIA,GA,US,STATE,2,CASES
1973,20,GEORGIA,GA,US,STATE,6,CASES
1973,27,GEORGIA,GA,US,STATE,1,CASES
1973,29,GEORGIA,GA,US,STATE,1,CASES
1973,35,GEORGIA,GA,US,STATE,3,CASES
1973,42,GEORGIA,GA,US,STATE,1,CASES
1974,8,GEORGIA,GA,US,STATE,2,CASES
1974,10,GEORGIA,GA,US,STATE,7,CASES
1974,11,GEORGIA,GA,US,STATE,2,CASES
1974,12,GEORGIA,GA,US,STATE,1,CASES
1974,17,GEORGIA,GA,US,STATE,9,CASES
1974,18,GEORGIA,GA,US,STATE,1,CASES
1974,21,GEORGIA,GA,US,STATE,7,CASES
1974,22,GEORGIA,GA,US,STATE,1,CASES
1974,23,GEORGIA,GA,US,STATE,5,CASES
1975,16,GEORGIA,GA,US,STATE,7,CASES
1975,17,GEORGIA,GA,US,STATE,2,CASES
1975,18,GEORGIA,GA,US,STATE,5,CASES
1975,19,GEORGIA,GA,US,STATE,9,CASES
1975,20,GEORGIA,GA,US,STATE,5,CASES
1975,21,GEORGIA,GA,US,STATE,9,CASES
1975,22,GEORGIA,GA,US,STATE,4,CASES
1975,23,GEORGIA,GA,US,STATE,4,CASES
1975,24,GEORGIA,GA,US,STATE,5,CASES
1975,26,GEORGIA,GA,US,STATE,2,CASES
1975,33,GEORGIA,GA,US,STATE,2,CASES
1976,4,GEORGIA,GA,US,STATE,33,CASES
1976,21,GEORGIA,GA,US,STATE,1,CASES
1976,33,GEORGIA,GA,US,STATE,2,CASES
1976,47,GEORGIA,GA,US,STATE,2,CASES
1977,6,GEORGIA,GA,US,STATE,62,CASES
1977,7,GEORGIA,GA,US,STATE,2,CASES
1977,9,GEORGIA,GA,US,STATE,29,CASES
1977,11,GEORGIA,GA,US,STATE,1,CASES
1977,13,GEORGIA,GA,US,STATE,44,CASES
1977,18,GEORGIA,GA,US,STATE,7,CASES
1977,23,GEORGIA,GA,US,STATE,17,CASES
1977,32,GEORGIA,GA,US,STATE,4,CASES
1978,11,GEORGIA,GA,US,STATE,20,CASES
1978,14,GEORGIA,GA,US,STATE,1,CASES
1978,15,GEORGIA,GA,US,STATE,11,CASES
1978,20,GEORGIA,GA,US,STATE,25,CASES
1978,23,GEORGIA,GA,US,STATE,15,CASES
1978,25,GEORGIA,GA,US,STATE,3,CASES
1978,28,GEORGIA,GA,US,STATE,2,CASES
1978,37,GEORGIA,GA,US,STATE,1,CASES
1978,39,GEORGIA,GA,US,STATE,2,CASES
1979,10,GEORGIA,GA,US,STATE,1,CASES
1979,15,GEORGIA,GA,US,STATE,7,CASES
1979,19,GEORGIA,GA,US,STATE,4,CASES
1979,23,GEORGIA,GA,US,STATE,2,CASES
1979,25,GEORGIA,GA,US,STATE,5,CASES
1979,31,GEORGIA,GA,US,STATE,2,CASES
1980,4,GEORGIA,GA,US,STATE,3,CASES
1980,5,GEORGIA,GA,US,STATE,1,CASES
1980,9,GEORGIA,GA,US,STATE,1,CASES
1980,10,GEORGIA,GA,US,STATE,3,CASES
1980,12,GEORGIA,GA,US,STATE,2,CASES
1980,13,GEORGIA,GA,US,STATE,201,CASES
1980,14,GEORGIA,GA,US,STATE,5,CASES
1980,15,GEORGIA,GA,US,STATE,10,CASES
1980,16,GEORGIA,GA,US,STATE,2,CASES
1980,17,GEORGIA,GA,US,STATE,3,CASES
1980,18,GEORGIA,GA,US,STATE,1,CASES
1980,19,GEORGIA,GA,US,STATE,2,CASES
1980,20,GEORGIA,GA,US,STATE,2,CASES
1980,22,GEORGIA,GA,US,STATE,5,CASES
1980,23,GEORGIA,GA,US,STATE,1,CASES
1980,26,GEORGIA,GA,US,STATE,2,CASES
1980,30,GEORGIA,GA,US,STATE,1,CASES
1980,47,GEORGIA,GA,US,STATE,2,CASES
1980,51,GEORGIA,GA,US,STATE,11,CASES
1981,1,GEORGIA,GA,US,STATE,14,CASES
1981,2,GEORGIA,GA,US,STATE,89,CASES
1981,3,GEORGIA,GA,US,STATE,39,CASES
1981,4,GEORGIA,GA,US,STATE,23,CASES
1981,5,GEORGIA,GA,US,STATE,21,CASES
1981,6,GEORGIA,GA,US,STATE,45,CASES
1981,7,GEORGIA,GA,US,STATE,23,CASES
1981,8,GEORGIA,GA,US,STATE,10,CASES
1981,9,GEORGIA,GA,US,STATE,27,CASES
1981,10,GEORGIA,GA,US,STATE,33,CASES
1981,11,GEORGIA,GA,US,STATE,21,CASES
1981,12,GEORGIA,GA,US,STATE,11,CASES
1981,13,GEORGIA,GA,US,STATE,12,CASES
1981,14,GEORGIA,GA,US,STATE,20,CASES
1981,15,GEORGIA,GA,US,STATE,26,CASES
1981,16,GEORGIA,GA,US,STATE,35,CASES
1981,18,GEORGIA,GA,US,STATE,11,CASES
1981,19,GEORGIA,GA,US,STATE,15,CASES
1981,20,GEORGIA,GA,US,STATE,18,CASES
1981,21,GEORGIA,GA,US,STATE,21,CASES
1981,22,GEORGIA,GA,US,STATE,10,CASES
1981,23,GEORGIA,GA,US,STATE,5,CASES
1981,24,GEORGIA,GA,US,STATE,4,CASES
1981,26,GEORGIA,GA,US,STATE,3,CASES
1981,28,GEORGIA,GA,US,STATE,2,CASES
1981,29,GEORGIA,GA,US,STATE,2,CASES
1981,30,GEORGIA,GA,US,STATE,1,CASES
1981,31,GEORGIA,GA,US,STATE,2,CASES
1981,36,GEORGIA,GA,US,STATE,1,CASES
1981,37,GEORGIA,GA,US,STATE,1,CASES
1981,39,GEORGIA,GA,US,STATE,1,CASES
1981,40,GEORGIA,GA,US,STATE,4,CASES
1981,41,GEORGIA,GA,US,STATE,2,CASES
1981,43,GEORGIA,GA,US,STATE,4,CASES
1981,44,GEORGIA,GA,US,STATE,1,CASES
1981,45,GEORGIA,GA,US,STATE,27,CASES
1981,46,GEORGIA,GA,US,STATE,31,CASES
1981,47,GEORGIA,GA,US,STATE,1,CASES
1981,48,GEORGIA,GA,US,STATE,2,CASES
1981,49,GEORGIA,GA,US,STATE,12,CASES
1981,50,GEORGIA,GA,US,STATE,40,CASES
1981,52,GEORGIA,GA,US,STATE,11,CASES
2010,14,GEORGIA,GA,US,STATE,9,CASES
2012,37,GEORGIA,GA,US,STATE,1,CASES
2012,46,GEORGIA,GA,US,STATE,1,CASES
2012,49,GEORGIA,GA,US,STATE,7,CASES
2013,8,GEORGIA,GA,US,STATE,1,CASES
2013,12,GEORGIA,GA,US,STATE,1,CASES
2013,25,GEORGIA,GA,US,STATE,2,CASES
