year,week,loc,state,country,loc_type,number,event
1937,43,GEORGIA,GA,US,STATE,5,CASES
1937,44,GEORGIA,GA,US,STATE,10,CASES
1937,45,GEORGIA,GA,US,STATE,16,CASES
1937,46,GEORGIA,GA,US,STATE,16,CASES
1937,47,GEORGIA,GA,US,STATE,4,CASES
1937,48,GEORGIA,GA,US,STATE,14,CASES
1937,49,GEORGIA,GA,US,STATE,11,CASES
1937,50,GEORGIA,GA,US,STATE,15,CASES
1937,51,GEORGIA,GA,US,STATE,3,CASES
1938,1,GEORGIA,GA,US,STATE,9,CASES
1938,2,GEORGIA,GA,US,STATE,20,CASES
1938,3,GEORGIA,GA,US,STATE,51,CASES
1938,4,GEORGIA,GA,US,STATE,66,CASES
1938,5,GEORGIA,GA,US,STATE,59,CASES
1938,6,GEORGIA,GA,US,STATE,72,CASES
1938,7,GEORGIA,GA,US,STATE,33,CASES
1938,8,GEORGIA,GA,US,STATE,43,CASES
1938,9,GEORGIA,GA,US,STATE,11,CASES
1938,10,GEORGIA,GA,US,STATE,56,CASES
1938,11,GEORGIA,GA,US,STATE,104,CASES
1938,12,GEORGIA,GA,US,STATE,16,CASES
1938,13,GEORGIA,GA,US,STATE,35,CASES
1938,14,GEORGIA,GA,US,STATE,25,CASES
1938,15,GEORGIA,GA,US,STATE,76,CASES
1938,16,GEORGIA,GA,US,STATE,92,CASES
1938,17,GEORGIA,GA,US,STATE,28,CASES
1938,18,GEORGIA,GA,US,STATE,71,CASES
1938,19,GEORGIA,GA,US,STATE,106,CASES
1938,20,GEORGIA,GA,US,STATE,91,CASES
1938,21,GEORGIA,GA,US,STATE,70,CASES
1938,22,GEORGIA,GA,US,STATE,44,CASES
1938,23,GEORGIA,GA,US,STATE,44,CASES
1938,24,GEORGIA,GA,US,STATE,53,CASES
1938,25,GEORGIA,GA,US,STATE,93,CASES
1938,26,GEORGIA,GA,US,STATE,74,CASES
1938,27,GEORGIA,GA,US,STATE,127,CASES
1938,28,GEORGIA,GA,US,STATE,44,CASES
1938,29,GEORGIA,GA,US,STATE,88,CASES
1938,30,GEORGIA,GA,US,STATE,95,CASES
1938,31,GEORGIA,GA,US,STATE,44,CASES
1938,32,GEORGIA,GA,US,STATE,57,CASES
1938,33,GEORGIA,GA,US,STATE,37,CASES
1938,34,GEORGIA,GA,US,STATE,41,CASES
1938,35,GEORGIA,GA,US,STATE,27,CASES
1938,36,GEORGIA,GA,US,STATE,44,CASES
1938,37,GEORGIA,GA,US,STATE,29,CASES
1938,38,GEORGIA,GA,US,STATE,10,CASES
1938,39,GEORGIA,GA,US,STATE,7,CASES
1938,40,GEORGIA,GA,US,STATE,19,CASES
1938,41,GEORGIA,GA,US,STATE,10,CASES
1938,42,GEORGIA,GA,US,STATE,37,CASES
1938,43,GEORGIA,GA,US,STATE,12,CASES
1938,44,GEORGIA,GA,US,STATE,5,CASES
1938,45,GEORGIA,GA,US,STATE,4,CASES
1938,46,GEORGIA,GA,US,STATE,25,CASES
1938,47,GEORGIA,GA,US,STATE,8,CASES
1938,48,GEORGIA,GA,US,STATE,8,CASES
1938,49,GEORGIA,GA,US,STATE,24,CASES
1938,50,GEORGIA,GA,US,STATE,24,CASES
1938,51,GEORGIA,GA,US,STATE,9,CASES
1938,52,GEORGIA,GA,US,STATE,16,CASES
1939,1,GEORGIA,GA,US,STATE,32,CASES
1939,2,GEORGIA,GA,US,STATE,23,CASES
1939,3,GEORGIA,GA,US,STATE,33,CASES
1939,4,GEORGIA,GA,US,STATE,45,CASES
1939,5,GEORGIA,GA,US,STATE,26,CASES
1939,6,GEORGIA,GA,US,STATE,20,CASES
1939,7,GEORGIA,GA,US,STATE,33,CASES
1939,8,GEORGIA,GA,US,STATE,54,CASES
1939,9,GEORGIA,GA,US,STATE,12,CASES
1939,10,GEORGIA,GA,US,STATE,59,CASES
1939,11,GEORGIA,GA,US,STATE,51,CASES
1939,12,GEORGIA,GA,US,STATE,35,CASES
1939,13,GEORGIA,GA,US,STATE,51,CASES
1939,14,GEORGIA,GA,US,STATE,29,CASES
1939,15,GEORGIA,GA,US,STATE,32,CASES
1939,16,GEORGIA,GA,US,STATE,48,CASES
1939,17,GEORGIA,GA,US,STATE,43,CASES
1939,18,GEORGIA,GA,US,STATE,39,CASES
1939,19,GEORGIA,GA,US,STATE,93,CASES
1939,20,GEORGIA,GA,US,STATE,129,CASES
1939,21,GEORGIA,GA,US,STATE,32,CASES
1939,22,GEORGIA,GA,US,STATE,48,CASES
1939,23,GEORGIA,GA,US,STATE,25,CASES
1939,24,GEORGIA,GA,US,STATE,30,CASES
1939,25,GEORGIA,GA,US,STATE,47,CASES
1939,26,GEORGIA,GA,US,STATE,28,CASES
1939,27,GEORGIA,GA,US,STATE,81,CASES
1939,28,GEORGIA,GA,US,STATE,34,CASES
1939,29,GEORGIA,GA,US,STATE,84,CASES
1939,30,GEORGIA,GA,US,STATE,10,CASES
1939,31,GEORGIA,GA,US,STATE,58,CASES
1939,32,GEORGIA,GA,US,STATE,13,CASES
1939,33,GEORGIA,GA,US,STATE,22,CASES
1939,34,GEORGIA,GA,US,STATE,6,CASES
1939,35,GEORGIA,GA,US,STATE,17,CASES
1939,36,GEORGIA,GA,US,STATE,53,CASES
1939,37,GEORGIA,GA,US,STATE,14,CASES
1939,38,GEORGIA,GA,US,STATE,10,CASES
1939,39,GEORGIA,GA,US,STATE,33,CASES
1939,40,GEORGIA,GA,US,STATE,18,CASES
1939,41,GEORGIA,GA,US,STATE,15,CASES
1939,42,GEORGIA,GA,US,STATE,18,CASES
1939,43,GEORGIA,GA,US,STATE,7,CASES
1939,44,GEORGIA,GA,US,STATE,20,CASES
1939,45,GEORGIA,GA,US,STATE,8,CASES
1939,46,GEORGIA,GA,US,STATE,23,CASES
1939,47,GEORGIA,GA,US,STATE,8,CASES
1939,48,GEORGIA,GA,US,STATE,15,CASES
1939,49,GEORGIA,GA,US,STATE,33,CASES
1939,50,GEORGIA,GA,US,STATE,15,CASES
1939,51,GEORGIA,GA,US,STATE,10,CASES
1939,52,GEORGIA,GA,US,STATE,3,CASES
1940,2,GEORGIA,GA,US,STATE,14,CASES
1940,3,GEORGIA,GA,US,STATE,20,CASES
1940,4,GEORGIA,GA,US,STATE,9,CASES
