year,week,loc,state,country,loc_type,number,event
1968,4,GEORGIA,GA,US,STATE,90,CASES
1968,8,GEORGIA,GA,US,STATE,1,CASES
1968,44,GEORGIA,GA,US,STATE,1,CASES
1969,15,GEORGIA,GA,US,STATE,1,CASES
1969,20,GEORGIA,GA,US,STATE,1,CASES
1969,23,GEORGIA,GA,US,STATE,1,CASES
1969,50,GEORGIA,GA,US,STATE,1,CASES
1970,35,GEORGIA,GA,US,STATE,2,CASES
1970,38,GEORGIA,GA,US,STATE,1,CASES
1971,5,GEORGIA,GA,US,STATE,1,CASES
1971,21,GEORGIA,GA,US,STATE,1,CASES
1971,23,GEORGIA,GA,US,STATE,1,CASES
1971,28,GEORGIA,GA,US,STATE,8,CASES
1972,11,GEORGIA,GA,US,STATE,1,CASES
1972,22,GEORGIA,GA,US,STATE,1,CASES
1972,26,GEORGIA,GA,US,STATE,12,CASES
1972,29,GEORGIA,GA,US,STATE,6,CASES
1972,30,GEORGIA,GA,US,STATE,2,CASES
1972,38,GEORGIA,GA,US,STATE,1,CASES
1972,41,GEORGIA,GA,US,STATE,1,CASES
1972,48,GEORGIA,GA,US,STATE,3,CASES
1973,5,GEORGIA,GA,US,STATE,4,CASES
1973,6,GEORGIA,GA,US,STATE,3,CASES
1973,12,GEORGIA,GA,US,STATE,1,CASES
1973,13,GEORGIA,GA,US,STATE,1,CASES
1973,14,GEORGIA,GA,US,STATE,1,CASES
1973,16,GEORGIA,GA,US,STATE,1,CASES
1973,17,GEORGIA,GA,US,STATE,6,CASES
1973,19,GEORGIA,GA,US,STATE,3,CASES
1973,20,GEORGIA,GA,US,STATE,5,CASES
1973,29,GEORGIA,GA,US,STATE,1,CASES
1973,32,GEORGIA,GA,US,STATE,3,CASES
1973,35,GEORGIA,GA,US,STATE,2,CASES
1973,42,GEORGIA,GA,US,STATE,1,CASES
1974,31,GEORGIA,GA,US,STATE,1,CASES
1975,16,GEORGIA,GA,US,STATE,2,CASES
1975,19,GEORGIA,GA,US,STATE,2,CASES
1975,20,GEORGIA,GA,US,STATE,2,CASES
1975,21,GEORGIA,GA,US,STATE,1,CASES
1975,22,GEORGIA,GA,US,STATE,1,CASES
1975,26,GEORGIA,GA,US,STATE,3,CASES
1975,31,GEORGIA,GA,US,STATE,2,CASES
1975,33,GEORGIA,GA,US,STATE,3,CASES
1975,34,GEORGIA,GA,US,STATE,1,CASES
1976,45,GEORGIA,GA,US,STATE,1,CASES
1976,48,GEORGIA,GA,US,STATE,1,CASES
1976,49,GEORGIA,GA,US,STATE,1,CASES
1977,2,GEORGIA,GA,US,STATE,1,CASES
1977,8,GEORGIA,GA,US,STATE,1,CASES
1977,9,GEORGIA,GA,US,STATE,1,CASES
1977,10,GEORGIA,GA,US,STATE,1,CASES
1977,11,GEORGIA,GA,US,STATE,1,CASES
1977,13,GEORGIA,GA,US,STATE,1,CASES
1977,14,GEORGIA,GA,US,STATE,1,CASES
1977,23,GEORGIA,GA,US,STATE,2,CASES
1977,24,GEORGIA,GA,US,STATE,3,CASES
1977,29,GEORGIA,GA,US,STATE,4,CASES
1977,30,GEORGIA,GA,US,STATE,1,CASES
1977,31,GEORGIA,GA,US,STATE,1,CASES
1977,33,GEORGIA,GA,US,STATE,2,CASES
1977,34,GEORGIA,GA,US,STATE,1,CASES
1977,36,GEORGIA,GA,US,STATE,3,CASES
1977,46,GEORGIA,GA,US,STATE,7,CASES
1977,48,GEORGIA,GA,US,STATE,1,CASES
1977,49,GEORGIA,GA,US,STATE,2,CASES
1977,52,GEORGIA,GA,US,STATE,1,CASES
1978,3,GEORGIA,GA,US,STATE,1,CASES
1978,4,GEORGIA,GA,US,STATE,2,CASES
1978,11,GEORGIA,GA,US,STATE,3,CASES
1978,14,GEORGIA,GA,US,STATE,1,CASES
1978,15,GEORGIA,GA,US,STATE,3,CASES
1978,18,GEORGIA,GA,US,STATE,14,CASES
1978,19,GEORGIA,GA,US,STATE,11,CASES
1978,20,GEORGIA,GA,US,STATE,19,CASES
1978,25,GEORGIA,GA,US,STATE,3,CASES
1978,26,GEORGIA,GA,US,STATE,2,CASES
1978,29,GEORGIA,GA,US,STATE,1,CASES
1978,30,GEORGIA,GA,US,STATE,1,CASES
1978,31,GEORGIA,GA,US,STATE,1,CASES
1978,34,GEORGIA,GA,US,STATE,1,CASES
1978,36,GEORGIA,GA,US,STATE,2,CASES
1978,37,GEORGIA,GA,US,STATE,1,CASES
1978,42,GEORGIA,GA,US,STATE,1,CASES
1978,44,GEORGIA,GA,US,STATE,1,CASES
1978,49,GEORGIA,GA,US,STATE,1,CASES
1979,6,GEORGIA,GA,US,STATE,1,CASES
1979,8,GEORGIA,GA,US,STATE,1,CASES
1979,13,GEORGIA,GA,US,STATE,1,CASES
1979,37,GEORGIA,GA,US,STATE,1,CASES
1979,38,GEORGIA,GA,US,STATE,3,CASES
1980,16,GEORGIA,GA,US,STATE,1,CASES
1980,35,GEORGIA,GA,US,STATE,1,CASES
1980,36,GEORGIA,GA,US,STATE,1,CASES
1980,40,GEORGIA,GA,US,STATE,2,CASES
1980,43,GEORGIA,GA,US,STATE,4,CASES
1980,45,GEORGIA,GA,US,STATE,1,CASES
1980,46,GEORGIA,GA,US,STATE,1,CASES
1980,50,GEORGIA,GA,US,STATE,2,CASES
1980,51,GEORGIA,GA,US,STATE,3,CASES
1980,53,GEORGIA,GA,US,STATE,1,CASES
1981,1,GEORGIA,GA,US,STATE,1,CASES
1981,2,GEORGIA,GA,US,STATE,1,CASES
1981,5,GEORGIA,GA,US,STATE,4,CASES
1981,6,GEORGIA,GA,US,STATE,1,CASES
1981,7,GEORGIA,GA,US,STATE,4,CASES
1981,9,GEORGIA,GA,US,STATE,2,CASES
1981,11,GEORGIA,GA,US,STATE,1,CASES
1981,12,GEORGIA,GA,US,STATE,5,CASES
1981,13,GEORGIA,GA,US,STATE,1,CASES
1981,15,GEORGIA,GA,US,STATE,3,CASES
1981,16,GEORGIA,GA,US,STATE,1,CASES
1981,17,GEORGIA,GA,US,STATE,1,CASES
1981,18,GEORGIA,GA,US,STATE,2,CASES
1981,20,GEORGIA,GA,US,STATE,2,CASES
1981,21,GEORGIA,GA,US,STATE,2,CASES
1981,22,GEORGIA,GA,US,STATE,3,CASES
1981,23,GEORGIA,GA,US,STATE,1,CASES
1981,37,GEORGIA,GA,US,STATE,2,CASES
1981,39,GEORGIA,GA,US,STATE,3,CASES
1982,4,GEORGIA,GA,US,STATE,1,CASES
1982,16,GEORGIA,GA,US,STATE,1,CASES
1982,17,GEORGIA,GA,US,STATE,1,CASES
1982,18,GEORGIA,GA,US,STATE,2,CASES
1982,19,GEORGIA,GA,US,STATE,1,CASES
1982,21,GEORGIA,GA,US,STATE,1,CASES
1982,24,GEORGIA,GA,US,STATE,2,CASES
1982,29,GEORGIA,GA,US,STATE,1,CASES
1982,35,GEORGIA,GA,US,STATE,1,CASES
1982,37,GEORGIA,GA,US,STATE,1,CASES
1982,38,GEORGIA,GA,US,STATE,2,CASES
1982,40,GEORGIA,GA,US,STATE,1,CASES
1982,42,GEORGIA,GA,US,STATE,2,CASES
1982,43,GEORGIA,GA,US,STATE,1,CASES
1982,44,GEORGIA,GA,US,STATE,1,CASES
1982,47,GEORGIA,GA,US,STATE,2,CASES
1982,48,GEORGIA,GA,US,STATE,2,CASES
1982,49,GEORGIA,GA,US,STATE,2,CASES
1982,51,GEORGIA,GA,US,STATE,1,CASES
1983,9,GEORGIA,GA,US,STATE,3,CASES
1983,10,GEORGIA,GA,US,STATE,1,CASES
1983,18,GEORGIA,GA,US,STATE,1,CASES
1983,19,GEORGIA,GA,US,STATE,3,CASES
1983,20,GEORGIA,GA,US,STATE,4,CASES
1983,23,GEORGIA,GA,US,STATE,1,CASES
1983,24,GEORGIA,GA,US,STATE,1,CASES
1983,26,GEORGIA,GA,US,STATE,1,CASES
1983,27,GEORGIA,GA,US,STATE,2,CASES
1983,31,GEORGIA,GA,US,STATE,2,CASES
1983,37,GEORGIA,GA,US,STATE,1,CASES
1984,3,GEORGIA,GA,US,STATE,1,CASES
1984,5,GEORGIA,GA,US,STATE,1,CASES
1984,6,GEORGIA,GA,US,STATE,1,CASES
1984,13,GEORGIA,GA,US,STATE,2,CASES
1984,14,GEORGIA,GA,US,STATE,3,CASES
1984,15,GEORGIA,GA,US,STATE,7,CASES
1984,25,GEORGIA,GA,US,STATE,1,CASES
1984,42,GEORGIA,GA,US,STATE,4,CASES
1984,43,GEORGIA,GA,US,STATE,1,CASES
1985,2,GEORGIA,GA,US,STATE,2,CASES
1985,14,GEORGIA,GA,US,STATE,2,CASES
1985,16,GEORGIA,GA,US,STATE,8,CASES
1985,30,GEORGIA,GA,US,STATE,14,CASES
1985,45,GEORGIA,GA,US,STATE,1,CASES
1985,49,GEORGIA,GA,US,STATE,2,CASES
1986,3,GEORGIA,GA,US,STATE,1,CASES
1986,7,GEORGIA,GA,US,STATE,1,CASES
1986,8,GEORGIA,GA,US,STATE,1,CASES
1986,11,GEORGIA,GA,US,STATE,1,CASES
1986,14,GEORGIA,GA,US,STATE,1,CASES
1986,18,GEORGIA,GA,US,STATE,1,CASES
1986,19,GEORGIA,GA,US,STATE,2,CASES
1986,20,GEORGIA,GA,US,STATE,2,CASES
1986,23,GEORGIA,GA,US,STATE,2,CASES
1986,28,GEORGIA,GA,US,STATE,1,CASES
1986,29,GEORGIA,GA,US,STATE,1,CASES
1986,35,GEORGIA,GA,US,STATE,1,CASES
1986,38,GEORGIA,GA,US,STATE,13,CASES
1987,3,GEORGIA,GA,US,STATE,1,CASES
1987,14,GEORGIA,GA,US,STATE,5,CASES
1987,21,GEORGIA,GA,US,STATE,30,CASES
1987,24,GEORGIA,GA,US,STATE,4,CASES
1988,4,GEORGIA,GA,US,STATE,2,CASES
1988,9,GEORGIA,GA,US,STATE,2,CASES
1988,12,GEORGIA,GA,US,STATE,1,CASES
1988,14,GEORGIA,GA,US,STATE,2,CASES
1988,15,GEORGIA,GA,US,STATE,1,CASES
1988,17,GEORGIA,GA,US,STATE,3,CASES
1988,19,GEORGIA,GA,US,STATE,1,CASES
1988,20,GEORGIA,GA,US,STATE,7,CASES
1988,24,GEORGIA,GA,US,STATE,1,CASES
1988,27,GEORGIA,GA,US,STATE,3,CASES
1988,28,GEORGIA,GA,US,STATE,2,CASES
1988,36,GEORGIA,GA,US,STATE,2,CASES
1988,40,GEORGIA,GA,US,STATE,1,CASES
1988,45,GEORGIA,GA,US,STATE,1,CASES
1988,47,GEORGIA,GA,US,STATE,2,CASES
1988,49,GEORGIA,GA,US,STATE,1,CASES
1988,51,GEORGIA,GA,US,STATE,2,CASES
1988,52,GEORGIA,GA,US,STATE,3,CASES
1989,10,GEORGIA,GA,US,STATE,1,CASES
1989,17,GEORGIA,GA,US,STATE,1,CASES
1989,18,GEORGIA,GA,US,STATE,1,CASES
1989,20,GEORGIA,GA,US,STATE,2,CASES
1989,24,GEORGIA,GA,US,STATE,2,CASES
1989,28,GEORGIA,GA,US,STATE,4,CASES
1989,32,GEORGIA,GA,US,STATE,3,CASES
1989,34,GEORGIA,GA,US,STATE,1,CASES
1989,35,GEORGIA,GA,US,STATE,12,CASES
1989,38,GEORGIA,GA,US,STATE,2,CASES
1989,43,GEORGIA,GA,US,STATE,10,CASES
1989,44,GEORGIA,GA,US,STATE,2,CASES
1989,45,GEORGIA,GA,US,STATE,2,CASES
1989,46,GEORGIA,GA,US,STATE,9,CASES
1989,47,GEORGIA,GA,US,STATE,27,CASES
1989,50,GEORGIA,GA,US,STATE,14,CASES
1989,52,GEORGIA,GA,US,STATE,10,CASES
1990,5,GEORGIA,GA,US,STATE,11,CASES
1990,7,GEORGIA,GA,US,STATE,9,CASES
1990,10,GEORGIA,GA,US,STATE,5,CASES
1990,14,GEORGIA,GA,US,STATE,17,CASES
1990,17,GEORGIA,GA,US,STATE,5,CASES
1990,19,GEORGIA,GA,US,STATE,9,CASES
1990,31,GEORGIA,GA,US,STATE,15,CASES
1990,32,GEORGIA,GA,US,STATE,7,CASES
1990,33,GEORGIA,GA,US,STATE,2,CASES
1990,34,GEORGIA,GA,US,STATE,2,CASES
1990,40,GEORGIA,GA,US,STATE,3,CASES
1990,42,GEORGIA,GA,US,STATE,1,CASES
1990,44,GEORGIA,GA,US,STATE,3,CASES
1990,47,GEORGIA,GA,US,STATE,4,CASES
1990,49,GEORGIA,GA,US,STATE,3,CASES
1991,6,GEORGIA,GA,US,STATE,3,CASES
1991,8,GEORGIA,GA,US,STATE,2,CASES
1991,11,GEORGIA,GA,US,STATE,7,CASES
1991,19,GEORGIA,GA,US,STATE,7,CASES
1991,25,GEORGIA,GA,US,STATE,7,CASES
1991,27,GEORGIA,GA,US,STATE,5,CASES
1991,31,GEORGIA,GA,US,STATE,5,CASES
1991,33,GEORGIA,GA,US,STATE,2,CASES
1991,38,GEORGIA,GA,US,STATE,2,CASES
1991,44,GEORGIA,GA,US,STATE,31,CASES
1991,47,GEORGIA,GA,US,STATE,1,CASES
1991,50,GEORGIA,GA,US,STATE,14,CASES
1992,11,GEORGIA,GA,US,STATE,18,CASES
1992,16,GEORGIA,GA,US,STATE,6,CASES
1992,20,GEORGIA,GA,US,STATE,5,CASES
1992,25,GEORGIA,GA,US,STATE,2,CASES
1992,35,GEORGIA,GA,US,STATE,14,CASES
1992,46,GEORGIA,GA,US,STATE,5,CASES
1993,22,GEORGIA,GA,US,STATE,9,CASES
1993,28,GEORGIA,GA,US,STATE,1,CASES
1993,29,GEORGIA,GA,US,STATE,5,CASES
1993,44,GEORGIA,GA,US,STATE,1,CASES
1993,49,GEORGIA,GA,US,STATE,1,CASES
1993,50,GEORGIA,GA,US,STATE,1,CASES
1994,11,GEORGIA,GA,US,STATE,1,CASES
1994,18,GEORGIA,GA,US,STATE,3,CASES
1994,28,GEORGIA,GA,US,STATE,1,CASES
1996,5,GEORGIA,GA,US,STATE,1,CASES
1996,19,GEORGIA,GA,US,STATE,1,CASES
1996,37,GEORGIA,GA,US,STATE,1,CASES
1997,9,GEORGIA,GA,US,STATE,2,CASES
1997,18,GEORGIA,GA,US,STATE,2,CASES
1997,29,GEORGIA,GA,US,STATE,1,CASES
1997,37,GEORGIA,GA,US,STATE,2,CASES
1997,42,GEORGIA,GA,US,STATE,2,CASES
1998,17,GEORGIA,GA,US,STATE,1,CASES
1998,51,GEORGIA,GA,US,STATE,1,CASES
1999,22,GEORGIA,GA,US,STATE,1,CASES
1999,32,GEORGIA,GA,US,STATE,2,CASES
1999,36,GEORGIA,GA,US,STATE,1,CASES
2000,18,GEORGIA,GA,US,STATE,1,CASES
2000,19,GEORGIA,GA,US,STATE,1,CASES
2001,19,GEORGIA,GA,US,STATE,1,CASES
2001,20,GEORGIA,GA,US,STATE,6,CASES
2011,31,GEORGIA,GA,US,STATE,2,CASES
2011,32,GEORGIA,GA,US,STATE,1,CASES
2012,46,GEORGIA,GA,US,STATE,1,CASES
2012,48,GEORGIA,GA,US,STATE,1,CASES
