year,week,loc,state,country,loc_type,number,event
1968,1,HAWAII,HI,US,STATE,13,CASES
1968,2,HAWAII,HI,US,STATE,49,CASES
1968,3,HAWAII,HI,US,STATE,11,CASES
1968,4,HAWAII,HI,US,STATE,20,CASES
1968,5,HAWAII,HI,US,STATE,24,CASES
1968,6,HAWAII,HI,US,STATE,74,CASES
1968,7,HAWAII,HI,US,STATE,10,CASES
1968,8,HAWAII,HI,US,STATE,13,CASES
1968,10,HAWAII,HI,US,STATE,45,CASES
1968,11,HAWAII,HI,US,STATE,56,CASES
1968,12,HAWAII,HI,US,STATE,18,CASES
1968,13,HAWAII,HI,US,STATE,22,CASES
1968,14,HAWAII,HI,US,STATE,49,CASES
1968,15,HAWAII,HI,US,STATE,12,CASES
1968,16,HAWAII,HI,US,STATE,20,CASES
1968,17,HAWAII,HI,US,STATE,56,CASES
1968,18,HAWAII,HI,US,STATE,23,CASES
1968,19,HAWAII,HI,US,STATE,22,CASES
1968,20,HAWAII,HI,US,STATE,81,CASES
1968,21,HAWAII,HI,US,STATE,16,CASES
1968,22,HAWAII,HI,US,STATE,20,CASES
1968,23,HAWAII,HI,US,STATE,12,CASES
1968,24,HAWAII,HI,US,STATE,60,CASES
1968,25,HAWAII,HI,US,STATE,11,CASES
1968,26,HAWAII,HI,US,STATE,12,CASES
1968,27,HAWAII,HI,US,STATE,3,CASES
1968,28,HAWAII,HI,US,STATE,26,CASES
1968,29,HAWAII,HI,US,STATE,8,CASES
1968,30,HAWAII,HI,US,STATE,25,CASES
1968,31,HAWAII,HI,US,STATE,37,CASES
1968,32,HAWAII,HI,US,STATE,12,CASES
1968,33,HAWAII,HI,US,STATE,3,CASES
1968,34,HAWAII,HI,US,STATE,1,CASES
1968,35,HAWAII,HI,US,STATE,7,CASES
1968,36,HAWAII,HI,US,STATE,24,CASES
1968,37,HAWAII,HI,US,STATE,5,CASES
1968,38,HAWAII,HI,US,STATE,4,CASES
1968,39,HAWAII,HI,US,STATE,5,CASES
1968,40,HAWAII,HI,US,STATE,11,CASES
1968,42,HAWAII,HI,US,STATE,5,CASES
1968,43,HAWAII,HI,US,STATE,1,CASES
1968,44,HAWAII,HI,US,STATE,3,CASES
1968,47,HAWAII,HI,US,STATE,4,CASES
1968,48,HAWAII,HI,US,STATE,6,CASES
1968,49,HAWAII,HI,US,STATE,14,CASES
1968,50,HAWAII,HI,US,STATE,15,CASES
1968,51,HAWAII,HI,US,STATE,10,CASES
1968,52,HAWAII,HI,US,STATE,10,CASES
1969,1,HAWAII,HI,US,STATE,12,CASES
1969,2,HAWAII,HI,US,STATE,14,CASES
1969,3,HAWAII,HI,US,STATE,2,CASES
1969,4,HAWAII,HI,US,STATE,4,CASES
1969,5,HAWAII,HI,US,STATE,11,CASES
1969,6,HAWAII,HI,US,STATE,17,CASES
1969,7,HAWAII,HI,US,STATE,10,CASES
1969,8,HAWAII,HI,US,STATE,13,CASES
1969,9,HAWAII,HI,US,STATE,28,CASES
1969,10,HAWAII,HI,US,STATE,21,CASES
1969,12,HAWAII,HI,US,STATE,3,CASES
1969,13,HAWAII,HI,US,STATE,13,CASES
1969,14,HAWAII,HI,US,STATE,11,CASES
1969,15,HAWAII,HI,US,STATE,32,CASES
1969,16,HAWAII,HI,US,STATE,19,CASES
1969,17,HAWAII,HI,US,STATE,10,CASES
1969,18,HAWAII,HI,US,STATE,30,CASES
1969,19,HAWAII,HI,US,STATE,18,CASES
1969,20,HAWAII,HI,US,STATE,31,CASES
1969,21,HAWAII,HI,US,STATE,12,CASES
1969,22,HAWAII,HI,US,STATE,14,CASES
1969,23,HAWAII,HI,US,STATE,15,CASES
1969,24,HAWAII,HI,US,STATE,31,CASES
1969,26,HAWAII,HI,US,STATE,16,CASES
1969,27,HAWAII,HI,US,STATE,6,CASES
1969,28,HAWAII,HI,US,STATE,9,CASES
1969,30,HAWAII,HI,US,STATE,4,CASES
1969,31,HAWAII,HI,US,STATE,6,CASES
1969,32,HAWAII,HI,US,STATE,4,CASES
1969,33,HAWAII,HI,US,STATE,19,CASES
1969,34,HAWAII,HI,US,STATE,5,CASES
1969,35,HAWAII,HI,US,STATE,1,CASES
1969,36,HAWAII,HI,US,STATE,3,CASES
1969,37,HAWAII,HI,US,STATE,19,CASES
1969,38,HAWAII,HI,US,STATE,4,CASES
1969,39,HAWAII,HI,US,STATE,6,CASES
1969,40,HAWAII,HI,US,STATE,7,CASES
1969,41,HAWAII,HI,US,STATE,16,CASES
1969,42,HAWAII,HI,US,STATE,2,CASES
1969,43,HAWAII,HI,US,STATE,9,CASES
1969,44,HAWAII,HI,US,STATE,6,CASES
