year,week,loc,state,country,loc_type,number,event
1968,1,IOWA,IA,US,STATE,351,CASES
1968,3,IOWA,IA,US,STATE,617,CASES
1968,4,IOWA,IA,US,STATE,297,CASES
1968,5,IOWA,IA,US,STATE,440,CASES
1968,6,IOWA,IA,US,STATE,589,CASES
1968,7,IOWA,IA,US,STATE,491,CASES
1968,8,IOWA,IA,US,STATE,463,CASES
1968,9,IOWA,IA,US,STATE,399,CASES
1968,10,IOWA,IA,US,STATE,605,CASES
1968,11,IOWA,IA,US,STATE,694,CASES
1968,12,IOWA,IA,US,STATE,479,CASES
1968,13,IOWA,IA,US,STATE,450,CASES
1968,14,IOWA,IA,US,STATE,557,CASES
1968,15,IOWA,IA,US,STATE,443,CASES
1968,16,IOWA,IA,US,STATE,271,CASES
1968,17,IOWA,IA,US,STATE,444,CASES
1968,18,IOWA,IA,US,STATE,305,CASES
1968,19,IOWA,IA,US,STATE,361,CASES
1968,20,IOWA,IA,US,STATE,356,CASES
1968,21,IOWA,IA,US,STATE,317,CASES
1968,22,IOWA,IA,US,STATE,274,CASES
1968,23,IOWA,IA,US,STATE,198,CASES
1968,24,IOWA,IA,US,STATE,135,CASES
1968,26,IOWA,IA,US,STATE,54,CASES
1968,27,IOWA,IA,US,STATE,19,CASES
1968,28,IOWA,IA,US,STATE,39,CASES
1968,29,IOWA,IA,US,STATE,19,CASES
1968,30,IOWA,IA,US,STATE,24,CASES
1968,31,IOWA,IA,US,STATE,13,CASES
1968,32,IOWA,IA,US,STATE,8,CASES
1968,34,IOWA,IA,US,STATE,9,CASES
1968,35,IOWA,IA,US,STATE,21,CASES
1968,36,IOWA,IA,US,STATE,29,CASES
1968,37,IOWA,IA,US,STATE,35,CASES
1968,38,IOWA,IA,US,STATE,48,CASES
1968,39,IOWA,IA,US,STATE,52,CASES
1968,40,IOWA,IA,US,STATE,70,CASES
1968,41,IOWA,IA,US,STATE,98,CASES
1968,42,IOWA,IA,US,STATE,95,CASES
1968,43,IOWA,IA,US,STATE,100,CASES
1968,44,IOWA,IA,US,STATE,174,CASES
1968,45,IOWA,IA,US,STATE,136,CASES
1968,46,IOWA,IA,US,STATE,254,CASES
1968,47,IOWA,IA,US,STATE,194,CASES
1968,48,IOWA,IA,US,STATE,172,CASES
