year,week,loc,state,country,loc_type,number,event
1972,21,IDAHO,ID,US,STATE,2,CASES
1974,43,IDAHO,ID,US,STATE,1,CASES
1975,17,IDAHO,ID,US,STATE,5,CASES
1975,19,IDAHO,ID,US,STATE,6,CASES
1975,20,IDAHO,ID,US,STATE,1,CASES
1975,21,IDAHO,ID,US,STATE,2,CASES
1975,23,IDAHO,ID,US,STATE,4,CASES
1975,24,IDAHO,ID,US,STATE,14,CASES
1975,25,IDAHO,ID,US,STATE,5,CASES
1975,28,IDAHO,ID,US,STATE,1,CASES
1975,29,IDAHO,ID,US,STATE,2,CASES
1975,30,IDAHO,ID,US,STATE,1,CASES
1975,33,IDAHO,ID,US,STATE,1,CASES
1975,34,IDAHO,ID,US,STATE,2,CASES
1975,36,IDAHO,ID,US,STATE,2,CASES
1975,44,IDAHO,ID,US,STATE,8,CASES
1975,45,IDAHO,ID,US,STATE,3,CASES
1975,46,IDAHO,ID,US,STATE,6,CASES
1975,47,IDAHO,ID,US,STATE,2,CASES
1975,48,IDAHO,ID,US,STATE,4,CASES
1975,50,IDAHO,ID,US,STATE,4,CASES
1975,51,IDAHO,ID,US,STATE,6,CASES
1976,1,IDAHO,ID,US,STATE,7,CASES
1976,2,IDAHO,ID,US,STATE,1,CASES
1976,3,IDAHO,ID,US,STATE,12,CASES
1976,4,IDAHO,ID,US,STATE,9,CASES
1976,5,IDAHO,ID,US,STATE,38,CASES
1976,7,IDAHO,ID,US,STATE,25,CASES
1976,8,IDAHO,ID,US,STATE,25,CASES
1976,9,IDAHO,ID,US,STATE,43,CASES
1976,10,IDAHO,ID,US,STATE,7,CASES
1976,11,IDAHO,ID,US,STATE,16,CASES
1976,12,IDAHO,ID,US,STATE,8,CASES
1976,13,IDAHO,ID,US,STATE,48,CASES
1976,14,IDAHO,ID,US,STATE,28,CASES
1976,15,IDAHO,ID,US,STATE,19,CASES
1976,16,IDAHO,ID,US,STATE,27,CASES
1976,17,IDAHO,ID,US,STATE,40,CASES
1976,18,IDAHO,ID,US,STATE,36,CASES
1976,19,IDAHO,ID,US,STATE,31,CASES
1976,20,IDAHO,ID,US,STATE,53,CASES
1976,21,IDAHO,ID,US,STATE,12,CASES
1976,23,IDAHO,ID,US,STATE,1,CASES
1976,24,IDAHO,ID,US,STATE,1,CASES
1976,26,IDAHO,ID,US,STATE,2,CASES
1976,30,IDAHO,ID,US,STATE,1,CASES
1976,37,IDAHO,ID,US,STATE,5,CASES
1976,38,IDAHO,ID,US,STATE,7,CASES
1976,39,IDAHO,ID,US,STATE,1,CASES
1976,40,IDAHO,ID,US,STATE,5,CASES
1976,41,IDAHO,ID,US,STATE,8,CASES
1976,42,IDAHO,ID,US,STATE,5,CASES
1976,43,IDAHO,ID,US,STATE,14,CASES
1976,44,IDAHO,ID,US,STATE,6,CASES
1976,45,IDAHO,ID,US,STATE,26,CASES
1976,46,IDAHO,ID,US,STATE,17,CASES
1976,47,IDAHO,ID,US,STATE,5,CASES
1976,48,IDAHO,ID,US,STATE,33,CASES
1976,49,IDAHO,ID,US,STATE,18,CASES
1976,50,IDAHO,ID,US,STATE,17,CASES
1976,51,IDAHO,ID,US,STATE,3,CASES
1976,52,IDAHO,ID,US,STATE,18,CASES
1977,2,IDAHO,ID,US,STATE,16,CASES
1977,3,IDAHO,ID,US,STATE,10,CASES
1977,4,IDAHO,ID,US,STATE,52,CASES
1977,5,IDAHO,ID,US,STATE,22,CASES
1977,6,IDAHO,ID,US,STATE,26,CASES
1977,7,IDAHO,ID,US,STATE,5,CASES
1977,8,IDAHO,ID,US,STATE,45,CASES
1977,9,IDAHO,ID,US,STATE,40,CASES
1977,10,IDAHO,ID,US,STATE,57,CASES
1977,11,IDAHO,ID,US,STATE,26,CASES
1977,12,IDAHO,ID,US,STATE,25,CASES
1977,13,IDAHO,ID,US,STATE,11,CASES
1977,14,IDAHO,ID,US,STATE,19,CASES
1977,15,IDAHO,ID,US,STATE,21,CASES
1977,16,IDAHO,ID,US,STATE,23,CASES
1977,17,IDAHO,ID,US,STATE,21,CASES
1977,18,IDAHO,ID,US,STATE,27,CASES
1977,19,IDAHO,ID,US,STATE,33,CASES
1977,20,IDAHO,ID,US,STATE,40,CASES
1977,21,IDAHO,ID,US,STATE,7,CASES
1977,22,IDAHO,ID,US,STATE,23,CASES
1977,23,IDAHO,ID,US,STATE,14,CASES
1977,24,IDAHO,ID,US,STATE,11,CASES
1977,25,IDAHO,ID,US,STATE,2,CASES
1977,26,IDAHO,ID,US,STATE,3,CASES
1977,27,IDAHO,ID,US,STATE,15,CASES
1977,28,IDAHO,ID,US,STATE,1,CASES
1977,29,IDAHO,ID,US,STATE,1,CASES
1977,32,IDAHO,ID,US,STATE,3,CASES
