year,week,loc,state,country,loc_type,number,event
1927,47,IDAHO,ID,US,STATE,2,CASES
1927,48,IDAHO,ID,US,STATE,4,CASES
1927,49,IDAHO,ID,US,STATE,0,CASES
1927,51,IDAHO,ID,US,STATE,5,CASES
1927,52,IDAHO,ID,US,STATE,6,CASES
1928,7,IDAHO,ID,US,STATE,1,CASES
1928,8,IDAHO,ID,US,STATE,1,CASES
1928,9,IDAHO,ID,US,STATE,1,CASES
1928,10,IDAHO,ID,US,STATE,1,CASES
1928,11,IDAHO,ID,US,STATE,1,CASES
1928,13,IDAHO,ID,US,STATE,1,CASES
1928,19,IDAHO,ID,US,STATE,1,CASES
1928,20,IDAHO,ID,US,STATE,1,CASES
1928,22,IDAHO,ID,US,STATE,3,CASES
1928,25,IDAHO,ID,US,STATE,1,CASES
1928,27,IDAHO,ID,US,STATE,1,CASES
1928,28,IDAHO,ID,US,STATE,3,CASES
1928,29,IDAHO,ID,US,STATE,3,CASES
1928,33,IDAHO,ID,US,STATE,2,CASES
1928,34,IDAHO,ID,US,STATE,1,CASES
1928,40,IDAHO,ID,US,STATE,2,CASES
1928,42,IDAHO,ID,US,STATE,3,CASES
1928,43,IDAHO,ID,US,STATE,1,CASES
1928,44,IDAHO,ID,US,STATE,3,CASES
1928,46,IDAHO,ID,US,STATE,1,CASES
1928,47,IDAHO,ID,US,STATE,8,CASES
1928,48,IDAHO,ID,US,STATE,4,CASES
1928,50,IDAHO,ID,US,STATE,1,CASES
1928,51,IDAHO,ID,US,STATE,3,CASES
1928,52,IDAHO,ID,US,STATE,2,CASES
1929,1,IDAHO,ID,US,STATE,1,CASES
1929,2,IDAHO,ID,US,STATE,1,CASES
1929,4,IDAHO,ID,US,STATE,5,CASES
1929,5,IDAHO,ID,US,STATE,4,CASES
1929,7,IDAHO,ID,US,STATE,1,CASES
1929,8,IDAHO,ID,US,STATE,4,CASES
1929,10,IDAHO,ID,US,STATE,1,CASES
1929,12,IDAHO,ID,US,STATE,3,CASES
1929,14,IDAHO,ID,US,STATE,1,CASES
1929,15,IDAHO,ID,US,STATE,1,CASES
1929,19,IDAHO,ID,US,STATE,2,CASES
1929,22,IDAHO,ID,US,STATE,1,CASES
1929,23,IDAHO,ID,US,STATE,1,CASES
1929,25,IDAHO,ID,US,STATE,1,CASES
1929,27,IDAHO,ID,US,STATE,1,CASES
1929,30,IDAHO,ID,US,STATE,2,CASES
1929,31,IDAHO,ID,US,STATE,1,CASES
1929,38,IDAHO,ID,US,STATE,2,CASES
1929,44,IDAHO,ID,US,STATE,1,CASES
1929,48,IDAHO,ID,US,STATE,1,CASES
1930,5,IDAHO,ID,US,STATE,2,CASES
1930,6,IDAHO,ID,US,STATE,1,CASES
1930,7,IDAHO,ID,US,STATE,2,CASES
1930,8,IDAHO,ID,US,STATE,2,CASES
1930,10,IDAHO,ID,US,STATE,1,CASES
1930,13,IDAHO,ID,US,STATE,2,CASES
1930,14,IDAHO,ID,US,STATE,4,CASES
1930,18,IDAHO,ID,US,STATE,3,CASES
1930,20,IDAHO,ID,US,STATE,2,CASES
1930,23,IDAHO,ID,US,STATE,1,CASES
1930,25,IDAHO,ID,US,STATE,1,CASES
1930,26,IDAHO,ID,US,STATE,2,CASES
1930,28,IDAHO,ID,US,STATE,1,CASES
1930,31,IDAHO,ID,US,STATE,1,CASES
1930,39,IDAHO,ID,US,STATE,2,CASES
1930,40,IDAHO,ID,US,STATE,1,CASES
1930,42,IDAHO,ID,US,STATE,1,CASES
1930,43,IDAHO,ID,US,STATE,1,CASES
1930,45,IDAHO,ID,US,STATE,1,CASES
1930,46,IDAHO,ID,US,STATE,1,CASES
1931,2,IDAHO,ID,US,STATE,1,CASES
1931,11,IDAHO,ID,US,STATE,1,CASES
1931,13,IDAHO,ID,US,STATE,1,CASES
1931,14,IDAHO,ID,US,STATE,5,CASES
1931,15,IDAHO,ID,US,STATE,1,CASES
1931,16,IDAHO,ID,US,STATE,2,CASES
1931,17,IDAHO,ID,US,STATE,1,CASES
1931,20,IDAHO,ID,US,STATE,1,CASES
1931,22,IDAHO,ID,US,STATE,3,CASES
1931,24,IDAHO,ID,US,STATE,1,CASES
1931,27,IDAHO,ID,US,STATE,1,CASES
1931,28,IDAHO,ID,US,STATE,3,CASES
1931,30,IDAHO,ID,US,STATE,1,CASES
1931,33,IDAHO,ID,US,STATE,1,CASES
1931,34,IDAHO,ID,US,STATE,1,CASES
1931,36,IDAHO,ID,US,STATE,1,CASES
1931,38,IDAHO,ID,US,STATE,2,CASES
1931,39,IDAHO,ID,US,STATE,6,CASES
1931,40,IDAHO,ID,US,STATE,3,CASES
1931,43,IDAHO,ID,US,STATE,1,CASES
1931,44,IDAHO,ID,US,STATE,2,CASES
1931,45,IDAHO,ID,US,STATE,6,CASES
1931,46,IDAHO,ID,US,STATE,9,CASES
1931,48,IDAHO,ID,US,STATE,7,CASES
1931,49,IDAHO,ID,US,STATE,1,CASES
1931,50,IDAHO,ID,US,STATE,2,CASES
1931,51,IDAHO,ID,US,STATE,2,CASES
1931,52,IDAHO,ID,US,STATE,1,CASES
1932,2,IDAHO,ID,US,STATE,1,CASES
1932,5,IDAHO,ID,US,STATE,1,CASES
