year,week,loc,state,country,loc_type,number,event
1937,43,ILLINOIS,IL,US,STATE,83,CASES
1937,44,ILLINOIS,IL,US,STATE,88,CASES
1937,45,ILLINOIS,IL,US,STATE,92,CASES
1937,46,ILLINOIS,IL,US,STATE,93,CASES
1937,47,ILLINOIS,IL,US,STATE,71,CASES
1937,48,ILLINOIS,IL,US,STATE,75,CASES
1937,49,ILLINOIS,IL,US,STATE,87,CASES
1937,50,ILLINOIS,IL,US,STATE,73,CASES
1937,51,ILLINOIS,IL,US,STATE,46,CASES
1938,1,ILLINOIS,IL,US,STATE,104,CASES
1938,2,ILLINOIS,IL,US,STATE,100,CASES
1938,3,ILLINOIS,IL,US,STATE,124,CASES
1938,4,ILLINOIS,IL,US,STATE,112,CASES
1938,5,ILLINOIS,IL,US,STATE,93,CASES
1938,6,ILLINOIS,IL,US,STATE,105,CASES
1938,7,ILLINOIS,IL,US,STATE,76,CASES
1938,8,ILLINOIS,IL,US,STATE,85,CASES
1938,9,ILLINOIS,IL,US,STATE,121,CASES
1938,10,ILLINOIS,IL,US,STATE,122,CASES
1938,11,ILLINOIS,IL,US,STATE,94,CASES
1938,12,ILLINOIS,IL,US,STATE,114,CASES
1938,13,ILLINOIS,IL,US,STATE,83,CASES
1938,14,ILLINOIS,IL,US,STATE,91,CASES
1938,15,ILLINOIS,IL,US,STATE,96,CASES
1938,16,ILLINOIS,IL,US,STATE,136,CASES
1938,17,ILLINOIS,IL,US,STATE,126,CASES
1938,18,ILLINOIS,IL,US,STATE,120,CASES
1938,19,ILLINOIS,IL,US,STATE,132,CASES
1938,20,ILLINOIS,IL,US,STATE,141,CASES
1938,21,ILLINOIS,IL,US,STATE,169,CASES
1938,22,ILLINOIS,IL,US,STATE,230,CASES
1938,23,ILLINOIS,IL,US,STATE,232,CASES
1938,24,ILLINOIS,IL,US,STATE,232,CASES
1938,25,ILLINOIS,IL,US,STATE,148,CASES
1938,26,ILLINOIS,IL,US,STATE,162,CASES
1938,27,ILLINOIS,IL,US,STATE,193,CASES
1938,28,ILLINOIS,IL,US,STATE,275,CASES
1938,29,ILLINOIS,IL,US,STATE,330,CASES
1938,30,ILLINOIS,IL,US,STATE,306,CASES
1938,31,ILLINOIS,IL,US,STATE,325,CASES
1938,32,ILLINOIS,IL,US,STATE,320,CASES
1938,33,ILLINOIS,IL,US,STATE,363,CASES
1938,34,ILLINOIS,IL,US,STATE,346,CASES
1938,35,ILLINOIS,IL,US,STATE,334,CASES
1938,36,ILLINOIS,IL,US,STATE,300,CASES
1938,37,ILLINOIS,IL,US,STATE,283,CASES
1938,38,ILLINOIS,IL,US,STATE,338,CASES
1938,39,ILLINOIS,IL,US,STATE,334,CASES
1938,40,ILLINOIS,IL,US,STATE,228,CASES
1938,41,ILLINOIS,IL,US,STATE,380,CASES
1938,42,ILLINOIS,IL,US,STATE,336,CASES
1938,43,ILLINOIS,IL,US,STATE,490,CASES
1938,44,ILLINOIS,IL,US,STATE,322,CASES
1938,45,ILLINOIS,IL,US,STATE,553,CASES
1938,46,ILLINOIS,IL,US,STATE,332,CASES
1938,47,ILLINOIS,IL,US,STATE,296,CASES
1938,48,ILLINOIS,IL,US,STATE,377,CASES
1938,49,ILLINOIS,IL,US,STATE,394,CASES
1938,50,ILLINOIS,IL,US,STATE,327,CASES
1938,51,ILLINOIS,IL,US,STATE,341,CASES
1938,52,ILLINOIS,IL,US,STATE,315,CASES
1939,1,ILLINOIS,IL,US,STATE,275,CASES
1939,2,ILLINOIS,IL,US,STATE,307,CASES
1939,3,ILLINOIS,IL,US,STATE,294,CASES
1939,4,ILLINOIS,IL,US,STATE,255,CASES
1939,5,ILLINOIS,IL,US,STATE,352,CASES
1939,6,ILLINOIS,IL,US,STATE,410,CASES
1939,7,ILLINOIS,IL,US,STATE,274,CASES
1939,8,ILLINOIS,IL,US,STATE,278,CASES
1939,9,ILLINOIS,IL,US,STATE,269,CASES
1939,10,ILLINOIS,IL,US,STATE,336,CASES
1939,11,ILLINOIS,IL,US,STATE,265,CASES
1939,12,ILLINOIS,IL,US,STATE,281,CASES
1939,13,ILLINOIS,IL,US,STATE,331,CASES
1939,14,ILLINOIS,IL,US,STATE,256,CASES
1939,15,ILLINOIS,IL,US,STATE,260,CASES
1939,16,ILLINOIS,IL,US,STATE,162,CASES
1939,17,ILLINOIS,IL,US,STATE,132,CASES
1939,18,ILLINOIS,IL,US,STATE,198,CASES
1939,19,ILLINOIS,IL,US,STATE,150,CASES
1939,20,ILLINOIS,IL,US,STATE,130,CASES
1939,21,ILLINOIS,IL,US,STATE,249,CASES
1939,22,ILLINOIS,IL,US,STATE,233,CASES
1939,23,ILLINOIS,IL,US,STATE,248,CASES
1939,24,ILLINOIS,IL,US,STATE,117,CASES
1939,25,ILLINOIS,IL,US,STATE,310,CASES
1939,26,ILLINOIS,IL,US,STATE,302,CASES
1939,27,ILLINOIS,IL,US,STATE,150,CASES
1939,28,ILLINOIS,IL,US,STATE,362,CASES
1939,29,ILLINOIS,IL,US,STATE,363,CASES
1939,30,ILLINOIS,IL,US,STATE,389,CASES
1939,31,ILLINOIS,IL,US,STATE,328,CASES
1939,32,ILLINOIS,IL,US,STATE,195,CASES
1939,33,ILLINOIS,IL,US,STATE,268,CASES
1939,34,ILLINOIS,IL,US,STATE,205,CASES
1939,35,ILLINOIS,IL,US,STATE,220,CASES
1939,36,ILLINOIS,IL,US,STATE,149,CASES
1939,37,ILLINOIS,IL,US,STATE,275,CASES
1939,38,ILLINOIS,IL,US,STATE,140,CASES
1939,39,ILLINOIS,IL,US,STATE,103,CASES
1939,40,ILLINOIS,IL,US,STATE,129,CASES
1939,41,ILLINOIS,IL,US,STATE,117,CASES
1939,42,ILLINOIS,IL,US,STATE,149,CASES
1939,43,ILLINOIS,IL,US,STATE,112,CASES
1939,44,ILLINOIS,IL,US,STATE,172,CASES
1939,45,ILLINOIS,IL,US,STATE,161,CASES
1939,46,ILLINOIS,IL,US,STATE,131,CASES
1939,47,ILLINOIS,IL,US,STATE,125,CASES
1939,48,ILLINOIS,IL,US,STATE,107,CASES
1939,49,ILLINOIS,IL,US,STATE,73,CASES
1939,50,ILLINOIS,IL,US,STATE,60,CASES
1939,51,ILLINOIS,IL,US,STATE,71,CASES
1939,52,ILLINOIS,IL,US,STATE,69,CASES
1940,2,ILLINOIS,IL,US,STATE,119,CASES
1940,3,ILLINOIS,IL,US,STATE,84,CASES
1940,4,ILLINOIS,IL,US,STATE,85,CASES
1940,6,ILLINOIS,IL,US,STATE,80,CASES
1940,7,ILLINOIS,IL,US,STATE,75,CASES
1940,8,ILLINOIS,IL,US,STATE,105,CASES
1940,9,ILLINOIS,IL,US,STATE,110,CASES
1940,10,ILLINOIS,IL,US,STATE,138,CASES
1940,11,ILLINOIS,IL,US,STATE,92,CASES
1940,12,ILLINOIS,IL,US,STATE,114,CASES
1940,13,ILLINOIS,IL,US,STATE,118,CASES
1940,14,ILLINOIS,IL,US,STATE,148,CASES
1940,15,ILLINOIS,IL,US,STATE,114,CASES
1940,16,ILLINOIS,IL,US,STATE,104,CASES
1940,17,ILLINOIS,IL,US,STATE,114,CASES
1940,18,ILLINOIS,IL,US,STATE,98,CASES
1940,19,ILLINOIS,IL,US,STATE,95,CASES
1940,20,ILLINOIS,IL,US,STATE,110,CASES
1940,21,ILLINOIS,IL,US,STATE,87,CASES
1940,22,ILLINOIS,IL,US,STATE,50,CASES
1940,23,ILLINOIS,IL,US,STATE,91,CASES
1940,24,ILLINOIS,IL,US,STATE,96,CASES
1940,25,ILLINOIS,IL,US,STATE,93,CASES
1940,26,ILLINOIS,IL,US,STATE,79,CASES
1940,27,ILLINOIS,IL,US,STATE,88,CASES
1940,28,ILLINOIS,IL,US,STATE,157,CASES
1940,29,ILLINOIS,IL,US,STATE,126,CASES
1940,30,ILLINOIS,IL,US,STATE,135,CASES
1940,31,ILLINOIS,IL,US,STATE,181,CASES
1940,32,ILLINOIS,IL,US,STATE,152,CASES
1940,33,ILLINOIS,IL,US,STATE,155,CASES
1940,34,ILLINOIS,IL,US,STATE,156,CASES
1940,35,ILLINOIS,IL,US,STATE,94,CASES
1940,36,ILLINOIS,IL,US,STATE,176,CASES
1940,37,ILLINOIS,IL,US,STATE,112,CASES
1940,38,ILLINOIS,IL,US,STATE,116,CASES
1940,39,ILLINOIS,IL,US,STATE,111,CASES
1940,40,ILLINOIS,IL,US,STATE,109,CASES
1940,41,ILLINOIS,IL,US,STATE,139,CASES
1940,42,ILLINOIS,IL,US,STATE,149,CASES
1940,43,ILLINOIS,IL,US,STATE,192,CASES
1940,44,ILLINOIS,IL,US,STATE,173,CASES
1940,45,ILLINOIS,IL,US,STATE,155,CASES
1940,46,ILLINOIS,IL,US,STATE,134,CASES
1940,47,ILLINOIS,IL,US,STATE,130,CASES
1940,48,ILLINOIS,IL,US,STATE,220,CASES
1940,49,ILLINOIS,IL,US,STATE,140,CASES
1940,50,ILLINOIS,IL,US,STATE,176,CASES
1940,51,ILLINOIS,IL,US,STATE,171,CASES
1940,52,ILLINOIS,IL,US,STATE,120,CASES
1941,1,ILLINOIS,IL,US,STATE,145,CASES
1941,2,ILLINOIS,IL,US,STATE,121,CASES
1941,3,ILLINOIS,IL,US,STATE,133,CASES
1941,4,ILLINOIS,IL,US,STATE,108,CASES
1941,5,ILLINOIS,IL,US,STATE,125,CASES
1941,6,ILLINOIS,IL,US,STATE,107,CASES
1941,7,ILLINOIS,IL,US,STATE,106,CASES
1941,9,ILLINOIS,IL,US,STATE,85,CASES
1941,10,ILLINOIS,IL,US,STATE,98,CASES
1941,11,ILLINOIS,IL,US,STATE,83,CASES
1941,12,ILLINOIS,IL,US,STATE,86,CASES
1941,13,ILLINOIS,IL,US,STATE,95,CASES
1941,14,ILLINOIS,IL,US,STATE,81,CASES
1941,15,ILLINOIS,IL,US,STATE,76,CASES
1941,16,ILLINOIS,IL,US,STATE,84,CASES
1941,17,ILLINOIS,IL,US,STATE,72,CASES
1941,18,ILLINOIS,IL,US,STATE,91,CASES
1941,19,ILLINOIS,IL,US,STATE,99,CASES
1941,20,ILLINOIS,IL,US,STATE,108,CASES
1941,21,ILLINOIS,IL,US,STATE,106,CASES
1941,22,ILLINOIS,IL,US,STATE,101,CASES
1941,23,ILLINOIS,IL,US,STATE,102,CASES
1941,24,ILLINOIS,IL,US,STATE,82,CASES
1941,25,ILLINOIS,IL,US,STATE,102,CASES
1941,26,ILLINOIS,IL,US,STATE,117,CASES
1941,27,ILLINOIS,IL,US,STATE,75,CASES
1941,28,ILLINOIS,IL,US,STATE,145,CASES
1941,29,ILLINOIS,IL,US,STATE,158,CASES
1941,30,ILLINOIS,IL,US,STATE,146,CASES
1941,31,ILLINOIS,IL,US,STATE,164,CASES
1941,32,ILLINOIS,IL,US,STATE,204,CASES
1941,33,ILLINOIS,IL,US,STATE,181,CASES
1941,34,ILLINOIS,IL,US,STATE,213,CASES
1941,35,ILLINOIS,IL,US,STATE,201,CASES
1941,36,ILLINOIS,IL,US,STATE,231,CASES
1941,37,ILLINOIS,IL,US,STATE,237,CASES
1941,38,ILLINOIS,IL,US,STATE,197,CASES
1941,39,ILLINOIS,IL,US,STATE,185,CASES
1941,40,ILLINOIS,IL,US,STATE,182,CASES
1941,41,ILLINOIS,IL,US,STATE,176,CASES
1941,42,ILLINOIS,IL,US,STATE,190,CASES
1941,43,ILLINOIS,IL,US,STATE,266,CASES
1941,44,ILLINOIS,IL,US,STATE,161,CASES
