year,week,loc,state,country,loc_type,number,event
1927,47,ILLINOIS,IL,US,STATE,176,CASES
1927,48,ILLINOIS,IL,US,STATE,195,CASES
1927,49,ILLINOIS,IL,US,STATE,177,CASES
1927,51,ILLINOIS,IL,US,STATE,219,CASES
1927,52,ILLINOIS,IL,US,STATE,176,CASES
1928,1,ILLINOIS,IL,US,STATE,190,CASES
1928,2,ILLINOIS,IL,US,STATE,184,CASES
1928,3,ILLINOIS,IL,US,STATE,202,CASES
1928,4,ILLINOIS,IL,US,STATE,178,CASES
1928,5,ILLINOIS,IL,US,STATE,160,CASES
1928,6,ILLINOIS,IL,US,STATE,191,CASES
1928,7,ILLINOIS,IL,US,STATE,177,CASES
1928,8,ILLINOIS,IL,US,STATE,170,CASES
1928,9,ILLINOIS,IL,US,STATE,151,CASES
1928,10,ILLINOIS,IL,US,STATE,154,CASES
1928,11,ILLINOIS,IL,US,STATE,134,CASES
1928,12,ILLINOIS,IL,US,STATE,192,CASES
1928,13,ILLINOIS,IL,US,STATE,143,CASES
1928,14,ILLINOIS,IL,US,STATE,167,CASES
1928,15,ILLINOIS,IL,US,STATE,103,CASES
1928,16,ILLINOIS,IL,US,STATE,140,CASES
1928,17,ILLINOIS,IL,US,STATE,109,CASES
1928,18,ILLINOIS,IL,US,STATE,83,CASES
1928,19,ILLINOIS,IL,US,STATE,95,CASES
1928,20,ILLINOIS,IL,US,STATE,83,CASES
1928,21,ILLINOIS,IL,US,STATE,111,CASES
1928,22,ILLINOIS,IL,US,STATE,117,CASES
1928,23,ILLINOIS,IL,US,STATE,112,CASES
1928,24,ILLINOIS,IL,US,STATE,126,CASES
1928,25,ILLINOIS,IL,US,STATE,140,CASES
1928,26,ILLINOIS,IL,US,STATE,130,CASES
1928,27,ILLINOIS,IL,US,STATE,77,CASES
1928,28,ILLINOIS,IL,US,STATE,74,CASES
1928,29,ILLINOIS,IL,US,STATE,65,CASES
1928,30,ILLINOIS,IL,US,STATE,73,CASES
1928,31,ILLINOIS,IL,US,STATE,72,CASES
1928,32,ILLINOIS,IL,US,STATE,72,CASES
1928,33,ILLINOIS,IL,US,STATE,63,CASES
1928,34,ILLINOIS,IL,US,STATE,70,CASES
1928,35,ILLINOIS,IL,US,STATE,68,CASES
1928,36,ILLINOIS,IL,US,STATE,48,CASES
1928,37,ILLINOIS,IL,US,STATE,81,CASES
1928,38,ILLINOIS,IL,US,STATE,95,CASES
1928,39,ILLINOIS,IL,US,STATE,100,CASES
1928,40,ILLINOIS,IL,US,STATE,90,CASES
1928,41,ILLINOIS,IL,US,STATE,124,CASES
1928,42,ILLINOIS,IL,US,STATE,162,CASES
1928,43,ILLINOIS,IL,US,STATE,187,CASES
1928,44,ILLINOIS,IL,US,STATE,270,CASES
1928,45,ILLINOIS,IL,US,STATE,244,CASES
1928,46,ILLINOIS,IL,US,STATE,226,CASES
1928,47,ILLINOIS,IL,US,STATE,242,CASES
1928,48,ILLINOIS,IL,US,STATE,260,CASES
1928,49,ILLINOIS,IL,US,STATE,230,CASES
1928,50,ILLINOIS,IL,US,STATE,253,CASES
1928,51,ILLINOIS,IL,US,STATE,160,CASES
1928,52,ILLINOIS,IL,US,STATE,242,CASES
1929,1,ILLINOIS,IL,US,STATE,150,CASES
1929,2,ILLINOIS,IL,US,STATE,161,CASES
1929,3,ILLINOIS,IL,US,STATE,128,CASES
1929,4,ILLINOIS,IL,US,STATE,130,CASES
1929,5,ILLINOIS,IL,US,STATE,145,CASES
1929,6,ILLINOIS,IL,US,STATE,130,CASES
1929,7,ILLINOIS,IL,US,STATE,139,CASES
1929,8,ILLINOIS,IL,US,STATE,129,CASES
1929,9,ILLINOIS,IL,US,STATE,176,CASES
1929,10,ILLINOIS,IL,US,STATE,174,CASES
1929,11,ILLINOIS,IL,US,STATE,139,CASES
1929,12,ILLINOIS,IL,US,STATE,157,CASES
1929,13,ILLINOIS,IL,US,STATE,145,CASES
1929,14,ILLINOIS,IL,US,STATE,136,CASES
1929,15,ILLINOIS,IL,US,STATE,183,CASES
