year,week,loc,state,country,loc_type,number,event
1927,47,ILLINOIS,IL,US,STATE,233,CASES
1927,48,ILLINOIS,IL,US,STATE,226,CASES
1927,49,ILLINOIS,IL,US,STATE,277,CASES
1927,51,ILLINOIS,IL,US,STATE,267,CASES
1927,52,ILLINOIS,IL,US,STATE,313,CASES
1928,1,ILLINOIS,IL,US,STATE,293,CASES
1928,2,ILLINOIS,IL,US,STATE,366,CASES
1928,3,ILLINOIS,IL,US,STATE,416,CASES
1928,4,ILLINOIS,IL,US,STATE,358,CASES
1928,5,ILLINOIS,IL,US,STATE,362,CASES
1928,6,ILLINOIS,IL,US,STATE,366,CASES
1928,7,ILLINOIS,IL,US,STATE,316,CASES
1928,8,ILLINOIS,IL,US,STATE,331,CASES
1928,9,ILLINOIS,IL,US,STATE,393,CASES
1928,10,ILLINOIS,IL,US,STATE,409,CASES
1928,11,ILLINOIS,IL,US,STATE,389,CASES
1928,12,ILLINOIS,IL,US,STATE,345,CASES
1928,13,ILLINOIS,IL,US,STATE,381,CASES
1928,14,ILLINOIS,IL,US,STATE,329,CASES
1928,15,ILLINOIS,IL,US,STATE,236,CASES
1928,16,ILLINOIS,IL,US,STATE,339,CASES
1928,17,ILLINOIS,IL,US,STATE,314,CASES
1928,18,ILLINOIS,IL,US,STATE,279,CASES
1928,19,ILLINOIS,IL,US,STATE,239,CASES
1928,20,ILLINOIS,IL,US,STATE,301,CASES
1928,21,ILLINOIS,IL,US,STATE,243,CASES
1928,22,ILLINOIS,IL,US,STATE,231,CASES
1928,23,ILLINOIS,IL,US,STATE,239,CASES
1928,24,ILLINOIS,IL,US,STATE,219,CASES
1928,25,ILLINOIS,IL,US,STATE,173,CASES
1928,26,ILLINOIS,IL,US,STATE,149,CASES
1928,27,ILLINOIS,IL,US,STATE,106,CASES
1928,28,ILLINOIS,IL,US,STATE,110,CASES
1928,29,ILLINOIS,IL,US,STATE,97,CASES
1928,30,ILLINOIS,IL,US,STATE,59,CASES
1928,31,ILLINOIS,IL,US,STATE,61,CASES
1928,32,ILLINOIS,IL,US,STATE,49,CASES
1928,33,ILLINOIS,IL,US,STATE,45,CASES
1928,34,ILLINOIS,IL,US,STATE,45,CASES
1928,35,ILLINOIS,IL,US,STATE,45,CASES
1928,36,ILLINOIS,IL,US,STATE,55,CASES
1928,37,ILLINOIS,IL,US,STATE,76,CASES
1928,38,ILLINOIS,IL,US,STATE,87,CASES
1928,39,ILLINOIS,IL,US,STATE,114,CASES
1928,40,ILLINOIS,IL,US,STATE,180,CASES
1928,41,ILLINOIS,IL,US,STATE,175,CASES
1928,42,ILLINOIS,IL,US,STATE,152,CASES
1928,43,ILLINOIS,IL,US,STATE,174,CASES
1928,44,ILLINOIS,IL,US,STATE,269,CASES
1928,45,ILLINOIS,IL,US,STATE,301,CASES
1928,46,ILLINOIS,IL,US,STATE,302,CASES
1928,47,ILLINOIS,IL,US,STATE,288,CASES
1928,48,ILLINOIS,IL,US,STATE,295,CASES
1928,49,ILLINOIS,IL,US,STATE,334,CASES
1928,50,ILLINOIS,IL,US,STATE,346,CASES
1928,51,ILLINOIS,IL,US,STATE,313,CASES
1928,52,ILLINOIS,IL,US,STATE,366,CASES
1929,1,ILLINOIS,IL,US,STATE,342,CASES
1929,2,ILLINOIS,IL,US,STATE,299,CASES
1929,3,ILLINOIS,IL,US,STATE,362,CASES
1929,4,ILLINOIS,IL,US,STATE,362,CASES
