year,week,loc,state,country,loc_type,number,event
1919,45,INDIANA,IN,US,STATE,29,CASES
1919,48,INDIANA,IN,US,STATE,20,CASES
1919,49,INDIANA,IN,US,STATE,32,CASES
1919,50,INDIANA,IN,US,STATE,29,CASES
1919,51,INDIANA,IN,US,STATE,93,CASES
1919,52,INDIANA,IN,US,STATE,10,CASES
1919,53,INDIANA,IN,US,STATE,31,CASES
1920,1,INDIANA,IN,US,STATE,18,CASES
1920,2,INDIANA,IN,US,STATE,44,CASES
1927,47,INDIANA,IN,US,STATE,21,CASES
1927,48,INDIANA,IN,US,STATE,26,CASES
1927,49,INDIANA,IN,US,STATE,29,CASES
1927,51,INDIANA,IN,US,STATE,19,CASES
1927,52,INDIANA,IN,US,STATE,27,CASES
1928,1,INDIANA,IN,US,STATE,49,CASES
1928,2,INDIANA,IN,US,STATE,33,CASES
1928,3,INDIANA,IN,US,STATE,48,CASES
1928,4,INDIANA,IN,US,STATE,22,CASES
1928,5,INDIANA,IN,US,STATE,57,CASES
1928,6,INDIANA,IN,US,STATE,30,CASES
1928,7,INDIANA,IN,US,STATE,31,CASES
1928,8,INDIANA,IN,US,STATE,25,CASES
1928,9,INDIANA,IN,US,STATE,31,CASES
1928,10,INDIANA,IN,US,STATE,21,CASES
1928,11,INDIANA,IN,US,STATE,36,CASES
1928,12,INDIANA,IN,US,STATE,65,CASES
1928,13,INDIANA,IN,US,STATE,31,CASES
1928,14,INDIANA,IN,US,STATE,21,CASES
1928,15,INDIANA,IN,US,STATE,18,CASES
1928,16,INDIANA,IN,US,STATE,29,CASES
1928,17,INDIANA,IN,US,STATE,114,CASES
1928,18,INDIANA,IN,US,STATE,163,CASES
1928,19,INDIANA,IN,US,STATE,56,CASES
1928,20,INDIANA,IN,US,STATE,65,CASES
1928,21,INDIANA,IN,US,STATE,32,CASES
1928,22,INDIANA,IN,US,STATE,15,CASES
1928,23,INDIANA,IN,US,STATE,17,CASES
1928,24,INDIANA,IN,US,STATE,2,CASES
1928,25,INDIANA,IN,US,STATE,5,CASES
1928,26,INDIANA,IN,US,STATE,12,CASES
1928,27,INDIANA,IN,US,STATE,14,CASES
1928,28,INDIANA,IN,US,STATE,3,CASES
1928,29,INDIANA,IN,US,STATE,4,CASES
1928,32,INDIANA,IN,US,STATE,10,CASES
1928,33,INDIANA,IN,US,STATE,3,CASES
1928,34,INDIANA,IN,US,STATE,3,CASES
1928,35,INDIANA,IN,US,STATE,1,CASES
1928,36,INDIANA,IN,US,STATE,9,CASES
1928,37,INDIANA,IN,US,STATE,14,CASES
1928,38,INDIANA,IN,US,STATE,7,CASES
1928,39,INDIANA,IN,US,STATE,23,CASES
1928,40,INDIANA,IN,US,STATE,15,CASES
1928,41,INDIANA,IN,US,STATE,18,CASES
1928,42,INDIANA,IN,US,STATE,11,CASES
1928,43,INDIANA,IN,US,STATE,9,CASES
1928,44,INDIANA,IN,US,STATE,7,CASES
1928,45,INDIANA,IN,US,STATE,23,CASES
1928,46,INDIANA,IN,US,STATE,10,CASES
1928,47,INDIANA,IN,US,STATE,7,CASES
1928,48,INDIANA,IN,US,STATE,261,CASES
1928,49,INDIANA,IN,US,STATE,87,CASES
1928,50,INDIANA,IN,US,STATE,2280,CASES
1928,51,INDIANA,IN,US,STATE,1716,CASES
1928,52,INDIANA,IN,US,STATE,3158,CASES
1929,1,INDIANA,IN,US,STATE,1129,CASES
1929,2,INDIANA,IN,US,STATE,986,CASES
1929,3,INDIANA,IN,US,STATE,336,CASES
