year,week,loc,state,country,loc_type,number,event
1927,47,INDIANA,IN,US,STATE,14,CASES
1927,48,INDIANA,IN,US,STATE,20,CASES
1927,49,INDIANA,IN,US,STATE,50,CASES
1927,51,INDIANA,IN,US,STATE,42,CASES
1927,52,INDIANA,IN,US,STATE,28,CASES
1928,1,INDIANA,IN,US,STATE,43,CASES
1928,2,INDIANA,IN,US,STATE,87,CASES
1928,3,INDIANA,IN,US,STATE,55,CASES
1928,4,INDIANA,IN,US,STATE,132,CASES
1928,5,INDIANA,IN,US,STATE,80,CASES
1928,6,INDIANA,IN,US,STATE,162,CASES
1928,7,INDIANA,IN,US,STATE,141,CASES
1928,8,INDIANA,IN,US,STATE,151,CASES
1928,9,INDIANA,IN,US,STATE,190,CASES
1928,10,INDIANA,IN,US,STATE,175,CASES
1928,11,INDIANA,IN,US,STATE,199,CASES
1928,12,INDIANA,IN,US,STATE,280,CASES
1928,13,INDIANA,IN,US,STATE,204,CASES
1928,14,INDIANA,IN,US,STATE,272,CASES
1928,15,INDIANA,IN,US,STATE,435,CASES
1928,16,INDIANA,IN,US,STATE,313,CASES
1928,17,INDIANA,IN,US,STATE,650,CASES
1928,18,INDIANA,IN,US,STATE,603,CASES
1928,19,INDIANA,IN,US,STATE,470,CASES
1928,20,INDIANA,IN,US,STATE,680,CASES
1928,21,INDIANA,IN,US,STATE,447,CASES
1928,22,INDIANA,IN,US,STATE,477,CASES
1928,23,INDIANA,IN,US,STATE,331,CASES
1928,24,INDIANA,IN,US,STATE,345,CASES
1928,25,INDIANA,IN,US,STATE,230,CASES
1928,26,INDIANA,IN,US,STATE,196,CASES
1928,27,INDIANA,IN,US,STATE,116,CASES
1928,28,INDIANA,IN,US,STATE,68,CASES
1928,29,INDIANA,IN,US,STATE,41,CASES
1928,30,INDIANA,IN,US,STATE,22,CASES
1928,31,INDIANA,IN,US,STATE,30,CASES
1928,32,INDIANA,IN,US,STATE,18,CASES
1928,33,INDIANA,IN,US,STATE,9,CASES
1928,34,INDIANA,IN,US,STATE,3,CASES
1928,35,INDIANA,IN,US,STATE,6,CASES
1928,36,INDIANA,IN,US,STATE,4,CASES
1928,37,INDIANA,IN,US,STATE,10,CASES
1928,38,INDIANA,IN,US,STATE,2,CASES
1928,39,INDIANA,IN,US,STATE,10,CASES
1928,41,INDIANA,IN,US,STATE,11,CASES
1928,42,INDIANA,IN,US,STATE,7,CASES
1928,43,INDIANA,IN,US,STATE,12,CASES
1928,44,INDIANA,IN,US,STATE,6,CASES
1928,45,INDIANA,IN,US,STATE,51,CASES
1928,46,INDIANA,IN,US,STATE,39,CASES
1928,47,INDIANA,IN,US,STATE,43,CASES
1928,48,INDIANA,IN,US,STATE,62,CASES
1928,49,INDIANA,IN,US,STATE,75,CASES
1928,50,INDIANA,IN,US,STATE,138,CASES
1928,51,INDIANA,IN,US,STATE,114,CASES
1928,52,INDIANA,IN,US,STATE,220,CASES
1929,1,INDIANA,IN,US,STATE,117,CASES
1929,2,INDIANA,IN,US,STATE,134,CASES
1929,3,INDIANA,IN,US,STATE,141,CASES
1929,4,INDIANA,IN,US,STATE,185,CASES
1929,5,INDIANA,IN,US,STATE,225,CASES
1929,6,INDIANA,IN,US,STATE,266,CASES
1929,7,INDIANA,IN,US,STATE,358,CASES
1929,8,INDIANA,IN,US,STATE,404,CASES
1929,9,INDIANA,IN,US,STATE,419,CASES
1929,10,INDIANA,IN,US,STATE,426,CASES
1929,11,INDIANA,IN,US,STATE,439,CASES
1929,12,INDIANA,IN,US,STATE,485,CASES
1929,13,INDIANA,IN,US,STATE,568,CASES
1929,14,INDIANA,IN,US,STATE,491,CASES
1929,15,INDIANA,IN,US,STATE,616,CASES
1929,16,INDIANA,IN,US,STATE,399,CASES
1929,17,INDIANA,IN,US,STATE,423,CASES
1929,18,INDIANA,IN,US,STATE,603,CASES
1929,19,INDIANA,IN,US,STATE,563,CASES
1929,20,INDIANA,IN,US,STATE,609,CASES
1929,21,INDIANA,IN,US,STATE,600,CASES
1929,22,INDIANA,IN,US,STATE,444,CASES
1929,23,INDIANA,IN,US,STATE,466,CASES
1929,24,INDIANA,IN,US,STATE,237,CASES
1929,25,INDIANA,IN,US,STATE,196,CASES
1929,26,INDIANA,IN,US,STATE,98,CASES
