year,week,loc,state,country,loc_type,number,event
1967,27,KANSAS,KS,US,STATE,1,CASES
1968,2,KANSAS,KS,US,STATE,4,CASES
1968,3,KANSAS,KS,US,STATE,9,CASES
1968,5,KANSAS,KS,US,STATE,10,CASES
1968,6,KANSAS,KS,US,STATE,14,CASES
1968,7,KANSAS,KS,US,STATE,18,CASES
1968,9,KANSAS,KS,US,STATE,9,CASES
1968,10,KANSAS,KS,US,STATE,2,CASES
1968,11,KANSAS,KS,US,STATE,2,CASES
1968,12,KANSAS,KS,US,STATE,1,CASES
1968,13,KANSAS,KS,US,STATE,3,CASES
1968,16,KANSAS,KS,US,STATE,20,CASES
1968,19,KANSAS,KS,US,STATE,11,CASES
1968,20,KANSAS,KS,US,STATE,9,CASES
1968,25,KANSAS,KS,US,STATE,5,CASES
1968,35,KANSAS,KS,US,STATE,1,CASES
1968,39,KANSAS,KS,US,STATE,2,CASES
1968,43,KANSAS,KS,US,STATE,1,CASES
1968,47,KANSAS,KS,US,STATE,5,CASES
1968,49,KANSAS,KS,US,STATE,1,CASES
1969,3,KANSAS,KS,US,STATE,7,CASES
1969,4,KANSAS,KS,US,STATE,2,CASES
1969,10,KANSAS,KS,US,STATE,10,CASES
1969,12,KANSAS,KS,US,STATE,1,CASES
1969,13,KANSAS,KS,US,STATE,1,CASES
1969,14,KANSAS,KS,US,STATE,5,CASES
1969,15,KANSAS,KS,US,STATE,4,CASES
1969,16,KANSAS,KS,US,STATE,1,CASES
1969,18,KANSAS,KS,US,STATE,3,CASES
1969,22,KANSAS,KS,US,STATE,2,CASES
1969,23,KANSAS,KS,US,STATE,1,CASES
1969,25,KANSAS,KS,US,STATE,4,CASES
1969,30,KANSAS,KS,US,STATE,2,CASES
1969,38,KANSAS,KS,US,STATE,1,CASES
1969,41,KANSAS,KS,US,STATE,7,CASES
1969,45,KANSAS,KS,US,STATE,1,CASES
1969,47,KANSAS,KS,US,STATE,7,CASES
1969,48,KANSAS,KS,US,STATE,4,CASES
1969,50,KANSAS,KS,US,STATE,1,CASES
1970,5,KANSAS,KS,US,STATE,7,CASES
1970,8,KANSAS,KS,US,STATE,1,CASES
1970,9,KANSAS,KS,US,STATE,4,CASES
1970,10,KANSAS,KS,US,STATE,3,CASES
1970,12,KANSAS,KS,US,STATE,3,CASES
1970,15,KANSAS,KS,US,STATE,3,CASES
1970,18,KANSAS,KS,US,STATE,20,CASES
1970,20,KANSAS,KS,US,STATE,6,CASES
1970,21,KANSAS,KS,US,STATE,5,CASES
1970,22,KANSAS,KS,US,STATE,1,CASES
1970,23,KANSAS,KS,US,STATE,1,CASES
1970,25,KANSAS,KS,US,STATE,1,CASES
1970,35,KANSAS,KS,US,STATE,1,CASES
1970,45,KANSAS,KS,US,STATE,1,CASES
1970,46,KANSAS,KS,US,STATE,1,CASES
1970,49,KANSAS,KS,US,STATE,1,CASES
1970,50,KANSAS,KS,US,STATE,1,CASES
1970,51,KANSAS,KS,US,STATE,1,CASES
