year,week,loc,state,country,loc_type,number,event
1927,52,KENTUCKY,KY,US,STATE,24,CASES
1928,1,KENTUCKY,KY,US,STATE,19,CASES
1928,2,KENTUCKY,KY,US,STATE,8,CASES
1928,3,KENTUCKY,KY,US,STATE,31,CASES
1928,4,KENTUCKY,KY,US,STATE,21,CASES
1928,6,KENTUCKY,KY,US,STATE,11,CASES
1928,7,KENTUCKY,KY,US,STATE,13,CASES
1928,11,KENTUCKY,KY,US,STATE,21,CASES
1928,12,KENTUCKY,KY,US,STATE,16,CASES
1928,13,KENTUCKY,KY,US,STATE,31,CASES
1928,14,KENTUCKY,KY,US,STATE,33,CASES
1928,15,KENTUCKY,KY,US,STATE,21,CASES
1928,16,KENTUCKY,KY,US,STATE,107,CASES
1928,17,KENTUCKY,KY,US,STATE,28,CASES
1928,18,KENTUCKY,KY,US,STATE,14,CASES
1928,19,KENTUCKY,KY,US,STATE,50,CASES
1928,20,KENTUCKY,KY,US,STATE,30,CASES
1928,21,KENTUCKY,KY,US,STATE,3,CASES
1928,23,KENTUCKY,KY,US,STATE,2,CASES
1928,49,KENTUCKY,KY,US,STATE,4,CASES
1928,50,KENTUCKY,KY,US,STATE,3946,CASES
1928,51,KENTUCKY,KY,US,STATE,10100,CASES
1928,52,KENTUCKY,KY,US,STATE,10585,CASES
1929,1,KENTUCKY,KY,US,STATE,9231,CASES
1929,2,KENTUCKY,KY,US,STATE,6170,CASES
1929,3,KENTUCKY,KY,US,STATE,2734,CASES
1929,4,KENTUCKY,KY,US,STATE,575,CASES
1929,5,KENTUCKY,KY,US,STATE,402,CASES
1929,6,KENTUCKY,KY,US,STATE,229,CASES
1929,7,KENTUCKY,KY,US,STATE,30,CASES
1929,8,KENTUCKY,KY,US,STATE,14,CASES
1929,9,KENTUCKY,KY,US,STATE,30,CASES
1929,10,KENTUCKY,KY,US,STATE,32,CASES
1931,2,KENTUCKY,KY,US,STATE,2,CASES
1931,3,KENTUCKY,KY,US,STATE,14,CASES
1931,7,KENTUCKY,KY,US,STATE,31,CASES
1931,8,KENTUCKY,KY,US,STATE,9,CASES
1931,41,KENTUCKY,KY,US,STATE,45,CASES
1932,2,KENTUCKY,KY,US,STATE,127,CASES
1932,5,KENTUCKY,KY,US,STATE,209,CASES
1932,6,KENTUCKY,KY,US,STATE,361,CASES
1932,7,KENTUCKY,KY,US,STATE,226,CASES
1932,8,KENTUCKY,KY,US,STATE,435,CASES
1932,9,KENTUCKY,KY,US,STATE,653,CASES
1932,10,KENTUCKY,KY,US,STATE,384,CASES
1932,11,KENTUCKY,KY,US,STATE,1045,CASES
1932,12,KENTUCKY,KY,US,STATE,790,CASES
1932,13,KENTUCKY,KY,US,STATE,788,CASES
1932,14,KENTUCKY,KY,US,STATE,469,CASES
1932,15,KENTUCKY,KY,US,STATE,330,CASES
1932,16,KENTUCKY,KY,US,STATE,178,CASES
1932,17,KENTUCKY,KY,US,STATE,135,CASES
1932,18,KENTUCKY,KY,US,STATE,110,CASES
1932,19,KENTUCKY,KY,US,STATE,52,CASES
1932,20,KENTUCKY,KY,US,STATE,37,CASES
1932,21,KENTUCKY,KY,US,STATE,24,CASES
1932,22,KENTUCKY,KY,US,STATE,17,CASES
1932,23,KENTUCKY,KY,US,STATE,18,CASES
1932,35,KENTUCKY,KY,US,STATE,4,CASES
1932,42,KENTUCKY,KY,US,STATE,6,CASES
1932,43,KENTUCKY,KY,US,STATE,36,CASES
1932,44,KENTUCKY,KY,US,STATE,85,CASES
1932,45,KENTUCKY,KY,US,STATE,14,CASES
1932,46,KENTUCKY,KY,US,STATE,55,CASES
1932,47,KENTUCKY,KY,US,STATE,89,CASES
1932,48,KENTUCKY,KY,US,STATE,108,CASES
1932,49,KENTUCKY,KY,US,STATE,683,CASES
1932,50,KENTUCKY,KY,US,STATE,2537,CASES
1932,51,KENTUCKY,KY,US,STATE,1004,CASES
1932,52,KENTUCKY,KY,US,STATE,3064,CASES
1933,1,KENTUCKY,KY,US,STATE,4428,CASES
1933,2,KENTUCKY,KY,US,STATE,4134,CASES
1933,3,KENTUCKY,KY,US,STATE,1042,CASES
1933,4,KENTUCKY,KY,US,STATE,395,CASES
1933,5,KENTUCKY,KY,US,STATE,69,CASES
1933,6,KENTUCKY,KY,US,STATE,161,CASES
1933,7,KENTUCKY,KY,US,STATE,118,CASES
1933,8,KENTUCKY,KY,US,STATE,82,CASES
1933,9,KENTUCKY,KY,US,STATE,82,CASES
1933,10,KENTUCKY,KY,US,STATE,77,CASES
1933,11,KENTUCKY,KY,US,STATE,51,CASES
1933,12,KENTUCKY,KY,US,STATE,53,CASES
1933,13,KENTUCKY,KY,US,STATE,24,CASES
1933,14,KENTUCKY,KY,US,STATE,35,CASES
1933,15,KENTUCKY,KY,US,STATE,26,CASES
1933,16,KENTUCKY,KY,US,STATE,25,CASES
1933,18,KENTUCKY,KY,US,STATE,22,CASES
1933,19,KENTUCKY,KY,US,STATE,12,CASES
1933,20,KENTUCKY,KY,US,STATE,6,CASES
1933,21,KENTUCKY,KY,US,STATE,20,CASES
1933,22,KENTUCKY,KY,US,STATE,16,CASES
1933,23,KENTUCKY,KY,US,STATE,9,CASES
1933,24,KENTUCKY,KY,US,STATE,9,CASES
1933,34,KENTUCKY,KY,US,STATE,15,CASES
1933,40,KENTUCKY,KY,US,STATE,23,CASES
1933,43,KENTUCKY,KY,US,STATE,38,CASES
1933,44,KENTUCKY,KY,US,STATE,10,CASES
1933,45,KENTUCKY,KY,US,STATE,19,CASES
1933,48,KENTUCKY,KY,US,STATE,35,CASES
1933,50,KENTUCKY,KY,US,STATE,25,CASES
1933,51,KENTUCKY,KY,US,STATE,4,CASES
1933,52,KENTUCKY,KY,US,STATE,12,CASES
1934,1,KENTUCKY,KY,US,STATE,8,CASES
1934,2,KENTUCKY,KY,US,STATE,7,CASES
1934,3,KENTUCKY,KY,US,STATE,4,CASES
1934,4,KENTUCKY,KY,US,STATE,7,CASES
1934,5,KENTUCKY,KY,US,STATE,42,CASES
1934,6,KENTUCKY,KY,US,STATE,31,CASES
1934,7,KENTUCKY,KY,US,STATE,67,CASES
1934,8,KENTUCKY,KY,US,STATE,108,CASES
1934,9,KENTUCKY,KY,US,STATE,44,CASES
1934,10,KENTUCKY,KY,US,STATE,113,CASES
1934,11,KENTUCKY,KY,US,STATE,69,CASES
1934,12,KENTUCKY,KY,US,STATE,49,CASES
1934,13,KENTUCKY,KY,US,STATE,47,CASES
1934,14,KENTUCKY,KY,US,STATE,32,CASES
1934,15,KENTUCKY,KY,US,STATE,20,CASES
1934,16,KENTUCKY,KY,US,STATE,6,CASES
1934,17,KENTUCKY,KY,US,STATE,31,CASES
1934,18,KENTUCKY,KY,US,STATE,8,CASES
1934,19,KENTUCKY,KY,US,STATE,13,CASES
1934,20,KENTUCKY,KY,US,STATE,8,CASES
1934,21,KENTUCKY,KY,US,STATE,10,CASES
1934,22,KENTUCKY,KY,US,STATE,9,CASES
1934,23,KENTUCKY,KY,US,STATE,5,CASES
1934,26,KENTUCKY,KY,US,STATE,1,CASES
1934,27,KENTUCKY,KY,US,STATE,31,CASES
1934,28,KENTUCKY,KY,US,STATE,5,CASES
1934,29,KENTUCKY,KY,US,STATE,31,CASES
1934,40,KENTUCKY,KY,US,STATE,34,CASES
1934,42,KENTUCKY,KY,US,STATE,12,CASES
1934,43,KENTUCKY,KY,US,STATE,11,CASES
1934,44,KENTUCKY,KY,US,STATE,17,CASES
1934,45,KENTUCKY,KY,US,STATE,12,CASES
1934,46,KENTUCKY,KY,US,STATE,33,CASES
1934,47,KENTUCKY,KY,US,STATE,32,CASES
1934,48,KENTUCKY,KY,US,STATE,46,CASES
1934,49,KENTUCKY,KY,US,STATE,38,CASES
1934,50,KENTUCKY,KY,US,STATE,38,CASES
1934,51,KENTUCKY,KY,US,STATE,34,CASES
1934,52,KENTUCKY,KY,US,STATE,23,CASES
1935,1,KENTUCKY,KY,US,STATE,209,CASES
1935,2,KENTUCKY,KY,US,STATE,316,CASES
1935,3,KENTUCKY,KY,US,STATE,209,CASES
1935,4,KENTUCKY,KY,US,STATE,156,CASES
1935,5,KENTUCKY,KY,US,STATE,195,CASES
1935,6,KENTUCKY,KY,US,STATE,383,CASES
1935,7,KENTUCKY,KY,US,STATE,99,CASES
1935,8,KENTUCKY,KY,US,STATE,419,CASES
1935,9,KENTUCKY,KY,US,STATE,117,CASES
1935,10,KENTUCKY,KY,US,STATE,103,CASES
1935,11,KENTUCKY,KY,US,STATE,78,CASES
1935,12,KENTUCKY,KY,US,STATE,100,CASES
1935,13,KENTUCKY,KY,US,STATE,102,CASES
1935,14,KENTUCKY,KY,US,STATE,36,CASES
1935,15,KENTUCKY,KY,US,STATE,21,CASES
1935,16,KENTUCKY,KY,US,STATE,20,CASES
1935,17,KENTUCKY,KY,US,STATE,4,CASES
1935,18,KENTUCKY,KY,US,STATE,9,CASES
1935,19,KENTUCKY,KY,US,STATE,10,CASES
1935,20,KENTUCKY,KY,US,STATE,24,CASES
1935,21,KENTUCKY,KY,US,STATE,9,CASES
1935,22,KENTUCKY,KY,US,STATE,5,CASES
1935,23,KENTUCKY,KY,US,STATE,2,CASES
1935,24,KENTUCKY,KY,US,STATE,3,CASES
1935,25,KENTUCKY,KY,US,STATE,3,CASES
1935,26,KENTUCKY,KY,US,STATE,2,CASES
1935,27,KENTUCKY,KY,US,STATE,7,CASES
1935,28,KENTUCKY,KY,US,STATE,4,CASES
1935,33,KENTUCKY,KY,US,STATE,43,CASES
1935,35,KENTUCKY,KY,US,STATE,3,CASES
1935,36,KENTUCKY,KY,US,STATE,3,CASES
1935,37,KENTUCKY,KY,US,STATE,7,CASES
1935,38,KENTUCKY,KY,US,STATE,2,CASES
1935,39,KENTUCKY,KY,US,STATE,2,CASES
1935,40,KENTUCKY,KY,US,STATE,5,CASES
1935,41,KENTUCKY,KY,US,STATE,10,CASES
1935,42,KENTUCKY,KY,US,STATE,10,CASES
1935,43,KENTUCKY,KY,US,STATE,9,CASES
1935,44,KENTUCKY,KY,US,STATE,14,CASES
1935,45,KENTUCKY,KY,US,STATE,6,CASES
1935,46,KENTUCKY,KY,US,STATE,1,CASES
1935,47,KENTUCKY,KY,US,STATE,17,CASES
1935,48,KENTUCKY,KY,US,STATE,9,CASES
1935,49,KENTUCKY,KY,US,STATE,34,CASES
1935,50,KENTUCKY,KY,US,STATE,24,CASES
1935,51,KENTUCKY,KY,US,STATE,37,CASES
1935,52,KENTUCKY,KY,US,STATE,10,CASES
1936,1,KENTUCKY,KY,US,STATE,13,CASES
1936,2,KENTUCKY,KY,US,STATE,79,CASES
1936,3,KENTUCKY,KY,US,STATE,24,CASES
1936,4,KENTUCKY,KY,US,STATE,33,CASES
1936,5,KENTUCKY,KY,US,STATE,62,CASES
1936,6,KENTUCKY,KY,US,STATE,101,CASES
1936,7,KENTUCKY,KY,US,STATE,62,CASES
1936,8,KENTUCKY,KY,US,STATE,104,CASES
1936,9,KENTUCKY,KY,US,STATE,80,CASES
1936,10,KENTUCKY,KY,US,STATE,73,CASES
1936,11,KENTUCKY,KY,US,STATE,93,CASES
1936,12,KENTUCKY,KY,US,STATE,190,CASES
1936,13,KENTUCKY,KY,US,STATE,167,CASES
1936,14,KENTUCKY,KY,US,STATE,202,CASES
1936,15,KENTUCKY,KY,US,STATE,312,CASES
1936,16,KENTUCKY,KY,US,STATE,262,CASES
1936,17,KENTUCKY,KY,US,STATE,278,CASES
1936,18,KENTUCKY,KY,US,STATE,119,CASES
1936,19,KENTUCKY,KY,US,STATE,101,CASES
1936,20,KENTUCKY,KY,US,STATE,58,CASES
1936,21,KENTUCKY,KY,US,STATE,30,CASES
1936,22,KENTUCKY,KY,US,STATE,2,CASES
1936,23,KENTUCKY,KY,US,STATE,12,CASES
1936,24,KENTUCKY,KY,US,STATE,11,CASES
1936,25,KENTUCKY,KY,US,STATE,8,CASES
1936,26,KENTUCKY,KY,US,STATE,3,CASES
1936,27,KENTUCKY,KY,US,STATE,1,CASES
1936,28,KENTUCKY,KY,US,STATE,1,CASES
1936,30,KENTUCKY,KY,US,STATE,2,CASES
1936,31,KENTUCKY,KY,US,STATE,1,CASES
1936,35,KENTUCKY,KY,US,STATE,12,CASES
1936,36,KENTUCKY,KY,US,STATE,5,CASES
1936,39,KENTUCKY,KY,US,STATE,1,CASES
1936,41,KENTUCKY,KY,US,STATE,13,CASES
1936,42,KENTUCKY,KY,US,STATE,9,CASES
1936,43,KENTUCKY,KY,US,STATE,12,CASES
1936,44,KENTUCKY,KY,US,STATE,17,CASES
1936,45,KENTUCKY,KY,US,STATE,10,CASES
1936,46,KENTUCKY,KY,US,STATE,15,CASES
1936,47,KENTUCKY,KY,US,STATE,16,CASES
1936,48,KENTUCKY,KY,US,STATE,17,CASES
1936,49,KENTUCKY,KY,US,STATE,15,CASES
1936,50,KENTUCKY,KY,US,STATE,29,CASES
1936,51,KENTUCKY,KY,US,STATE,31,CASES
1936,52,KENTUCKY,KY,US,STATE,15,CASES
1936,53,KENTUCKY,KY,US,STATE,57,CASES
1937,2,KENTUCKY,KY,US,STATE,399,CASES
1937,6,KENTUCKY,KY,US,STATE,376,CASES
1937,7,KENTUCKY,KY,US,STATE,521,CASES
1937,8,KENTUCKY,KY,US,STATE,493,CASES
1937,9,KENTUCKY,KY,US,STATE,508,CASES
1937,10,KENTUCKY,KY,US,STATE,179,CASES
1937,11,KENTUCKY,KY,US,STATE,119,CASES
1937,12,KENTUCKY,KY,US,STATE,79,CASES
1937,13,KENTUCKY,KY,US,STATE,17,CASES
1937,14,KENTUCKY,KY,US,STATE,21,CASES
1937,15,KENTUCKY,KY,US,STATE,34,CASES
1937,16,KENTUCKY,KY,US,STATE,15,CASES
1937,17,KENTUCKY,KY,US,STATE,16,CASES
1937,18,KENTUCKY,KY,US,STATE,16,CASES
1937,19,KENTUCKY,KY,US,STATE,5,CASES
1937,20,KENTUCKY,KY,US,STATE,8,CASES
1937,22,KENTUCKY,KY,US,STATE,8,CASES
1937,23,KENTUCKY,KY,US,STATE,1,CASES
1937,24,KENTUCKY,KY,US,STATE,5,CASES
1937,25,KENTUCKY,KY,US,STATE,3,CASES
1937,27,KENTUCKY,KY,US,STATE,1,CASES
1937,28,KENTUCKY,KY,US,STATE,2,CASES
1937,29,KENTUCKY,KY,US,STATE,3,CASES
1937,30,KENTUCKY,KY,US,STATE,1,CASES
1937,31,KENTUCKY,KY,US,STATE,1,CASES
1937,33,KENTUCKY,KY,US,STATE,3,CASES
