year,week,loc,state,country,loc_type,number,event
1981,49,LOUISIANA,LA,US,STATE,0,CASES
2008,31,LOUISIANA,LA,US,STATE,1,CASES
2009,1,LOUISIANA,LA,US,STATE,1,CASES
2009,2,LOUISIANA,LA,US,STATE,1,CASES
2009,4,LOUISIANA,LA,US,STATE,1,CASES
2009,10,LOUISIANA,LA,US,STATE,1,CASES
2009,12,LOUISIANA,LA,US,STATE,1,CASES
2009,15,LOUISIANA,LA,US,STATE,2,CASES
2009,17,LOUISIANA,LA,US,STATE,3,CASES
2009,18,LOUISIANA,LA,US,STATE,1,CASES
2009,26,LOUISIANA,LA,US,STATE,2,CASES
2009,27,LOUISIANA,LA,US,STATE,1,CASES
2009,29,LOUISIANA,LA,US,STATE,1,CASES
2009,35,LOUISIANA,LA,US,STATE,1,CASES
2007,1,LOUISIANA,LA,US,STATE,1,CASES
2007,4,LOUISIANA,LA,US,STATE,2,CASES
2007,18,LOUISIANA,LA,US,STATE,1,CASES
2007,50,LOUISIANA,LA,US,STATE,3,CASES
2010,20,LOUISIANA,LA,US,STATE,1,CASES
2011,4,LOUISIANA,LA,US,STATE,1,CASES
2011,38,LOUISIANA,LA,US,STATE,1,CASES
2011,39,LOUISIANA,LA,US,STATE,1,CASES
2013,3,LOUISIANA,LA,US,STATE,1,CASES
2013,5,LOUISIANA,LA,US,STATE,1,CASES
2013,22,LOUISIANA,LA,US,STATE,1,CASES
2013,24,LOUISIANA,LA,US,STATE,1,CASES
2013,30,LOUISIANA,LA,US,STATE,2,CASES
2013,31,LOUISIANA,LA,US,STATE,1,CASES
