year,week,loc,state,country,loc_type,number,event
1927,47,MASSACHUSETTS,MA,US,STATE,296,CASES
1927,48,MASSACHUSETTS,MA,US,STATE,516,CASES
1927,49,MASSACHUSETTS,MA,US,STATE,540,CASES
1927,51,MASSACHUSETTS,MA,US,STATE,535,CASES
1927,52,MASSACHUSETTS,MA,US,STATE,648,CASES
1928,1,MASSACHUSETTS,MA,US,STATE,1082,CASES
1928,2,MASSACHUSETTS,MA,US,STATE,1202,CASES
1928,3,MASSACHUSETTS,MA,US,STATE,1466,CASES
1928,4,MASSACHUSETTS,MA,US,STATE,1319,CASES
1928,5,MASSACHUSETTS,MA,US,STATE,1486,CASES
1928,6,MASSACHUSETTS,MA,US,STATE,1598,CASES
1928,7,MASSACHUSETTS,MA,US,STATE,1833,CASES
1928,8,MASSACHUSETTS,MA,US,STATE,1691,CASES
1928,9,MASSACHUSETTS,MA,US,STATE,1993,CASES
1928,10,MASSACHUSETTS,MA,US,STATE,1655,CASES
1928,11,MASSACHUSETTS,MA,US,STATE,1860,CASES
1928,12,MASSACHUSETTS,MA,US,STATE,1869,CASES
1928,13,MASSACHUSETTS,MA,US,STATE,1930,CASES
1928,14,MASSACHUSETTS,MA,US,STATE,1948,CASES
1928,15,MASSACHUSETTS,MA,US,STATE,1573,CASES
1928,16,MASSACHUSETTS,MA,US,STATE,1384,CASES
1928,17,MASSACHUSETTS,MA,US,STATE,1397,CASES
1928,18,MASSACHUSETTS,MA,US,STATE,1277,CASES
1928,19,MASSACHUSETTS,MA,US,STATE,1002,CASES
1928,20,MASSACHUSETTS,MA,US,STATE,782,CASES
1928,21,MASSACHUSETTS,MA,US,STATE,937,CASES
1928,22,MASSACHUSETTS,MA,US,STATE,720,CASES
1928,23,MASSACHUSETTS,MA,US,STATE,767,CASES
1928,24,MASSACHUSETTS,MA,US,STATE,687,CASES
1928,25,MASSACHUSETTS,MA,US,STATE,614,CASES
1928,26,MASSACHUSETTS,MA,US,STATE,524,CASES
1928,27,MASSACHUSETTS,MA,US,STATE,429,CASES
1928,28,MASSACHUSETTS,MA,US,STATE,384,CASES
1928,29,MASSACHUSETTS,MA,US,STATE,270,CASES
1928,30,MASSACHUSETTS,MA,US,STATE,218,CASES
1928,31,MASSACHUSETTS,MA,US,STATE,133,CASES
1928,32,MASSACHUSETTS,MA,US,STATE,90,CASES
1928,34,MASSACHUSETTS,MA,US,STATE,46,CASES
1928,35,MASSACHUSETTS,MA,US,STATE,42,CASES
1928,36,MASSACHUSETTS,MA,US,STATE,23,CASES
1928,37,MASSACHUSETTS,MA,US,STATE,34,CASES
1928,38,MASSACHUSETTS,MA,US,STATE,43,CASES
1928,39,MASSACHUSETTS,MA,US,STATE,50,CASES
1928,41,MASSACHUSETTS,MA,US,STATE,85,CASES
1928,42,MASSACHUSETTS,MA,US,STATE,243,CASES
1928,43,MASSACHUSETTS,MA,US,STATE,199,CASES
1928,44,MASSACHUSETTS,MA,US,STATE,307,CASES
1928,45,MASSACHUSETTS,MA,US,STATE,232,CASES
1928,46,MASSACHUSETTS,MA,US,STATE,380,CASES
1928,47,MASSACHUSETTS,MA,US,STATE,485,CASES
1928,48,MASSACHUSETTS,MA,US,STATE,482,CASES
1928,49,MASSACHUSETTS,MA,US,STATE,637,CASES
1928,50,MASSACHUSETTS,MA,US,STATE,645,CASES
1928,51,MASSACHUSETTS,MA,US,STATE,617,CASES
1928,52,MASSACHUSETTS,MA,US,STATE,650,CASES
1929,1,MASSACHUSETTS,MA,US,STATE,585,CASES
1929,2,MASSACHUSETTS,MA,US,STATE,792,CASES
1929,3,MASSACHUSETTS,MA,US,STATE,532,CASES
1929,4,MASSACHUSETTS,MA,US,STATE,630,CASES
1929,5,MASSACHUSETTS,MA,US,STATE,393,CASES
1929,6,MASSACHUSETTS,MA,US,STATE,442,CASES
1929,7,MASSACHUSETTS,MA,US,STATE,378,CASES
1929,8,MASSACHUSETTS,MA,US,STATE,285,CASES
1929,9,MASSACHUSETTS,MA,US,STATE,350,CASES
1929,10,MASSACHUSETTS,MA,US,STATE,365,CASES
1929,11,MASSACHUSETTS,MA,US,STATE,360,CASES
1929,12,MASSACHUSETTS,MA,US,STATE,387,CASES
1929,13,MASSACHUSETTS,MA,US,STATE,331,CASES
