year,week,loc,state,country,loc_type,number,event
1927,47,MASSACHUSETTS,MA,US,STATE,170,CASES
1927,48,MASSACHUSETTS,MA,US,STATE,279,CASES
1927,49,MASSACHUSETTS,MA,US,STATE,266,CASES
1927,51,MASSACHUSETTS,MA,US,STATE,227,CASES
1927,52,MASSACHUSETTS,MA,US,STATE,286,CASES
1928,1,MASSACHUSETTS,MA,US,STATE,294,CASES
1928,2,MASSACHUSETTS,MA,US,STATE,364,CASES
1928,3,MASSACHUSETTS,MA,US,STATE,383,CASES
1928,4,MASSACHUSETTS,MA,US,STATE,333,CASES
1928,5,MASSACHUSETTS,MA,US,STATE,324,CASES
1928,6,MASSACHUSETTS,MA,US,STATE,356,CASES
1928,7,MASSACHUSETTS,MA,US,STATE,327,CASES
1928,8,MASSACHUSETTS,MA,US,STATE,326,CASES
1928,9,MASSACHUSETTS,MA,US,STATE,332,CASES
1928,10,MASSACHUSETTS,MA,US,STATE,329,CASES
1928,11,MASSACHUSETTS,MA,US,STATE,316,CASES
1928,12,MASSACHUSETTS,MA,US,STATE,317,CASES
1928,13,MASSACHUSETTS,MA,US,STATE,309,CASES
1928,14,MASSACHUSETTS,MA,US,STATE,316,CASES
1928,15,MASSACHUSETTS,MA,US,STATE,294,CASES
1928,16,MASSACHUSETTS,MA,US,STATE,244,CASES
1928,17,MASSACHUSETTS,MA,US,STATE,240,CASES
1928,18,MASSACHUSETTS,MA,US,STATE,292,CASES
1928,19,MASSACHUSETTS,MA,US,STATE,242,CASES
1928,20,MASSACHUSETTS,MA,US,STATE,215,CASES
1928,21,MASSACHUSETTS,MA,US,STATE,244,CASES
1928,22,MASSACHUSETTS,MA,US,STATE,178,CASES
1928,23,MASSACHUSETTS,MA,US,STATE,201,CASES
1928,24,MASSACHUSETTS,MA,US,STATE,209,CASES
1928,25,MASSACHUSETTS,MA,US,STATE,135,CASES
1928,26,MASSACHUSETTS,MA,US,STATE,166,CASES
1928,27,MASSACHUSETTS,MA,US,STATE,96,CASES
1928,28,MASSACHUSETTS,MA,US,STATE,95,CASES
1928,29,MASSACHUSETTS,MA,US,STATE,50,CASES
1928,30,MASSACHUSETTS,MA,US,STATE,46,CASES
1928,31,MASSACHUSETTS,MA,US,STATE,84,CASES
1928,32,MASSACHUSETTS,MA,US,STATE,47,CASES
1928,34,MASSACHUSETTS,MA,US,STATE,37,CASES
1928,35,MASSACHUSETTS,MA,US,STATE,58,CASES
1928,36,MASSACHUSETTS,MA,US,STATE,70,CASES
1928,37,MASSACHUSETTS,MA,US,STATE,81,CASES
1928,38,MASSACHUSETTS,MA,US,STATE,54,CASES
1928,39,MASSACHUSETTS,MA,US,STATE,99,CASES
1928,40,MASSACHUSETTS,MA,US,STATE,111,CASES
1928,41,MASSACHUSETTS,MA,US,STATE,104,CASES
1928,42,MASSACHUSETTS,MA,US,STATE,151,CASES
1928,43,MASSACHUSETTS,MA,US,STATE,103,CASES
1928,44,MASSACHUSETTS,MA,US,STATE,139,CASES
1928,45,MASSACHUSETTS,MA,US,STATE,180,CASES
1928,46,MASSACHUSETTS,MA,US,STATE,182,CASES
1928,47,MASSACHUSETTS,MA,US,STATE,202,CASES
1928,48,MASSACHUSETTS,MA,US,STATE,173,CASES
1928,49,MASSACHUSETTS,MA,US,STATE,232,CASES
1928,50,MASSACHUSETTS,MA,US,STATE,251,CASES
1928,51,MASSACHUSETTS,MA,US,STATE,202,CASES
1928,52,MASSACHUSETTS,MA,US,STATE,262,CASES
1929,1,MASSACHUSETTS,MA,US,STATE,297,CASES
1929,2,MASSACHUSETTS,MA,US,STATE,262,CASES
1929,3,MASSACHUSETTS,MA,US,STATE,255,CASES
1929,4,MASSACHUSETTS,MA,US,STATE,272,CASES
1929,5,MASSACHUSETTS,MA,US,STATE,266,CASES
1929,6,MASSACHUSETTS,MA,US,STATE,278,CASES
1929,7,MASSACHUSETTS,MA,US,STATE,267,CASES
1929,8,MASSACHUSETTS,MA,US,STATE,240,CASES
1929,9,MASSACHUSETTS,MA,US,STATE,304,CASES
1929,10,MASSACHUSETTS,MA,US,STATE,283,CASES
1929,11,MASSACHUSETTS,MA,US,STATE,381,CASES
1929,12,MASSACHUSETTS,MA,US,STATE,326,CASES
1929,13,MASSACHUSETTS,MA,US,STATE,307,CASES
1929,14,MASSACHUSETTS,MA,US,STATE,303,CASES
1929,15,MASSACHUSETTS,MA,US,STATE,308,CASES
1929,16,MASSACHUSETTS,MA,US,STATE,331,CASES
1929,17,MASSACHUSETTS,MA,US,STATE,266,CASES
1929,18,MASSACHUSETTS,MA,US,STATE,268,CASES
1929,19,MASSACHUSETTS,MA,US,STATE,198,CASES
1929,20,MASSACHUSETTS,MA,US,STATE,215,CASES
1929,21,MASSACHUSETTS,MA,US,STATE,245,CASES
1929,22,MASSACHUSETTS,MA,US,STATE,200,CASES
1929,23,MASSACHUSETTS,MA,US,STATE,180,CASES
1929,24,MASSACHUSETTS,MA,US,STATE,181,CASES
1929,25,MASSACHUSETTS,MA,US,STATE,148,CASES
1929,26,MASSACHUSETTS,MA,US,STATE,106,CASES
1929,27,MASSACHUSETTS,MA,US,STATE,77,CASES
1929,28,MASSACHUSETTS,MA,US,STATE,78,CASES
1929,29,MASSACHUSETTS,MA,US,STATE,67,CASES
1929,30,MASSACHUSETTS,MA,US,STATE,47,CASES
1929,31,MASSACHUSETTS,MA,US,STATE,64,CASES
1929,32,MASSACHUSETTS,MA,US,STATE,44,CASES
1929,33,MASSACHUSETTS,MA,US,STATE,45,CASES
1929,34,MASSACHUSETTS,MA,US,STATE,44,CASES
1929,35,MASSACHUSETTS,MA,US,STATE,38,CASES
1929,36,MASSACHUSETTS,MA,US,STATE,55,CASES
1929,37,MASSACHUSETTS,MA,US,STATE,64,CASES
1929,38,MASSACHUSETTS,MA,US,STATE,63,CASES
1929,39,MASSACHUSETTS,MA,US,STATE,81,CASES
1929,40,MASSACHUSETTS,MA,US,STATE,108,CASES
1929,41,MASSACHUSETTS,MA,US,STATE,100,CASES
1929,42,MASSACHUSETTS,MA,US,STATE,156,CASES
1929,43,MASSACHUSETTS,MA,US,STATE,175,CASES
1929,44,MASSACHUSETTS,MA,US,STATE,156,CASES
1929,45,MASSACHUSETTS,MA,US,STATE,235,CASES
1929,46,MASSACHUSETTS,MA,US,STATE,213,CASES
1929,47,MASSACHUSETTS,MA,US,STATE,188,CASES
1929,48,MASSACHUSETTS,MA,US,STATE,193,CASES
1929,49,MASSACHUSETTS,MA,US,STATE,235,CASES
1929,50,MASSACHUSETTS,MA,US,STATE,299,CASES
1929,51,MASSACHUSETTS,MA,US,STATE,255,CASES
1929,52,MASSACHUSETTS,MA,US,STATE,293,CASES
1930,1,MASSACHUSETTS,MA,US,STATE,298,CASES
1930,2,MASSACHUSETTS,MA,US,STATE,349,CASES
1930,3,MASSACHUSETTS,MA,US,STATE,354,CASES
1930,4,MASSACHUSETTS,MA,US,STATE,349,CASES
1930,5,MASSACHUSETTS,MA,US,STATE,283,CASES
1930,6,MASSACHUSETTS,MA,US,STATE,310,CASES
1930,7,MASSACHUSETTS,MA,US,STATE,302,CASES
1930,8,MASSACHUSETTS,MA,US,STATE,256,CASES
1930,9,MASSACHUSETTS,MA,US,STATE,304,CASES
1930,10,MASSACHUSETTS,MA,US,STATE,284,CASES
1930,11,MASSACHUSETTS,MA,US,STATE,274,CASES
1930,12,MASSACHUSETTS,MA,US,STATE,269,CASES
1930,13,MASSACHUSETTS,MA,US,STATE,274,CASES
1930,14,MASSACHUSETTS,MA,US,STATE,294,CASES
1930,15,MASSACHUSETTS,MA,US,STATE,292,CASES
1930,16,MASSACHUSETTS,MA,US,STATE,232,CASES
1930,17,MASSACHUSETTS,MA,US,STATE,297,CASES
1930,18,MASSACHUSETTS,MA,US,STATE,235,CASES
1930,19,MASSACHUSETTS,MA,US,STATE,191,CASES
1930,20,MASSACHUSETTS,MA,US,STATE,214,CASES
1930,21,MASSACHUSETTS,MA,US,STATE,239,CASES
1930,22,MASSACHUSETTS,MA,US,STATE,205,CASES
1930,23,MASSACHUSETTS,MA,US,STATE,218,CASES
1930,24,MASSACHUSETTS,MA,US,STATE,150,CASES
1930,25,MASSACHUSETTS,MA,US,STATE,102,CASES
1930,26,MASSACHUSETTS,MA,US,STATE,112,CASES
1930,27,MASSACHUSETTS,MA,US,STATE,60,CASES
1930,28,MASSACHUSETTS,MA,US,STATE,73,CASES
1930,29,MASSACHUSETTS,MA,US,STATE,50,CASES
1930,30,MASSACHUSETTS,MA,US,STATE,50,CASES
1930,31,MASSACHUSETTS,MA,US,STATE,41,CASES
1930,32,MASSACHUSETTS,MA,US,STATE,48,CASES
1930,33,MASSACHUSETTS,MA,US,STATE,45,CASES
1930,34,MASSACHUSETTS,MA,US,STATE,42,CASES
1930,35,MASSACHUSETTS,MA,US,STATE,42,CASES
1930,36,MASSACHUSETTS,MA,US,STATE,40,CASES
1930,37,MASSACHUSETTS,MA,US,STATE,55,CASES
1930,38,MASSACHUSETTS,MA,US,STATE,59,CASES
1930,39,MASSACHUSETTS,MA,US,STATE,72,CASES
1930,40,MASSACHUSETTS,MA,US,STATE,67,CASES
1930,41,MASSACHUSETTS,MA,US,STATE,87,CASES
1930,42,MASSACHUSETTS,MA,US,STATE,82,CASES
1930,43,MASSACHUSETTS,MA,US,STATE,105,CASES
1930,44,MASSACHUSETTS,MA,US,STATE,128,CASES
1930,45,MASSACHUSETTS,MA,US,STATE,153,CASES
1930,46,MASSACHUSETTS,MA,US,STATE,164,CASES
