year,week,loc,state,country,loc_type,number,event
1932,44,MARYLAND,MD,US,STATE,0,CASES
1937,43,MARYLAND,MD,US,STATE,70,CASES
1937,44,MARYLAND,MD,US,STATE,65,CASES
1937,45,MARYLAND,MD,US,STATE,65,CASES
1937,46,MARYLAND,MD,US,STATE,100,CASES
1937,47,MARYLAND,MD,US,STATE,68,CASES
1937,48,MARYLAND,MD,US,STATE,76,CASES
1937,49,MARYLAND,MD,US,STATE,48,CASES
1937,50,MARYLAND,MD,US,STATE,59,CASES
1937,51,MARYLAND,MD,US,STATE,57,CASES
1938,1,MARYLAND,MD,US,STATE,55,CASES
1938,2,MARYLAND,MD,US,STATE,45,CASES
1938,3,MARYLAND,MD,US,STATE,62,CASES
1938,4,MARYLAND,MD,US,STATE,44,CASES
1938,5,MARYLAND,MD,US,STATE,64,CASES
1938,6,MARYLAND,MD,US,STATE,71,CASES
1938,7,MARYLAND,MD,US,STATE,64,CASES
1938,8,MARYLAND,MD,US,STATE,48,CASES
1938,9,MARYLAND,MD,US,STATE,86,CASES
1938,10,MARYLAND,MD,US,STATE,45,CASES
1938,11,MARYLAND,MD,US,STATE,70,CASES
1938,12,MARYLAND,MD,US,STATE,52,CASES
1938,13,MARYLAND,MD,US,STATE,94,CASES
1938,14,MARYLAND,MD,US,STATE,59,CASES
1938,15,MARYLAND,MD,US,STATE,44,CASES
1938,16,MARYLAND,MD,US,STATE,48,CASES
1938,17,MARYLAND,MD,US,STATE,61,CASES
1938,18,MARYLAND,MD,US,STATE,64,CASES
1938,19,MARYLAND,MD,US,STATE,70,CASES
1938,20,MARYLAND,MD,US,STATE,62,CASES
1938,21,MARYLAND,MD,US,STATE,57,CASES
1938,22,MARYLAND,MD,US,STATE,47,CASES
1938,23,MARYLAND,MD,US,STATE,46,CASES
1938,24,MARYLAND,MD,US,STATE,57,CASES
1938,25,MARYLAND,MD,US,STATE,174,CASES
1938,26,MARYLAND,MD,US,STATE,174,CASES
1938,27,MARYLAND,MD,US,STATE,112,CASES
1938,28,MARYLAND,MD,US,STATE,152,CASES
1938,29,MARYLAND,MD,US,STATE,124,CASES
1938,30,MARYLAND,MD,US,STATE,75,CASES
1938,31,MARYLAND,MD,US,STATE,115,CASES
1938,32,MARYLAND,MD,US,STATE,112,CASES
1938,33,MARYLAND,MD,US,STATE,106,CASES
1938,34,MARYLAND,MD,US,STATE,93,CASES
1938,35,MARYLAND,MD,US,STATE,71,CASES
1938,36,MARYLAND,MD,US,STATE,53,CASES
1938,37,MARYLAND,MD,US,STATE,121,CASES
1938,38,MARYLAND,MD,US,STATE,29,CASES
1938,39,MARYLAND,MD,US,STATE,16,CASES
1938,40,MARYLAND,MD,US,STATE,78,CASES
1938,41,MARYLAND,MD,US,STATE,21,CASES
1938,42,MARYLAND,MD,US,STATE,37,CASES
1938,43,MARYLAND,MD,US,STATE,21,CASES
1938,44,MARYLAND,MD,US,STATE,115,CASES
1938,45,MARYLAND,MD,US,STATE,16,CASES
1938,46,MARYLAND,MD,US,STATE,106,CASES
1938,47,MARYLAND,MD,US,STATE,96,CASES
1938,48,MARYLAND,MD,US,STATE,96,CASES
1938,49,MARYLAND,MD,US,STATE,149,CASES
1938,50,MARYLAND,MD,US,STATE,102,CASES
1938,51,MARYLAND,MD,US,STATE,23,CASES
1938,52,MARYLAND,MD,US,STATE,33,CASES
1939,1,MARYLAND,MD,US,STATE,108,CASES
1939,2,MARYLAND,MD,US,STATE,127,CASES
1939,3,MARYLAND,MD,US,STATE,179,CASES
1939,4,MARYLAND,MD,US,STATE,96,CASES
1939,5,MARYLAND,MD,US,STATE,28,CASES
1939,6,MARYLAND,MD,US,STATE,42,CASES
1939,7,MARYLAND,MD,US,STATE,33,CASES
1939,8,MARYLAND,MD,US,STATE,20,CASES
1939,9,MARYLAND,MD,US,STATE,23,CASES
1939,10,MARYLAND,MD,US,STATE,14,CASES
1939,11,MARYLAND,MD,US,STATE,33,CASES
1939,12,MARYLAND,MD,US,STATE,21,CASES
1939,13,MARYLAND,MD,US,STATE,19,CASES
1939,14,MARYLAND,MD,US,STATE,25,CASES
1939,15,MARYLAND,MD,US,STATE,23,CASES
1939,16,MARYLAND,MD,US,STATE,59,CASES
1939,17,MARYLAND,MD,US,STATE,77,CASES
1939,18,MARYLAND,MD,US,STATE,24,CASES
1939,19,MARYLAND,MD,US,STATE,43,CASES
1939,20,MARYLAND,MD,US,STATE,89,CASES
1939,21,MARYLAND,MD,US,STATE,40,CASES
1939,22,MARYLAND,MD,US,STATE,35,CASES
1939,23,MARYLAND,MD,US,STATE,31,CASES
1939,24,MARYLAND,MD,US,STATE,142,CASES
1939,25,MARYLAND,MD,US,STATE,64,CASES
1939,26,MARYLAND,MD,US,STATE,57,CASES
1939,27,MARYLAND,MD,US,STATE,126,CASES
1939,28,MARYLAND,MD,US,STATE,65,CASES
1939,29,MARYLAND,MD,US,STATE,57,CASES
1939,30,MARYLAND,MD,US,STATE,55,CASES
1939,31,MARYLAND,MD,US,STATE,62,CASES
1939,32,MARYLAND,MD,US,STATE,176,CASES
1939,33,MARYLAND,MD,US,STATE,54,CASES
1939,34,MARYLAND,MD,US,STATE,56,CASES
1939,35,MARYLAND,MD,US,STATE,39,CASES
1939,36,MARYLAND,MD,US,STATE,130,CASES
1939,37,MARYLAND,MD,US,STATE,39,CASES
1939,38,MARYLAND,MD,US,STATE,136,CASES
1939,39,MARYLAND,MD,US,STATE,163,CASES
1939,40,MARYLAND,MD,US,STATE,167,CASES
1939,41,MARYLAND,MD,US,STATE,71,CASES
1939,42,MARYLAND,MD,US,STATE,37,CASES
1939,43,MARYLAND,MD,US,STATE,173,CASES
1939,44,MARYLAND,MD,US,STATE,31,CASES
1939,45,MARYLAND,MD,US,STATE,52,CASES
1939,46,MARYLAND,MD,US,STATE,148,CASES
1939,47,MARYLAND,MD,US,STATE,52,CASES
1939,48,MARYLAND,MD,US,STATE,216,CASES
1939,49,MARYLAND,MD,US,STATE,170,CASES
1939,50,MARYLAND,MD,US,STATE,219,CASES
1939,51,MARYLAND,MD,US,STATE,49,CASES
1939,52,MARYLAND,MD,US,STATE,142,CASES
