year,week,loc,state,country,loc_type,number,event
1968,1,MAINE,ME,US,STATE,25,CASES
1968,2,MAINE,ME,US,STATE,37,CASES
1968,3,MAINE,ME,US,STATE,20,CASES
1968,4,MAINE,ME,US,STATE,22,CASES
1968,5,MAINE,ME,US,STATE,61,CASES
1968,6,MAINE,ME,US,STATE,45,CASES
1968,7,MAINE,ME,US,STATE,38,CASES
1968,8,MAINE,ME,US,STATE,38,CASES
1968,9,MAINE,ME,US,STATE,38,CASES
1968,10,MAINE,ME,US,STATE,48,CASES
1968,11,MAINE,ME,US,STATE,48,CASES
1968,12,MAINE,ME,US,STATE,6,CASES
1968,13,MAINE,ME,US,STATE,14,CASES
1968,14,MAINE,ME,US,STATE,13,CASES
1968,15,MAINE,ME,US,STATE,1,CASES
1968,16,MAINE,ME,US,STATE,18,CASES
1968,17,MAINE,ME,US,STATE,17,CASES
1968,18,MAINE,ME,US,STATE,9,CASES
1968,19,MAINE,ME,US,STATE,23,CASES
1968,20,MAINE,ME,US,STATE,3,CASES
1968,21,MAINE,ME,US,STATE,5,CASES
1968,22,MAINE,ME,US,STATE,2,CASES
1968,23,MAINE,ME,US,STATE,5,CASES
1968,24,MAINE,ME,US,STATE,9,CASES
1968,25,MAINE,ME,US,STATE,13,CASES
1968,26,MAINE,ME,US,STATE,9,CASES
1968,27,MAINE,ME,US,STATE,12,CASES
1968,28,MAINE,ME,US,STATE,5,CASES
1968,30,MAINE,ME,US,STATE,11,CASES
1968,31,MAINE,ME,US,STATE,5,CASES
1968,32,MAINE,ME,US,STATE,1,CASES
1968,33,MAINE,ME,US,STATE,4,CASES
1968,34,MAINE,ME,US,STATE,6,CASES
1968,36,MAINE,ME,US,STATE,4,CASES
1968,37,MAINE,ME,US,STATE,6,CASES
1968,39,MAINE,ME,US,STATE,2,CASES
1968,40,MAINE,ME,US,STATE,2,CASES
1968,41,MAINE,ME,US,STATE,13,CASES
1968,42,MAINE,ME,US,STATE,14,CASES
1968,43,MAINE,ME,US,STATE,4,CASES
1968,44,MAINE,ME,US,STATE,24,CASES
1968,45,MAINE,ME,US,STATE,16,CASES
1968,46,MAINE,ME,US,STATE,7,CASES
1968,47,MAINE,ME,US,STATE,21,CASES
1968,48,MAINE,ME,US,STATE,38,CASES
1968,49,MAINE,ME,US,STATE,51,CASES
1968,50,MAINE,ME,US,STATE,55,CASES
1968,51,MAINE,ME,US,STATE,28,CASES
1968,52,MAINE,ME,US,STATE,14,CASES
1969,1,MAINE,ME,US,STATE,32,CASES
1969,2,MAINE,ME,US,STATE,49,CASES
1969,3,MAINE,ME,US,STATE,36,CASES
1969,4,MAINE,ME,US,STATE,47,CASES
1969,5,MAINE,ME,US,STATE,28,CASES
1969,6,MAINE,ME,US,STATE,31,CASES
1969,7,MAINE,ME,US,STATE,31,CASES
1969,8,MAINE,ME,US,STATE,3,CASES
1969,9,MAINE,ME,US,STATE,25,CASES
1969,10,MAINE,ME,US,STATE,38,CASES
1969,12,MAINE,ME,US,STATE,26,CASES
1969,13,MAINE,ME,US,STATE,26,CASES
1969,14,MAINE,ME,US,STATE,24,CASES
1969,15,MAINE,ME,US,STATE,45,CASES
1969,16,MAINE,ME,US,STATE,22,CASES
1969,17,MAINE,ME,US,STATE,41,CASES
1969,18,MAINE,ME,US,STATE,23,CASES
1969,19,MAINE,ME,US,STATE,36,CASES
1969,20,MAINE,ME,US,STATE,14,CASES
1969,21,MAINE,ME,US,STATE,31,CASES
1969,22,MAINE,ME,US,STATE,16,CASES
1969,23,MAINE,ME,US,STATE,10,CASES
1969,24,MAINE,ME,US,STATE,16,CASES
1969,25,MAINE,ME,US,STATE,2,CASES
1969,26,MAINE,ME,US,STATE,5,CASES
1969,27,MAINE,ME,US,STATE,3,CASES
1969,28,MAINE,ME,US,STATE,27,CASES
1969,29,MAINE,ME,US,STATE,2,CASES
1969,30,MAINE,ME,US,STATE,6,CASES
1969,31,MAINE,ME,US,STATE,3,CASES
1969,32,MAINE,ME,US,STATE,1,CASES
1969,33,MAINE,ME,US,STATE,4,CASES
1969,34,MAINE,ME,US,STATE,6,CASES
1969,36,MAINE,ME,US,STATE,6,CASES
1969,37,MAINE,ME,US,STATE,8,CASES
1969,38,MAINE,ME,US,STATE,2,CASES
1969,39,MAINE,ME,US,STATE,8,CASES
1969,41,MAINE,ME,US,STATE,5,CASES
1969,42,MAINE,ME,US,STATE,5,CASES
1969,43,MAINE,ME,US,STATE,10,CASES
1969,44,MAINE,ME,US,STATE,24,CASES
1969,45,MAINE,ME,US,STATE,32,CASES
1969,46,MAINE,ME,US,STATE,60,CASES
1969,47,MAINE,ME,US,STATE,42,CASES
1969,48,MAINE,ME,US,STATE,24,CASES
1969,49,MAINE,ME,US,STATE,64,CASES
1969,50,MAINE,ME,US,STATE,49,CASES
1969,51,MAINE,ME,US,STATE,76,CASES
1969,52,MAINE,ME,US,STATE,10,CASES
1970,1,MAINE,ME,US,STATE,74,CASES
1970,2,MAINE,ME,US,STATE,65,CASES
1970,3,MAINE,ME,US,STATE,48,CASES
1970,4,MAINE,ME,US,STATE,30,CASES
1970,5,MAINE,ME,US,STATE,24,CASES
1970,6,MAINE,ME,US,STATE,14,CASES
1970,7,MAINE,ME,US,STATE,145,CASES
1970,8,MAINE,ME,US,STATE,25,CASES
1970,9,MAINE,ME,US,STATE,8,CASES
1970,10,MAINE,ME,US,STATE,74,CASES
1970,11,MAINE,ME,US,STATE,12,CASES
1970,12,MAINE,ME,US,STATE,11,CASES
1970,13,MAINE,ME,US,STATE,21,CASES
1970,14,MAINE,ME,US,STATE,20,CASES
1970,15,MAINE,ME,US,STATE,3,CASES
1970,17,MAINE,ME,US,STATE,12,CASES
1970,18,MAINE,ME,US,STATE,23,CASES
1970,19,MAINE,ME,US,STATE,12,CASES
1970,20,MAINE,ME,US,STATE,2,CASES
1970,21,MAINE,ME,US,STATE,12,CASES
1970,22,MAINE,ME,US,STATE,14,CASES
1970,23,MAINE,ME,US,STATE,5,CASES
1970,24,MAINE,ME,US,STATE,2,CASES
1970,25,MAINE,ME,US,STATE,28,CASES
1970,26,MAINE,ME,US,STATE,7,CASES
1970,27,MAINE,ME,US,STATE,5,CASES
1970,28,MAINE,ME,US,STATE,1,CASES
1970,29,MAINE,ME,US,STATE,1,CASES
1970,30,MAINE,ME,US,STATE,3,CASES
1970,31,MAINE,ME,US,STATE,7,CASES
1970,32,MAINE,ME,US,STATE,2,CASES
1970,33,MAINE,ME,US,STATE,1,CASES
1970,34,MAINE,ME,US,STATE,5,CASES
1970,35,MAINE,ME,US,STATE,7,CASES
1970,36,MAINE,ME,US,STATE,4,CASES
1970,37,MAINE,ME,US,STATE,5,CASES
1970,38,MAINE,ME,US,STATE,4,CASES
1970,40,MAINE,ME,US,STATE,10,CASES
1970,41,MAINE,ME,US,STATE,2,CASES
1970,43,MAINE,ME,US,STATE,10,CASES
1970,45,MAINE,ME,US,STATE,7,CASES
1970,46,MAINE,ME,US,STATE,20,CASES
1970,48,MAINE,ME,US,STATE,22,CASES
1970,49,MAINE,ME,US,STATE,54,CASES
1970,50,MAINE,ME,US,STATE,28,CASES
1970,51,MAINE,ME,US,STATE,3,CASES
1970,52,MAINE,ME,US,STATE,12,CASES
1971,1,MAINE,ME,US,STATE,47,CASES
1971,2,MAINE,ME,US,STATE,24,CASES
1971,3,MAINE,ME,US,STATE,35,CASES
1971,4,MAINE,ME,US,STATE,25,CASES
1971,5,MAINE,ME,US,STATE,22,CASES
1971,6,MAINE,ME,US,STATE,38,CASES
1971,7,MAINE,ME,US,STATE,77,CASES
1971,9,MAINE,ME,US,STATE,9,CASES
1971,10,MAINE,ME,US,STATE,38,CASES
1971,11,MAINE,ME,US,STATE,33,CASES
1971,12,MAINE,ME,US,STATE,31,CASES
1971,13,MAINE,ME,US,STATE,68,CASES
1971,14,MAINE,ME,US,STATE,30,CASES
1971,15,MAINE,ME,US,STATE,5,CASES
1971,16,MAINE,ME,US,STATE,39,CASES
1971,17,MAINE,ME,US,STATE,34,CASES
1971,18,MAINE,ME,US,STATE,57,CASES
1971,19,MAINE,ME,US,STATE,48,CASES
1971,20,MAINE,ME,US,STATE,37,CASES
1971,21,MAINE,ME,US,STATE,25,CASES
1971,22,MAINE,ME,US,STATE,85,CASES
1971,23,MAINE,ME,US,STATE,39,CASES
1971,24,MAINE,ME,US,STATE,40,CASES
1971,25,MAINE,ME,US,STATE,6,CASES
1971,27,MAINE,ME,US,STATE,1,CASES
1971,28,MAINE,ME,US,STATE,15,CASES
1971,29,MAINE,ME,US,STATE,7,CASES
1971,30,MAINE,ME,US,STATE,11,CASES
1971,31,MAINE,ME,US,STATE,2,CASES
1971,32,MAINE,ME,US,STATE,1,CASES
1971,33,MAINE,ME,US,STATE,7,CASES
1971,34,MAINE,ME,US,STATE,7,CASES
1971,36,MAINE,ME,US,STATE,6,CASES
1971,37,MAINE,ME,US,STATE,2,CASES
1971,38,MAINE,ME,US,STATE,4,CASES
1971,39,MAINE,ME,US,STATE,6,CASES
1971,43,MAINE,ME,US,STATE,5,CASES
1971,44,MAINE,ME,US,STATE,5,CASES
1971,45,MAINE,ME,US,STATE,7,CASES
1971,47,MAINE,ME,US,STATE,11,CASES
1971,48,MAINE,ME,US,STATE,22,CASES
1971,49,MAINE,ME,US,STATE,10,CASES
1971,50,MAINE,ME,US,STATE,10,CASES
1972,1,MAINE,ME,US,STATE,1,CASES
1972,3,MAINE,ME,US,STATE,3,CASES
1972,4,MAINE,ME,US,STATE,2,CASES
1972,5,MAINE,ME,US,STATE,16,CASES
1972,6,MAINE,ME,US,STATE,17,CASES
1972,8,MAINE,ME,US,STATE,6,CASES
1972,9,MAINE,ME,US,STATE,5,CASES
1972,10,MAINE,ME,US,STATE,3,CASES
1972,11,MAINE,ME,US,STATE,7,CASES
1972,12,MAINE,ME,US,STATE,9,CASES
1972,13,MAINE,ME,US,STATE,2,CASES
1972,14,MAINE,ME,US,STATE,17,CASES
1972,15,MAINE,ME,US,STATE,1,CASES
1972,16,MAINE,ME,US,STATE,14,CASES
1972,17,MAINE,ME,US,STATE,4,CASES
1972,18,MAINE,ME,US,STATE,2,CASES
1972,19,MAINE,ME,US,STATE,5,CASES
1972,20,MAINE,ME,US,STATE,19,CASES
1972,21,MAINE,ME,US,STATE,1,CASES
1972,23,MAINE,ME,US,STATE,4,CASES
1972,24,MAINE,ME,US,STATE,5,CASES
1972,25,MAINE,ME,US,STATE,5,CASES
1972,26,MAINE,ME,US,STATE,3,CASES
1972,28,MAINE,ME,US,STATE,8,CASES
1972,31,MAINE,ME,US,STATE,5,CASES
1972,32,MAINE,ME,US,STATE,5,CASES
1972,33,MAINE,ME,US,STATE,9,CASES
1972,43,MAINE,ME,US,STATE,5,CASES
1972,44,MAINE,ME,US,STATE,1,CASES
1972,46,MAINE,ME,US,STATE,3,CASES
1972,49,MAINE,ME,US,STATE,1,CASES
1972,50,MAINE,ME,US,STATE,2,CASES
1973,1,MAINE,ME,US,STATE,1,CASES
1973,2,MAINE,ME,US,STATE,2,CASES
1973,3,MAINE,ME,US,STATE,2,CASES
1973,4,MAINE,ME,US,STATE,2,CASES
1973,5,MAINE,ME,US,STATE,1,CASES
1973,6,MAINE,ME,US,STATE,1,CASES
1973,8,MAINE,ME,US,STATE,2,CASES
1973,9,MAINE,ME,US,STATE,1,CASES
1973,10,MAINE,ME,US,STATE,2,CASES
1973,11,MAINE,ME,US,STATE,1,CASES
1973,12,MAINE,ME,US,STATE,4,CASES
1973,13,MAINE,ME,US,STATE,1,CASES
1973,14,MAINE,ME,US,STATE,1,CASES
1973,17,MAINE,ME,US,STATE,9,CASES
1973,19,MAINE,ME,US,STATE,1,CASES
1973,20,MAINE,ME,US,STATE,2,CASES
1973,22,MAINE,ME,US,STATE,2,CASES
1973,23,MAINE,ME,US,STATE,1,CASES
1973,25,MAINE,ME,US,STATE,5,CASES
1973,26,MAINE,ME,US,STATE,4,CASES
1973,28,MAINE,ME,US,STATE,4,CASES
1973,29,MAINE,ME,US,STATE,4,CASES
1973,30,MAINE,ME,US,STATE,1,CASES
1973,31,MAINE,ME,US,STATE,3,CASES
1973,32,MAINE,ME,US,STATE,1,CASES
1973,33,MAINE,ME,US,STATE,3,CASES
1973,34,MAINE,ME,US,STATE,1,CASES
1973,36,MAINE,ME,US,STATE,1,CASES
1973,37,MAINE,ME,US,STATE,1,CASES
1973,41,MAINE,ME,US,STATE,5,CASES
1973,43,MAINE,ME,US,STATE,10,CASES
1973,44,MAINE,ME,US,STATE,11,CASES
1973,45,MAINE,ME,US,STATE,5,CASES
1973,46,MAINE,ME,US,STATE,5,CASES
1973,47,MAINE,ME,US,STATE,8,CASES
1973,49,MAINE,ME,US,STATE,6,CASES
1973,50,MAINE,ME,US,STATE,19,CASES
1973,51,MAINE,ME,US,STATE,1,CASES
1973,52,MAINE,ME,US,STATE,3,CASES
1974,1,MAINE,ME,US,STATE,32,CASES
1974,2,MAINE,ME,US,STATE,38,CASES
1974,3,MAINE,ME,US,STATE,32,CASES
1974,4,MAINE,ME,US,STATE,16,CASES
1974,5,MAINE,ME,US,STATE,32,CASES
1974,6,MAINE,ME,US,STATE,39,CASES
1974,8,MAINE,ME,US,STATE,19,CASES
1974,9,MAINE,ME,US,STATE,43,CASES
1974,10,MAINE,ME,US,STATE,31,CASES
1974,11,MAINE,ME,US,STATE,28,CASES
1974,12,MAINE,ME,US,STATE,50,CASES
1974,13,MAINE,ME,US,STATE,18,CASES
1974,14,MAINE,ME,US,STATE,26,CASES
1974,15,MAINE,ME,US,STATE,1,CASES
1974,17,MAINE,ME,US,STATE,9,CASES
1974,18,MAINE,ME,US,STATE,5,CASES
1974,19,MAINE,ME,US,STATE,4,CASES
1974,20,MAINE,ME,US,STATE,11,CASES
1974,22,MAINE,ME,US,STATE,11,CASES
1974,25,MAINE,ME,US,STATE,1,CASES
1974,26,MAINE,ME,US,STATE,3,CASES
1974,27,MAINE,ME,US,STATE,2,CASES
1974,31,MAINE,ME,US,STATE,3,CASES
1974,34,MAINE,ME,US,STATE,1,CASES
1974,37,MAINE,ME,US,STATE,3,CASES
1974,42,MAINE,ME,US,STATE,2,CASES
1974,43,MAINE,ME,US,STATE,5,CASES
1974,46,MAINE,ME,US,STATE,1,CASES
1974,50,MAINE,ME,US,STATE,2,CASES
1974,51,MAINE,ME,US,STATE,3,CASES
1974,52,MAINE,ME,US,STATE,1,CASES
1975,7,MAINE,ME,US,STATE,1,CASES
1975,21,MAINE,ME,US,STATE,1,CASES
1975,33,MAINE,ME,US,STATE,2,CASES
1975,43,MAINE,ME,US,STATE,1,CASES
1975,45,MAINE,ME,US,STATE,1,CASES
1975,48,MAINE,ME,US,STATE,2,CASES
1976,2,MAINE,ME,US,STATE,3,CASES
1976,4,MAINE,ME,US,STATE,2,CASES
1976,5,MAINE,ME,US,STATE,3,CASES
1976,7,MAINE,ME,US,STATE,6,CASES
1976,9,MAINE,ME,US,STATE,3,CASES
1976,10,MAINE,ME,US,STATE,11,CASES
1976,12,MAINE,ME,US,STATE,4,CASES
1976,13,MAINE,ME,US,STATE,4,CASES
1976,14,MAINE,ME,US,STATE,10,CASES
1976,16,MAINE,ME,US,STATE,4,CASES
1976,17,MAINE,ME,US,STATE,6,CASES
1976,18,MAINE,ME,US,STATE,4,CASES
1976,19,MAINE,ME,US,STATE,8,CASES
1976,20,MAINE,ME,US,STATE,3,CASES
1976,21,MAINE,ME,US,STATE,1,CASES
