year,week,loc,state,country,loc_type,number,event
1927,47,MAINE,ME,US,STATE,40,CASES
1927,48,MAINE,ME,US,STATE,42,CASES
1927,49,MAINE,ME,US,STATE,67,CASES
1927,51,MAINE,ME,US,STATE,36,CASES
1927,52,MAINE,ME,US,STATE,39,CASES
1928,1,MAINE,ME,US,STATE,21,CASES
1928,2,MAINE,ME,US,STATE,26,CASES
1928,3,MAINE,ME,US,STATE,40,CASES
1928,4,MAINE,ME,US,STATE,23,CASES
1928,5,MAINE,ME,US,STATE,45,CASES
1928,6,MAINE,ME,US,STATE,27,CASES
1928,7,MAINE,ME,US,STATE,40,CASES
1928,8,MAINE,ME,US,STATE,23,CASES
1928,9,MAINE,ME,US,STATE,26,CASES
1928,10,MAINE,ME,US,STATE,40,CASES
1928,11,MAINE,ME,US,STATE,26,CASES
1928,12,MAINE,ME,US,STATE,26,CASES
1928,13,MAINE,ME,US,STATE,51,CASES
1928,14,MAINE,ME,US,STATE,15,CASES
1928,15,MAINE,ME,US,STATE,22,CASES
1928,16,MAINE,ME,US,STATE,26,CASES
1928,17,MAINE,ME,US,STATE,24,CASES
1928,18,MAINE,ME,US,STATE,28,CASES
1928,19,MAINE,ME,US,STATE,20,CASES
1928,20,MAINE,ME,US,STATE,24,CASES
1928,21,MAINE,ME,US,STATE,19,CASES
1928,22,MAINE,ME,US,STATE,25,CASES
1928,23,MAINE,ME,US,STATE,17,CASES
1928,24,MAINE,ME,US,STATE,23,CASES
1928,25,MAINE,ME,US,STATE,25,CASES
1928,26,MAINE,ME,US,STATE,13,CASES
1928,27,MAINE,ME,US,STATE,5,CASES
1928,28,MAINE,ME,US,STATE,9,CASES
1928,29,MAINE,ME,US,STATE,6,CASES
1928,30,MAINE,ME,US,STATE,9,CASES
1928,31,MAINE,ME,US,STATE,10,CASES
1928,32,MAINE,ME,US,STATE,7,CASES
1928,33,MAINE,ME,US,STATE,9,CASES
1928,34,MAINE,ME,US,STATE,6,CASES
1928,35,MAINE,ME,US,STATE,8,CASES
1928,36,MAINE,ME,US,STATE,2,CASES
1928,37,MAINE,ME,US,STATE,27,CASES
1928,38,MAINE,ME,US,STATE,14,CASES
1928,39,MAINE,ME,US,STATE,24,CASES
1928,40,MAINE,ME,US,STATE,6,CASES
1928,41,MAINE,ME,US,STATE,30,CASES
1928,42,MAINE,ME,US,STATE,41,CASES
1928,43,MAINE,ME,US,STATE,16,CASES
1928,44,MAINE,ME,US,STATE,31,CASES
1928,45,MAINE,ME,US,STATE,24,CASES
1928,46,MAINE,ME,US,STATE,23,CASES
1928,47,MAINE,ME,US,STATE,40,CASES
1928,48,MAINE,ME,US,STATE,24,CASES
1928,49,MAINE,ME,US,STATE,12,CASES
1928,51,MAINE,ME,US,STATE,43,CASES
1928,52,MAINE,ME,US,STATE,31,CASES
1929,1,MAINE,ME,US,STATE,41,CASES
1929,2,MAINE,ME,US,STATE,22,CASES
1929,3,MAINE,ME,US,STATE,23,CASES
1929,4,MAINE,ME,US,STATE,25,CASES
1929,5,MAINE,ME,US,STATE,25,CASES
1929,6,MAINE,ME,US,STATE,10,CASES
1929,7,MAINE,ME,US,STATE,35,CASES
1929,8,MAINE,ME,US,STATE,9,CASES
1929,9,MAINE,ME,US,STATE,46,CASES
1929,10,MAINE,ME,US,STATE,17,CASES
1929,11,MAINE,ME,US,STATE,47,CASES
