year,week,loc,state,country,loc_type,number,event
1968,1,MICHIGAN,MI,US,STATE,176,CASES
1968,2,MICHIGAN,MI,US,STATE,693,CASES
1968,3,MICHIGAN,MI,US,STATE,610,CASES
1968,4,MICHIGAN,MI,US,STATE,375,CASES
1968,5,MICHIGAN,MI,US,STATE,496,CASES
1968,6,MICHIGAN,MI,US,STATE,689,CASES
1968,7,MICHIGAN,MI,US,STATE,424,CASES
1968,8,MICHIGAN,MI,US,STATE,673,CASES
1968,9,MICHIGAN,MI,US,STATE,772,CASES
1968,10,MICHIGAN,MI,US,STATE,553,CASES
1968,11,MICHIGAN,MI,US,STATE,547,CASES
1968,12,MICHIGAN,MI,US,STATE,715,CASES
1968,13,MICHIGAN,MI,US,STATE,514,CASES
1968,14,MICHIGAN,MI,US,STATE,598,CASES
1968,15,MICHIGAN,MI,US,STATE,683,CASES
1968,16,MICHIGAN,MI,US,STATE,464,CASES
1968,17,MICHIGAN,MI,US,STATE,334,CASES
1968,18,MICHIGAN,MI,US,STATE,508,CASES
1968,19,MICHIGAN,MI,US,STATE,706,CASES
1968,20,MICHIGAN,MI,US,STATE,404,CASES
1968,21,MICHIGAN,MI,US,STATE,443,CASES
1968,22,MICHIGAN,MI,US,STATE,371,CASES
1968,23,MICHIGAN,MI,US,STATE,303,CASES
1968,24,MICHIGAN,MI,US,STATE,343,CASES
1968,26,MICHIGAN,MI,US,STATE,118,CASES
1968,27,MICHIGAN,MI,US,STATE,49,CASES
1968,28,MICHIGAN,MI,US,STATE,49,CASES
1968,29,MICHIGAN,MI,US,STATE,25,CASES
1968,30,MICHIGAN,MI,US,STATE,32,CASES
1968,31,MICHIGAN,MI,US,STATE,39,CASES
1968,32,MICHIGAN,MI,US,STATE,20,CASES
1968,33,MICHIGAN,MI,US,STATE,49,CASES
1968,34,MICHIGAN,MI,US,STATE,24,CASES
1968,35,MICHIGAN,MI,US,STATE,15,CASES
1968,36,MICHIGAN,MI,US,STATE,13,CASES
1968,37,MICHIGAN,MI,US,STATE,35,CASES
1968,38,MICHIGAN,MI,US,STATE,30,CASES
1968,39,MICHIGAN,MI,US,STATE,55,CASES
1968,40,MICHIGAN,MI,US,STATE,33,CASES
1968,41,MICHIGAN,MI,US,STATE,44,CASES
1968,42,MICHIGAN,MI,US,STATE,51,CASES
1968,43,MICHIGAN,MI,US,STATE,71,CASES
1968,44,MICHIGAN,MI,US,STATE,95,CASES
1968,45,MICHIGAN,MI,US,STATE,126,CASES
1968,46,MICHIGAN,MI,US,STATE,163,CASES
1968,47,MICHIGAN,MI,US,STATE,195,CASES
1968,48,MICHIGAN,MI,US,STATE,77,CASES
1968,49,MICHIGAN,MI,US,STATE,85,CASES
1968,50,MICHIGAN,MI,US,STATE,200,CASES
1968,51,MICHIGAN,MI,US,STATE,153,CASES
1968,52,MICHIGAN,MI,US,STATE,74,CASES
1969,1,MICHIGAN,MI,US,STATE,37,CASES
1969,2,MICHIGAN,MI,US,STATE,94,CASES
1969,3,MICHIGAN,MI,US,STATE,94,CASES
1969,4,MICHIGAN,MI,US,STATE,77,CASES
1969,5,MICHIGAN,MI,US,STATE,98,CASES
1969,6,MICHIGAN,MI,US,STATE,161,CASES
1969,7,MICHIGAN,MI,US,STATE,125,CASES
1969,8,MICHIGAN,MI,US,STATE,188,CASES
1969,9,MICHIGAN,MI,US,STATE,138,CASES
1969,10,MICHIGAN,MI,US,STATE,169,CASES
1969,12,MICHIGAN,MI,US,STATE,134,CASES
1969,13,MICHIGAN,MI,US,STATE,184,CASES
1969,14,MICHIGAN,MI,US,STATE,237,CASES
1969,15,MICHIGAN,MI,US,STATE,206,CASES
1969,16,MICHIGAN,MI,US,STATE,114,CASES
1969,17,MICHIGAN,MI,US,STATE,119,CASES
1969,18,MICHIGAN,MI,US,STATE,172,CASES
1969,19,MICHIGAN,MI,US,STATE,241,CASES
1969,20,MICHIGAN,MI,US,STATE,120,CASES
1969,21,MICHIGAN,MI,US,STATE,151,CASES
1969,22,MICHIGAN,MI,US,STATE,107,CASES
1969,23,MICHIGAN,MI,US,STATE,116,CASES
1969,24,MICHIGAN,MI,US,STATE,174,CASES
1969,25,MICHIGAN,MI,US,STATE,114,CASES
1969,26,MICHIGAN,MI,US,STATE,93,CASES
1969,27,MICHIGAN,MI,US,STATE,32,CASES
