year,week,loc,state,country,loc_type,number,event
1966,1,MICHIGAN,MI,US,STATE,25,CASES
1966,2,MICHIGAN,MI,US,STATE,53,CASES
1966,3,MICHIGAN,MI,US,STATE,28,CASES
1966,4,MICHIGAN,MI,US,STATE,44,CASES
1966,5,MICHIGAN,MI,US,STATE,38,CASES
1966,6,MICHIGAN,MI,US,STATE,117,CASES
1966,7,MICHIGAN,MI,US,STATE,91,CASES
1966,8,MICHIGAN,MI,US,STATE,64,CASES
1966,9,MICHIGAN,MI,US,STATE,161,CASES
1966,10,MICHIGAN,MI,US,STATE,128,CASES
1966,11,MICHIGAN,MI,US,STATE,53,CASES
1966,12,MICHIGAN,MI,US,STATE,124,CASES
1966,13,MICHIGAN,MI,US,STATE,84,CASES
1966,14,MICHIGAN,MI,US,STATE,104,CASES
1966,15,MICHIGAN,MI,US,STATE,146,CASES
1966,16,MICHIGAN,MI,US,STATE,94,CASES
1966,17,MICHIGAN,MI,US,STATE,100,CASES
1966,18,MICHIGAN,MI,US,STATE,82,CASES
1966,19,MICHIGAN,MI,US,STATE,135,CASES
1966,20,MICHIGAN,MI,US,STATE,129,CASES
1966,21,MICHIGAN,MI,US,STATE,238,CASES
1966,22,MICHIGAN,MI,US,STATE,50,CASES
1966,23,MICHIGAN,MI,US,STATE,151,CASES
1966,24,MICHIGAN,MI,US,STATE,142,CASES
1966,25,MICHIGAN,MI,US,STATE,44,CASES
1966,26,MICHIGAN,MI,US,STATE,74,CASES
1966,27,MICHIGAN,MI,US,STATE,55,CASES
1966,28,MICHIGAN,MI,US,STATE,37,CASES
1966,29,MICHIGAN,MI,US,STATE,31,CASES
1966,30,MICHIGAN,MI,US,STATE,25,CASES
1966,31,MICHIGAN,MI,US,STATE,15,CASES
1966,32,MICHIGAN,MI,US,STATE,44,CASES
1966,33,MICHIGAN,MI,US,STATE,13,CASES
1966,34,MICHIGAN,MI,US,STATE,7,CASES
1966,35,MICHIGAN,MI,US,STATE,11,CASES
1966,36,MICHIGAN,MI,US,STATE,15,CASES
1966,37,MICHIGAN,MI,US,STATE,30,CASES
1966,38,MICHIGAN,MI,US,STATE,17,CASES
1966,39,MICHIGAN,MI,US,STATE,9,CASES
1966,40,MICHIGAN,MI,US,STATE,24,CASES
1966,41,MICHIGAN,MI,US,STATE,12,CASES
1966,42,MICHIGAN,MI,US,STATE,12,CASES
1966,43,MICHIGAN,MI,US,STATE,14,CASES
1966,44,MICHIGAN,MI,US,STATE,18,CASES
1966,45,MICHIGAN,MI,US,STATE,14,CASES
1966,46,MICHIGAN,MI,US,STATE,21,CASES
1966,47,MICHIGAN,MI,US,STATE,19,CASES
1966,48,MICHIGAN,MI,US,STATE,14,CASES
1966,50,MICHIGAN,MI,US,STATE,30,CASES
1966,51,MICHIGAN,MI,US,STATE,32,CASES
1966,52,MICHIGAN,MI,US,STATE,12,CASES
1967,1,MICHIGAN,MI,US,STATE,6,CASES
1967,2,MICHIGAN,MI,US,STATE,42,CASES
1967,3,MICHIGAN,MI,US,STATE,18,CASES
1967,4,MICHIGAN,MI,US,STATE,40,CASES
1967,5,MICHIGAN,MI,US,STATE,25,CASES
1967,6,MICHIGAN,MI,US,STATE,44,CASES
