year,week,loc,state,country,loc_type,number,event
1927,47,MICHIGAN,MI,US,STATE,156,CASES
1927,48,MICHIGAN,MI,US,STATE,224,CASES
1927,49,MICHIGAN,MI,US,STATE,210,CASES
1927,51,MICHIGAN,MI,US,STATE,140,CASES
1927,52,MICHIGAN,MI,US,STATE,383,CASES
1928,1,MICHIGAN,MI,US,STATE,162,CASES
1928,2,MICHIGAN,MI,US,STATE,306,CASES
1928,3,MICHIGAN,MI,US,STATE,274,CASES
1928,4,MICHIGAN,MI,US,STATE,275,CASES
1928,5,MICHIGAN,MI,US,STATE,283,CASES
1928,6,MICHIGAN,MI,US,STATE,363,CASES
1928,7,MICHIGAN,MI,US,STATE,262,CASES
1928,8,MICHIGAN,MI,US,STATE,228,CASES
1928,9,MICHIGAN,MI,US,STATE,326,CASES
1928,10,MICHIGAN,MI,US,STATE,284,CASES
1928,11,MICHIGAN,MI,US,STATE,213,CASES
1928,12,MICHIGAN,MI,US,STATE,277,CASES
1928,13,MICHIGAN,MI,US,STATE,264,CASES
1928,14,MICHIGAN,MI,US,STATE,239,CASES
1928,15,MICHIGAN,MI,US,STATE,237,CASES
1928,16,MICHIGAN,MI,US,STATE,248,CASES
1928,17,MICHIGAN,MI,US,STATE,301,CASES
1928,18,MICHIGAN,MI,US,STATE,230,CASES
1928,19,MICHIGAN,MI,US,STATE,318,CASES
1928,20,MICHIGAN,MI,US,STATE,265,CASES
1928,21,MICHIGAN,MI,US,STATE,255,CASES
1928,22,MICHIGAN,MI,US,STATE,156,CASES
1928,23,MICHIGAN,MI,US,STATE,303,CASES
1928,24,MICHIGAN,MI,US,STATE,261,CASES
1928,25,MICHIGAN,MI,US,STATE,191,CASES
1928,26,MICHIGAN,MI,US,STATE,138,CASES
1928,27,MICHIGAN,MI,US,STATE,114,CASES
1928,28,MICHIGAN,MI,US,STATE,96,CASES
1928,29,MICHIGAN,MI,US,STATE,100,CASES
1928,30,MICHIGAN,MI,US,STATE,65,CASES
1928,31,MICHIGAN,MI,US,STATE,64,CASES
1928,32,MICHIGAN,MI,US,STATE,63,CASES
1928,33,MICHIGAN,MI,US,STATE,42,CASES
1928,34,MICHIGAN,MI,US,STATE,62,CASES
1928,35,MICHIGAN,MI,US,STATE,52,CASES
1928,36,MICHIGAN,MI,US,STATE,27,CASES
1928,37,MICHIGAN,MI,US,STATE,64,CASES
1928,38,MICHIGAN,MI,US,STATE,68,CASES
