year,week,loc,state,country,loc_type,number,event
1972,1,MINNESOTA,MN,US,STATE,2,CASES
1972,3,MINNESOTA,MN,US,STATE,34,CASES
1972,4,MINNESOTA,MN,US,STATE,45,CASES
1972,5,MINNESOTA,MN,US,STATE,88,CASES
1972,6,MINNESOTA,MN,US,STATE,59,CASES
1972,7,MINNESOTA,MN,US,STATE,33,CASES
1972,8,MINNESOTA,MN,US,STATE,24,CASES
1972,9,MINNESOTA,MN,US,STATE,55,CASES
1972,10,MINNESOTA,MN,US,STATE,86,CASES
1972,11,MINNESOTA,MN,US,STATE,31,CASES
1972,12,MINNESOTA,MN,US,STATE,47,CASES
1972,13,MINNESOTA,MN,US,STATE,16,CASES
1972,14,MINNESOTA,MN,US,STATE,24,CASES
1972,15,MINNESOTA,MN,US,STATE,22,CASES
1972,16,MINNESOTA,MN,US,STATE,41,CASES
1972,17,MINNESOTA,MN,US,STATE,32,CASES
1972,18,MINNESOTA,MN,US,STATE,32,CASES
1972,19,MINNESOTA,MN,US,STATE,37,CASES
1972,20,MINNESOTA,MN,US,STATE,29,CASES
1972,21,MINNESOTA,MN,US,STATE,20,CASES
1972,23,MINNESOTA,MN,US,STATE,39,CASES
1972,26,MINNESOTA,MN,US,STATE,6,CASES
1972,29,MINNESOTA,MN,US,STATE,1,CASES
1972,37,MINNESOTA,MN,US,STATE,2,CASES
1972,38,MINNESOTA,MN,US,STATE,14,CASES
1972,41,MINNESOTA,MN,US,STATE,14,CASES
1972,42,MINNESOTA,MN,US,STATE,10,CASES
1972,43,MINNESOTA,MN,US,STATE,21,CASES
1972,44,MINNESOTA,MN,US,STATE,22,CASES
1972,45,MINNESOTA,MN,US,STATE,15,CASES
1972,46,MINNESOTA,MN,US,STATE,22,CASES
1972,48,MINNESOTA,MN,US,STATE,77,CASES
1972,49,MINNESOTA,MN,US,STATE,1,CASES
1972,50,MINNESOTA,MN,US,STATE,13,CASES
1973,3,MINNESOTA,MN,US,STATE,6,CASES
1973,4,MINNESOTA,MN,US,STATE,90,CASES
1973,5,MINNESOTA,MN,US,STATE,36,CASES
1973,6,MINNESOTA,MN,US,STATE,40,CASES
1973,7,MINNESOTA,MN,US,STATE,2,CASES
1973,8,MINNESOTA,MN,US,STATE,55,CASES
1973,9,MINNESOTA,MN,US,STATE,6,CASES
1973,10,MINNESOTA,MN,US,STATE,35,CASES
1973,11,MINNESOTA,MN,US,STATE,14,CASES
1973,12,MINNESOTA,MN,US,STATE,5,CASES
1973,13,MINNESOTA,MN,US,STATE,45,CASES
1973,14,MINNESOTA,MN,US,STATE,37,CASES
1973,15,MINNESOTA,MN,US,STATE,21,CASES
1973,16,MINNESOTA,MN,US,STATE,11,CASES
1973,17,MINNESOTA,MN,US,STATE,3,CASES
1973,18,MINNESOTA,MN,US,STATE,66,CASES
1973,20,MINNESOTA,MN,US,STATE,38,CASES
1973,21,MINNESOTA,MN,US,STATE,1,CASES
1973,22,MINNESOTA,MN,US,STATE,32,CASES
1973,23,MINNESOTA,MN,US,STATE,3,CASES
1973,24,MINNESOTA,MN,US,STATE,67,CASES
1973,26,MINNESOTA,MN,US,STATE,1,CASES
1973,27,MINNESOTA,MN,US,STATE,1,CASES
1973,33,MINNESOTA,MN,US,STATE,1,CASES
1973,36,MINNESOTA,MN,US,STATE,1,CASES
1973,37,MINNESOTA,MN,US,STATE,2,CASES
1973,38,MINNESOTA,MN,US,STATE,4,CASES
1973,42,MINNESOTA,MN,US,STATE,18,CASES
1973,44,MINNESOTA,MN,US,STATE,16,CASES
1973,45,MINNESOTA,MN,US,STATE,3,CASES
1973,46,MINNESOTA,MN,US,STATE,74,CASES
1973,47,MINNESOTA,MN,US,STATE,12,CASES
1973,48,MINNESOTA,MN,US,STATE,11,CASES
1973,49,MINNESOTA,MN,US,STATE,37,CASES
1973,52,MINNESOTA,MN,US,STATE,64,CASES
1974,1,MINNESOTA,MN,US,STATE,1,CASES
1974,2,MINNESOTA,MN,US,STATE,13,CASES
1974,3,MINNESOTA,MN,US,STATE,20,CASES
1974,4,MINNESOTA,MN,US,STATE,39,CASES
1974,6,MINNESOTA,MN,US,STATE,63,CASES
1974,7,MINNESOTA,MN,US,STATE,1,CASES
1974,8,MINNESOTA,MN,US,STATE,8,CASES
1974,10,MINNESOTA,MN,US,STATE,46,CASES
1974,11,MINNESOTA,MN,US,STATE,47,CASES
1974,12,MINNESOTA,MN,US,STATE,41,CASES
1974,13,MINNESOTA,MN,US,STATE,5,CASES
1974,15,MINNESOTA,MN,US,STATE,56,CASES
1974,16,MINNESOTA,MN,US,STATE,1,CASES
1974,17,MINNESOTA,MN,US,STATE,37,CASES
1974,19,MINNESOTA,MN,US,STATE,75,CASES
1974,20,MINNESOTA,MN,US,STATE,13,CASES
1974,21,MINNESOTA,MN,US,STATE,14,CASES
1974,22,MINNESOTA,MN,US,STATE,25,CASES
1974,23,MINNESOTA,MN,US,STATE,41,CASES
1974,24,MINNESOTA,MN,US,STATE,36,CASES
1974,25,MINNESOTA,MN,US,STATE,3,CASES
1974,26,MINNESOTA,MN,US,STATE,3,CASES
1974,27,MINNESOTA,MN,US,STATE,3,CASES
1974,29,MINNESOTA,MN,US,STATE,3,CASES
1974,30,MINNESOTA,MN,US,STATE,1,CASES
1974,33,MINNESOTA,MN,US,STATE,2,CASES
1974,39,MINNESOTA,MN,US,STATE,8,CASES
1974,40,MINNESOTA,MN,US,STATE,3,CASES
1974,42,MINNESOTA,MN,US,STATE,1,CASES
1974,43,MINNESOTA,MN,US,STATE,1,CASES
1974,44,MINNESOTA,MN,US,STATE,5,CASES
1974,46,MINNESOTA,MN,US,STATE,1,CASES
1974,48,MINNESOTA,MN,US,STATE,28,CASES
1974,49,MINNESOTA,MN,US,STATE,9,CASES
1974,50,MINNESOTA,MN,US,STATE,58,CASES
1974,51,MINNESOTA,MN,US,STATE,21,CASES
1974,52,MINNESOTA,MN,US,STATE,3,CASES
1975,3,MINNESOTA,MN,US,STATE,35,CASES
1975,4,MINNESOTA,MN,US,STATE,32,CASES
1975,5,MINNESOTA,MN,US,STATE,10,CASES
1975,6,MINNESOTA,MN,US,STATE,65,CASES
1975,7,MINNESOTA,MN,US,STATE,27,CASES
1975,8,MINNESOTA,MN,US,STATE,24,CASES
1975,9,MINNESOTA,MN,US,STATE,23,CASES
1975,10,MINNESOTA,MN,US,STATE,33,CASES
1975,11,MINNESOTA,MN,US,STATE,4,CASES
1975,12,MINNESOTA,MN,US,STATE,19,CASES
1975,13,MINNESOTA,MN,US,STATE,2,CASES
1975,14,MINNESOTA,MN,US,STATE,25,CASES
1975,15,MINNESOTA,MN,US,STATE,28,CASES
1975,16,MINNESOTA,MN,US,STATE,3,CASES
1975,17,MINNESOTA,MN,US,STATE,31,CASES
1975,18,MINNESOTA,MN,US,STATE,9,CASES
1975,19,MINNESOTA,MN,US,STATE,17,CASES
1975,20,MINNESOTA,MN,US,STATE,13,CASES
1975,21,MINNESOTA,MN,US,STATE,6,CASES
1975,22,MINNESOTA,MN,US,STATE,14,CASES
