year,week,loc,state,country,loc_type,number,event
1937,43,MINNESOTA,MN,US,STATE,45,CASES
1937,44,MINNESOTA,MN,US,STATE,49,CASES
1937,45,MINNESOTA,MN,US,STATE,80,CASES
1937,46,MINNESOTA,MN,US,STATE,43,CASES
1937,47,MINNESOTA,MN,US,STATE,77,CASES
1937,48,MINNESOTA,MN,US,STATE,43,CASES
1937,49,MINNESOTA,MN,US,STATE,45,CASES
1937,50,MINNESOTA,MN,US,STATE,30,CASES
1937,51,MINNESOTA,MN,US,STATE,19,CASES
1938,1,MINNESOTA,MN,US,STATE,66,CASES
1938,2,MINNESOTA,MN,US,STATE,55,CASES
1938,3,MINNESOTA,MN,US,STATE,37,CASES
1938,4,MINNESOTA,MN,US,STATE,53,CASES
1938,5,MINNESOTA,MN,US,STATE,33,CASES
1938,6,MINNESOTA,MN,US,STATE,45,CASES
1938,7,MINNESOTA,MN,US,STATE,39,CASES
1938,8,MINNESOTA,MN,US,STATE,27,CASES
1938,9,MINNESOTA,MN,US,STATE,30,CASES
1938,10,MINNESOTA,MN,US,STATE,18,CASES
1938,11,MINNESOTA,MN,US,STATE,27,CASES
1938,12,MINNESOTA,MN,US,STATE,42,CASES
1938,13,MINNESOTA,MN,US,STATE,29,CASES
1938,14,MINNESOTA,MN,US,STATE,15,CASES
1938,15,MINNESOTA,MN,US,STATE,27,CASES
1938,16,MINNESOTA,MN,US,STATE,16,CASES
1938,17,MINNESOTA,MN,US,STATE,44,CASES
1938,18,MINNESOTA,MN,US,STATE,23,CASES
1938,19,MINNESOTA,MN,US,STATE,12,CASES
1938,20,MINNESOTA,MN,US,STATE,22,CASES
1938,21,MINNESOTA,MN,US,STATE,31,CASES
1938,22,MINNESOTA,MN,US,STATE,45,CASES
1938,23,MINNESOTA,MN,US,STATE,28,CASES
1938,24,MINNESOTA,MN,US,STATE,40,CASES
1938,25,MINNESOTA,MN,US,STATE,87,CASES
1938,26,MINNESOTA,MN,US,STATE,49,CASES
1938,27,MINNESOTA,MN,US,STATE,59,CASES
1938,28,MINNESOTA,MN,US,STATE,130,CASES
1938,29,MINNESOTA,MN,US,STATE,149,CASES
1938,30,MINNESOTA,MN,US,STATE,63,CASES
1938,31,MINNESOTA,MN,US,STATE,100,CASES
1938,32,MINNESOTA,MN,US,STATE,138,CASES
1938,33,MINNESOTA,MN,US,STATE,108,CASES
1938,34,MINNESOTA,MN,US,STATE,92,CASES
1938,35,MINNESOTA,MN,US,STATE,79,CASES
1938,36,MINNESOTA,MN,US,STATE,85,CASES
1938,37,MINNESOTA,MN,US,STATE,49,CASES
1938,38,MINNESOTA,MN,US,STATE,39,CASES
1938,39,MINNESOTA,MN,US,STATE,45,CASES
1938,40,MINNESOTA,MN,US,STATE,63,CASES
1938,41,MINNESOTA,MN,US,STATE,34,CASES
1938,42,MINNESOTA,MN,US,STATE,69,CASES
1938,43,MINNESOTA,MN,US,STATE,18,CASES
1938,44,MINNESOTA,MN,US,STATE,206,CASES
1938,45,MINNESOTA,MN,US,STATE,16,CASES
1938,46,MINNESOTA,MN,US,STATE,73,CASES
1938,47,MINNESOTA,MN,US,STATE,45,CASES
1938,48,MINNESOTA,MN,US,STATE,26,CASES
1938,49,MINNESOTA,MN,US,STATE,75,CASES
1938,50,MINNESOTA,MN,US,STATE,24,CASES
1938,51,MINNESOTA,MN,US,STATE,14,CASES
1938,52,MINNESOTA,MN,US,STATE,7,CASES
1939,1,MINNESOTA,MN,US,STATE,68,CASES
1939,2,MINNESOTA,MN,US,STATE,74,CASES
1939,3,MINNESOTA,MN,US,STATE,138,CASES
1939,4,MINNESOTA,MN,US,STATE,101,CASES
1939,5,MINNESOTA,MN,US,STATE,65,CASES
1939,6,MINNESOTA,MN,US,STATE,56,CASES
1939,7,MINNESOTA,MN,US,STATE,25,CASES
1939,8,MINNESOTA,MN,US,STATE,42,CASES
1939,9,MINNESOTA,MN,US,STATE,35,CASES
1939,10,MINNESOTA,MN,US,STATE,55,CASES
1939,11,MINNESOTA,MN,US,STATE,41,CASES
1939,12,MINNESOTA,MN,US,STATE,43,CASES
1939,13,MINNESOTA,MN,US,STATE,49,CASES
1939,14,MINNESOTA,MN,US,STATE,22,CASES
1939,15,MINNESOTA,MN,US,STATE,49,CASES
1939,16,MINNESOTA,MN,US,STATE,93,CASES
1939,17,MINNESOTA,MN,US,STATE,85,CASES
1939,18,MINNESOTA,MN,US,STATE,30,CASES
1939,19,MINNESOTA,MN,US,STATE,58,CASES
1939,20,MINNESOTA,MN,US,STATE,52,CASES
1939,21,MINNESOTA,MN,US,STATE,44,CASES
1939,22,MINNESOTA,MN,US,STATE,43,CASES
1939,23,MINNESOTA,MN,US,STATE,34,CASES
1939,24,MINNESOTA,MN,US,STATE,54,CASES
1939,25,MINNESOTA,MN,US,STATE,16,CASES
1939,26,MINNESOTA,MN,US,STATE,35,CASES
1939,27,MINNESOTA,MN,US,STATE,41,CASES
1939,28,MINNESOTA,MN,US,STATE,35,CASES
1939,29,MINNESOTA,MN,US,STATE,22,CASES
1939,30,MINNESOTA,MN,US,STATE,60,CASES
1939,31,MINNESOTA,MN,US,STATE,38,CASES
1939,32,MINNESOTA,MN,US,STATE,56,CASES
1939,33,MINNESOTA,MN,US,STATE,47,CASES
1939,34,MINNESOTA,MN,US,STATE,42,CASES
1939,35,MINNESOTA,MN,US,STATE,17,CASES
1939,36,MINNESOTA,MN,US,STATE,114,CASES
1939,37,MINNESOTA,MN,US,STATE,72,CASES
1939,38,MINNESOTA,MN,US,STATE,140,CASES
1939,39,MINNESOTA,MN,US,STATE,134,CASES
1939,40,MINNESOTA,MN,US,STATE,99,CASES
1939,41,MINNESOTA,MN,US,STATE,130,CASES
1939,42,MINNESOTA,MN,US,STATE,43,CASES
1939,43,MINNESOTA,MN,US,STATE,124,CASES
1939,44,MINNESOTA,MN,US,STATE,48,CASES
1939,45,MINNESOTA,MN,US,STATE,57,CASES
1939,46,MINNESOTA,MN,US,STATE,81,CASES
1939,47,MINNESOTA,MN,US,STATE,72,CASES
1939,48,MINNESOTA,MN,US,STATE,95,CASES
1939,49,MINNESOTA,MN,US,STATE,101,CASES
1939,50,MINNESOTA,MN,US,STATE,130,CASES
1939,51,MINNESOTA,MN,US,STATE,42,CASES
1939,52,MINNESOTA,MN,US,STATE,60,CASES
1940,2,MINNESOTA,MN,US,STATE,72,CASES
1940,3,MINNESOTA,MN,US,STATE,63,CASES
1940,4,MINNESOTA,MN,US,STATE,47,CASES
1940,6,MINNESOTA,MN,US,STATE,25,CASES
1940,7,MINNESOTA,MN,US,STATE,20,CASES
1940,8,MINNESOTA,MN,US,STATE,19,CASES
1940,9,MINNESOTA,MN,US,STATE,28,CASES
1940,10,MINNESOTA,MN,US,STATE,33,CASES
1940,11,MINNESOTA,MN,US,STATE,23,CASES
1940,12,MINNESOTA,MN,US,STATE,22,CASES
1940,13,MINNESOTA,MN,US,STATE,27,CASES
1940,14,MINNESOTA,MN,US,STATE,30,CASES
1940,15,MINNESOTA,MN,US,STATE,30,CASES
1940,16,MINNESOTA,MN,US,STATE,38,CASES
1940,17,MINNESOTA,MN,US,STATE,41,CASES
1940,18,MINNESOTA,MN,US,STATE,18,CASES
1940,19,MINNESOTA,MN,US,STATE,36,CASES
1940,20,MINNESOTA,MN,US,STATE,51,CASES
1940,21,MINNESOTA,MN,US,STATE,40,CASES
1940,22,MINNESOTA,MN,US,STATE,41,CASES
1940,23,MINNESOTA,MN,US,STATE,29,CASES
1940,24,MINNESOTA,MN,US,STATE,21,CASES
1940,25,MINNESOTA,MN,US,STATE,34,CASES
1940,26,MINNESOTA,MN,US,STATE,30,CASES
1940,27,MINNESOTA,MN,US,STATE,39,CASES
1940,28,MINNESOTA,MN,US,STATE,43,CASES
1940,29,MINNESOTA,MN,US,STATE,34,CASES
1940,30,MINNESOTA,MN,US,STATE,46,CASES
1940,31,MINNESOTA,MN,US,STATE,30,CASES
1940,32,MINNESOTA,MN,US,STATE,44,CASES
1940,33,MINNESOTA,MN,US,STATE,42,CASES
