year,week,loc,state,country,loc_type,number,event
1968,1,MISSOURI,MO,US,STATE,12,CASES
1968,2,MISSOURI,MO,US,STATE,4,CASES
1968,3,MISSOURI,MO,US,STATE,17,CASES
1968,4,MISSOURI,MO,US,STATE,1,CASES
1968,5,MISSOURI,MO,US,STATE,16,CASES
1968,6,MISSOURI,MO,US,STATE,71,CASES
1968,7,MISSOURI,MO,US,STATE,4,CASES
1968,8,MISSOURI,MO,US,STATE,6,CASES
1968,9,MISSOURI,MO,US,STATE,23,CASES
1968,10,MISSOURI,MO,US,STATE,103,CASES
1968,11,MISSOURI,MO,US,STATE,39,CASES
1968,13,MISSOURI,MO,US,STATE,9,CASES
1968,14,MISSOURI,MO,US,STATE,2,CASES
1968,15,MISSOURI,MO,US,STATE,1,CASES
1968,16,MISSOURI,MO,US,STATE,5,CASES
1968,17,MISSOURI,MO,US,STATE,1,CASES
1968,18,MISSOURI,MO,US,STATE,16,CASES
1968,19,MISSOURI,MO,US,STATE,8,CASES
1968,20,MISSOURI,MO,US,STATE,155,CASES
1968,21,MISSOURI,MO,US,STATE,8,CASES
1968,22,MISSOURI,MO,US,STATE,116,CASES
1968,24,MISSOURI,MO,US,STATE,13,CASES
1968,25,MISSOURI,MO,US,STATE,2,CASES
1968,26,MISSOURI,MO,US,STATE,4,CASES
1968,28,MISSOURI,MO,US,STATE,1,CASES
1968,29,MISSOURI,MO,US,STATE,9,CASES
1968,30,MISSOURI,MO,US,STATE,3,CASES
1968,31,MISSOURI,MO,US,STATE,4,CASES
1968,34,MISSOURI,MO,US,STATE,1,CASES
1968,35,MISSOURI,MO,US,STATE,1,CASES
1968,36,MISSOURI,MO,US,STATE,1,CASES
1968,37,MISSOURI,MO,US,STATE,1,CASES
1968,38,MISSOURI,MO,US,STATE,1,CASES
1968,39,MISSOURI,MO,US,STATE,2,CASES
1968,41,MISSOURI,MO,US,STATE,1,CASES
1968,42,MISSOURI,MO,US,STATE,18,CASES
1968,44,MISSOURI,MO,US,STATE,19,CASES
1968,45,MISSOURI,MO,US,STATE,3,CASES
1968,46,MISSOURI,MO,US,STATE,5,CASES
1968,47,MISSOURI,MO,US,STATE,29,CASES
1968,48,MISSOURI,MO,US,STATE,130,CASES
1968,49,MISSOURI,MO,US,STATE,5,CASES
1968,50,MISSOURI,MO,US,STATE,5,CASES
1968,51,MISSOURI,MO,US,STATE,2,CASES
1968,52,MISSOURI,MO,US,STATE,3,CASES
1969,1,MISSOURI,MO,US,STATE,7,CASES
1969,2,MISSOURI,MO,US,STATE,1,CASES
1969,3,MISSOURI,MO,US,STATE,5,CASES
1969,4,MISSOURI,MO,US,STATE,5,CASES
1969,5,MISSOURI,MO,US,STATE,2,CASES
1969,6,MISSOURI,MO,US,STATE,1,CASES
1969,7,MISSOURI,MO,US,STATE,2,CASES
1969,8,MISSOURI,MO,US,STATE,11,CASES
1969,9,MISSOURI,MO,US,STATE,11,CASES
1969,10,MISSOURI,MO,US,STATE,9,CASES
1969,12,MISSOURI,MO,US,STATE,1,CASES
1969,13,MISSOURI,MO,US,STATE,5,CASES
1969,15,MISSOURI,MO,US,STATE,19,CASES
1969,16,MISSOURI,MO,US,STATE,24,CASES
1969,17,MISSOURI,MO,US,STATE,15,CASES
1969,18,MISSOURI,MO,US,STATE,6,CASES
1969,19,MISSOURI,MO,US,STATE,2,CASES
1969,20,MISSOURI,MO,US,STATE,27,CASES
1969,21,MISSOURI,MO,US,STATE,10,CASES
1969,22,MISSOURI,MO,US,STATE,12,CASES
1969,23,MISSOURI,MO,US,STATE,109,CASES
1969,24,MISSOURI,MO,US,STATE,4,CASES
1969,25,MISSOURI,MO,US,STATE,6,CASES
1969,26,MISSOURI,MO,US,STATE,18,CASES
1969,28,MISSOURI,MO,US,STATE,15,CASES
1969,29,MISSOURI,MO,US,STATE,5,CASES
1969,30,MISSOURI,MO,US,STATE,11,CASES
1969,31,MISSOURI,MO,US,STATE,6,CASES
1969,33,MISSOURI,MO,US,STATE,1,CASES
1969,34,MISSOURI,MO,US,STATE,2,CASES
1969,36,MISSOURI,MO,US,STATE,3,CASES
1969,37,MISSOURI,MO,US,STATE,17,CASES
1969,38,MISSOURI,MO,US,STATE,1,CASES
1969,39,MISSOURI,MO,US,STATE,2,CASES
1969,40,MISSOURI,MO,US,STATE,6,CASES
1969,41,MISSOURI,MO,US,STATE,2,CASES
1969,42,MISSOURI,MO,US,STATE,2,CASES
1969,43,MISSOURI,MO,US,STATE,1,CASES
1969,45,MISSOURI,MO,US,STATE,6,CASES
1969,46,MISSOURI,MO,US,STATE,12,CASES
1969,48,MISSOURI,MO,US,STATE,8,CASES
1969,49,MISSOURI,MO,US,STATE,2,CASES
1969,50,MISSOURI,MO,US,STATE,8,CASES
1969,51,MISSOURI,MO,US,STATE,1,CASES
1969,52,MISSOURI,MO,US,STATE,2,CASES
1970,1,MISSOURI,MO,US,STATE,6,CASES
1970,2,MISSOURI,MO,US,STATE,1,CASES
1970,3,MISSOURI,MO,US,STATE,1,CASES
1970,4,MISSOURI,MO,US,STATE,7,CASES
1970,5,MISSOURI,MO,US,STATE,2,CASES
1970,6,MISSOURI,MO,US,STATE,2,CASES
1970,7,MISSOURI,MO,US,STATE,3,CASES
1970,8,MISSOURI,MO,US,STATE,2,CASES
1970,9,MISSOURI,MO,US,STATE,9,CASES
1970,10,MISSOURI,MO,US,STATE,3,CASES
1970,11,MISSOURI,MO,US,STATE,7,CASES
1970,12,MISSOURI,MO,US,STATE,2,CASES
1970,13,MISSOURI,MO,US,STATE,7,CASES
1970,14,MISSOURI,MO,US,STATE,1,CASES
1970,15,MISSOURI,MO,US,STATE,5,CASES
1970,16,MISSOURI,MO,US,STATE,9,CASES
1970,17,MISSOURI,MO,US,STATE,20,CASES
1970,18,MISSOURI,MO,US,STATE,2,CASES
1970,19,MISSOURI,MO,US,STATE,3,CASES
1970,20,MISSOURI,MO,US,STATE,4,CASES
1970,21,MISSOURI,MO,US,STATE,2,CASES
1970,22,MISSOURI,MO,US,STATE,5,CASES
1970,23,MISSOURI,MO,US,STATE,3,CASES
1970,24,MISSOURI,MO,US,STATE,122,CASES
1970,25,MISSOURI,MO,US,STATE,6,CASES
1970,28,MISSOURI,MO,US,STATE,7,CASES
1970,29,MISSOURI,MO,US,STATE,6,CASES
1970,30,MISSOURI,MO,US,STATE,7,CASES
1970,31,MISSOURI,MO,US,STATE,1,CASES
1970,33,MISSOURI,MO,US,STATE,3,CASES
1970,34,MISSOURI,MO,US,STATE,6,CASES
1970,35,MISSOURI,MO,US,STATE,6,CASES
1970,37,MISSOURI,MO,US,STATE,4,CASES
1970,38,MISSOURI,MO,US,STATE,1,CASES
1970,39,MISSOURI,MO,US,STATE,3,CASES
1970,40,MISSOURI,MO,US,STATE,2,CASES
1970,41,MISSOURI,MO,US,STATE,2,CASES
1970,42,MISSOURI,MO,US,STATE,3,CASES
1970,43,MISSOURI,MO,US,STATE,2,CASES
1970,45,MISSOURI,MO,US,STATE,7,CASES
1970,46,MISSOURI,MO,US,STATE,4,CASES
1970,47,MISSOURI,MO,US,STATE,5,CASES
1970,48,MISSOURI,MO,US,STATE,1,CASES
1970,49,MISSOURI,MO,US,STATE,1,CASES
1970,50,MISSOURI,MO,US,STATE,5,CASES
1970,51,MISSOURI,MO,US,STATE,3,CASES
1970,52,MISSOURI,MO,US,STATE,1,CASES
1971,1,MISSOURI,MO,US,STATE,9,CASES
1971,2,MISSOURI,MO,US,STATE,7,CASES
