year,week,loc,state,country,loc_type,number,event
1966,1,MISSOURI,MO,US,STATE,1,CASES
1966,2,MISSOURI,MO,US,STATE,2,CASES
1966,8,MISSOURI,MO,US,STATE,3,CASES
1966,12,MISSOURI,MO,US,STATE,2,CASES
1966,13,MISSOURI,MO,US,STATE,1,CASES
1966,14,MISSOURI,MO,US,STATE,4,CASES
1966,15,MISSOURI,MO,US,STATE,1,CASES
1966,17,MISSOURI,MO,US,STATE,1,CASES
1966,18,MISSOURI,MO,US,STATE,1,CASES
1966,19,MISSOURI,MO,US,STATE,1,CASES
1966,20,MISSOURI,MO,US,STATE,4,CASES
1966,21,MISSOURI,MO,US,STATE,4,CASES
1966,23,MISSOURI,MO,US,STATE,5,CASES
1966,24,MISSOURI,MO,US,STATE,7,CASES
1966,26,MISSOURI,MO,US,STATE,2,CASES
1966,27,MISSOURI,MO,US,STATE,1,CASES
1966,29,MISSOURI,MO,US,STATE,8,CASES
1966,32,MISSOURI,MO,US,STATE,1,CASES
1966,36,MISSOURI,MO,US,STATE,1,CASES
1966,39,MISSOURI,MO,US,STATE,1,CASES
1966,40,MISSOURI,MO,US,STATE,1,CASES
1966,43,MISSOURI,MO,US,STATE,1,CASES
1966,45,MISSOURI,MO,US,STATE,3,CASES
1966,48,MISSOURI,MO,US,STATE,1,CASES
1967,2,MISSOURI,MO,US,STATE,1,CASES
1967,6,MISSOURI,MO,US,STATE,2,CASES
1967,8,MISSOURI,MO,US,STATE,6,CASES
1967,9,MISSOURI,MO,US,STATE,2,CASES
1967,11,MISSOURI,MO,US,STATE,1,CASES
1967,12,MISSOURI,MO,US,STATE,6,CASES
1967,13,MISSOURI,MO,US,STATE,1,CASES
1967,14,MISSOURI,MO,US,STATE,103,CASES
1967,15,MISSOURI,MO,US,STATE,6,CASES
1967,16,MISSOURI,MO,US,STATE,3,CASES
1967,17,MISSOURI,MO,US,STATE,2,CASES
1967,19,MISSOURI,MO,US,STATE,5,CASES
1967,20,MISSOURI,MO,US,STATE,57,CASES
1967,22,MISSOURI,MO,US,STATE,2,CASES
1967,23,MISSOURI,MO,US,STATE,3,CASES
1967,24,MISSOURI,MO,US,STATE,1,CASES
1967,25,MISSOURI,MO,US,STATE,3,CASES
1967,26,MISSOURI,MO,US,STATE,8,CASES
1967,28,MISSOURI,MO,US,STATE,10,CASES
1967,44,MISSOURI,MO,US,STATE,1,CASES
1967,51,MISSOURI,MO,US,STATE,1,CASES
1968,1,MISSOURI,MO,US,STATE,1,CASES
1968,5,MISSOURI,MO,US,STATE,1,CASES
1968,9,MISSOURI,MO,US,STATE,2,CASES
1968,10,MISSOURI,MO,US,STATE,12,CASES
1968,12,MISSOURI,MO,US,STATE,13,CASES
1968,13,MISSOURI,MO,US,STATE,4,CASES
1968,15,MISSOURI,MO,US,STATE,1,CASES
1968,16,MISSOURI,MO,US,STATE,1,CASES
1968,17,MISSOURI,MO,US,STATE,1,CASES
1968,19,MISSOURI,MO,US,STATE,1,CASES
1968,20,MISSOURI,MO,US,STATE,4,CASES
1968,21,MISSOURI,MO,US,STATE,1,CASES
1968,22,MISSOURI,MO,US,STATE,16,CASES
1968,23,MISSOURI,MO,US,STATE,1,CASES
1968,24,MISSOURI,MO,US,STATE,12,CASES
1968,25,MISSOURI,MO,US,STATE,3,CASES
1968,26,MISSOURI,MO,US,STATE,3,CASES
1968,27,MISSOURI,MO,US,STATE,1,CASES
1968,29,MISSOURI,MO,US,STATE,8,CASES
1968,30,MISSOURI,MO,US,STATE,5,CASES
1968,31,MISSOURI,MO,US,STATE,2,CASES
1968,32,MISSOURI,MO,US,STATE,3,CASES
1968,33,MISSOURI,MO,US,STATE,4,CASES
1968,34,MISSOURI,MO,US,STATE,3,CASES
1968,35,MISSOURI,MO,US,STATE,1,CASES
1968,38,MISSOURI,MO,US,STATE,3,CASES
1968,39,MISSOURI,MO,US,STATE,1,CASES
1968,40,MISSOURI,MO,US,STATE,1,CASES
1968,41,MISSOURI,MO,US,STATE,1,CASES
1968,50,MISSOURI,MO,US,STATE,7,CASES
1968,51,MISSOURI,MO,US,STATE,1,CASES
1968,52,MISSOURI,MO,US,STATE,5,CASES
1969,1,MISSOURI,MO,US,STATE,5,CASES
1969,2,MISSOURI,MO,US,STATE,41,CASES
1969,3,MISSOURI,MO,US,STATE,21,CASES
1969,7,MISSOURI,MO,US,STATE,1,CASES
1969,9,MISSOURI,MO,US,STATE,1,CASES
1969,10,MISSOURI,MO,US,STATE,1,CASES
1969,12,MISSOURI,MO,US,STATE,2,CASES
1969,13,MISSOURI,MO,US,STATE,1,CASES
1969,14,MISSOURI,MO,US,STATE,2,CASES
1969,15,MISSOURI,MO,US,STATE,3,CASES
1969,16,MISSOURI,MO,US,STATE,5,CASES
1969,17,MISSOURI,MO,US,STATE,7,CASES
1969,18,MISSOURI,MO,US,STATE,3,CASES
1969,19,MISSOURI,MO,US,STATE,13,CASES
1969,20,MISSOURI,MO,US,STATE,49,CASES
1969,21,MISSOURI,MO,US,STATE,3,CASES
1969,22,MISSOURI,MO,US,STATE,4,CASES
1969,23,MISSOURI,MO,US,STATE,26,CASES
1969,24,MISSOURI,MO,US,STATE,14,CASES
1969,25,MISSOURI,MO,US,STATE,3,CASES
1969,26,MISSOURI,MO,US,STATE,5,CASES
1969,28,MISSOURI,MO,US,STATE,2,CASES
1969,29,MISSOURI,MO,US,STATE,4,CASES
1969,30,MISSOURI,MO,US,STATE,5,CASES
1969,31,MISSOURI,MO,US,STATE,2,CASES
1969,32,MISSOURI,MO,US,STATE,4,CASES
1969,33,MISSOURI,MO,US,STATE,1,CASES
1969,36,MISSOURI,MO,US,STATE,2,CASES
1969,41,MISSOURI,MO,US,STATE,3,CASES
1969,44,MISSOURI,MO,US,STATE,1,CASES
1969,45,MISSOURI,MO,US,STATE,2,CASES
1969,47,MISSOURI,MO,US,STATE,1,CASES
1969,48,MISSOURI,MO,US,STATE,5,CASES
1969,51,MISSOURI,MO,US,STATE,1,CASES
1969,52,MISSOURI,MO,US,STATE,6,CASES
1970,2,MISSOURI,MO,US,STATE,1,CASES
1970,3,MISSOURI,MO,US,STATE,1,CASES
1970,4,MISSOURI,MO,US,STATE,6,CASES
1970,5,MISSOURI,MO,US,STATE,2,CASES
1970,6,MISSOURI,MO,US,STATE,17,CASES
1970,7,MISSOURI,MO,US,STATE,34,CASES
1970,8,MISSOURI,MO,US,STATE,2,CASES
1970,9,MISSOURI,MO,US,STATE,21,CASES
1970,10,MISSOURI,MO,US,STATE,11,CASES
1970,11,MISSOURI,MO,US,STATE,14,CASES
1970,12,MISSOURI,MO,US,STATE,11,CASES
1970,13,MISSOURI,MO,US,STATE,13,CASES
1970,14,MISSOURI,MO,US,STATE,75,CASES
1970,15,MISSOURI,MO,US,STATE,15,CASES
1970,16,MISSOURI,MO,US,STATE,13,CASES
1970,17,MISSOURI,MO,US,STATE,14,CASES
1970,18,MISSOURI,MO,US,STATE,4,CASES
1970,19,MISSOURI,MO,US,STATE,15,CASES
1970,20,MISSOURI,MO,US,STATE,27,CASES
