year,week,loc,state,country,loc_type,number,event
1928,40,MISSISSIPPI,MS,US,STATE,0,CASES
1937,42,MISSISSIPPI,MS,US,STATE,0,CASES
1938,8,MISSISSIPPI,MS,US,STATE,0,CASES
1939,23,MISSISSIPPI,MS,US,STATE,0,CASES
1939,24,MISSISSIPPI,MS,US,STATE,0,CASES
1939,29,MISSISSIPPI,MS,US,STATE,0,CASES
1939,32,MISSISSIPPI,MS,US,STATE,0,CASES
1940,29,MISSISSIPPI,MS,US,STATE,0,CASES
1940,31,MISSISSIPPI,MS,US,STATE,0,CASES
1940,32,MISSISSIPPI,MS,US,STATE,0,CASES
1940,33,MISSISSIPPI,MS,US,STATE,0,CASES
1940,34,MISSISSIPPI,MS,US,STATE,0,CASES
1940,37,MISSISSIPPI,MS,US,STATE,0,CASES
1941,39,MISSISSIPPI,MS,US,STATE,0,CASES
1942,41,MISSISSIPPI,MS,US,STATE,0,CASES
1944,22,MISSISSIPPI,MS,US,STATE,0,CASES
1944,27,MISSISSIPPI,MS,US,STATE,0,CASES
1944,34,MISSISSIPPI,MS,US,STATE,0,CASES
1944,36,MISSISSIPPI,MS,US,STATE,0,CASES
1945,30,MISSISSIPPI,MS,US,STATE,0,CASES
1945,41,MISSISSIPPI,MS,US,STATE,0,CASES
1947,11,MISSISSIPPI,MS,US,STATE,18,CASES
1947,12,MISSISSIPPI,MS,US,STATE,21,CASES
1947,13,MISSISSIPPI,MS,US,STATE,19,CASES
1947,14,MISSISSIPPI,MS,US,STATE,25,CASES
1947,15,MISSISSIPPI,MS,US,STATE,16,CASES
1947,16,MISSISSIPPI,MS,US,STATE,24,CASES
1947,17,MISSISSIPPI,MS,US,STATE,15,CASES
1947,18,MISSISSIPPI,MS,US,STATE,23,CASES
1947,19,MISSISSIPPI,MS,US,STATE,13,CASES
1947,20,MISSISSIPPI,MS,US,STATE,19,CASES
1947,21,MISSISSIPPI,MS,US,STATE,19,CASES
1947,22,MISSISSIPPI,MS,US,STATE,15,CASES
1947,23,MISSISSIPPI,MS,US,STATE,11,CASES
1947,24,MISSISSIPPI,MS,US,STATE,6,CASES
1947,25,MISSISSIPPI,MS,US,STATE,9,CASES
1947,26,MISSISSIPPI,MS,US,STATE,3,CASES
