year,week,loc,state,country,loc_type,number,event
1968,1,MISSISSIPPI,MS,US,STATE,10,CASES
1968,2,MISSISSIPPI,MS,US,STATE,27,CASES
1968,3,MISSISSIPPI,MS,US,STATE,12,CASES
1968,4,MISSISSIPPI,MS,US,STATE,40,CASES
1968,6,MISSISSIPPI,MS,US,STATE,12,CASES
1968,7,MISSISSIPPI,MS,US,STATE,18,CASES
1968,8,MISSISSIPPI,MS,US,STATE,4,CASES
1968,9,MISSISSIPPI,MS,US,STATE,3,CASES
1968,10,MISSISSIPPI,MS,US,STATE,13,CASES
1968,11,MISSISSIPPI,MS,US,STATE,2,CASES
1968,12,MISSISSIPPI,MS,US,STATE,8,CASES
1968,13,MISSISSIPPI,MS,US,STATE,53,CASES
1968,14,MISSISSIPPI,MS,US,STATE,10,CASES
1968,15,MISSISSIPPI,MS,US,STATE,4,CASES
1968,16,MISSISSIPPI,MS,US,STATE,6,CASES
1968,17,MISSISSIPPI,MS,US,STATE,2,CASES
1968,22,MISSISSIPPI,MS,US,STATE,2,CASES
1968,24,MISSISSIPPI,MS,US,STATE,3,CASES
1968,26,MISSISSIPPI,MS,US,STATE,4,CASES
1968,32,MISSISSIPPI,MS,US,STATE,1,CASES
1968,33,MISSISSIPPI,MS,US,STATE,2,CASES
1968,38,MISSISSIPPI,MS,US,STATE,1,CASES
1968,40,MISSISSIPPI,MS,US,STATE,2,CASES
1968,42,MISSISSIPPI,MS,US,STATE,2,CASES
1968,43,MISSISSIPPI,MS,US,STATE,2,CASES
1968,45,MISSISSIPPI,MS,US,STATE,2,CASES
1968,50,MISSISSIPPI,MS,US,STATE,1,CASES
1968,51,MISSISSIPPI,MS,US,STATE,1,CASES
1969,1,MISSISSIPPI,MS,US,STATE,1,CASES
1969,2,MISSISSIPPI,MS,US,STATE,2,CASES
1969,3,MISSISSIPPI,MS,US,STATE,6,CASES
1969,4,MISSISSIPPI,MS,US,STATE,2,CASES
1969,5,MISSISSIPPI,MS,US,STATE,3,CASES
1969,6,MISSISSIPPI,MS,US,STATE,6,CASES
1969,7,MISSISSIPPI,MS,US,STATE,1,CASES
1969,10,MISSISSIPPI,MS,US,STATE,3,CASES
1969,19,MISSISSIPPI,MS,US,STATE,1,CASES
1969,20,MISSISSIPPI,MS,US,STATE,1,CASES
1969,21,MISSISSIPPI,MS,US,STATE,3,CASES
1969,22,MISSISSIPPI,MS,US,STATE,4,CASES
1969,23,MISSISSIPPI,MS,US,STATE,2,CASES
1969,26,MISSISSIPPI,MS,US,STATE,1,CASES
1969,27,MISSISSIPPI,MS,US,STATE,3,CASES
1969,30,MISSISSIPPI,MS,US,STATE,4,CASES
1969,31,MISSISSIPPI,MS,US,STATE,1,CASES
1969,33,MISSISSIPPI,MS,US,STATE,1,CASES
1969,40,MISSISSIPPI,MS,US,STATE,1,CASES
1969,42,MISSISSIPPI,MS,US,STATE,1,CASES
1969,43,MISSISSIPPI,MS,US,STATE,1,CASES
1969,44,MISSISSIPPI,MS,US,STATE,2,CASES
1969,50,MISSISSIPPI,MS,US,STATE,1,CASES
1970,2,MISSISSIPPI,MS,US,STATE,1,CASES
1970,3,MISSISSIPPI,MS,US,STATE,1,CASES
1970,4,MISSISSIPPI,MS,US,STATE,2,CASES
1970,5,MISSISSIPPI,MS,US,STATE,2,CASES
1970,6,MISSISSIPPI,MS,US,STATE,1,CASES
1970,7,MISSISSIPPI,MS,US,STATE,2,CASES
1970,11,MISSISSIPPI,MS,US,STATE,1,CASES
1970,13,MISSISSIPPI,MS,US,STATE,3,CASES
1970,15,MISSISSIPPI,MS,US,STATE,3,CASES
1970,16,MISSISSIPPI,MS,US,STATE,1,CASES
1970,17,MISSISSIPPI,MS,US,STATE,1,CASES
1970,18,MISSISSIPPI,MS,US,STATE,1,CASES
1970,19,MISSISSIPPI,MS,US,STATE,1,CASES
1970,20,MISSISSIPPI,MS,US,STATE,6,CASES
1970,21,MISSISSIPPI,MS,US,STATE,4,CASES
1970,23,MISSISSIPPI,MS,US,STATE,2,CASES
1970,24,MISSISSIPPI,MS,US,STATE,6,CASES
1970,25,MISSISSIPPI,MS,US,STATE,2,CASES
1970,27,MISSISSIPPI,MS,US,STATE,2,CASES
1970,28,MISSISSIPPI,MS,US,STATE,4,CASES
1970,36,MISSISSIPPI,MS,US,STATE,1,CASES
1970,37,MISSISSIPPI,MS,US,STATE,1,CASES
1970,46,MISSISSIPPI,MS,US,STATE,1,CASES
1970,47,MISSISSIPPI,MS,US,STATE,7,CASES
1970,50,MISSISSIPPI,MS,US,STATE,13,CASES
1970,52,MISSISSIPPI,MS,US,STATE,4,CASES
1971,1,MISSISSIPPI,MS,US,STATE,12,CASES
1971,2,MISSISSIPPI,MS,US,STATE,2,CASES
1971,3,MISSISSIPPI,MS,US,STATE,4,CASES
1971,4,MISSISSIPPI,MS,US,STATE,2,CASES
1971,6,MISSISSIPPI,MS,US,STATE,2,CASES
1971,7,MISSISSIPPI,MS,US,STATE,9,CASES
1971,9,MISSISSIPPI,MS,US,STATE,3,CASES
1971,10,MISSISSIPPI,MS,US,STATE,11,CASES
1971,11,MISSISSIPPI,MS,US,STATE,1,CASES
1971,12,MISSISSIPPI,MS,US,STATE,18,CASES
1971,13,MISSISSIPPI,MS,US,STATE,2,CASES
1971,14,MISSISSIPPI,MS,US,STATE,5,CASES
1971,15,MISSISSIPPI,MS,US,STATE,5,CASES
1971,16,MISSISSIPPI,MS,US,STATE,8,CASES
1971,17,MISSISSIPPI,MS,US,STATE,5,CASES
1971,18,MISSISSIPPI,MS,US,STATE,1,CASES
1971,19,MISSISSIPPI,MS,US,STATE,2,CASES
1971,20,MISSISSIPPI,MS,US,STATE,2,CASES
1971,22,MISSISSIPPI,MS,US,STATE,4,CASES
1971,25,MISSISSIPPI,MS,US,STATE,1,CASES
1971,26,MISSISSIPPI,MS,US,STATE,1,CASES
1971,28,MISSISSIPPI,MS,US,STATE,3,CASES
1971,29,MISSISSIPPI,MS,US,STATE,22,CASES
1971,30,MISSISSIPPI,MS,US,STATE,7,CASES
1971,34,MISSISSIPPI,MS,US,STATE,2,CASES
1971,38,MISSISSIPPI,MS,US,STATE,6,CASES
1971,39,MISSISSIPPI,MS,US,STATE,6,CASES
1971,41,MISSISSIPPI,MS,US,STATE,1,CASES
1971,43,MISSISSIPPI,MS,US,STATE,2,CASES
1971,44,MISSISSIPPI,MS,US,STATE,1,CASES
1971,45,MISSISSIPPI,MS,US,STATE,1,CASES
1971,46,MISSISSIPPI,MS,US,STATE,2,CASES
1971,48,MISSISSIPPI,MS,US,STATE,2,CASES
1971,50,MISSISSIPPI,MS,US,STATE,5,CASES
1971,51,MISSISSIPPI,MS,US,STATE,1,CASES
1972,1,MISSISSIPPI,MS,US,STATE,1,CASES
1972,3,MISSISSIPPI,MS,US,STATE,16,CASES
1972,4,MISSISSIPPI,MS,US,STATE,2,CASES
1972,5,MISSISSIPPI,MS,US,STATE,1,CASES
1972,6,MISSISSIPPI,MS,US,STATE,14,CASES
1972,7,MISSISSIPPI,MS,US,STATE,1,CASES
1972,8,MISSISSIPPI,MS,US,STATE,8,CASES
1972,9,MISSISSIPPI,MS,US,STATE,2,CASES
1972,10,MISSISSIPPI,MS,US,STATE,5,CASES
1972,11,MISSISSIPPI,MS,US,STATE,5,CASES
1972,12,MISSISSIPPI,MS,US,STATE,2,CASES
1972,13,MISSISSIPPI,MS,US,STATE,8,CASES
1972,14,MISSISSIPPI,MS,US,STATE,8,CASES
1972,15,MISSISSIPPI,MS,US,STATE,10,CASES
1972,16,MISSISSIPPI,MS,US,STATE,1,CASES
1972,17,MISSISSIPPI,MS,US,STATE,2,CASES
1972,18,MISSISSIPPI,MS,US,STATE,3,CASES
1972,19,MISSISSIPPI,MS,US,STATE,3,CASES
1972,20,MISSISSIPPI,MS,US,STATE,1,CASES
1972,21,MISSISSIPPI,MS,US,STATE,2,CASES
1972,22,MISSISSIPPI,MS,US,STATE,2,CASES
1972,23,MISSISSIPPI,MS,US,STATE,1,CASES
1972,24,MISSISSIPPI,MS,US,STATE,7,CASES
1972,26,MISSISSIPPI,MS,US,STATE,1,CASES
1972,27,MISSISSIPPI,MS,US,STATE,2,CASES
1972,38,MISSISSIPPI,MS,US,STATE,1,CASES
1972,39,MISSISSIPPI,MS,US,STATE,2,CASES
1972,40,MISSISSIPPI,MS,US,STATE,2,CASES
1972,41,MISSISSIPPI,MS,US,STATE,3,CASES
1972,42,MISSISSIPPI,MS,US,STATE,1,CASES
1972,44,MISSISSIPPI,MS,US,STATE,1,CASES
1972,47,MISSISSIPPI,MS,US,STATE,3,CASES
1972,48,MISSISSIPPI,MS,US,STATE,2,CASES
1972,50,MISSISSIPPI,MS,US,STATE,1,CASES
1972,51,MISSISSIPPI,MS,US,STATE,2,CASES
1973,2,MISSISSIPPI,MS,US,STATE,8,CASES
1973,3,MISSISSIPPI,MS,US,STATE,2,CASES
1973,5,MISSISSIPPI,MS,US,STATE,1,CASES
1973,6,MISSISSIPPI,MS,US,STATE,77,CASES
1973,7,MISSISSIPPI,MS,US,STATE,233,CASES
1973,8,MISSISSIPPI,MS,US,STATE,4,CASES
1973,9,MISSISSIPPI,MS,US,STATE,23,CASES
1973,10,MISSISSIPPI,MS,US,STATE,7,CASES
1973,11,MISSISSIPPI,MS,US,STATE,6,CASES
1973,13,MISSISSIPPI,MS,US,STATE,13,CASES
1973,14,MISSISSIPPI,MS,US,STATE,17,CASES
1973,15,MISSISSIPPI,MS,US,STATE,24,CASES
1973,16,MISSISSIPPI,MS,US,STATE,1,CASES
1973,17,MISSISSIPPI,MS,US,STATE,2,CASES
1973,18,MISSISSIPPI,MS,US,STATE,10,CASES
1973,19,MISSISSIPPI,MS,US,STATE,14,CASES
1973,20,MISSISSIPPI,MS,US,STATE,1,CASES
1973,21,MISSISSIPPI,MS,US,STATE,5,CASES
1973,25,MISSISSIPPI,MS,US,STATE,4,CASES
1973,28,MISSISSIPPI,MS,US,STATE,2,CASES
1973,32,MISSISSIPPI,MS,US,STATE,2,CASES
1973,34,MISSISSIPPI,MS,US,STATE,1,CASES
1973,37,MISSISSIPPI,MS,US,STATE,1,CASES
1973,39,MISSISSIPPI,MS,US,STATE,1,CASES
1973,41,MISSISSIPPI,MS,US,STATE,1,CASES
1973,43,MISSISSIPPI,MS,US,STATE,7,CASES
1973,45,MISSISSIPPI,MS,US,STATE,1,CASES
1973,47,MISSISSIPPI,MS,US,STATE,2,CASES
1973,48,MISSISSIPPI,MS,US,STATE,5,CASES
1973,49,MISSISSIPPI,MS,US,STATE,7,CASES
1973,50,MISSISSIPPI,MS,US,STATE,2,CASES
1973,51,MISSISSIPPI,MS,US,STATE,1,CASES
1973,52,MISSISSIPPI,MS,US,STATE,1,CASES
1974,1,MISSISSIPPI,MS,US,STATE,1,CASES
1974,2,MISSISSIPPI,MS,US,STATE,10,CASES
1974,3,MISSISSIPPI,MS,US,STATE,2,CASES
1974,4,MISSISSIPPI,MS,US,STATE,1,CASES
1974,7,MISSISSIPPI,MS,US,STATE,1,CASES
1974,8,MISSISSIPPI,MS,US,STATE,3,CASES
1974,10,MISSISSIPPI,MS,US,STATE,3,CASES
1974,11,MISSISSIPPI,MS,US,STATE,3,CASES
1974,13,MISSISSIPPI,MS,US,STATE,8,CASES
1974,14,MISSISSIPPI,MS,US,STATE,3,CASES
1974,15,MISSISSIPPI,MS,US,STATE,8,CASES
1974,16,MISSISSIPPI,MS,US,STATE,5,CASES
1974,17,MISSISSIPPI,MS,US,STATE,5,CASES
1974,18,MISSISSIPPI,MS,US,STATE,4,CASES
1974,19,MISSISSIPPI,MS,US,STATE,2,CASES
1974,20,MISSISSIPPI,MS,US,STATE,279,CASES
1974,22,MISSISSIPPI,MS,US,STATE,5,CASES
1974,24,MISSISSIPPI,MS,US,STATE,2,CASES
1974,25,MISSISSIPPI,MS,US,STATE,13,CASES
1974,26,MISSISSIPPI,MS,US,STATE,6,CASES
1974,28,MISSISSIPPI,MS,US,STATE,4,CASES
1974,29,MISSISSIPPI,MS,US,STATE,1,CASES
1974,30,MISSISSIPPI,MS,US,STATE,1,CASES
1974,36,MISSISSIPPI,MS,US,STATE,1,CASES
1974,37,MISSISSIPPI,MS,US,STATE,1,CASES
1974,39,MISSISSIPPI,MS,US,STATE,1,CASES
1974,40,MISSISSIPPI,MS,US,STATE,1,CASES
1974,43,MISSISSIPPI,MS,US,STATE,1,CASES
1974,45,MISSISSIPPI,MS,US,STATE,2,CASES
1974,46,MISSISSIPPI,MS,US,STATE,3,CASES
1974,47,MISSISSIPPI,MS,US,STATE,8,CASES
1974,48,MISSISSIPPI,MS,US,STATE,1,CASES
1974,49,MISSISSIPPI,MS,US,STATE,1,CASES
1974,50,MISSISSIPPI,MS,US,STATE,1,CASES
1974,51,MISSISSIPPI,MS,US,STATE,12,CASES
1975,1,MISSISSIPPI,MS,US,STATE,2,CASES
1975,3,MISSISSIPPI,MS,US,STATE,1,CASES
1975,4,MISSISSIPPI,MS,US,STATE,3,CASES
1975,5,MISSISSIPPI,MS,US,STATE,6,CASES
1975,6,MISSISSIPPI,MS,US,STATE,7,CASES
1975,7,MISSISSIPPI,MS,US,STATE,8,CASES
1975,8,MISSISSIPPI,MS,US,STATE,8,CASES
1975,9,MISSISSIPPI,MS,US,STATE,8,CASES
1975,10,MISSISSIPPI,MS,US,STATE,5,CASES
1975,11,MISSISSIPPI,MS,US,STATE,3,CASES
1975,12,MISSISSIPPI,MS,US,STATE,2,CASES
1975,13,MISSISSIPPI,MS,US,STATE,3,CASES
1975,14,MISSISSIPPI,MS,US,STATE,4,CASES
1975,15,MISSISSIPPI,MS,US,STATE,3,CASES
1975,16,MISSISSIPPI,MS,US,STATE,7,CASES
1975,17,MISSISSIPPI,MS,US,STATE,55,CASES
1975,18,MISSISSIPPI,MS,US,STATE,21,CASES
1975,19,MISSISSIPPI,MS,US,STATE,9,CASES
1975,20,MISSISSIPPI,MS,US,STATE,6,CASES
