year,week,loc,state,country,loc_type,number,event
1927,47,MISSISSIPPI,MS,US,STATE,30,CASES
1927,48,MISSISSIPPI,MS,US,STATE,28,CASES
1927,49,MISSISSIPPI,MS,US,STATE,17,CASES
1927,51,MISSISSIPPI,MS,US,STATE,14,CASES
1927,52,MISSISSIPPI,MS,US,STATE,15,CASES
1928,1,MISSISSIPPI,MS,US,STATE,23,CASES
1928,2,MISSISSIPPI,MS,US,STATE,20,CASES
1928,3,MISSISSIPPI,MS,US,STATE,16,CASES
1928,4,MISSISSIPPI,MS,US,STATE,12,CASES
1928,5,MISSISSIPPI,MS,US,STATE,13,CASES
1928,6,MISSISSIPPI,MS,US,STATE,20,CASES
1928,7,MISSISSIPPI,MS,US,STATE,11,CASES
1928,8,MISSISSIPPI,MS,US,STATE,22,CASES
1928,9,MISSISSIPPI,MS,US,STATE,24,CASES
1928,10,MISSISSIPPI,MS,US,STATE,21,CASES
1928,11,MISSISSIPPI,MS,US,STATE,9,CASES
1928,12,MISSISSIPPI,MS,US,STATE,16,CASES
1928,13,MISSISSIPPI,MS,US,STATE,7,CASES
1928,14,MISSISSIPPI,MS,US,STATE,12,CASES
1928,16,MISSISSIPPI,MS,US,STATE,6,CASES
1928,17,MISSISSIPPI,MS,US,STATE,11,CASES
1928,18,MISSISSIPPI,MS,US,STATE,9,CASES
1928,19,MISSISSIPPI,MS,US,STATE,5,CASES
1928,20,MISSISSIPPI,MS,US,STATE,14,CASES
1928,21,MISSISSIPPI,MS,US,STATE,7,CASES
1928,22,MISSISSIPPI,MS,US,STATE,5,CASES
1928,23,MISSISSIPPI,MS,US,STATE,3,CASES
1928,24,MISSISSIPPI,MS,US,STATE,4,CASES
1928,25,MISSISSIPPI,MS,US,STATE,4,CASES
1928,26,MISSISSIPPI,MS,US,STATE,2,CASES
1928,27,MISSISSIPPI,MS,US,STATE,3,CASES
1928,28,MISSISSIPPI,MS,US,STATE,4,CASES
1928,29,MISSISSIPPI,MS,US,STATE,3,CASES
1928,30,MISSISSIPPI,MS,US,STATE,6,CASES
1928,31,MISSISSIPPI,MS,US,STATE,4,CASES
1928,32,MISSISSIPPI,MS,US,STATE,4,CASES
1928,33,MISSISSIPPI,MS,US,STATE,5,CASES
1928,34,MISSISSIPPI,MS,US,STATE,7,CASES
1928,35,MISSISSIPPI,MS,US,STATE,8,CASES
1928,36,MISSISSIPPI,MS,US,STATE,16,CASES
1928,37,MISSISSIPPI,MS,US,STATE,20,CASES
1928,38,MISSISSIPPI,MS,US,STATE,5,CASES
1928,39,MISSISSIPPI,MS,US,STATE,23,CASES
1928,40,MISSISSIPPI,MS,US,STATE,29,CASES
1928,41,MISSISSIPPI,MS,US,STATE,30,CASES
1928,42,MISSISSIPPI,MS,US,STATE,35,CASES
1928,43,MISSISSIPPI,MS,US,STATE,20,CASES
1928,44,MISSISSIPPI,MS,US,STATE,24,CASES
1928,45,MISSISSIPPI,MS,US,STATE,27,CASES
1928,46,MISSISSIPPI,MS,US,STATE,23,CASES
1928,47,MISSISSIPPI,MS,US,STATE,21,CASES
1928,48,MISSISSIPPI,MS,US,STATE,20,CASES
1928,49,MISSISSIPPI,MS,US,STATE,28,CASES
1928,50,MISSISSIPPI,MS,US,STATE,20,CASES
1928,51,MISSISSIPPI,MS,US,STATE,12,CASES
1928,52,MISSISSIPPI,MS,US,STATE,10,CASES
1929,1,MISSISSIPPI,MS,US,STATE,12,CASES
1929,2,MISSISSIPPI,MS,US,STATE,11,CASES
1929,3,MISSISSIPPI,MS,US,STATE,5,CASES
1929,4,MISSISSIPPI,MS,US,STATE,10,CASES
1929,5,MISSISSIPPI,MS,US,STATE,10,CASES
1929,6,MISSISSIPPI,MS,US,STATE,15,CASES
1929,7,MISSISSIPPI,MS,US,STATE,7,CASES
1929,8,MISSISSIPPI,MS,US,STATE,11,CASES
1929,9,MISSISSIPPI,MS,US,STATE,13,CASES
1929,10,MISSISSIPPI,MS,US,STATE,13,CASES
1929,11,MISSISSIPPI,MS,US,STATE,15,CASES
1929,12,MISSISSIPPI,MS,US,STATE,7,CASES
1929,13,MISSISSIPPI,MS,US,STATE,9,CASES
1929,14,MISSISSIPPI,MS,US,STATE,7,CASES
1929,15,MISSISSIPPI,MS,US,STATE,8,CASES
1929,16,MISSISSIPPI,MS,US,STATE,3,CASES
1929,17,MISSISSIPPI,MS,US,STATE,9,CASES
1929,18,MISSISSIPPI,MS,US,STATE,21,CASES
1929,19,MISSISSIPPI,MS,US,STATE,15,CASES
1929,20,MISSISSIPPI,MS,US,STATE,4,CASES
1929,21,MISSISSIPPI,MS,US,STATE,3,CASES
1929,22,MISSISSIPPI,MS,US,STATE,10,CASES
1929,23,MISSISSIPPI,MS,US,STATE,5,CASES
1929,24,MISSISSIPPI,MS,US,STATE,7,CASES
1929,25,MISSISSIPPI,MS,US,STATE,3,CASES
1929,26,MISSISSIPPI,MS,US,STATE,5,CASES
1929,27,MISSISSIPPI,MS,US,STATE,6,CASES
1929,28,MISSISSIPPI,MS,US,STATE,2,CASES
1929,29,MISSISSIPPI,MS,US,STATE,1,CASES
1929,30,MISSISSIPPI,MS,US,STATE,6,CASES
1929,31,MISSISSIPPI,MS,US,STATE,8,CASES
1929,32,MISSISSIPPI,MS,US,STATE,8,CASES
1929,33,MISSISSIPPI,MS,US,STATE,7,CASES
1929,34,MISSISSIPPI,MS,US,STATE,8,CASES
1929,35,MISSISSIPPI,MS,US,STATE,13,CASES
1929,36,MISSISSIPPI,MS,US,STATE,18,CASES
1929,37,MISSISSIPPI,MS,US,STATE,16,CASES
1929,38,MISSISSIPPI,MS,US,STATE,21,CASES
1929,39,MISSISSIPPI,MS,US,STATE,19,CASES
1929,40,MISSISSIPPI,MS,US,STATE,29,CASES
1929,41,MISSISSIPPI,MS,US,STATE,30,CASES
1929,42,MISSISSIPPI,MS,US,STATE,26,CASES
1929,43,MISSISSIPPI,MS,US,STATE,38,CASES
1929,44,MISSISSIPPI,MS,US,STATE,22,CASES
1929,45,MISSISSIPPI,MS,US,STATE,38,CASES
1929,46,MISSISSIPPI,MS,US,STATE,30,CASES
1929,47,MISSISSIPPI,MS,US,STATE,27,CASES
1929,48,MISSISSIPPI,MS,US,STATE,19,CASES
1929,49,MISSISSIPPI,MS,US,STATE,19,CASES
1929,50,MISSISSIPPI,MS,US,STATE,23,CASES
1929,51,MISSISSIPPI,MS,US,STATE,21,CASES
1929,52,MISSISSIPPI,MS,US,STATE,17,CASES
1930,1,MISSISSIPPI,MS,US,STATE,8,CASES
1930,2,MISSISSIPPI,MS,US,STATE,26,CASES
1930,3,MISSISSIPPI,MS,US,STATE,13,CASES
1930,4,MISSISSIPPI,MS,US,STATE,19,CASES
1930,5,MISSISSIPPI,MS,US,STATE,16,CASES
1930,6,MISSISSIPPI,MS,US,STATE,22,CASES
1930,7,MISSISSIPPI,MS,US,STATE,16,CASES
1930,8,MISSISSIPPI,MS,US,STATE,55,CASES
1930,9,MISSISSIPPI,MS,US,STATE,14,CASES
1930,10,MISSISSIPPI,MS,US,STATE,20,CASES
1930,11,MISSISSIPPI,MS,US,STATE,12,CASES
1930,12,MISSISSIPPI,MS,US,STATE,13,CASES
1930,13,MISSISSIPPI,MS,US,STATE,10,CASES
