year,week,loc,state,country,loc_type,number,event
1972,3,MONTANA,MT,US,STATE,17,CASES
1972,4,MONTANA,MT,US,STATE,47,CASES
1972,5,MONTANA,MT,US,STATE,9,CASES
1972,6,MONTANA,MT,US,STATE,13,CASES
1972,7,MONTANA,MT,US,STATE,23,CASES
1972,8,MONTANA,MT,US,STATE,42,CASES
1972,9,MONTANA,MT,US,STATE,25,CASES
1972,10,MONTANA,MT,US,STATE,26,CASES
1972,11,MONTANA,MT,US,STATE,10,CASES
1972,12,MONTANA,MT,US,STATE,14,CASES
1972,13,MONTANA,MT,US,STATE,14,CASES
1972,14,MONTANA,MT,US,STATE,10,CASES
1972,15,MONTANA,MT,US,STATE,33,CASES
1972,16,MONTANA,MT,US,STATE,25,CASES
1972,17,MONTANA,MT,US,STATE,38,CASES
1972,18,MONTANA,MT,US,STATE,12,CASES
1972,19,MONTANA,MT,US,STATE,20,CASES
1972,20,MONTANA,MT,US,STATE,18,CASES
1972,21,MONTANA,MT,US,STATE,5,CASES
1972,23,MONTANA,MT,US,STATE,61,CASES
1972,24,MONTANA,MT,US,STATE,31,CASES
1972,25,MONTANA,MT,US,STATE,73,CASES
1972,26,MONTANA,MT,US,STATE,21,CASES
1972,27,MONTANA,MT,US,STATE,22,CASES
1972,28,MONTANA,MT,US,STATE,15,CASES
1972,29,MONTANA,MT,US,STATE,2,CASES
1972,30,MONTANA,MT,US,STATE,5,CASES
1972,31,MONTANA,MT,US,STATE,7,CASES
1972,33,MONTANA,MT,US,STATE,4,CASES
1972,37,MONTANA,MT,US,STATE,14,CASES
1972,38,MONTANA,MT,US,STATE,21,CASES
1972,39,MONTANA,MT,US,STATE,14,CASES
1972,40,MONTANA,MT,US,STATE,4,CASES
1972,41,MONTANA,MT,US,STATE,2,CASES
1972,42,MONTANA,MT,US,STATE,5,CASES
1972,43,MONTANA,MT,US,STATE,3,CASES
1972,44,MONTANA,MT,US,STATE,6,CASES
1972,45,MONTANA,MT,US,STATE,18,CASES
1972,46,MONTANA,MT,US,STATE,12,CASES
1972,47,MONTANA,MT,US,STATE,42,CASES
1972,48,MONTANA,MT,US,STATE,50,CASES
1972,49,MONTANA,MT,US,STATE,18,CASES
1972,50,MONTANA,MT,US,STATE,18,CASES
1972,51,MONTANA,MT,US,STATE,29,CASES
1973,1,MONTANA,MT,US,STATE,18,CASES
1973,3,MONTANA,MT,US,STATE,22,CASES
1973,4,MONTANA,MT,US,STATE,13,CASES
1973,5,MONTANA,MT,US,STATE,10,CASES
1973,6,MONTANA,MT,US,STATE,5,CASES
1973,7,MONTANA,MT,US,STATE,14,CASES
1973,8,MONTANA,MT,US,STATE,25,CASES
1973,9,MONTANA,MT,US,STATE,14,CASES
1973,10,MONTANA,MT,US,STATE,16,CASES
1973,11,MONTANA,MT,US,STATE,19,CASES
1973,12,MONTANA,MT,US,STATE,16,CASES
1973,13,MONTANA,MT,US,STATE,23,CASES
1973,14,MONTANA,MT,US,STATE,27,CASES
1973,15,MONTANA,MT,US,STATE,30,CASES
1973,16,MONTANA,MT,US,STATE,11,CASES
1973,17,MONTANA,MT,US,STATE,31,CASES
1973,18,MONTANA,MT,US,STATE,10,CASES
1973,19,MONTANA,MT,US,STATE,46,CASES
1973,20,MONTANA,MT,US,STATE,27,CASES
1973,21,MONTANA,MT,US,STATE,18,CASES
1973,22,MONTANA,MT,US,STATE,8,CASES
1973,23,MONTANA,MT,US,STATE,39,CASES
1973,24,MONTANA,MT,US,STATE,29,CASES
1973,25,MONTANA,MT,US,STATE,6,CASES
1973,26,MONTANA,MT,US,STATE,20,CASES
1973,28,MONTANA,MT,US,STATE,31,CASES
1973,29,MONTANA,MT,US,STATE,14,CASES
1973,30,MONTANA,MT,US,STATE,1,CASES
1973,31,MONTANA,MT,US,STATE,7,CASES
1973,33,MONTANA,MT,US,STATE,4,CASES
1973,34,MONTANA,MT,US,STATE,2,CASES
1973,35,MONTANA,MT,US,STATE,3,CASES
1973,36,MONTANA,MT,US,STATE,1,CASES
1973,38,MONTANA,MT,US,STATE,8,CASES
1973,39,MONTANA,MT,US,STATE,3,CASES
1973,40,MONTANA,MT,US,STATE,1,CASES
1973,41,MONTANA,MT,US,STATE,10,CASES
1973,42,MONTANA,MT,US,STATE,1,CASES
1973,43,MONTANA,MT,US,STATE,8,CASES
1973,44,MONTANA,MT,US,STATE,19,CASES
1973,45,MONTANA,MT,US,STATE,16,CASES
1973,46,MONTANA,MT,US,STATE,26,CASES
1973,47,MONTANA,MT,US,STATE,25,CASES
1973,48,MONTANA,MT,US,STATE,29,CASES
1973,49,MONTANA,MT,US,STATE,32,CASES
1973,51,MONTANA,MT,US,STATE,33,CASES
1973,52,MONTANA,MT,US,STATE,41,CASES
1974,1,MONTANA,MT,US,STATE,23,CASES
1974,2,MONTANA,MT,US,STATE,57,CASES
1974,3,MONTANA,MT,US,STATE,21,CASES
1974,4,MONTANA,MT,US,STATE,43,CASES
1974,5,MONTANA,MT,US,STATE,27,CASES
1974,6,MONTANA,MT,US,STATE,37,CASES
1974,7,MONTANA,MT,US,STATE,45,CASES
1974,8,MONTANA,MT,US,STATE,20,CASES
1974,9,MONTANA,MT,US,STATE,44,CASES
1974,10,MONTANA,MT,US,STATE,4,CASES
1974,11,MONTANA,MT,US,STATE,37,CASES
1974,12,MONTANA,MT,US,STATE,94,CASES
1974,13,MONTANA,MT,US,STATE,31,CASES
1974,14,MONTANA,MT,US,STATE,34,CASES
1974,16,MONTANA,MT,US,STATE,22,CASES
1974,17,MONTANA,MT,US,STATE,45,CASES
1974,18,MONTANA,MT,US,STATE,92,CASES
1974,19,MONTANA,MT,US,STATE,21,CASES
1974,20,MONTANA,MT,US,STATE,100,CASES
1974,21,MONTANA,MT,US,STATE,13,CASES
1974,22,MONTANA,MT,US,STATE,49,CASES
1974,23,MONTANA,MT,US,STATE,73,CASES
1974,24,MONTANA,MT,US,STATE,4,CASES
1974,25,MONTANA,MT,US,STATE,17,CASES
1974,26,MONTANA,MT,US,STATE,18,CASES
1974,27,MONTANA,MT,US,STATE,1,CASES
1974,28,MONTANA,MT,US,STATE,16,CASES
1974,29,MONTANA,MT,US,STATE,4,CASES
1974,30,MONTANA,MT,US,STATE,31,CASES
1974,31,MONTANA,MT,US,STATE,3,CASES
1974,32,MONTANA,MT,US,STATE,1,CASES
1974,35,MONTANA,MT,US,STATE,5,CASES
1974,37,MONTANA,MT,US,STATE,5,CASES
1974,40,MONTANA,MT,US,STATE,25,CASES
1974,42,MONTANA,MT,US,STATE,34,CASES
1974,43,MONTANA,MT,US,STATE,11,CASES
1974,46,MONTANA,MT,US,STATE,47,CASES
1974,48,MONTANA,MT,US,STATE,14,CASES
1974,49,MONTANA,MT,US,STATE,22,CASES
1974,50,MONTANA,MT,US,STATE,8,CASES
1974,51,MONTANA,MT,US,STATE,2,CASES
1974,52,MONTANA,MT,US,STATE,43,CASES
1975,1,MONTANA,MT,US,STATE,38,CASES
1975,2,MONTANA,MT,US,STATE,8,CASES
1975,3,MONTANA,MT,US,STATE,30,CASES
1975,4,MONTANA,MT,US,STATE,34,CASES
1975,5,MONTANA,MT,US,STATE,5,CASES
1975,6,MONTANA,MT,US,STATE,19,CASES
1975,7,MONTANA,MT,US,STATE,10,CASES
1975,8,MONTANA,MT,US,STATE,45,CASES
1975,9,MONTANA,MT,US,STATE,45,CASES
1975,10,MONTANA,MT,US,STATE,8,CASES
1975,11,MONTANA,MT,US,STATE,70,CASES
1975,12,MONTANA,MT,US,STATE,33,CASES
1975,13,MONTANA,MT,US,STATE,32,CASES
1975,14,MONTANA,MT,US,STATE,33,CASES
1975,15,MONTANA,MT,US,STATE,25,CASES
1975,16,MONTANA,MT,US,STATE,38,CASES
1975,17,MONTANA,MT,US,STATE,15,CASES
1975,18,MONTANA,MT,US,STATE,30,CASES
1975,19,MONTANA,MT,US,STATE,20,CASES
1975,20,MONTANA,MT,US,STATE,12,CASES
1975,21,MONTANA,MT,US,STATE,21,CASES
1975,22,MONTANA,MT,US,STATE,50,CASES
1975,23,MONTANA,MT,US,STATE,23,CASES
1975,24,MONTANA,MT,US,STATE,10,CASES
1975,25,MONTANA,MT,US,STATE,8,CASES
1975,26,MONTANA,MT,US,STATE,3,CASES
1975,28,MONTANA,MT,US,STATE,6,CASES
1975,29,MONTANA,MT,US,STATE,6,CASES
1975,30,MONTANA,MT,US,STATE,12,CASES
1975,31,MONTANA,MT,US,STATE,16,CASES
1975,32,MONTANA,MT,US,STATE,8,CASES
1975,34,MONTANA,MT,US,STATE,13,CASES
1975,35,MONTANA,MT,US,STATE,3,CASES
1975,36,MONTANA,MT,US,STATE,14,CASES
1975,37,MONTANA,MT,US,STATE,16,CASES
1975,38,MONTANA,MT,US,STATE,3,CASES
1975,39,MONTANA,MT,US,STATE,2,CASES
1975,40,MONTANA,MT,US,STATE,3,CASES
1975,41,MONTANA,MT,US,STATE,8,CASES
1975,42,MONTANA,MT,US,STATE,2,CASES
1975,43,MONTANA,MT,US,STATE,3,CASES
1975,44,MONTANA,MT,US,STATE,2,CASES
1975,45,MONTANA,MT,US,STATE,3,CASES
1975,46,MONTANA,MT,US,STATE,34,CASES
1975,47,MONTANA,MT,US,STATE,21,CASES
1975,49,MONTANA,MT,US,STATE,51,CASES
1975,50,MONTANA,MT,US,STATE,30,CASES
1975,51,MONTANA,MT,US,STATE,24,CASES
1975,52,MONTANA,MT,US,STATE,7,CASES
1976,1,MONTANA,MT,US,STATE,11,CASES
1976,2,MONTANA,MT,US,STATE,28,CASES
1976,4,MONTANA,MT,US,STATE,34,CASES
1976,5,MONTANA,MT,US,STATE,8,CASES
1976,6,MONTANA,MT,US,STATE,7,CASES
1976,7,MONTANA,MT,US,STATE,23,CASES
1976,8,MONTANA,MT,US,STATE,3,CASES
1976,9,MONTANA,MT,US,STATE,66,CASES
1976,10,MONTANA,MT,US,STATE,27,CASES
1976,11,MONTANA,MT,US,STATE,33,CASES
1976,12,MONTANA,MT,US,STATE,18,CASES
1976,13,MONTANA,MT,US,STATE,54,CASES
1976,14,MONTANA,MT,US,STATE,30,CASES
1976,15,MONTANA,MT,US,STATE,44,CASES
1976,16,MONTANA,MT,US,STATE,207,CASES
1976,17,MONTANA,MT,US,STATE,27,CASES
1976,18,MONTANA,MT,US,STATE,27,CASES
1976,20,MONTANA,MT,US,STATE,5,CASES
1976,21,MONTANA,MT,US,STATE,25,CASES
1976,22,MONTANA,MT,US,STATE,31,CASES
1976,23,MONTANA,MT,US,STATE,16,CASES
1976,24,MONTANA,MT,US,STATE,9,CASES
1976,25,MONTANA,MT,US,STATE,8,CASES
1976,26,MONTANA,MT,US,STATE,4,CASES
1976,27,MONTANA,MT,US,STATE,11,CASES
1976,28,MONTANA,MT,US,STATE,4,CASES
1976,29,MONTANA,MT,US,STATE,2,CASES
1976,31,MONTANA,MT,US,STATE,3,CASES
1976,32,MONTANA,MT,US,STATE,4,CASES
1976,33,MONTANA,MT,US,STATE,6,CASES
1976,34,MONTANA,MT,US,STATE,3,CASES
1976,35,MONTANA,MT,US,STATE,1,CASES
1976,36,MONTANA,MT,US,STATE,4,CASES
1976,37,MONTANA,MT,US,STATE,4,CASES
1976,38,MONTANA,MT,US,STATE,5,CASES
1976,39,MONTANA,MT,US,STATE,2,CASES
1976,40,MONTANA,MT,US,STATE,7,CASES
1976,41,MONTANA,MT,US,STATE,5,CASES
1976,42,MONTANA,MT,US,STATE,3,CASES
1976,44,MONTANA,MT,US,STATE,24,CASES
1976,45,MONTANA,MT,US,STATE,8,CASES
1976,46,MONTANA,MT,US,STATE,17,CASES
1976,47,MONTANA,MT,US,STATE,12,CASES
1976,48,MONTANA,MT,US,STATE,9,CASES
1976,49,MONTANA,MT,US,STATE,28,CASES
1976,50,MONTANA,MT,US,STATE,1,CASES
1976,51,MONTANA,MT,US,STATE,18,CASES
1976,52,MONTANA,MT,US,STATE,13,CASES
1977,2,MONTANA,MT,US,STATE,7,CASES
1977,3,MONTANA,MT,US,STATE,32,CASES
1977,4,MONTANA,MT,US,STATE,14,CASES
1977,5,MONTANA,MT,US,STATE,14,CASES
1977,6,MONTANA,MT,US,STATE,27,CASES
1977,7,MONTANA,MT,US,STATE,8,CASES
1977,8,MONTANA,MT,US,STATE,9,CASES
1977,9,MONTANA,MT,US,STATE,35,CASES
1977,10,MONTANA,MT,US,STATE,38,CASES
1977,11,MONTANA,MT,US,STATE,10,CASES
1977,12,MONTANA,MT,US,STATE,19,CASES
1977,13,MONTANA,MT,US,STATE,55,CASES
1977,14,MONTANA,MT,US,STATE,29,CASES
1977,15,MONTANA,MT,US,STATE,31,CASES
1977,16,MONTANA,MT,US,STATE,31,CASES
1977,17,MONTANA,MT,US,STATE,19,CASES
1977,18,MONTANA,MT,US,STATE,19,CASES
1977,19,MONTANA,MT,US,STATE,18,CASES
1977,20,MONTANA,MT,US,STATE,8,CASES
1977,21,MONTANA,MT,US,STATE,6,CASES
1977,22,MONTANA,MT,US,STATE,16,CASES
1977,23,MONTANA,MT,US,STATE,9,CASES
1977,24,MONTANA,MT,US,STATE,12,CASES
1977,25,MONTANA,MT,US,STATE,30,CASES
1977,26,MONTANA,MT,US,STATE,8,CASES
1977,27,MONTANA,MT,US,STATE,6,CASES
1977,28,MONTANA,MT,US,STATE,2,CASES
1977,29,MONTANA,MT,US,STATE,7,CASES
1977,30,MONTANA,MT,US,STATE,7,CASES
1977,31,MONTANA,MT,US,STATE,2,CASES
1977,32,MONTANA,MT,US,STATE,3,CASES
1977,34,MONTANA,MT,US,STATE,1,CASES
1977,35,MONTANA,MT,US,STATE,4,CASES
1977,36,MONTANA,MT,US,STATE,11,CASES
1977,37,MONTANA,MT,US,STATE,6,CASES
1977,38,MONTANA,MT,US,STATE,3,CASES
1977,39,MONTANA,MT,US,STATE,7,CASES
1977,40,MONTANA,MT,US,STATE,4,CASES
1977,41,MONTANA,MT,US,STATE,22,CASES
1977,42,MONTANA,MT,US,STATE,5,CASES
1977,43,MONTANA,MT,US,STATE,24,CASES
1977,44,MONTANA,MT,US,STATE,24,CASES
1977,45,MONTANA,MT,US,STATE,3,CASES
1977,46,MONTANA,MT,US,STATE,30,CASES
1977,47,MONTANA,MT,US,STATE,14,CASES
1977,48,MONTANA,MT,US,STATE,13,CASES
1977,49,MONTANA,MT,US,STATE,14,CASES
1977,50,MONTANA,MT,US,STATE,35,CASES
1977,51,MONTANA,MT,US,STATE,17,CASES
1977,52,MONTANA,MT,US,STATE,35,CASES
1978,1,MONTANA,MT,US,STATE,44,CASES
1978,2,MONTANA,MT,US,STATE,7,CASES
1978,3,MONTANA,MT,US,STATE,65,CASES
1978,4,MONTANA,MT,US,STATE,38,CASES
1978,5,MONTANA,MT,US,STATE,46,CASES
1978,6,MONTANA,MT,US,STATE,14,CASES
1978,7,MONTANA,MT,US,STATE,46,CASES
1978,8,MONTANA,MT,US,STATE,39,CASES
1978,9,MONTANA,MT,US,STATE,24,CASES
1978,10,MONTANA,MT,US,STATE,29,CASES
1978,11,MONTANA,MT,US,STATE,31,CASES
1978,12,MONTANA,MT,US,STATE,3,CASES
1978,13,MONTANA,MT,US,STATE,37,CASES
1978,14,MONTANA,MT,US,STATE,12,CASES
1978,15,MONTANA,MT,US,STATE,7,CASES
1978,16,MONTANA,MT,US,STATE,16,CASES
1978,17,MONTANA,MT,US,STATE,22,CASES
1978,18,MONTANA,MT,US,STATE,14,CASES
1978,19,MONTANA,MT,US,STATE,30,CASES
1978,20,MONTANA,MT,US,STATE,2,CASES
1978,21,MONTANA,MT,US,STATE,19,CASES
1978,22,MONTANA,MT,US,STATE,56,CASES
1978,23,MONTANA,MT,US,STATE,17,CASES
1978,24,MONTANA,MT,US,STATE,5,CASES
1978,25,MONTANA,MT,US,STATE,9,CASES
1978,26,MONTANA,MT,US,STATE,14,CASES
1978,28,MONTANA,MT,US,STATE,13,CASES
1978,29,MONTANA,MT,US,STATE,10,CASES
1978,30,MONTANA,MT,US,STATE,3,CASES
1978,31,MONTANA,MT,US,STATE,4,CASES
1978,32,MONTANA,MT,US,STATE,4,CASES
