year,week,loc,state,country,loc_type,number,event
1927,47,MONTANA,MT,US,STATE,5,CASES
1927,48,MONTANA,MT,US,STATE,4,CASES
1927,49,MONTANA,MT,US,STATE,2,CASES
1927,51,MONTANA,MT,US,STATE,2,CASES
1927,52,MONTANA,MT,US,STATE,8,CASES
1928,1,MONTANA,MT,US,STATE,1,CASES
1928,2,MONTANA,MT,US,STATE,1,CASES
1928,3,MONTANA,MT,US,STATE,4,CASES
1928,4,MONTANA,MT,US,STATE,9,CASES
1928,5,MONTANA,MT,US,STATE,20,CASES
1928,6,MONTANA,MT,US,STATE,11,CASES
1928,7,MONTANA,MT,US,STATE,18,CASES
1928,8,MONTANA,MT,US,STATE,3,CASES
1928,9,MONTANA,MT,US,STATE,13,CASES
1928,11,MONTANA,MT,US,STATE,11,CASES
1928,12,MONTANA,MT,US,STATE,2,CASES
1928,13,MONTANA,MT,US,STATE,9,CASES
1928,14,MONTANA,MT,US,STATE,1,CASES
1928,15,MONTANA,MT,US,STATE,16,CASES
1928,16,MONTANA,MT,US,STATE,5,CASES
1928,17,MONTANA,MT,US,STATE,2,CASES
1928,18,MONTANA,MT,US,STATE,1,CASES
1928,19,MONTANA,MT,US,STATE,1,CASES
1928,20,MONTANA,MT,US,STATE,2,CASES
1928,21,MONTANA,MT,US,STATE,3,CASES
1928,22,MONTANA,MT,US,STATE,2,CASES
1928,23,MONTANA,MT,US,STATE,4,CASES
1928,24,MONTANA,MT,US,STATE,1,CASES
1928,25,MONTANA,MT,US,STATE,8,CASES
1928,26,MONTANA,MT,US,STATE,2,CASES
1928,27,MONTANA,MT,US,STATE,2,CASES
1928,29,MONTANA,MT,US,STATE,3,CASES
1928,30,MONTANA,MT,US,STATE,1,CASES
1928,31,MONTANA,MT,US,STATE,3,CASES
1928,32,MONTANA,MT,US,STATE,3,CASES
1928,33,MONTANA,MT,US,STATE,1,CASES
1928,34,MONTANA,MT,US,STATE,2,CASES
1928,36,MONTANA,MT,US,STATE,2,CASES
1928,37,MONTANA,MT,US,STATE,3,CASES
1928,38,MONTANA,MT,US,STATE,5,CASES
1928,39,MONTANA,MT,US,STATE,2,CASES
1928,40,MONTANA,MT,US,STATE,5,CASES
1928,41,MONTANA,MT,US,STATE,3,CASES
1928,42,MONTANA,MT,US,STATE,1,CASES
1928,43,MONTANA,MT,US,STATE,4,CASES
1928,44,MONTANA,MT,US,STATE,4,CASES
1928,45,MONTANA,MT,US,STATE,6,CASES
1928,46,MONTANA,MT,US,STATE,3,CASES
1928,47,MONTANA,MT,US,STATE,1,CASES
1928,48,MONTANA,MT,US,STATE,2,CASES
1928,49,MONTANA,MT,US,STATE,9,CASES
1928,50,MONTANA,MT,US,STATE,1,CASES
1928,51,MONTANA,MT,US,STATE,12,CASES
1929,1,MONTANA,MT,US,STATE,3,CASES
1929,2,MONTANA,MT,US,STATE,4,CASES
1929,3,MONTANA,MT,US,STATE,3,CASES
1929,4,MONTANA,MT,US,STATE,2,CASES
1929,5,MONTANA,MT,US,STATE,1,CASES
1929,6,MONTANA,MT,US,STATE,2,CASES
1929,7,MONTANA,MT,US,STATE,3,CASES
1929,8,MONTANA,MT,US,STATE,4,CASES
1929,10,MONTANA,MT,US,STATE,5,CASES
1929,11,MONTANA,MT,US,STATE,4,CASES
1929,12,MONTANA,MT,US,STATE,4,CASES
1929,13,MONTANA,MT,US,STATE,7,CASES
1929,14,MONTANA,MT,US,STATE,7,CASES
1929,15,MONTANA,MT,US,STATE,6,CASES
1929,16,MONTANA,MT,US,STATE,6,CASES
1929,17,MONTANA,MT,US,STATE,5,CASES
1929,18,MONTANA,MT,US,STATE,2,CASES
1929,19,MONTANA,MT,US,STATE,3,CASES
1929,20,MONTANA,MT,US,STATE,1,CASES
1929,22,MONTANA,MT,US,STATE,3,CASES
1929,24,MONTANA,MT,US,STATE,1,CASES
1929,26,MONTANA,MT,US,STATE,1,CASES
1929,27,MONTANA,MT,US,STATE,3,CASES
1929,28,MONTANA,MT,US,STATE,2,CASES
1929,30,MONTANA,MT,US,STATE,6,CASES
1929,31,MONTANA,MT,US,STATE,9,CASES
1929,32,MONTANA,MT,US,STATE,4,CASES
1929,33,MONTANA,MT,US,STATE,3,CASES
1929,34,MONTANA,MT,US,STATE,5,CASES
1929,35,MONTANA,MT,US,STATE,1,CASES
1929,36,MONTANA,MT,US,STATE,2,CASES
1929,38,MONTANA,MT,US,STATE,4,CASES
1929,41,MONTANA,MT,US,STATE,2,CASES
1929,42,MONTANA,MT,US,STATE,4,CASES
1929,43,MONTANA,MT,US,STATE,1,CASES
1929,44,MONTANA,MT,US,STATE,2,CASES
1929,46,MONTANA,MT,US,STATE,1,CASES
1929,48,MONTANA,MT,US,STATE,4,CASES
1929,49,MONTANA,MT,US,STATE,4,CASES
1929,50,MONTANA,MT,US,STATE,4,CASES
1929,51,MONTANA,MT,US,STATE,4,CASES
1930,1,MONTANA,MT,US,STATE,2,CASES
1930,4,MONTANA,MT,US,STATE,3,CASES
1930,5,MONTANA,MT,US,STATE,1,CASES
1930,6,MONTANA,MT,US,STATE,1,CASES
1930,7,MONTANA,MT,US,STATE,1,CASES
1930,8,MONTANA,MT,US,STATE,1,CASES
1930,10,MONTANA,MT,US,STATE,2,CASES
1930,12,MONTANA,MT,US,STATE,3,CASES
1930,13,MONTANA,MT,US,STATE,1,CASES
1930,15,MONTANA,MT,US,STATE,2,CASES
1930,16,MONTANA,MT,US,STATE,5,CASES
1930,17,MONTANA,MT,US,STATE,3,CASES
1930,18,MONTANA,MT,US,STATE,2,CASES
1930,19,MONTANA,MT,US,STATE,3,CASES
1930,20,MONTANA,MT,US,STATE,2,CASES
1930,22,MONTANA,MT,US,STATE,1,CASES
1930,27,MONTANA,MT,US,STATE,2,CASES
1930,28,MONTANA,MT,US,STATE,1,CASES
1930,29,MONTANA,MT,US,STATE,1,CASES
1930,31,MONTANA,MT,US,STATE,1,CASES
1930,33,MONTANA,MT,US,STATE,1,CASES
1930,34,MONTANA,MT,US,STATE,2,CASES
1930,40,MONTANA,MT,US,STATE,4,CASES
1930,41,MONTANA,MT,US,STATE,6,CASES
1930,42,MONTANA,MT,US,STATE,2,CASES
1930,43,MONTANA,MT,US,STATE,1,CASES
1930,45,MONTANA,MT,US,STATE,1,CASES
1930,46,MONTANA,MT,US,STATE,1,CASES
1930,47,MONTANA,MT,US,STATE,7,CASES
1930,48,MONTANA,MT,US,STATE,2,CASES
