year,week,loc,state,country,loc_type,number,event
1919,45,MONTANA,MT,US,STATE,2,CASES
1919,48,MONTANA,MT,US,STATE,1,CASES
1919,49,MONTANA,MT,US,STATE,4,CASES
1919,50,MONTANA,MT,US,STATE,4,CASES
1919,52,MONTANA,MT,US,STATE,2,CASES
1919,53,MONTANA,MT,US,STATE,2,CASES
1920,2,MONTANA,MT,US,STATE,1,CASES
1928,21,MONTANA,MT,US,STATE,1,CASES
1928,22,MONTANA,MT,US,STATE,3,CASES
1928,41,MONTANA,MT,US,STATE,6,CASES
1928,46,MONTANA,MT,US,STATE,33,CASES
1928,47,MONTANA,MT,US,STATE,421,CASES
1928,48,MONTANA,MT,US,STATE,3372,CASES
1928,49,MONTANA,MT,US,STATE,4580,CASES
1928,50,MONTANA,MT,US,STATE,6060,CASES
1928,51,MONTANA,MT,US,STATE,4031,CASES
1928,52,MONTANA,MT,US,STATE,623,CASES
1929,1,MONTANA,MT,US,STATE,1012,CASES
1929,2,MONTANA,MT,US,STATE,333,CASES
1929,3,MONTANA,MT,US,STATE,24,CASES
1929,4,MONTANA,MT,US,STATE,104,CASES
1929,5,MONTANA,MT,US,STATE,32,CASES
1929,6,MONTANA,MT,US,STATE,55,CASES
1929,7,MONTANA,MT,US,STATE,4,CASES
1929,8,MONTANA,MT,US,STATE,5,CASES
1929,9,MONTANA,MT,US,STATE,5,CASES
1929,10,MONTANA,MT,US,STATE,2,CASES
1929,15,MONTANA,MT,US,STATE,1,CASES
1929,19,MONTANA,MT,US,STATE,1,CASES
1929,20,MONTANA,MT,US,STATE,1,CASES
1929,44,MONTANA,MT,US,STATE,1,CASES
1931,6,MONTANA,MT,US,STATE,10,CASES
1931,45,MONTANA,MT,US,STATE,2,CASES
1931,47,MONTANA,MT,US,STATE,2,CASES
1931,49,MONTANA,MT,US,STATE,1,CASES
1932,1,MONTANA,MT,US,STATE,14,CASES
1932,2,MONTANA,MT,US,STATE,2,CASES
1932,3,MONTANA,MT,US,STATE,11,CASES
1932,4,MONTANA,MT,US,STATE,265,CASES
1932,5,MONTANA,MT,US,STATE,1959,CASES
1932,6,MONTANA,MT,US,STATE,1138,CASES
1932,7,MONTANA,MT,US,STATE,1708,CASES
1932,8,MONTANA,MT,US,STATE,1867,CASES
1932,9,MONTANA,MT,US,STATE,2652,CASES
1932,10,MONTANA,MT,US,STATE,182,CASES
1932,11,MONTANA,MT,US,STATE,105,CASES
1932,12,MONTANA,MT,US,STATE,44,CASES
1932,13,MONTANA,MT,US,STATE,3,CASES
1932,14,MONTANA,MT,US,STATE,13,CASES
1932,15,MONTANA,MT,US,STATE,2,CASES
1932,16,MONTANA,MT,US,STATE,5,CASES
1932,17,MONTANA,MT,US,STATE,17,CASES
1932,19,MONTANA,MT,US,STATE,1,CASES
1932,20,MONTANA,MT,US,STATE,1,CASES
1932,21,MONTANA,MT,US,STATE,3,CASES
1932,22,MONTANA,MT,US,STATE,1,CASES
1932,24,MONTANA,MT,US,STATE,4,CASES
1932,25,MONTANA,MT,US,STATE,2,CASES
1932,26,MONTANA,MT,US,STATE,3,CASES
1932,32,MONTANA,MT,US,STATE,4,CASES
1932,36,MONTANA,MT,US,STATE,2,CASES
1932,37,MONTANA,MT,US,STATE,1,CASES
1932,39,MONTANA,MT,US,STATE,16,CASES
1932,40,MONTANA,MT,US,STATE,2,CASES
1932,41,MONTANA,MT,US,STATE,1,CASES
1932,43,MONTANA,MT,US,STATE,14,CASES
1932,45,MONTANA,MT,US,STATE,6,CASES
1932,46,MONTANA,MT,US,STATE,1,CASES
1932,47,MONTANA,MT,US,STATE,27,CASES
1932,49,MONTANA,MT,US,STATE,371,CASES
1932,50,MONTANA,MT,US,STATE,1388,CASES
1932,51,MONTANA,MT,US,STATE,4200,CASES
1932,52,MONTANA,MT,US,STATE,7073,CASES
1933,1,MONTANA,MT,US,STATE,5493,CASES
1933,2,MONTANA,MT,US,STATE,2250,CASES
1933,3,MONTANA,MT,US,STATE,1754,CASES
1933,4,MONTANA,MT,US,STATE,832,CASES
1933,5,MONTANA,MT,US,STATE,576,CASES
1933,6,MONTANA,MT,US,STATE,185,CASES
1933,7,MONTANA,MT,US,STATE,93,CASES
1933,8,MONTANA,MT,US,STATE,99,CASES
1933,9,MONTANA,MT,US,STATE,31,CASES
1933,10,MONTANA,MT,US,STATE,15,CASES
1933,11,MONTANA,MT,US,STATE,10,CASES
1933,13,MONTANA,MT,US,STATE,9,CASES
1933,14,MONTANA,MT,US,STATE,23,CASES
