year,week,loc,state,country,loc_type,number,event
1966,1,MONTANA,MT,US,STATE,11,CASES
1966,2,MONTANA,MT,US,STATE,35,CASES
1966,3,MONTANA,MT,US,STATE,4,CASES
1966,4,MONTANA,MT,US,STATE,9,CASES
1966,5,MONTANA,MT,US,STATE,15,CASES
1966,6,MONTANA,MT,US,STATE,3,CASES
1966,7,MONTANA,MT,US,STATE,1,CASES
1966,8,MONTANA,MT,US,STATE,4,CASES
1966,9,MONTANA,MT,US,STATE,6,CASES
1966,10,MONTANA,MT,US,STATE,9,CASES
1966,11,MONTANA,MT,US,STATE,5,CASES
1966,12,MONTANA,MT,US,STATE,151,CASES
1966,14,MONTANA,MT,US,STATE,14,CASES
1966,15,MONTANA,MT,US,STATE,6,CASES
1966,16,MONTANA,MT,US,STATE,11,CASES
1966,17,MONTANA,MT,US,STATE,7,CASES
1966,18,MONTANA,MT,US,STATE,10,CASES
1966,20,MONTANA,MT,US,STATE,12,CASES
1966,21,MONTANA,MT,US,STATE,1,CASES
1966,22,MONTANA,MT,US,STATE,10,CASES
1966,23,MONTANA,MT,US,STATE,5,CASES
1966,24,MONTANA,MT,US,STATE,5,CASES
1966,25,MONTANA,MT,US,STATE,5,CASES
1966,27,MONTANA,MT,US,STATE,1,CASES
1966,30,MONTANA,MT,US,STATE,2,CASES
1966,36,MONTANA,MT,US,STATE,6,CASES
1966,41,MONTANA,MT,US,STATE,1,CASES
1966,42,MONTANA,MT,US,STATE,1,CASES
1966,43,MONTANA,MT,US,STATE,10,CASES
1966,46,MONTANA,MT,US,STATE,3,CASES
1966,48,MONTANA,MT,US,STATE,3,CASES
1966,50,MONTANA,MT,US,STATE,1,CASES
1967,2,MONTANA,MT,US,STATE,1,CASES
1967,3,MONTANA,MT,US,STATE,4,CASES
1967,4,MONTANA,MT,US,STATE,11,CASES
1967,5,MONTANA,MT,US,STATE,3,CASES
1967,6,MONTANA,MT,US,STATE,7,CASES
1967,7,MONTANA,MT,US,STATE,2,CASES
1967,8,MONTANA,MT,US,STATE,1,CASES
1967,9,MONTANA,MT,US,STATE,8,CASES
1967,10,MONTANA,MT,US,STATE,7,CASES
1967,11,MONTANA,MT,US,STATE,3,CASES
1967,12,MONTANA,MT,US,STATE,5,CASES
1967,13,MONTANA,MT,US,STATE,6,CASES
1967,14,MONTANA,MT,US,STATE,37,CASES
1967,15,MONTANA,MT,US,STATE,28,CASES
1967,16,MONTANA,MT,US,STATE,7,CASES
1967,17,MONTANA,MT,US,STATE,2,CASES
1967,19,MONTANA,MT,US,STATE,12,CASES
1967,20,MONTANA,MT,US,STATE,6,CASES
1967,21,MONTANA,MT,US,STATE,2,CASES
1967,22,MONTANA,MT,US,STATE,1,CASES
1967,24,MONTANA,MT,US,STATE,7,CASES
1967,25,MONTANA,MT,US,STATE,4,CASES
1967,26,MONTANA,MT,US,STATE,3,CASES
