year,week,loc,state,country,loc_type,number,event
1937,43,NORTH CAROLINA,NC,US,STATE,104,CASES
1937,44,NORTH CAROLINA,NC,US,STATE,120,CASES
1937,45,NORTH CAROLINA,NC,US,STATE,160,CASES
1937,46,NORTH CAROLINA,NC,US,STATE,152,CASES
1937,47,NORTH CAROLINA,NC,US,STATE,167,CASES
1937,48,NORTH CAROLINA,NC,US,STATE,215,CASES
1937,49,NORTH CAROLINA,NC,US,STATE,246,CASES
1937,50,NORTH CAROLINA,NC,US,STATE,192,CASES
1937,51,NORTH CAROLINA,NC,US,STATE,127,CASES
1938,1,NORTH CAROLINA,NC,US,STATE,328,CASES
1938,2,NORTH CAROLINA,NC,US,STATE,324,CASES
1938,3,NORTH CAROLINA,NC,US,STATE,326,CASES
1938,4,NORTH CAROLINA,NC,US,STATE,419,CASES
1938,5,NORTH CAROLINA,NC,US,STATE,281,CASES
1938,6,NORTH CAROLINA,NC,US,STATE,385,CASES
1938,7,NORTH CAROLINA,NC,US,STATE,343,CASES
1938,8,NORTH CAROLINA,NC,US,STATE,383,CASES
1938,9,NORTH CAROLINA,NC,US,STATE,417,CASES
1938,10,NORTH CAROLINA,NC,US,STATE,412,CASES
1938,11,NORTH CAROLINA,NC,US,STATE,473,CASES
1938,12,NORTH CAROLINA,NC,US,STATE,401,CASES
1938,13,NORTH CAROLINA,NC,US,STATE,564,CASES
1938,14,NORTH CAROLINA,NC,US,STATE,298,CASES
1938,15,NORTH CAROLINA,NC,US,STATE,415,CASES
1938,16,NORTH CAROLINA,NC,US,STATE,355,CASES
1938,17,NORTH CAROLINA,NC,US,STATE,437,CASES
1938,18,NORTH CAROLINA,NC,US,STATE,497,CASES
1938,19,NORTH CAROLINA,NC,US,STATE,388,CASES
1938,20,NORTH CAROLINA,NC,US,STATE,345,CASES
1938,21,NORTH CAROLINA,NC,US,STATE,315,CASES
1938,22,NORTH CAROLINA,NC,US,STATE,240,CASES
1938,23,NORTH CAROLINA,NC,US,STATE,329,CASES
1938,24,NORTH CAROLINA,NC,US,STATE,398,CASES
1938,25,NORTH CAROLINA,NC,US,STATE,521,CASES
1938,26,NORTH CAROLINA,NC,US,STATE,532,CASES
1938,27,NORTH CAROLINA,NC,US,STATE,421,CASES
1938,28,NORTH CAROLINA,NC,US,STATE,508,CASES
1938,29,NORTH CAROLINA,NC,US,STATE,499,CASES
1938,30,NORTH CAROLINA,NC,US,STATE,297,CASES
1938,31,NORTH CAROLINA,NC,US,STATE,270,CASES
1938,32,NORTH CAROLINA,NC,US,STATE,373,CASES
1938,33,NORTH CAROLINA,NC,US,STATE,317,CASES
1938,34,NORTH CAROLINA,NC,US,STATE,252,CASES
1938,35,NORTH CAROLINA,NC,US,STATE,334,CASES
1938,36,NORTH CAROLINA,NC,US,STATE,220,CASES
1938,37,NORTH CAROLINA,NC,US,STATE,260,CASES
1938,38,NORTH CAROLINA,NC,US,STATE,147,CASES
1938,39,NORTH CAROLINA,NC,US,STATE,154,CASES
1938,40,NORTH CAROLINA,NC,US,STATE,161,CASES
1938,41,NORTH CAROLINA,NC,US,STATE,90,CASES
1938,42,NORTH CAROLINA,NC,US,STATE,161,CASES
1938,43,NORTH CAROLINA,NC,US,STATE,126,CASES
1938,44,NORTH CAROLINA,NC,US,STATE,330,CASES
1938,45,NORTH CAROLINA,NC,US,STATE,166,CASES
1938,46,NORTH CAROLINA,NC,US,STATE,406,CASES
1938,47,NORTH CAROLINA,NC,US,STATE,320,CASES
1938,48,NORTH CAROLINA,NC,US,STATE,329,CASES
1938,49,NORTH CAROLINA,NC,US,STATE,339,CASES
1938,50,NORTH CAROLINA,NC,US,STATE,402,CASES
1938,51,NORTH CAROLINA,NC,US,STATE,152,CASES
1938,52,NORTH CAROLINA,NC,US,STATE,144,CASES
1939,1,NORTH CAROLINA,NC,US,STATE,262,CASES
1939,2,NORTH CAROLINA,NC,US,STATE,416,CASES
1939,3,NORTH CAROLINA,NC,US,STATE,472,CASES
1939,4,NORTH CAROLINA,NC,US,STATE,441,CASES
1939,5,NORTH CAROLINA,NC,US,STATE,313,CASES
1939,6,NORTH CAROLINA,NC,US,STATE,313,CASES
1939,7,NORTH CAROLINA,NC,US,STATE,251,CASES
1939,8,NORTH CAROLINA,NC,US,STATE,266,CASES
1939,9,NORTH CAROLINA,NC,US,STATE,211,CASES
1939,10,NORTH CAROLINA,NC,US,STATE,336,CASES
1939,11,NORTH CAROLINA,NC,US,STATE,346,CASES
