year,week,loc,state,country,loc_type,number,event
1928,27,NORTH CAROLINA,NC,US,STATE,0,CASES
1929,42,NORTH CAROLINA,NC,US,STATE,4,CASES
1929,43,NORTH CAROLINA,NC,US,STATE,4,CASES
1929,44,NORTH CAROLINA,NC,US,STATE,4,CASES
1929,45,NORTH CAROLINA,NC,US,STATE,5,CASES
1929,46,NORTH CAROLINA,NC,US,STATE,6,CASES
1929,47,NORTH CAROLINA,NC,US,STATE,14,CASES
1929,48,NORTH CAROLINA,NC,US,STATE,6,CASES
1929,49,NORTH CAROLINA,NC,US,STATE,11,CASES
1929,50,NORTH CAROLINA,NC,US,STATE,28,CASES
1929,51,NORTH CAROLINA,NC,US,STATE,39,CASES
1929,52,NORTH CAROLINA,NC,US,STATE,12,CASES
1930,1,NORTH CAROLINA,NC,US,STATE,24,CASES
1930,2,NORTH CAROLINA,NC,US,STATE,33,CASES
1930,3,NORTH CAROLINA,NC,US,STATE,38,CASES
1930,4,NORTH CAROLINA,NC,US,STATE,39,CASES
1930,5,NORTH CAROLINA,NC,US,STATE,25,CASES
1930,6,NORTH CAROLINA,NC,US,STATE,44,CASES
1930,7,NORTH CAROLINA,NC,US,STATE,37,CASES
1930,8,NORTH CAROLINA,NC,US,STATE,36,CASES
1930,9,NORTH CAROLINA,NC,US,STATE,36,CASES
1930,10,NORTH CAROLINA,NC,US,STATE,21,CASES
1930,11,NORTH CAROLINA,NC,US,STATE,17,CASES
1930,12,NORTH CAROLINA,NC,US,STATE,36,CASES
1930,13,NORTH CAROLINA,NC,US,STATE,14,CASES
1930,14,NORTH CAROLINA,NC,US,STATE,14,CASES
1930,15,NORTH CAROLINA,NC,US,STATE,71,CASES
1930,16,NORTH CAROLINA,NC,US,STATE,24,CASES
1930,17,NORTH CAROLINA,NC,US,STATE,25,CASES
1930,18,NORTH CAROLINA,NC,US,STATE,13,CASES
1930,19,NORTH CAROLINA,NC,US,STATE,16,CASES
1930,20,NORTH CAROLINA,NC,US,STATE,15,CASES
1930,21,NORTH CAROLINA,NC,US,STATE,5,CASES
1930,22,NORTH CAROLINA,NC,US,STATE,4,CASES
