year,week,loc,state,country,loc_type,number,event
1969,39,NORTH CAROLINA,NC,US,STATE,1,CASES
1969,40,NORTH CAROLINA,NC,US,STATE,1,CASES
1969,41,NORTH CAROLINA,NC,US,STATE,1,CASES
1969,42,NORTH CAROLINA,NC,US,STATE,4,CASES
1969,46,NORTH CAROLINA,NC,US,STATE,5,CASES
1969,47,NORTH CAROLINA,NC,US,STATE,3,CASES
1969,50,NORTH CAROLINA,NC,US,STATE,1,CASES
1969,52,NORTH CAROLINA,NC,US,STATE,2,CASES
1970,6,NORTH CAROLINA,NC,US,STATE,1,CASES
1970,9,NORTH CAROLINA,NC,US,STATE,2,CASES
1970,12,NORTH CAROLINA,NC,US,STATE,1,CASES
1970,13,NORTH CAROLINA,NC,US,STATE,4,CASES
1970,15,NORTH CAROLINA,NC,US,STATE,1,CASES
1970,16,NORTH CAROLINA,NC,US,STATE,1,CASES
1970,17,NORTH CAROLINA,NC,US,STATE,3,CASES
1970,18,NORTH CAROLINA,NC,US,STATE,6,CASES
1970,20,NORTH CAROLINA,NC,US,STATE,9,CASES
1970,21,NORTH CAROLINA,NC,US,STATE,1,CASES
1970,22,NORTH CAROLINA,NC,US,STATE,3,CASES
1970,25,NORTH CAROLINA,NC,US,STATE,3,CASES
1970,26,NORTH CAROLINA,NC,US,STATE,3,CASES
1970,30,NORTH CAROLINA,NC,US,STATE,1,CASES
1970,32,NORTH CAROLINA,NC,US,STATE,1,CASES
1970,37,NORTH CAROLINA,NC,US,STATE,4,CASES
1970,45,NORTH CAROLINA,NC,US,STATE,2,CASES
1970,48,NORTH CAROLINA,NC,US,STATE,1,CASES
1970,50,NORTH CAROLINA,NC,US,STATE,1,CASES
1970,52,NORTH CAROLINA,NC,US,STATE,2,CASES
1971,4,NORTH CAROLINA,NC,US,STATE,1,CASES
1971,5,NORTH CAROLINA,NC,US,STATE,3,CASES
1971,6,NORTH CAROLINA,NC,US,STATE,1,CASES
1971,7,NORTH CAROLINA,NC,US,STATE,1,CASES
1971,8,NORTH CAROLINA,NC,US,STATE,1,CASES
1971,9,NORTH CAROLINA,NC,US,STATE,2,CASES
1971,11,NORTH CAROLINA,NC,US,STATE,2,CASES
1971,12,NORTH CAROLINA,NC,US,STATE,2,CASES
1971,13,NORTH CAROLINA,NC,US,STATE,1,CASES
1971,17,NORTH CAROLINA,NC,US,STATE,2,CASES
1971,18,NORTH CAROLINA,NC,US,STATE,3,CASES
1971,19,NORTH CAROLINA,NC,US,STATE,9,CASES
1971,20,NORTH CAROLINA,NC,US,STATE,1,CASES
1971,21,NORTH CAROLINA,NC,US,STATE,2,CASES
1971,22,NORTH CAROLINA,NC,US,STATE,2,CASES
1971,23,NORTH CAROLINA,NC,US,STATE,1,CASES
1971,24,NORTH CAROLINA,NC,US,STATE,4,CASES
1971,25,NORTH CAROLINA,NC,US,STATE,3,CASES
1971,26,NORTH CAROLINA,NC,US,STATE,2,CASES
1971,29,NORTH CAROLINA,NC,US,STATE,2,CASES
1971,39,NORTH CAROLINA,NC,US,STATE,1,CASES
1971,44,NORTH CAROLINA,NC,US,STATE,1,CASES
1971,45,NORTH CAROLINA,NC,US,STATE,2,CASES
1971,48,NORTH CAROLINA,NC,US,STATE,3,CASES
1972,3,NORTH CAROLINA,NC,US,STATE,1,CASES
1972,5,NORTH CAROLINA,NC,US,STATE,1,CASES
1972,11,NORTH CAROLINA,NC,US,STATE,1,CASES
1972,12,NORTH CAROLINA,NC,US,STATE,1,CASES
1972,15,NORTH CAROLINA,NC,US,STATE,1,CASES
1972,16,NORTH CAROLINA,NC,US,STATE,1,CASES
1972,18,NORTH CAROLINA,NC,US,STATE,1,CASES
1972,19,NORTH CAROLINA,NC,US,STATE,1,CASES
1972,20,NORTH CAROLINA,NC,US,STATE,5,CASES
1972,21,NORTH CAROLINA,NC,US,STATE,2,CASES
1972,22,NORTH CAROLINA,NC,US,STATE,1,CASES
1972,23,NORTH CAROLINA,NC,US,STATE,1,CASES
1972,24,NORTH CAROLINA,NC,US,STATE,2,CASES
1972,25,NORTH CAROLINA,NC,US,STATE,2,CASES
1972,27,NORTH CAROLINA,NC,US,STATE,1,CASES
1972,28,NORTH CAROLINA,NC,US,STATE,2,CASES
1972,31,NORTH CAROLINA,NC,US,STATE,1,CASES
1972,40,NORTH CAROLINA,NC,US,STATE,2,CASES
1972,43,NORTH CAROLINA,NC,US,STATE,1,CASES
1972,45,NORTH CAROLINA,NC,US,STATE,1,CASES
1972,46,NORTH CAROLINA,NC,US,STATE,1,CASES
1972,51,NORTH CAROLINA,NC,US,STATE,1,CASES
1973,1,NORTH CAROLINA,NC,US,STATE,2,CASES
1973,3,NORTH CAROLINA,NC,US,STATE,1,CASES
1973,4,NORTH CAROLINA,NC,US,STATE,1,CASES
1973,8,NORTH CAROLINA,NC,US,STATE,2,CASES
1973,9,NORTH CAROLINA,NC,US,STATE,1,CASES
1973,10,NORTH CAROLINA,NC,US,STATE,1,CASES
1973,11,NORTH CAROLINA,NC,US,STATE,24,CASES
1973,12,NORTH CAROLINA,NC,US,STATE,22,CASES
1973,13,NORTH CAROLINA,NC,US,STATE,30,CASES
1973,14,NORTH CAROLINA,NC,US,STATE,10,CASES
1973,15,NORTH CAROLINA,NC,US,STATE,18,CASES
1973,16,NORTH CAROLINA,NC,US,STATE,25,CASES
1973,17,NORTH CAROLINA,NC,US,STATE,33,CASES
1973,18,NORTH CAROLINA,NC,US,STATE,2,CASES
1973,19,NORTH CAROLINA,NC,US,STATE,12,CASES
1973,20,NORTH CAROLINA,NC,US,STATE,1,CASES
1973,21,NORTH CAROLINA,NC,US,STATE,2,CASES
1973,22,NORTH CAROLINA,NC,US,STATE,2,CASES
1973,23,NORTH CAROLINA,NC,US,STATE,3,CASES
1973,24,NORTH CAROLINA,NC,US,STATE,2,CASES
1973,25,NORTH CAROLINA,NC,US,STATE,2,CASES
1973,26,NORTH CAROLINA,NC,US,STATE,1,CASES
1973,27,NORTH CAROLINA,NC,US,STATE,1,CASES
1973,29,NORTH CAROLINA,NC,US,STATE,1,CASES
1973,30,NORTH CAROLINA,NC,US,STATE,1,CASES
1973,31,NORTH CAROLINA,NC,US,STATE,1,CASES
1973,37,NORTH CAROLINA,NC,US,STATE,1,CASES
1973,51,NORTH CAROLINA,NC,US,STATE,2,CASES
1974,2,NORTH CAROLINA,NC,US,STATE,1,CASES
1974,7,NORTH CAROLINA,NC,US,STATE,1,CASES
1974,8,NORTH CAROLINA,NC,US,STATE,1,CASES
1974,10,NORTH CAROLINA,NC,US,STATE,1,CASES
1974,11,NORTH CAROLINA,NC,US,STATE,1,CASES
1974,12,NORTH CAROLINA,NC,US,STATE,15,CASES
1974,13,NORTH CAROLINA,NC,US,STATE,11,CASES
1974,14,NORTH CAROLINA,NC,US,STATE,3,CASES
1974,15,NORTH CAROLINA,NC,US,STATE,8,CASES
1974,16,NORTH CAROLINA,NC,US,STATE,1,CASES
1974,18,NORTH CAROLINA,NC,US,STATE,1,CASES
1974,21,NORTH CAROLINA,NC,US,STATE,2,CASES
1974,22,NORTH CAROLINA,NC,US,STATE,1,CASES
1974,25,NORTH CAROLINA,NC,US,STATE,1,CASES
1974,26,NORTH CAROLINA,NC,US,STATE,2,CASES
1974,37,NORTH CAROLINA,NC,US,STATE,1,CASES
1974,42,NORTH CAROLINA,NC,US,STATE,1,CASES
1974,48,NORTH CAROLINA,NC,US,STATE,1,CASES
1974,50,NORTH CAROLINA,NC,US,STATE,1,CASES
1975,8,NORTH CAROLINA,NC,US,STATE,1,CASES
1975,12,NORTH CAROLINA,NC,US,STATE,2,CASES
1975,13,NORTH CAROLINA,NC,US,STATE,2,CASES
1975,16,NORTH CAROLINA,NC,US,STATE,1,CASES
1975,17,NORTH CAROLINA,NC,US,STATE,5,CASES
1975,18,NORTH CAROLINA,NC,US,STATE,8,CASES
1975,19,NORTH CAROLINA,NC,US,STATE,2,CASES
1975,20,NORTH CAROLINA,NC,US,STATE,5,CASES
1975,22,NORTH CAROLINA,NC,US,STATE,3,CASES
1975,23,NORTH CAROLINA,NC,US,STATE,1,CASES
1975,24,NORTH CAROLINA,NC,US,STATE,5,CASES
1975,26,NORTH CAROLINA,NC,US,STATE,3,CASES
1975,27,NORTH CAROLINA,NC,US,STATE,1,CASES
1975,28,NORTH CAROLINA,NC,US,STATE,1,CASES
1975,29,NORTH CAROLINA,NC,US,STATE,1,CASES
1975,32,NORTH CAROLINA,NC,US,STATE,1,CASES
1975,34,NORTH CAROLINA,NC,US,STATE,1,CASES
1975,45,NORTH CAROLINA,NC,US,STATE,1,CASES
1976,3,NORTH CAROLINA,NC,US,STATE,2,CASES
1976,7,NORTH CAROLINA,NC,US,STATE,5,CASES
1976,9,NORTH CAROLINA,NC,US,STATE,1,CASES
1976,10,NORTH CAROLINA,NC,US,STATE,1,CASES
1976,17,NORTH CAROLINA,NC,US,STATE,1,CASES
1976,18,NORTH CAROLINA,NC,US,STATE,1,CASES
1976,19,NORTH CAROLINA,NC,US,STATE,2,CASES
1976,23,NORTH CAROLINA,NC,US,STATE,2,CASES
1976,25,NORTH CAROLINA,NC,US,STATE,2,CASES
1976,40,NORTH CAROLINA,NC,US,STATE,1,CASES
1976,41,NORTH CAROLINA,NC,US,STATE,1,CASES
1977,2,NORTH CAROLINA,NC,US,STATE,1,CASES
1977,5,NORTH CAROLINA,NC,US,STATE,2,CASES
1977,6,NORTH CAROLINA,NC,US,STATE,7,CASES
1977,8,NORTH CAROLINA,NC,US,STATE,34,CASES
1977,10,NORTH CAROLINA,NC,US,STATE,3,CASES
1977,11,NORTH CAROLINA,NC,US,STATE,73,CASES
1977,12,NORTH CAROLINA,NC,US,STATE,46,CASES
1977,13,NORTH CAROLINA,NC,US,STATE,41,CASES
1977,14,NORTH CAROLINA,NC,US,STATE,4,CASES
1977,15,NORTH CAROLINA,NC,US,STATE,62,CASES
1977,16,NORTH CAROLINA,NC,US,STATE,23,CASES
1977,17,NORTH CAROLINA,NC,US,STATE,6,CASES
1977,18,NORTH CAROLINA,NC,US,STATE,13,CASES
1977,19,NORTH CAROLINA,NC,US,STATE,22,CASES
1977,20,NORTH CAROLINA,NC,US,STATE,6,CASES
1977,21,NORTH CAROLINA,NC,US,STATE,2,CASES
1977,22,NORTH CAROLINA,NC,US,STATE,2,CASES
1977,23,NORTH CAROLINA,NC,US,STATE,10,CASES
1977,24,NORTH CAROLINA,NC,US,STATE,1,CASES
1977,25,NORTH CAROLINA,NC,US,STATE,3,CASES
1977,26,NORTH CAROLINA,NC,US,STATE,21,CASES
1977,28,NORTH CAROLINA,NC,US,STATE,2,CASES
1977,30,NORTH CAROLINA,NC,US,STATE,1,CASES
1977,31,NORTH CAROLINA,NC,US,STATE,2,CASES
1977,32,NORTH CAROLINA,NC,US,STATE,1,CASES
1977,34,NORTH CAROLINA,NC,US,STATE,1,CASES
1977,35,NORTH CAROLINA,NC,US,STATE,2,CASES
1977,38,NORTH CAROLINA,NC,US,STATE,2,CASES
1977,44,NORTH CAROLINA,NC,US,STATE,1,CASES
1977,48,NORTH CAROLINA,NC,US,STATE,1,CASES
1977,50,NORTH CAROLINA,NC,US,STATE,5,CASES
1977,52,NORTH CAROLINA,NC,US,STATE,1,CASES
1978,3,NORTH CAROLINA,NC,US,STATE,2,CASES
1978,6,NORTH CAROLINA,NC,US,STATE,1,CASES
1978,8,NORTH CAROLINA,NC,US,STATE,2,CASES
1978,11,NORTH CAROLINA,NC,US,STATE,14,CASES
1978,12,NORTH CAROLINA,NC,US,STATE,1,CASES
1978,13,NORTH CAROLINA,NC,US,STATE,42,CASES
1978,14,NORTH CAROLINA,NC,US,STATE,16,CASES
1978,15,NORTH CAROLINA,NC,US,STATE,20,CASES
1978,16,NORTH CAROLINA,NC,US,STATE,5,CASES
1978,17,NORTH CAROLINA,NC,US,STATE,39,CASES
1978,18,NORTH CAROLINA,NC,US,STATE,13,CASES
1978,20,NORTH CAROLINA,NC,US,STATE,2,CASES
1978,21,NORTH CAROLINA,NC,US,STATE,2,CASES
1978,22,NORTH CAROLINA,NC,US,STATE,5,CASES
1978,23,NORTH CAROLINA,NC,US,STATE,1,CASES
1978,24,NORTH CAROLINA,NC,US,STATE,1,CASES
1978,25,NORTH CAROLINA,NC,US,STATE,1,CASES
1978,27,NORTH CAROLINA,NC,US,STATE,1,CASES
1978,29,NORTH CAROLINA,NC,US,STATE,10,CASES
1978,36,NORTH CAROLINA,NC,US,STATE,1,CASES
1978,42,NORTH CAROLINA,NC,US,STATE,9,CASES
1978,43,NORTH CAROLINA,NC,US,STATE,1,CASES
