year,week,loc,state,country,loc_type,number,event
1937,43,NORTH DAKOTA,ND,US,STATE,41,CASES
1937,44,NORTH DAKOTA,ND,US,STATE,31,CASES
1937,45,NORTH DAKOTA,ND,US,STATE,20,CASES
1937,46,NORTH DAKOTA,ND,US,STATE,34,CASES
1937,47,NORTH DAKOTA,ND,US,STATE,22,CASES
1937,48,NORTH DAKOTA,ND,US,STATE,24,CASES
1937,49,NORTH DAKOTA,ND,US,STATE,12,CASES
1937,50,NORTH DAKOTA,ND,US,STATE,44,CASES
1937,51,NORTH DAKOTA,ND,US,STATE,23,CASES
1938,1,NORTH DAKOTA,ND,US,STATE,25,CASES
1938,2,NORTH DAKOTA,ND,US,STATE,14,CASES
1938,3,NORTH DAKOTA,ND,US,STATE,63,CASES
1938,4,NORTH DAKOTA,ND,US,STATE,80,CASES
1938,5,NORTH DAKOTA,ND,US,STATE,31,CASES
1938,6,NORTH DAKOTA,ND,US,STATE,15,CASES
1938,7,NORTH DAKOTA,ND,US,STATE,19,CASES
1938,8,NORTH DAKOTA,ND,US,STATE,0,CASES
1938,9,NORTH DAKOTA,ND,US,STATE,24,CASES
1938,10,NORTH DAKOTA,ND,US,STATE,20,CASES
1938,11,NORTH DAKOTA,ND,US,STATE,29,CASES
1938,12,NORTH DAKOTA,ND,US,STATE,9,CASES
1938,13,NORTH DAKOTA,ND,US,STATE,35,CASES
1938,14,NORTH DAKOTA,ND,US,STATE,4,CASES
1938,15,NORTH DAKOTA,ND,US,STATE,21,CASES
1938,16,NORTH DAKOTA,ND,US,STATE,18,CASES
1938,17,NORTH DAKOTA,ND,US,STATE,18,CASES
1938,18,NORTH DAKOTA,ND,US,STATE,57,CASES
1938,19,NORTH DAKOTA,ND,US,STATE,29,CASES
1938,20,NORTH DAKOTA,ND,US,STATE,23,CASES
1938,21,NORTH DAKOTA,ND,US,STATE,17,CASES
1938,22,NORTH DAKOTA,ND,US,STATE,25,CASES
1938,23,NORTH DAKOTA,ND,US,STATE,14,CASES
1938,24,NORTH DAKOTA,ND,US,STATE,37,CASES
1938,25,NORTH DAKOTA,ND,US,STATE,103,CASES
1938,26,NORTH DAKOTA,ND,US,STATE,140,CASES
1938,27,NORTH DAKOTA,ND,US,STATE,96,CASES
1938,28,NORTH DAKOTA,ND,US,STATE,377,CASES
1938,29,NORTH DAKOTA,ND,US,STATE,214,CASES
1938,30,NORTH DAKOTA,ND,US,STATE,355,CASES
1938,31,NORTH DAKOTA,ND,US,STATE,118,CASES
1938,32,NORTH DAKOTA,ND,US,STATE,355,CASES
1938,33,NORTH DAKOTA,ND,US,STATE,318,CASES
1938,34,NORTH DAKOTA,ND,US,STATE,162,CASES
1938,35,NORTH DAKOTA,ND,US,STATE,443,CASES
1938,36,NORTH DAKOTA,ND,US,STATE,207,CASES
1938,37,NORTH DAKOTA,ND,US,STATE,340,CASES
1938,38,NORTH DAKOTA,ND,US,STATE,17,CASES
1938,39,NORTH DAKOTA,ND,US,STATE,22,CASES
1938,40,NORTH DAKOTA,ND,US,STATE,258,CASES
1938,41,NORTH DAKOTA,ND,US,STATE,16,CASES
1938,42,NORTH DAKOTA,ND,US,STATE,155,CASES
1938,43,NORTH DAKOTA,ND,US,STATE,18,CASES
1938,44,NORTH DAKOTA,ND,US,STATE,52,CASES
1938,45,NORTH DAKOTA,ND,US,STATE,4,CASES
1938,46,NORTH DAKOTA,ND,US,STATE,59,CASES
1938,47,NORTH DAKOTA,ND,US,STATE,133,CASES
1938,48,NORTH DAKOTA,ND,US,STATE,59,CASES
1938,49,NORTH DAKOTA,ND,US,STATE,59,CASES
1938,50,NORTH DAKOTA,ND,US,STATE,30,CASES
1938,51,NORTH DAKOTA,ND,US,STATE,4,CASES
1938,52,NORTH DAKOTA,ND,US,STATE,7,CASES
1939,1,NORTH DAKOTA,ND,US,STATE,168,CASES
1939,2,NORTH DAKOTA,ND,US,STATE,22,CASES
1939,3,NORTH DAKOTA,ND,US,STATE,212,CASES
1939,4,NORTH DAKOTA,ND,US,STATE,7,CASES
1939,5,NORTH DAKOTA,ND,US,STATE,33,CASES
1939,6,NORTH DAKOTA,ND,US,STATE,10,CASES
1939,7,NORTH DAKOTA,ND,US,STATE,7,CASES
1939,8,NORTH DAKOTA,ND,US,STATE,10,CASES
1939,9,NORTH DAKOTA,ND,US,STATE,13,CASES
1939,10,NORTH DAKOTA,ND,US,STATE,6,CASES
1939,11,NORTH DAKOTA,ND,US,STATE,4,CASES
1939,12,NORTH DAKOTA,ND,US,STATE,9,CASES
1939,13,NORTH DAKOTA,ND,US,STATE,0,CASES
1939,14,NORTH DAKOTA,ND,US,STATE,25,CASES
1939,15,NORTH DAKOTA,ND,US,STATE,3,CASES
1939,16,NORTH DAKOTA,ND,US,STATE,44,CASES
1939,17,NORTH DAKOTA,ND,US,STATE,37,CASES
1939,18,NORTH DAKOTA,ND,US,STATE,4,CASES
1939,19,NORTH DAKOTA,ND,US,STATE,37,CASES
1939,20,NORTH DAKOTA,ND,US,STATE,117,CASES
1939,21,NORTH DAKOTA,ND,US,STATE,1,CASES
1939,22,NORTH DAKOTA,ND,US,STATE,1,CASES
1939,23,NORTH DAKOTA,ND,US,STATE,18,CASES
1939,24,NORTH DAKOTA,ND,US,STATE,7,CASES
1939,25,NORTH DAKOTA,ND,US,STATE,9,CASES
1939,26,NORTH DAKOTA,ND,US,STATE,7,CASES
1939,27,NORTH DAKOTA,ND,US,STATE,110,CASES
1939,28,NORTH DAKOTA,ND,US,STATE,58,CASES
1939,29,NORTH DAKOTA,ND,US,STATE,7,CASES
1939,30,NORTH DAKOTA,ND,US,STATE,27,CASES
1939,31,NORTH DAKOTA,ND,US,STATE,9,CASES
1939,32,NORTH DAKOTA,ND,US,STATE,73,CASES
1939,33,NORTH DAKOTA,ND,US,STATE,7,CASES
1939,34,NORTH DAKOTA,ND,US,STATE,31,CASES
1939,35,NORTH DAKOTA,ND,US,STATE,34,CASES
