year,week,loc,state,country,loc_type,number,event
1928,2,NORTH DAKOTA,ND,US,STATE,9,CASES
1928,3,NORTH DAKOTA,ND,US,STATE,1,CASES
1928,4,NORTH DAKOTA,ND,US,STATE,6,CASES
1928,5,NORTH DAKOTA,ND,US,STATE,15,CASES
1928,6,NORTH DAKOTA,ND,US,STATE,3,CASES
1928,7,NORTH DAKOTA,ND,US,STATE,5,CASES
1928,8,NORTH DAKOTA,ND,US,STATE,3,CASES
1928,9,NORTH DAKOTA,ND,US,STATE,8,CASES
1928,10,NORTH DAKOTA,ND,US,STATE,3,CASES
1928,11,NORTH DAKOTA,ND,US,STATE,4,CASES
1928,12,NORTH DAKOTA,ND,US,STATE,3,CASES
1928,14,NORTH DAKOTA,ND,US,STATE,5,CASES
1928,15,NORTH DAKOTA,ND,US,STATE,5,CASES
1928,16,NORTH DAKOTA,ND,US,STATE,3,CASES
1928,17,NORTH DAKOTA,ND,US,STATE,11,CASES
1928,19,NORTH DAKOTA,ND,US,STATE,3,CASES
1928,20,NORTH DAKOTA,ND,US,STATE,1,CASES
1928,21,NORTH DAKOTA,ND,US,STATE,1,CASES
1928,22,NORTH DAKOTA,ND,US,STATE,1,CASES
1928,23,NORTH DAKOTA,ND,US,STATE,3,CASES
1928,24,NORTH DAKOTA,ND,US,STATE,1,CASES
1928,25,NORTH DAKOTA,ND,US,STATE,1,CASES
1928,27,NORTH DAKOTA,ND,US,STATE,2,CASES
1928,28,NORTH DAKOTA,ND,US,STATE,8,CASES
1928,29,NORTH DAKOTA,ND,US,STATE,2,CASES
1928,31,NORTH DAKOTA,ND,US,STATE,9,CASES
1928,32,NORTH DAKOTA,ND,US,STATE,1,CASES
1928,33,NORTH DAKOTA,ND,US,STATE,4,CASES
1928,34,NORTH DAKOTA,ND,US,STATE,5,CASES
1928,35,NORTH DAKOTA,ND,US,STATE,6,CASES
1928,36,NORTH DAKOTA,ND,US,STATE,7,CASES
1928,37,NORTH DAKOTA,ND,US,STATE,6,CASES
1928,38,NORTH DAKOTA,ND,US,STATE,4,CASES
1928,39,NORTH DAKOTA,ND,US,STATE,13,CASES
1928,40,NORTH DAKOTA,ND,US,STATE,5,CASES
1928,41,NORTH DAKOTA,ND,US,STATE,14,CASES
1928,42,NORTH DAKOTA,ND,US,STATE,10,CASES
1928,43,NORTH DAKOTA,ND,US,STATE,14,CASES
1928,44,NORTH DAKOTA,ND,US,STATE,4,CASES
1928,45,NORTH DAKOTA,ND,US,STATE,21,CASES
1928,46,NORTH DAKOTA,ND,US,STATE,8,CASES
1928,47,NORTH DAKOTA,ND,US,STATE,17,CASES
1928,48,NORTH DAKOTA,ND,US,STATE,15,CASES
1928,49,NORTH DAKOTA,ND,US,STATE,4,CASES
1928,50,NORTH DAKOTA,ND,US,STATE,11,CASES
1928,51,NORTH DAKOTA,ND,US,STATE,6,CASES
1928,52,NORTH DAKOTA,ND,US,STATE,14,CASES
1929,1,NORTH DAKOTA,ND,US,STATE,9,CASES
1929,2,NORTH DAKOTA,ND,US,STATE,4,CASES
1929,3,NORTH DAKOTA,ND,US,STATE,7,CASES
1929,4,NORTH DAKOTA,ND,US,STATE,9,CASES
1929,5,NORTH DAKOTA,ND,US,STATE,11,CASES
1929,6,NORTH DAKOTA,ND,US,STATE,3,CASES
1929,7,NORTH DAKOTA,ND,US,STATE,9,CASES
1929,8,NORTH DAKOTA,ND,US,STATE,6,CASES
1929,9,NORTH DAKOTA,ND,US,STATE,6,CASES
1929,10,NORTH DAKOTA,ND,US,STATE,7,CASES
1929,11,NORTH DAKOTA,ND,US,STATE,11,CASES
1929,12,NORTH DAKOTA,ND,US,STATE,8,CASES
1929,13,NORTH DAKOTA,ND,US,STATE,4,CASES
1929,14,NORTH DAKOTA,ND,US,STATE,6,CASES
1929,15,NORTH DAKOTA,ND,US,STATE,4,CASES
1929,16,NORTH DAKOTA,ND,US,STATE,4,CASES
1929,17,NORTH DAKOTA,ND,US,STATE,16,CASES
1929,18,NORTH DAKOTA,ND,US,STATE,5,CASES
1929,19,NORTH DAKOTA,ND,US,STATE,10,CASES
1929,20,NORTH DAKOTA,ND,US,STATE,8,CASES
1929,21,NORTH DAKOTA,ND,US,STATE,19,CASES
1929,22,NORTH DAKOTA,ND,US,STATE,33,CASES
