year,week,loc,state,country,loc_type,number,event
1928,7,NORTH DAKOTA,ND,US,STATE,2,CASES
1928,8,NORTH DAKOTA,ND,US,STATE,2,CASES
1928,10,NORTH DAKOTA,ND,US,STATE,3,CASES
1928,14,NORTH DAKOTA,ND,US,STATE,19,CASES
1928,15,NORTH DAKOTA,ND,US,STATE,44,CASES
1928,16,NORTH DAKOTA,ND,US,STATE,16,CASES
1928,17,NORTH DAKOTA,ND,US,STATE,132,CASES
1928,18,NORTH DAKOTA,ND,US,STATE,259,CASES
1928,19,NORTH DAKOTA,ND,US,STATE,55,CASES
1928,20,NORTH DAKOTA,ND,US,STATE,30,CASES
1928,21,NORTH DAKOTA,ND,US,STATE,28,CASES
1928,22,NORTH DAKOTA,ND,US,STATE,12,CASES
1928,23,NORTH DAKOTA,ND,US,STATE,127,CASES
1928,24,NORTH DAKOTA,ND,US,STATE,2,CASES
1928,25,NORTH DAKOTA,ND,US,STATE,2,CASES
1928,27,NORTH DAKOTA,ND,US,STATE,4,CASES
1928,28,NORTH DAKOTA,ND,US,STATE,3,CASES
1928,29,NORTH DAKOTA,ND,US,STATE,1,CASES
1928,32,NORTH DAKOTA,ND,US,STATE,1,CASES
1928,34,NORTH DAKOTA,ND,US,STATE,2,CASES
1928,36,NORTH DAKOTA,ND,US,STATE,9,CASES
1928,37,NORTH DAKOTA,ND,US,STATE,8,CASES
1928,38,NORTH DAKOTA,ND,US,STATE,1,CASES
1928,39,NORTH DAKOTA,ND,US,STATE,2,CASES
1928,42,NORTH DAKOTA,ND,US,STATE,3,CASES
1928,44,NORTH DAKOTA,ND,US,STATE,2,CASES
1928,47,NORTH DAKOTA,ND,US,STATE,16,CASES
1928,49,NORTH DAKOTA,ND,US,STATE,194,CASES
1928,50,NORTH DAKOTA,ND,US,STATE,7355,CASES
1928,51,NORTH DAKOTA,ND,US,STATE,21346,CASES
1928,52,NORTH DAKOTA,ND,US,STATE,1644,CASES
1929,1,NORTH DAKOTA,ND,US,STATE,2528,CASES
1929,2,NORTH DAKOTA,ND,US,STATE,546,CASES
1929,3,NORTH DAKOTA,ND,US,STATE,172,CASES
1929,4,NORTH DAKOTA,ND,US,STATE,39,CASES
1929,5,NORTH DAKOTA,ND,US,STATE,122,CASES
1929,6,NORTH DAKOTA,ND,US,STATE,13,CASES
1929,7,NORTH DAKOTA,ND,US,STATE,50,CASES
1929,35,NORTH DAKOTA,ND,US,STATE,3,CASES
1930,4,NORTH DAKOTA,ND,US,STATE,9,CASES
1932,48,NORTH DAKOTA,ND,US,STATE,1,CASES
1932,52,NORTH DAKOTA,ND,US,STATE,4618,CASES
1933,1,NORTH DAKOTA,ND,US,STATE,1888,CASES
1933,2,NORTH DAKOTA,ND,US,STATE,2470,CASES
1933,3,NORTH DAKOTA,ND,US,STATE,2517,CASES
1933,4,NORTH DAKOTA,ND,US,STATE,655,CASES
1933,5,NORTH DAKOTA,ND,US,STATE,699,CASES
1933,6,NORTH DAKOTA,ND,US,STATE,28,CASES
1933,7,NORTH DAKOTA,ND,US,STATE,228,CASES
1933,8,NORTH DAKOTA,ND,US,STATE,10,CASES
1933,9,NORTH DAKOTA,ND,US,STATE,57,CASES
1933,10,NORTH DAKOTA,ND,US,STATE,26,CASES
1933,31,NORTH DAKOTA,ND,US,STATE,5,CASES
1933,35,NORTH DAKOTA,ND,US,STATE,3,CASES
1933,37,NORTH DAKOTA,ND,US,STATE,1,CASES
1933,42,NORTH DAKOTA,ND,US,STATE,1,CASES
1933,44,NORTH DAKOTA,ND,US,STATE,4,CASES
1933,46,NORTH DAKOTA,ND,US,STATE,1,CASES
1933,47,NORTH DAKOTA,ND,US,STATE,1,CASES
1933,48,NORTH DAKOTA,ND,US,STATE,2,CASES
1933,50,NORTH DAKOTA,ND,US,STATE,2,CASES
1934,2,NORTH DAKOTA,ND,US,STATE,5,CASES
1934,3,NORTH DAKOTA,ND,US,STATE,4,CASES
1934,4,NORTH DAKOTA,ND,US,STATE,3,CASES
1934,5,NORTH DAKOTA,ND,US,STATE,5,CASES
1934,6,NORTH DAKOTA,ND,US,STATE,38,CASES
1934,8,NORTH DAKOTA,ND,US,STATE,10,CASES
1934,9,NORTH DAKOTA,ND,US,STATE,55,CASES
1934,10,NORTH DAKOTA,ND,US,STATE,29,CASES
1934,11,NORTH DAKOTA,ND,US,STATE,29,CASES
1934,13,NORTH DAKOTA,ND,US,STATE,2,CASES
1934,14,NORTH DAKOTA,ND,US,STATE,1,CASES
1934,15,NORTH DAKOTA,ND,US,STATE,1,CASES
1934,18,NORTH DAKOTA,ND,US,STATE,2,CASES
1934,28,NORTH DAKOTA,ND,US,STATE,2,CASES
1934,38,NORTH DAKOTA,ND,US,STATE,1,CASES
1934,40,NORTH DAKOTA,ND,US,STATE,5,CASES
1934,46,NORTH DAKOTA,ND,US,STATE,2,CASES
1934,50,NORTH DAKOTA,ND,US,STATE,11,CASES
1934,51,NORTH DAKOTA,ND,US,STATE,6,CASES
1934,52,NORTH DAKOTA,ND,US,STATE,32,CASES
1935,1,NORTH DAKOTA,ND,US,STATE,319,CASES
1935,2,NORTH DAKOTA,ND,US,STATE,7,CASES
1935,3,NORTH DAKOTA,ND,US,STATE,88,CASES
1935,4,NORTH DAKOTA,ND,US,STATE,11,CASES
1935,5,NORTH DAKOTA,ND,US,STATE,31,CASES
1935,6,NORTH DAKOTA,ND,US,STATE,33,CASES
1935,7,NORTH DAKOTA,ND,US,STATE,23,CASES
1935,8,NORTH DAKOTA,ND,US,STATE,75,CASES
1935,9,NORTH DAKOTA,ND,US,STATE,9,CASES
1935,10,NORTH DAKOTA,ND,US,STATE,27,CASES
1935,11,NORTH DAKOTA,ND,US,STATE,3,CASES
1935,13,NORTH DAKOTA,ND,US,STATE,18,CASES
1935,14,NORTH DAKOTA,ND,US,STATE,3,CASES
1935,15,NORTH DAKOTA,ND,US,STATE,1,CASES
1935,16,NORTH DAKOTA,ND,US,STATE,13,CASES
1935,17,NORTH DAKOTA,ND,US,STATE,16,CASES
1935,18,NORTH DAKOTA,ND,US,STATE,5,CASES
1935,19,NORTH DAKOTA,ND,US,STATE,2,CASES
1935,21,NORTH DAKOTA,ND,US,STATE,4,CASES
1935,22,NORTH DAKOTA,ND,US,STATE,4,CASES
1935,23,NORTH DAKOTA,ND,US,STATE,1,CASES
1935,25,NORTH DAKOTA,ND,US,STATE,1,CASES
1935,26,NORTH DAKOTA,ND,US,STATE,11,CASES
1935,27,NORTH DAKOTA,ND,US,STATE,17,CASES
1935,28,NORTH DAKOTA,ND,US,STATE,9,CASES
1935,32,NORTH DAKOTA,ND,US,STATE,6,CASES
1935,33,NORTH DAKOTA,ND,US,STATE,5,CASES
1935,34,NORTH DAKOTA,ND,US,STATE,18,CASES
1935,38,NORTH DAKOTA,ND,US,STATE,1,CASES
1935,46,NORTH DAKOTA,ND,US,STATE,5,CASES
1935,47,NORTH DAKOTA,ND,US,STATE,13,CASES
1935,49,NORTH DAKOTA,ND,US,STATE,8,CASES
1935,50,NORTH DAKOTA,ND,US,STATE,10,CASES
1935,51,NORTH DAKOTA,ND,US,STATE,2,CASES
1936,1,NORTH DAKOTA,ND,US,STATE,2,CASES
1936,3,NORTH DAKOTA,ND,US,STATE,17,CASES
1936,4,NORTH DAKOTA,ND,US,STATE,16,CASES
1936,5,NORTH DAKOTA,ND,US,STATE,4,CASES
1936,6,NORTH DAKOTA,ND,US,STATE,3,CASES
1936,7,NORTH DAKOTA,ND,US,STATE,2,CASES
1936,8,NORTH DAKOTA,ND,US,STATE,10,CASES
1936,9,NORTH DAKOTA,ND,US,STATE,12,CASES
1936,10,NORTH DAKOTA,ND,US,STATE,6,CASES
1936,11,NORTH DAKOTA,ND,US,STATE,4,CASES
1936,12,NORTH DAKOTA,ND,US,STATE,5,CASES
1936,13,NORTH DAKOTA,ND,US,STATE,9,CASES
1936,14,NORTH DAKOTA,ND,US,STATE,12,CASES
1936,15,NORTH DAKOTA,ND,US,STATE,10,CASES
1936,16,NORTH DAKOTA,ND,US,STATE,7,CASES
1936,17,NORTH DAKOTA,ND,US,STATE,7,CASES
1936,18,NORTH DAKOTA,ND,US,STATE,3,CASES
1936,19,NORTH DAKOTA,ND,US,STATE,18,CASES
1936,20,NORTH DAKOTA,ND,US,STATE,12,CASES
1936,22,NORTH DAKOTA,ND,US,STATE,5,CASES
