year,week,loc,state,country,loc_type,number,event
1928,2,NORTH DAKOTA,ND,US,STATE,29,CASES
1928,3,NORTH DAKOTA,ND,US,STATE,37,CASES
1928,4,NORTH DAKOTA,ND,US,STATE,32,CASES
1928,5,NORTH DAKOTA,ND,US,STATE,89,CASES
1928,6,NORTH DAKOTA,ND,US,STATE,47,CASES
1928,7,NORTH DAKOTA,ND,US,STATE,62,CASES
1928,8,NORTH DAKOTA,ND,US,STATE,59,CASES
1928,9,NORTH DAKOTA,ND,US,STATE,52,CASES
1928,10,NORTH DAKOTA,ND,US,STATE,73,CASES
1928,11,NORTH DAKOTA,ND,US,STATE,39,CASES
1928,12,NORTH DAKOTA,ND,US,STATE,79,CASES
1928,13,NORTH DAKOTA,ND,US,STATE,73,CASES
1928,14,NORTH DAKOTA,ND,US,STATE,50,CASES
1928,15,NORTH DAKOTA,ND,US,STATE,70,CASES
1928,16,NORTH DAKOTA,ND,US,STATE,44,CASES
1928,17,NORTH DAKOTA,ND,US,STATE,39,CASES
1928,18,NORTH DAKOTA,ND,US,STATE,30,CASES
1928,19,NORTH DAKOTA,ND,US,STATE,19,CASES
1928,20,NORTH DAKOTA,ND,US,STATE,28,CASES
1928,21,NORTH DAKOTA,ND,US,STATE,23,CASES
1928,22,NORTH DAKOTA,ND,US,STATE,23,CASES
1928,23,NORTH DAKOTA,ND,US,STATE,24,CASES
1928,24,NORTH DAKOTA,ND,US,STATE,5,CASES
1928,25,NORTH DAKOTA,ND,US,STATE,18,CASES
1928,26,NORTH DAKOTA,ND,US,STATE,12,CASES
1928,27,NORTH DAKOTA,ND,US,STATE,24,CASES
1928,28,NORTH DAKOTA,ND,US,STATE,45,CASES
1928,29,NORTH DAKOTA,ND,US,STATE,15,CASES
1928,30,NORTH DAKOTA,ND,US,STATE,15,CASES
1928,31,NORTH DAKOTA,ND,US,STATE,22,CASES
1928,32,NORTH DAKOTA,ND,US,STATE,16,CASES
1928,33,NORTH DAKOTA,ND,US,STATE,4,CASES
1928,34,NORTH DAKOTA,ND,US,STATE,19,CASES
1928,35,NORTH DAKOTA,ND,US,STATE,16,CASES
1928,36,NORTH DAKOTA,ND,US,STATE,7,CASES
1928,37,NORTH DAKOTA,ND,US,STATE,32,CASES
1928,38,NORTH DAKOTA,ND,US,STATE,21,CASES
1928,39,NORTH DAKOTA,ND,US,STATE,29,CASES
1928,40,NORTH DAKOTA,ND,US,STATE,12,CASES
1928,41,NORTH DAKOTA,ND,US,STATE,28,CASES
1928,42,NORTH DAKOTA,ND,US,STATE,16,CASES
1928,43,NORTH DAKOTA,ND,US,STATE,22,CASES
1928,44,NORTH DAKOTA,ND,US,STATE,39,CASES
1928,45,NORTH DAKOTA,ND,US,STATE,44,CASES
1928,46,NORTH DAKOTA,ND,US,STATE,37,CASES
1928,47,NORTH DAKOTA,ND,US,STATE,26,CASES
1928,48,NORTH DAKOTA,ND,US,STATE,38,CASES
1928,49,NORTH DAKOTA,ND,US,STATE,21,CASES
1928,50,NORTH DAKOTA,ND,US,STATE,42,CASES
1928,51,NORTH DAKOTA,ND,US,STATE,12,CASES
1928,52,NORTH DAKOTA,ND,US,STATE,25,CASES
1929,1,NORTH DAKOTA,ND,US,STATE,48,CASES
1929,2,NORTH DAKOTA,ND,US,STATE,24,CASES
1929,3,NORTH DAKOTA,ND,US,STATE,27,CASES
1929,4,NORTH DAKOTA,ND,US,STATE,57,CASES
1929,5,NORTH DAKOTA,ND,US,STATE,39,CASES
1929,6,NORTH DAKOTA,ND,US,STATE,42,CASES
1929,7,NORTH DAKOTA,ND,US,STATE,39,CASES
1929,8,NORTH DAKOTA,ND,US,STATE,44,CASES
1929,9,NORTH DAKOTA,ND,US,STATE,87,CASES
1929,10,NORTH DAKOTA,ND,US,STATE,34,CASES
1929,11,NORTH DAKOTA,ND,US,STATE,54,CASES
1929,12,NORTH DAKOTA,ND,US,STATE,47,CASES
1929,13,NORTH DAKOTA,ND,US,STATE,28,CASES
1929,14,NORTH DAKOTA,ND,US,STATE,22,CASES
1929,15,NORTH DAKOTA,ND,US,STATE,51,CASES
1929,16,NORTH DAKOTA,ND,US,STATE,43,CASES
1929,17,NORTH DAKOTA,ND,US,STATE,29,CASES
1929,18,NORTH DAKOTA,ND,US,STATE,20,CASES
1929,19,NORTH DAKOTA,ND,US,STATE,21,CASES
1929,20,NORTH DAKOTA,ND,US,STATE,29,CASES
1929,21,NORTH DAKOTA,ND,US,STATE,37,CASES
1929,22,NORTH DAKOTA,ND,US,STATE,22,CASES
1929,23,NORTH DAKOTA,ND,US,STATE,4,CASES
1929,24,NORTH DAKOTA,ND,US,STATE,17,CASES
1929,25,NORTH DAKOTA,ND,US,STATE,20,CASES
1929,26,NORTH DAKOTA,ND,US,STATE,21,CASES
1929,27,NORTH DAKOTA,ND,US,STATE,8,CASES
1929,28,NORTH DAKOTA,ND,US,STATE,3,CASES
1929,30,NORTH DAKOTA,ND,US,STATE,6,CASES
1929,31,NORTH DAKOTA,ND,US,STATE,18,CASES
1929,32,NORTH DAKOTA,ND,US,STATE,2,CASES
1929,33,NORTH DAKOTA,ND,US,STATE,8,CASES
1929,34,NORTH DAKOTA,ND,US,STATE,1,CASES
1929,35,NORTH DAKOTA,ND,US,STATE,9,CASES
1929,36,NORTH DAKOTA,ND,US,STATE,8,CASES
1929,37,NORTH DAKOTA,ND,US,STATE,10,CASES
1929,38,NORTH DAKOTA,ND,US,STATE,4,CASES
1929,39,NORTH DAKOTA,ND,US,STATE,9,CASES
1929,40,NORTH DAKOTA,ND,US,STATE,8,CASES
1929,41,NORTH DAKOTA,ND,US,STATE,19,CASES
1929,42,NORTH DAKOTA,ND,US,STATE,21,CASES
1929,43,NORTH DAKOTA,ND,US,STATE,17,CASES
1929,44,NORTH DAKOTA,ND,US,STATE,24,CASES
1929,45,NORTH DAKOTA,ND,US,STATE,20,CASES
1929,46,NORTH DAKOTA,ND,US,STATE,15,CASES
1929,47,NORTH DAKOTA,ND,US,STATE,16,CASES
1929,48,NORTH DAKOTA,ND,US,STATE,20,CASES
1929,49,NORTH DAKOTA,ND,US,STATE,26,CASES
1929,50,NORTH DAKOTA,ND,US,STATE,45,CASES
1929,51,NORTH DAKOTA,ND,US,STATE,24,CASES
1929,52,NORTH DAKOTA,ND,US,STATE,44,CASES
1930,1,NORTH DAKOTA,ND,US,STATE,37,CASES
1930,2,NORTH DAKOTA,ND,US,STATE,49,CASES
1930,3,NORTH DAKOTA,ND,US,STATE,23,CASES
1930,4,NORTH DAKOTA,ND,US,STATE,31,CASES
1930,5,NORTH DAKOTA,ND,US,STATE,40,CASES
1930,6,NORTH DAKOTA,ND,US,STATE,38,CASES
1930,7,NORTH DAKOTA,ND,US,STATE,41,CASES
1930,8,NORTH DAKOTA,ND,US,STATE,28,CASES
1930,9,NORTH DAKOTA,ND,US,STATE,42,CASES
1930,10,NORTH DAKOTA,ND,US,STATE,42,CASES
1930,11,NORTH DAKOTA,ND,US,STATE,36,CASES
1930,12,NORTH DAKOTA,ND,US,STATE,24,CASES
1930,13,NORTH DAKOTA,ND,US,STATE,21,CASES
1930,14,NORTH DAKOTA,ND,US,STATE,44,CASES
1930,15,NORTH DAKOTA,ND,US,STATE,36,CASES
1930,16,NORTH DAKOTA,ND,US,STATE,24,CASES
1930,17,NORTH DAKOTA,ND,US,STATE,31,CASES
1930,18,NORTH DAKOTA,ND,US,STATE,12,CASES
1930,19,NORTH DAKOTA,ND,US,STATE,9,CASES
1930,20,NORTH DAKOTA,ND,US,STATE,28,CASES
1930,21,NORTH DAKOTA,ND,US,STATE,15,CASES
1930,22,NORTH DAKOTA,ND,US,STATE,15,CASES
1930,23,NORTH DAKOTA,ND,US,STATE,8,CASES
1930,24,NORTH DAKOTA,ND,US,STATE,20,CASES
1930,25,NORTH DAKOTA,ND,US,STATE,11,CASES
1930,26,NORTH DAKOTA,ND,US,STATE,17,CASES
1930,27,NORTH DAKOTA,ND,US,STATE,1,CASES
1930,28,NORTH DAKOTA,ND,US,STATE,3,CASES
1930,29,NORTH DAKOTA,ND,US,STATE,1,CASES
1930,30,NORTH DAKOTA,ND,US,STATE,10,CASES
1930,31,NORTH DAKOTA,ND,US,STATE,6,CASES
