year,week,loc,state,country,loc_type,number,event
1966,14,NEBRASKA,NE,US,STATE,3,CASES
1966,25,NEBRASKA,NE,US,STATE,1,CASES
1966,44,NEBRASKA,NE,US,STATE,1,CASES
1967,15,NEBRASKA,NE,US,STATE,3,CASES
1967,16,NEBRASKA,NE,US,STATE,2,CASES
1967,19,NEBRASKA,NE,US,STATE,17,CASES
1967,21,NEBRASKA,NE,US,STATE,16,CASES
1967,22,NEBRASKA,NE,US,STATE,2,CASES
1967,23,NEBRASKA,NE,US,STATE,7,CASES
1967,24,NEBRASKA,NE,US,STATE,1,CASES
1967,27,NEBRASKA,NE,US,STATE,6,CASES
1967,30,NEBRASKA,NE,US,STATE,5,CASES
1967,32,NEBRASKA,NE,US,STATE,1,CASES
1967,38,NEBRASKA,NE,US,STATE,2,CASES
1967,41,NEBRASKA,NE,US,STATE,3,CASES
1967,42,NEBRASKA,NE,US,STATE,4,CASES
1967,43,NEBRASKA,NE,US,STATE,6,CASES
1967,45,NEBRASKA,NE,US,STATE,3,CASES
1967,46,NEBRASKA,NE,US,STATE,1,CASES
1967,47,NEBRASKA,NE,US,STATE,1,CASES
1967,48,NEBRASKA,NE,US,STATE,2,CASES
1967,50,NEBRASKA,NE,US,STATE,3,CASES
1967,51,NEBRASKA,NE,US,STATE,8,CASES
1967,52,NEBRASKA,NE,US,STATE,1,CASES
1968,1,NEBRASKA,NE,US,STATE,2,CASES
1968,6,NEBRASKA,NE,US,STATE,1,CASES
1968,8,NEBRASKA,NE,US,STATE,1,CASES
1968,10,NEBRASKA,NE,US,STATE,2,CASES
1968,11,NEBRASKA,NE,US,STATE,2,CASES
1968,13,NEBRASKA,NE,US,STATE,3,CASES
1968,16,NEBRASKA,NE,US,STATE,1,CASES
1968,18,NEBRASKA,NE,US,STATE,1,CASES
1968,19,NEBRASKA,NE,US,STATE,1,CASES
1968,23,NEBRASKA,NE,US,STATE,1,CASES
1968,24,NEBRASKA,NE,US,STATE,1,CASES
1968,25,NEBRASKA,NE,US,STATE,1,CASES
1968,29,NEBRASKA,NE,US,STATE,1,CASES
