year,week,loc,state,country,loc_type,number,event
1966,1,NEW HAMPSHIRE,NH,US,STATE,9,CASES
1966,3,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1966,4,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1966,6,NEW HAMPSHIRE,NH,US,STATE,5,CASES
1966,7,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1966,9,NEW HAMPSHIRE,NH,US,STATE,7,CASES
1966,10,NEW HAMPSHIRE,NH,US,STATE,14,CASES
1966,11,NEW HAMPSHIRE,NH,US,STATE,16,CASES
1966,14,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1966,15,NEW HAMPSHIRE,NH,US,STATE,4,CASES
1966,16,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1966,18,NEW HAMPSHIRE,NH,US,STATE,3,CASES
1966,20,NEW HAMPSHIRE,NH,US,STATE,7,CASES
1966,21,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1966,24,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1966,26,NEW HAMPSHIRE,NH,US,STATE,9,CASES
1966,27,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1966,28,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1966,40,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1966,42,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1967,6,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1967,9,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1967,10,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1967,11,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1967,12,NEW HAMPSHIRE,NH,US,STATE,4,CASES
1967,13,NEW HAMPSHIRE,NH,US,STATE,4,CASES
1967,14,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1967,15,NEW HAMPSHIRE,NH,US,STATE,6,CASES
1967,17,NEW HAMPSHIRE,NH,US,STATE,3,CASES
1967,19,NEW HAMPSHIRE,NH,US,STATE,16,CASES
1967,21,NEW HAMPSHIRE,NH,US,STATE,34,CASES
1967,22,NEW HAMPSHIRE,NH,US,STATE,38,CASES
1967,23,NEW HAMPSHIRE,NH,US,STATE,17,CASES
1967,24,NEW HAMPSHIRE,NH,US,STATE,25,CASES
1967,25,NEW HAMPSHIRE,NH,US,STATE,21,CASES
1967,26,NEW HAMPSHIRE,NH,US,STATE,13,CASES
1967,27,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1967,41,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1967,50,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1968,7,NEW HAMPSHIRE,NH,US,STATE,5,CASES
1968,8,NEW HAMPSHIRE,NH,US,STATE,3,CASES
1968,9,NEW HAMPSHIRE,NH,US,STATE,3,CASES
1968,12,NEW HAMPSHIRE,NH,US,STATE,3,CASES
1968,13,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1968,14,NEW HAMPSHIRE,NH,US,STATE,3,CASES
1968,15,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1968,16,NEW HAMPSHIRE,NH,US,STATE,7,CASES
1968,17,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1968,18,NEW HAMPSHIRE,NH,US,STATE,3,CASES
1968,19,NEW HAMPSHIRE,NH,US,STATE,7,CASES
1968,20,NEW HAMPSHIRE,NH,US,STATE,6,CASES
1968,21,NEW HAMPSHIRE,NH,US,STATE,6,CASES
1968,22,NEW HAMPSHIRE,NH,US,STATE,7,CASES
1968,23,NEW HAMPSHIRE,NH,US,STATE,10,CASES
1968,25,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1968,27,NEW HAMPSHIRE,NH,US,STATE,16,CASES
1968,34,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1968,35,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1968,36,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1968,47,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1968,50,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1969,3,NEW HAMPSHIRE,NH,US,STATE,5,CASES
1969,5,NEW HAMPSHIRE,NH,US,STATE,7,CASES
1969,6,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1969,10,NEW HAMPSHIRE,NH,US,STATE,4,CASES
1969,12,NEW HAMPSHIRE,NH,US,STATE,8,CASES
1969,13,NEW HAMPSHIRE,NH,US,STATE,10,CASES
1969,15,NEW HAMPSHIRE,NH,US,STATE,3,CASES
1969,16,NEW HAMPSHIRE,NH,US,STATE,3,CASES
1969,17,NEW HAMPSHIRE,NH,US,STATE,9,CASES
1969,18,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1969,19,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1969,21,NEW HAMPSHIRE,NH,US,STATE,9,CASES
1969,22,NEW HAMPSHIRE,NH,US,STATE,3,CASES
1969,23,NEW HAMPSHIRE,NH,US,STATE,4,CASES
1969,25,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1969,26,NEW HAMPSHIRE,NH,US,STATE,3,CASES
1969,27,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1969,28,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1969,34,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1969,38,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1969,39,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1969,41,NEW HAMPSHIRE,NH,US,STATE,3,CASES
1969,44,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1969,46,NEW HAMPSHIRE,NH,US,STATE,7,CASES
1969,47,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1969,48,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1969,49,NEW HAMPSHIRE,NH,US,STATE,4,CASES
1969,50,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1969,51,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1969,52,NEW HAMPSHIRE,NH,US,STATE,1,CASES
