year,week,loc,state,country,loc_type,number,event
1976,5,NEW JERSEY,NJ,US,STATE,44,CASES
1979,9,NEW JERSEY,NJ,US,STATE,22,CASES
1981,49,NEW JERSEY,NJ,US,STATE,8,CASES
2010,23,NEW JERSEY,NJ,US,STATE,1,CASES
2010,25,NEW JERSEY,NJ,US,STATE,1,CASES
2010,39,NEW JERSEY,NJ,US,STATE,1,CASES
2010,40,NEW JERSEY,NJ,US,STATE,1,CASES
2010,43,NEW JERSEY,NJ,US,STATE,1,CASES
2011,23,NEW JERSEY,NJ,US,STATE,5,CASES
2011,24,NEW JERSEY,NJ,US,STATE,13,CASES
2011,25,NEW JERSEY,NJ,US,STATE,8,CASES
2011,26,NEW JERSEY,NJ,US,STATE,22,CASES
2011,27,NEW JERSEY,NJ,US,STATE,1,CASES
2011,28,NEW JERSEY,NJ,US,STATE,5,CASES
2011,29,NEW JERSEY,NJ,US,STATE,18,CASES
2011,30,NEW JERSEY,NJ,US,STATE,16,CASES
2011,31,NEW JERSEY,NJ,US,STATE,6,CASES
2011,32,NEW JERSEY,NJ,US,STATE,19,CASES
2011,33,NEW JERSEY,NJ,US,STATE,10,CASES
2011,34,NEW JERSEY,NJ,US,STATE,25,CASES
2011,36,NEW JERSEY,NJ,US,STATE,11,CASES
2011,38,NEW JERSEY,NJ,US,STATE,12,CASES
2011,39,NEW JERSEY,NJ,US,STATE,17,CASES
2011,40,NEW JERSEY,NJ,US,STATE,16,CASES
2011,41,NEW JERSEY,NJ,US,STATE,14,CASES
2011,42,NEW JERSEY,NJ,US,STATE,11,CASES
2011,43,NEW JERSEY,NJ,US,STATE,7,CASES
2011,44,NEW JERSEY,NJ,US,STATE,12,CASES
2011,45,NEW JERSEY,NJ,US,STATE,11,CASES
2011,46,NEW JERSEY,NJ,US,STATE,12,CASES
2011,47,NEW JERSEY,NJ,US,STATE,12,CASES
2011,48,NEW JERSEY,NJ,US,STATE,17,CASES
2011,51,NEW JERSEY,NJ,US,STATE,9,CASES
2011,52,NEW JERSEY,NJ,US,STATE,8,CASES
2012,1,NEW JERSEY,NJ,US,STATE,6,CASES
2012,2,NEW JERSEY,NJ,US,STATE,16,CASES
2012,3,NEW JERSEY,NJ,US,STATE,10,CASES
2012,4,NEW JERSEY,NJ,US,STATE,17,CASES
2012,5,NEW JERSEY,NJ,US,STATE,7,CASES
2012,7,NEW JERSEY,NJ,US,STATE,22,CASES
2012,8,NEW JERSEY,NJ,US,STATE,13,CASES
2012,9,NEW JERSEY,NJ,US,STATE,6,CASES
2012,10,NEW JERSEY,NJ,US,STATE,8,CASES
2012,11,NEW JERSEY,NJ,US,STATE,6,CASES
2012,12,NEW JERSEY,NJ,US,STATE,4,CASES
2012,13,NEW JERSEY,NJ,US,STATE,10,CASES
2012,14,NEW JERSEY,NJ,US,STATE,2,CASES
2012,15,NEW JERSEY,NJ,US,STATE,4,CASES
2012,16,NEW JERSEY,NJ,US,STATE,4,CASES
2012,17,NEW JERSEY,NJ,US,STATE,6,CASES
2012,18,NEW JERSEY,NJ,US,STATE,11,CASES
2012,19,NEW JERSEY,NJ,US,STATE,11,CASES
