year,week,loc,state,country,loc_type,number,event
1968,1,NEW JERSEY,NJ,US,STATE,195,CASES
1968,2,NEW JERSEY,NJ,US,STATE,145,CASES
1968,3,NEW JERSEY,NJ,US,STATE,205,CASES
1968,4,NEW JERSEY,NJ,US,STATE,222,CASES
1968,6,NEW JERSEY,NJ,US,STATE,170,CASES
1968,7,NEW JERSEY,NJ,US,STATE,126,CASES
1968,8,NEW JERSEY,NJ,US,STATE,123,CASES
1968,9,NEW JERSEY,NJ,US,STATE,110,CASES
1968,10,NEW JERSEY,NJ,US,STATE,263,CASES
1968,11,NEW JERSEY,NJ,US,STATE,161,CASES
1968,12,NEW JERSEY,NJ,US,STATE,91,CASES
1968,13,NEW JERSEY,NJ,US,STATE,125,CASES
1968,14,NEW JERSEY,NJ,US,STATE,140,CASES
1968,15,NEW JERSEY,NJ,US,STATE,101,CASES
1968,16,NEW JERSEY,NJ,US,STATE,130,CASES
1968,17,NEW JERSEY,NJ,US,STATE,46,CASES
1968,18,NEW JERSEY,NJ,US,STATE,68,CASES
1968,19,NEW JERSEY,NJ,US,STATE,72,CASES
1968,20,NEW JERSEY,NJ,US,STATE,135,CASES
1968,21,NEW JERSEY,NJ,US,STATE,145,CASES
1968,22,NEW JERSEY,NJ,US,STATE,40,CASES
1968,23,NEW JERSEY,NJ,US,STATE,64,CASES
1968,24,NEW JERSEY,NJ,US,STATE,64,CASES
1968,25,NEW JERSEY,NJ,US,STATE,98,CASES
1968,26,NEW JERSEY,NJ,US,STATE,37,CASES
1968,27,NEW JERSEY,NJ,US,STATE,7,CASES
1968,28,NEW JERSEY,NJ,US,STATE,25,CASES
1968,29,NEW JERSEY,NJ,US,STATE,18,CASES
1968,30,NEW JERSEY,NJ,US,STATE,6,CASES
1968,31,NEW JERSEY,NJ,US,STATE,18,CASES
1968,32,NEW JERSEY,NJ,US,STATE,2,CASES
1968,33,NEW JERSEY,NJ,US,STATE,4,CASES
1968,34,NEW JERSEY,NJ,US,STATE,4,CASES
1968,35,NEW JERSEY,NJ,US,STATE,1,CASES
1968,36,NEW JERSEY,NJ,US,STATE,1,CASES
1968,37,NEW JERSEY,NJ,US,STATE,8,CASES
