year,week,loc,state,country,loc_type,number,event
1919,48,NEW MEXICO,NM,US,STATE,1,CASES
1919,49,NEW MEXICO,NM,US,STATE,1,CASES
1919,50,NEW MEXICO,NM,US,STATE,2,CASES
1919,51,NEW MEXICO,NM,US,STATE,3,CASES
1919,52,NEW MEXICO,NM,US,STATE,5,CASES
1919,53,NEW MEXICO,NM,US,STATE,2,CASES
1920,1,NEW MEXICO,NM,US,STATE,8,CASES
1920,2,NEW MEXICO,NM,US,STATE,4,CASES
1927,51,NEW MEXICO,NM,US,STATE,1,CASES
1928,6,NEW MEXICO,NM,US,STATE,47,CASES
1928,7,NEW MEXICO,NM,US,STATE,1,CASES
1928,9,NEW MEXICO,NM,US,STATE,5,CASES
1928,10,NEW MEXICO,NM,US,STATE,8,CASES
1928,12,NEW MEXICO,NM,US,STATE,9,CASES
1928,13,NEW MEXICO,NM,US,STATE,6,CASES
1928,14,NEW MEXICO,NM,US,STATE,4,CASES
1928,16,NEW MEXICO,NM,US,STATE,3,CASES
1928,17,NEW MEXICO,NM,US,STATE,3,CASES
1928,18,NEW MEXICO,NM,US,STATE,101,CASES
1928,29,NEW MEXICO,NM,US,STATE,1,CASES
1928,31,NEW MEXICO,NM,US,STATE,1,CASES
1928,39,NEW MEXICO,NM,US,STATE,1,CASES
1928,44,NEW MEXICO,NM,US,STATE,1,CASES
1928,46,NEW MEXICO,NM,US,STATE,2,CASES
1928,47,NEW MEXICO,NM,US,STATE,42,CASES
1928,48,NEW MEXICO,NM,US,STATE,66,CASES
1928,49,NEW MEXICO,NM,US,STATE,170,CASES
1928,50,NEW MEXICO,NM,US,STATE,1757,CASES
1928,51,NEW MEXICO,NM,US,STATE,1161,CASES
1928,52,NEW MEXICO,NM,US,STATE,2005,CASES
1929,1,NEW MEXICO,NM,US,STATE,2249,CASES
1929,2,NEW MEXICO,NM,US,STATE,125,CASES
1929,3,NEW MEXICO,NM,US,STATE,120,CASES
1929,4,NEW MEXICO,NM,US,STATE,306,CASES
1929,5,NEW MEXICO,NM,US,STATE,5,CASES
1929,6,NEW MEXICO,NM,US,STATE,10,CASES
