year,week,loc,state,country,loc_type,number,event
1927,47,NEW MEXICO,NM,US,STATE,14,CASES
1927,48,NEW MEXICO,NM,US,STATE,9,CASES
1927,49,NEW MEXICO,NM,US,STATE,13,CASES
1927,51,NEW MEXICO,NM,US,STATE,25,CASES
1927,52,NEW MEXICO,NM,US,STATE,19,CASES
1928,1,NEW MEXICO,NM,US,STATE,62,CASES
1928,2,NEW MEXICO,NM,US,STATE,46,CASES
1928,3,NEW MEXICO,NM,US,STATE,62,CASES
1928,4,NEW MEXICO,NM,US,STATE,115,CASES
1928,5,NEW MEXICO,NM,US,STATE,157,CASES
1928,6,NEW MEXICO,NM,US,STATE,151,CASES
1928,7,NEW MEXICO,NM,US,STATE,163,CASES
1928,8,NEW MEXICO,NM,US,STATE,143,CASES
1928,9,NEW MEXICO,NM,US,STATE,168,CASES
1928,10,NEW MEXICO,NM,US,STATE,121,CASES
1928,12,NEW MEXICO,NM,US,STATE,142,CASES
1928,13,NEW MEXICO,NM,US,STATE,160,CASES
1928,14,NEW MEXICO,NM,US,STATE,166,CASES
1928,15,NEW MEXICO,NM,US,STATE,107,CASES
1928,16,NEW MEXICO,NM,US,STATE,238,CASES
1928,17,NEW MEXICO,NM,US,STATE,64,CASES
1928,18,NEW MEXICO,NM,US,STATE,139,CASES
1928,19,NEW MEXICO,NM,US,STATE,184,CASES
1928,20,NEW MEXICO,NM,US,STATE,149,CASES
1928,21,NEW MEXICO,NM,US,STATE,50,CASES
1928,22,NEW MEXICO,NM,US,STATE,59,CASES
1928,23,NEW MEXICO,NM,US,STATE,13,CASES
1928,24,NEW MEXICO,NM,US,STATE,28,CASES
1928,25,NEW MEXICO,NM,US,STATE,5,CASES
1928,26,NEW MEXICO,NM,US,STATE,16,CASES
1928,27,NEW MEXICO,NM,US,STATE,4,CASES
1928,28,NEW MEXICO,NM,US,STATE,10,CASES
1928,29,NEW MEXICO,NM,US,STATE,1,CASES
1928,30,NEW MEXICO,NM,US,STATE,2,CASES
1928,32,NEW MEXICO,NM,US,STATE,4,CASES
1928,34,NEW MEXICO,NM,US,STATE,2,CASES
1928,36,NEW MEXICO,NM,US,STATE,1,CASES
1928,37,NEW MEXICO,NM,US,STATE,2,CASES
1928,39,NEW MEXICO,NM,US,STATE,6,CASES
1928,40,NEW MEXICO,NM,US,STATE,0,CASES
1928,41,NEW MEXICO,NM,US,STATE,1,CASES
1928,42,NEW MEXICO,NM,US,STATE,1,CASES
1928,43,NEW MEXICO,NM,US,STATE,1,CASES
1928,44,NEW MEXICO,NM,US,STATE,9,CASES
1928,45,NEW MEXICO,NM,US,STATE,2,CASES
1928,47,NEW MEXICO,NM,US,STATE,2,CASES
1928,48,NEW MEXICO,NM,US,STATE,1,CASES
1928,50,NEW MEXICO,NM,US,STATE,1,CASES
1928,51,NEW MEXICO,NM,US,STATE,2,CASES
1929,1,NEW MEXICO,NM,US,STATE,2,CASES
1929,3,NEW MEXICO,NM,US,STATE,3,CASES
1929,4,NEW MEXICO,NM,US,STATE,1,CASES
1929,5,NEW MEXICO,NM,US,STATE,5,CASES
1929,6,NEW MEXICO,NM,US,STATE,12,CASES
1929,7,NEW MEXICO,NM,US,STATE,9,CASES
1929,8,NEW MEXICO,NM,US,STATE,6,CASES
1929,9,NEW MEXICO,NM,US,STATE,3,CASES
1929,10,NEW MEXICO,NM,US,STATE,11,CASES
1929,11,NEW MEXICO,NM,US,STATE,6,CASES
1929,12,NEW MEXICO,NM,US,STATE,2,CASES
1929,13,NEW MEXICO,NM,US,STATE,2,CASES
1929,14,NEW MEXICO,NM,US,STATE,1,CASES
1929,16,NEW MEXICO,NM,US,STATE,5,CASES
1929,17,NEW MEXICO,NM,US,STATE,9,CASES
1929,18,NEW MEXICO,NM,US,STATE,2,CASES
1929,19,NEW MEXICO,NM,US,STATE,43,CASES
1929,20,NEW MEXICO,NM,US,STATE,9,CASES
1929,21,NEW MEXICO,NM,US,STATE,4,CASES
1929,22,NEW MEXICO,NM,US,STATE,8,CASES
1929,23,NEW MEXICO,NM,US,STATE,8,CASES
1929,24,NEW MEXICO,NM,US,STATE,7,CASES
1929,25,NEW MEXICO,NM,US,STATE,12,CASES
1929,26,NEW MEXICO,NM,US,STATE,11,CASES
1929,28,NEW MEXICO,NM,US,STATE,7,CASES
1929,29,NEW MEXICO,NM,US,STATE,1,CASES
1929,30,NEW MEXICO,NM,US,STATE,5,CASES
1929,31,NEW MEXICO,NM,US,STATE,4,CASES
1929,33,NEW MEXICO,NM,US,STATE,1,CASES
1929,42,NEW MEXICO,NM,US,STATE,1,CASES
1929,44,NEW MEXICO,NM,US,STATE,2,CASES
1929,45,NEW MEXICO,NM,US,STATE,1,CASES
1929,48,NEW MEXICO,NM,US,STATE,15,CASES
1929,49,NEW MEXICO,NM,US,STATE,7,CASES
1929,50,NEW MEXICO,NM,US,STATE,1,CASES
1929,51,NEW MEXICO,NM,US,STATE,1,CASES
1929,52,NEW MEXICO,NM,US,STATE,3,CASES
1930,1,NEW MEXICO,NM,US,STATE,5,CASES
1930,2,NEW MEXICO,NM,US,STATE,9,CASES
1930,3,NEW MEXICO,NM,US,STATE,161,CASES
1930,4,NEW MEXICO,NM,US,STATE,90,CASES
