year,week,loc,state,country,loc_type,number,event
1972,23,NEVADA,NV,US,STATE,7,CASES
1972,29,NEVADA,NV,US,STATE,1,CASES
1972,30,NEVADA,NV,US,STATE,3,CASES
1972,31,NEVADA,NV,US,STATE,10,CASES
1972,37,NEVADA,NV,US,STATE,1,CASES
1972,39,NEVADA,NV,US,STATE,5,CASES
1972,47,NEVADA,NV,US,STATE,2,CASES
1972,48,NEVADA,NV,US,STATE,5,CASES
1972,49,NEVADA,NV,US,STATE,6,CASES
1972,51,NEVADA,NV,US,STATE,2,CASES
1973,3,NEVADA,NV,US,STATE,1,CASES
1973,9,NEVADA,NV,US,STATE,4,CASES
1973,11,NEVADA,NV,US,STATE,4,CASES
1973,13,NEVADA,NV,US,STATE,5,CASES
1973,28,NEVADA,NV,US,STATE,5,CASES
1973,41,NEVADA,NV,US,STATE,2,CASES
1973,51,NEVADA,NV,US,STATE,1,CASES
1974,1,NEVADA,NV,US,STATE,1,CASES
1974,4,NEVADA,NV,US,STATE,1,CASES
1974,10,NEVADA,NV,US,STATE,36,CASES
1974,16,NEVADA,NV,US,STATE,1,CASES
1974,19,NEVADA,NV,US,STATE,2,CASES
1974,20,NEVADA,NV,US,STATE,5,CASES
1974,22,NEVADA,NV,US,STATE,5,CASES
1974,25,NEVADA,NV,US,STATE,1,CASES
1974,32,NEVADA,NV,US,STATE,1,CASES
1974,39,NEVADA,NV,US,STATE,3,CASES
1974,49,NEVADA,NV,US,STATE,5,CASES
1974,50,NEVADA,NV,US,STATE,8,CASES
1974,52,NEVADA,NV,US,STATE,1,CASES
1975,1,NEVADA,NV,US,STATE,3,CASES
1975,2,NEVADA,NV,US,STATE,29,CASES
1975,3,NEVADA,NV,US,STATE,5,CASES
1975,4,NEVADA,NV,US,STATE,5,CASES
1975,6,NEVADA,NV,US,STATE,3,CASES
1975,8,NEVADA,NV,US,STATE,3,CASES
1975,10,NEVADA,NV,US,STATE,2,CASES
1975,11,NEVADA,NV,US,STATE,1,CASES
1975,13,NEVADA,NV,US,STATE,1,CASES
1975,15,NEVADA,NV,US,STATE,2,CASES
1975,16,NEVADA,NV,US,STATE,1,CASES
1975,17,NEVADA,NV,US,STATE,1,CASES
1975,18,NEVADA,NV,US,STATE,8,CASES
1975,20,NEVADA,NV,US,STATE,2,CASES
1975,21,NEVADA,NV,US,STATE,1,CASES
1975,24,NEVADA,NV,US,STATE,2,CASES
1975,51,NEVADA,NV,US,STATE,1,CASES
1976,12,NEVADA,NV,US,STATE,4,CASES
1976,14,NEVADA,NV,US,STATE,5,CASES
1976,15,NEVADA,NV,US,STATE,1,CASES
1976,16,NEVADA,NV,US,STATE,2,CASES
1976,17,NEVADA,NV,US,STATE,18,CASES
1976,18,NEVADA,NV,US,STATE,2,CASES
1976,19,NEVADA,NV,US,STATE,6,CASES
1976,20,NEVADA,NV,US,STATE,1,CASES
1976,21,NEVADA,NV,US,STATE,1,CASES
1976,28,NEVADA,NV,US,STATE,6,CASES
1976,40,NEVADA,NV,US,STATE,16,CASES
1976,45,NEVADA,NV,US,STATE,4,CASES
1976,46,NEVADA,NV,US,STATE,1,CASES
1976,50,NEVADA,NV,US,STATE,4,CASES
1977,2,NEVADA,NV,US,STATE,41,CASES
1977,3,NEVADA,NV,US,STATE,14,CASES
1977,4,NEVADA,NV,US,STATE,5,CASES
1977,5,NEVADA,NV,US,STATE,32,CASES
1977,6,NEVADA,NV,US,STATE,16,CASES
1977,7,NEVADA,NV,US,STATE,6,CASES
1977,8,NEVADA,NV,US,STATE,23,CASES
1977,9,NEVADA,NV,US,STATE,8,CASES
1977,10,NEVADA,NV,US,STATE,3,CASES
1977,11,NEVADA,NV,US,STATE,16,CASES
1977,13,NEVADA,NV,US,STATE,5,CASES
1977,15,NEVADA,NV,US,STATE,1,CASES
1977,16,NEVADA,NV,US,STATE,1,CASES
1977,19,NEVADA,NV,US,STATE,7,CASES
1977,20,NEVADA,NV,US,STATE,4,CASES
1977,21,NEVADA,NV,US,STATE,14,CASES
1977,22,NEVADA,NV,US,STATE,20,CASES
1977,23,NEVADA,NV,US,STATE,8,CASES
1977,24,NEVADA,NV,US,STATE,2,CASES
1977,25,NEVADA,NV,US,STATE,2,CASES
1977,26,NEVADA,NV,US,STATE,4,CASES
1977,32,NEVADA,NV,US,STATE,1,CASES
1977,37,NEVADA,NV,US,STATE,2,CASES
1977,49,NEVADA,NV,US,STATE,1,CASES
1977,50,NEVADA,NV,US,STATE,1,CASES
1978,4,NEVADA,NV,US,STATE,4,CASES
1978,5,NEVADA,NV,US,STATE,1,CASES
1978,6,NEVADA,NV,US,STATE,3,CASES
1978,8,NEVADA,NV,US,STATE,1,CASES
1978,9,NEVADA,NV,US,STATE,2,CASES
1978,10,NEVADA,NV,US,STATE,2,CASES
1978,11,NEVADA,NV,US,STATE,11,CASES
1978,12,NEVADA,NV,US,STATE,2,CASES
1978,13,NEVADA,NV,US,STATE,5,CASES
1978,14,NEVADA,NV,US,STATE,1,CASES
1978,15,NEVADA,NV,US,STATE,9,CASES
1978,16,NEVADA,NV,US,STATE,5,CASES
1978,17,NEVADA,NV,US,STATE,100,CASES
1978,18,NEVADA,NV,US,STATE,6,CASES
1978,19,NEVADA,NV,US,STATE,3,CASES
1978,20,NEVADA,NV,US,STATE,1,CASES
1978,21,NEVADA,NV,US,STATE,4,CASES
1978,22,NEVADA,NV,US,STATE,5,CASES
1978,23,NEVADA,NV,US,STATE,10,CASES
1978,24,NEVADA,NV,US,STATE,2,CASES
1978,25,NEVADA,NV,US,STATE,1,CASES
1978,28,NEVADA,NV,US,STATE,9,CASES
1978,29,NEVADA,NV,US,STATE,1,CASES
1978,30,NEVADA,NV,US,STATE,8,CASES
1978,35,NEVADA,NV,US,STATE,1,CASES
1978,36,NEVADA,NV,US,STATE,1,CASES
1978,39,NEVADA,NV,US,STATE,1,CASES
1978,42,NEVADA,NV,US,STATE,3,CASES
1978,43,NEVADA,NV,US,STATE,2,CASES
1978,49,NEVADA,NV,US,STATE,1,CASES
1978,50,NEVADA,NV,US,STATE,4,CASES
1978,51,NEVADA,NV,US,STATE,1,CASES
1979,1,NEVADA,NV,US,STATE,14,CASES
1979,2,NEVADA,NV,US,STATE,6,CASES
1979,3,NEVADA,NV,US,STATE,13,CASES
1979,4,NEVADA,NV,US,STATE,11,CASES
1979,5,NEVADA,NV,US,STATE,10,CASES
1979,6,NEVADA,NV,US,STATE,17,CASES
1979,8,NEVADA,NV,US,STATE,11,CASES
1979,9,NEVADA,NV,US,STATE,3,CASES
1979,11,NEVADA,NV,US,STATE,3,CASES
1979,12,NEVADA,NV,US,STATE,7,CASES
1979,14,NEVADA,NV,US,STATE,3,CASES
1979,15,NEVADA,NV,US,STATE,2,CASES
1979,16,NEVADA,NV,US,STATE,1,CASES
1979,17,NEVADA,NV,US,STATE,2,CASES
1979,18,NEVADA,NV,US,STATE,4,CASES
1979,19,NEVADA,NV,US,STATE,1,CASES
1979,21,NEVADA,NV,US,STATE,3,CASES
1979,24,NEVADA,NV,US,STATE,2,CASES
1979,25,NEVADA,NV,US,STATE,3,CASES
1979,28,NEVADA,NV,US,STATE,2,CASES
1979,31,NEVADA,NV,US,STATE,1,CASES
1979,38,NEVADA,NV,US,STATE,1,CASES
1979,40,NEVADA,NV,US,STATE,2,CASES
1979,42,NEVADA,NV,US,STATE,4,CASES
1979,43,NEVADA,NV,US,STATE,1,CASES
1979,45,NEVADA,NV,US,STATE,5,CASES
1979,48,NEVADA,NV,US,STATE,2,CASES
1979,49,NEVADA,NV,US,STATE,4,CASES
1979,51,NEVADA,NV,US,STATE,1,CASES
1980,1,NEVADA,NV,US,STATE,2,CASES
1980,5,NEVADA,NV,US,STATE,2,CASES
1980,6,NEVADA,NV,US,STATE,21,CASES
1980,7,NEVADA,NV,US,STATE,1,CASES
1980,12,NEVADA,NV,US,STATE,1,CASES
1980,14,NEVADA,NV,US,STATE,1,CASES
1980,16,NEVADA,NV,US,STATE,3,CASES
1980,17,NEVADA,NV,US,STATE,3,CASES
1980,20,NEVADA,NV,US,STATE,7,CASES
1980,23,NEVADA,NV,US,STATE,12,CASES
1980,28,NEVADA,NV,US,STATE,5,CASES
1980,47,NEVADA,NV,US,STATE,1,CASES
1980,51,NEVADA,NV,US,STATE,2,CASES
1981,2,NEVADA,NV,US,STATE,3,CASES
1981,3,NEVADA,NV,US,STATE,6,CASES
1981,4,NEVADA,NV,US,STATE,4,CASES
1981,5,NEVADA,NV,US,STATE,2,CASES
1981,6,NEVADA,NV,US,STATE,4,CASES
1981,7,NEVADA,NV,US,STATE,3,CASES
1981,8,NEVADA,NV,US,STATE,3,CASES
1981,9,NEVADA,NV,US,STATE,18,CASES
1981,10,NEVADA,NV,US,STATE,32,CASES
1981,11,NEVADA,NV,US,STATE,18,CASES
1981,12,NEVADA,NV,US,STATE,10,CASES
1981,13,NEVADA,NV,US,STATE,4,CASES
1981,14,NEVADA,NV,US,STATE,19,CASES
1981,15,NEVADA,NV,US,STATE,55,CASES
1981,16,NEVADA,NV,US,STATE,22,CASES
1981,18,NEVADA,NV,US,STATE,77,CASES
1981,19,NEVADA,NV,US,STATE,4,CASES
1981,20,NEVADA,NV,US,STATE,4,CASES
1981,21,NEVADA,NV,US,STATE,23,CASES
1981,22,NEVADA,NV,US,STATE,41,CASES
1981,23,NEVADA,NV,US,STATE,10,CASES
1981,26,NEVADA,NV,US,STATE,2,CASES
1981,27,NEVADA,NV,US,STATE,1,CASES
1981,28,NEVADA,NV,US,STATE,10,CASES
1981,29,NEVADA,NV,US,STATE,8,CASES
1981,30,NEVADA,NV,US,STATE,1,CASES
1981,36,NEVADA,NV,US,STATE,2,CASES
1981,41,NEVADA,NV,US,STATE,6,CASES
1981,42,NEVADA,NV,US,STATE,8,CASES
1981,44,NEVADA,NV,US,STATE,15,CASES
1981,45,NEVADA,NV,US,STATE,2,CASES
1981,46,NEVADA,NV,US,STATE,1,CASES
1981,47,NEVADA,NV,US,STATE,15,CASES
1981,49,NEVADA,NV,US,STATE,21,CASES
1981,50,NEVADA,NV,US,STATE,5,CASES
2006,18,NEVADA,NV,US,STATE,1,CASES
2010,14,NEVADA,NV,US,STATE,1,CASES
