year,week,loc,state,country,loc_type,number,event
1967,52,NEVADA,NV,US,STATE,5,CASES
1969,3,NEVADA,NV,US,STATE,1,CASES
1969,8,NEVADA,NV,US,STATE,4,CASES
1971,13,NEVADA,NV,US,STATE,1,CASES
1971,16,NEVADA,NV,US,STATE,3,CASES
1971,20,NEVADA,NV,US,STATE,1,CASES
1971,41,NEVADA,NV,US,STATE,1,CASES
1972,12,NEVADA,NV,US,STATE,3,CASES
1973,1,NEVADA,NV,US,STATE,1,CASES
1973,10,NEVADA,NV,US,STATE,1,CASES
1973,16,NEVADA,NV,US,STATE,1,CASES
1973,41,NEVADA,NV,US,STATE,1,CASES
1973,52,NEVADA,NV,US,STATE,9,CASES
1974,2,NEVADA,NV,US,STATE,1,CASES
1974,4,NEVADA,NV,US,STATE,1,CASES
1974,11,NEVADA,NV,US,STATE,21,CASES
1974,18,NEVADA,NV,US,STATE,4,CASES
1974,19,NEVADA,NV,US,STATE,1,CASES
1974,22,NEVADA,NV,US,STATE,3,CASES
1974,25,NEVADA,NV,US,STATE,1,CASES
1974,49,NEVADA,NV,US,STATE,3,CASES
1975,5,NEVADA,NV,US,STATE,3,CASES
1975,20,NEVADA,NV,US,STATE,1,CASES
1975,21,NEVADA,NV,US,STATE,2,CASES
1975,22,NEVADA,NV,US,STATE,1,CASES
1975,36,NEVADA,NV,US,STATE,1,CASES
1976,5,NEVADA,NV,US,STATE,1,CASES
1976,8,NEVADA,NV,US,STATE,1,CASES
1976,11,NEVADA,NV,US,STATE,3,CASES
1976,12,NEVADA,NV,US,STATE,4,CASES
1976,19,NEVADA,NV,US,STATE,2,CASES
1976,20,NEVADA,NV,US,STATE,1,CASES
1976,32,NEVADA,NV,US,STATE,1,CASES
1976,48,NEVADA,NV,US,STATE,1,CASES
1977,6,NEVADA,NV,US,STATE,1,CASES
1977,9,NEVADA,NV,US,STATE,3,CASES
1977,10,NEVADA,NV,US,STATE,1,CASES
1977,11,NEVADA,NV,US,STATE,2,CASES
1977,16,NEVADA,NV,US,STATE,1,CASES
1977,22,NEVADA,NV,US,STATE,1,CASES
1977,23,NEVADA,NV,US,STATE,2,CASES
1977,26,NEVADA,NV,US,STATE,2,CASES
1978,4,NEVADA,NV,US,STATE,1,CASES
1978,15,NEVADA,NV,US,STATE,1,CASES
1978,18,NEVADA,NV,US,STATE,1,CASES
1978,22,NEVADA,NV,US,STATE,6,CASES
1978,30,NEVADA,NV,US,STATE,1,CASES
1978,31,NEVADA,NV,US,STATE,1,CASES
1978,41,NEVADA,NV,US,STATE,1,CASES
1978,44,NEVADA,NV,US,STATE,1,CASES
1978,51,NEVADA,NV,US,STATE,1,CASES
1979,24,NEVADA,NV,US,STATE,1,CASES
1979,31,NEVADA,NV,US,STATE,1,CASES
1980,7,NEVADA,NV,US,STATE,1,CASES
1980,22,NEVADA,NV,US,STATE,1,CASES
1980,29,NEVADA,NV,US,STATE,1,CASES
1980,37,NEVADA,NV,US,STATE,1,CASES
1980,50,NEVADA,NV,US,STATE,1,CASES
1980,51,NEVADA,NV,US,STATE,2,CASES
1981,16,NEVADA,NV,US,STATE,1,CASES
1981,20,NEVADA,NV,US,STATE,1,CASES
1981,23,NEVADA,NV,US,STATE,1,CASES
1981,27,NEVADA,NV,US,STATE,2,CASES
1981,33,NEVADA,NV,US,STATE,1,CASES
1982,12,NEVADA,NV,US,STATE,1,CASES
1982,20,NEVADA,NV,US,STATE,5,CASES
1982,21,NEVADA,NV,US,STATE,2,CASES
1982,30,NEVADA,NV,US,STATE,1,CASES
1982,32,NEVADA,NV,US,STATE,1,CASES
1982,38,NEVADA,NV,US,STATE,1,CASES
1983,12,NEVADA,NV,US,STATE,1,CASES
1984,28,NEVADA,NV,US,STATE,1,CASES
1984,30,NEVADA,NV,US,STATE,2,CASES
1984,33,NEVADA,NV,US,STATE,1,CASES
1985,33,NEVADA,NV,US,STATE,1,CASES
1986,21,NEVADA,NV,US,STATE,3,CASES
1990,26,NEVADA,NV,US,STATE,3,CASES
1990,32,NEVADA,NV,US,STATE,2,CASES
1990,33,NEVADA,NV,US,STATE,2,CASES
1990,52,NEVADA,NV,US,STATE,1,CASES
1991,2,NEVADA,NV,US,STATE,1,CASES
1991,20,NEVADA,NV,US,STATE,1,CASES
1991,30,NEVADA,NV,US,STATE,1,CASES
1991,31,NEVADA,NV,US,STATE,1,CASES
1991,38,NEVADA,NV,US,STATE,1,CASES
1991,42,NEVADA,NV,US,STATE,2,CASES
1992,27,NEVADA,NV,US,STATE,1,CASES
1992,35,NEVADA,NV,US,STATE,1,CASES
1994,22,NEVADA,NV,US,STATE,1,CASES
1998,7,NEVADA,NV,US,STATE,1,CASES
1999,18,NEVADA,NV,US,STATE,1,CASES
