year,week,loc,state,country,loc_type,number,event
1928,40,NEVADA,NV,US,STATE,0,CASES
1940,40,NEVADA,NV,US,STATE,0,CASES
1940,42,NEVADA,NV,US,STATE,0,CASES
1940,43,NEVADA,NV,US,STATE,1,CASES
1940,44,NEVADA,NV,US,STATE,1,CASES
1940,45,NEVADA,NV,US,STATE,0,CASES
1940,46,NEVADA,NV,US,STATE,0,CASES
1940,47,NEVADA,NV,US,STATE,0,CASES
1940,48,NEVADA,NV,US,STATE,1,CASES
1940,49,NEVADA,NV,US,STATE,0,CASES
1940,50,NEVADA,NV,US,STATE,1,CASES
1941,2,NEVADA,NV,US,STATE,1,CASES
1941,3,NEVADA,NV,US,STATE,0,CASES
1941,4,NEVADA,NV,US,STATE,0,CASES
1941,5,NEVADA,NV,US,STATE,0,CASES
1941,6,NEVADA,NV,US,STATE,0,CASES
1941,7,NEVADA,NV,US,STATE,0,CASES
1941,9,NEVADA,NV,US,STATE,0,CASES
1941,10,NEVADA,NV,US,STATE,8,CASES
1941,11,NEVADA,NV,US,STATE,1,CASES
1941,12,NEVADA,NV,US,STATE,0,CASES
1941,13,NEVADA,NV,US,STATE,0,CASES
1941,14,NEVADA,NV,US,STATE,0,CASES
1941,15,NEVADA,NV,US,STATE,4,CASES
1941,16,NEVADA,NV,US,STATE,0,CASES
1941,17,NEVADA,NV,US,STATE,0,CASES
1941,18,NEVADA,NV,US,STATE,0,CASES
1941,19,NEVADA,NV,US,STATE,2,CASES
1941,20,NEVADA,NV,US,STATE,0,CASES
1941,21,NEVADA,NV,US,STATE,0,CASES
1941,22,NEVADA,NV,US,STATE,0,CASES
1941,23,NEVADA,NV,US,STATE,0,CASES
1941,24,NEVADA,NV,US,STATE,0,CASES
1941,25,NEVADA,NV,US,STATE,0,CASES
1941,26,NEVADA,NV,US,STATE,0,CASES
1941,27,NEVADA,NV,US,STATE,0,CASES
1941,28,NEVADA,NV,US,STATE,0,CASES
1941,29,NEVADA,NV,US,STATE,0,CASES
1941,30,NEVADA,NV,US,STATE,0,CASES
1941,31,NEVADA,NV,US,STATE,0,CASES
1941,32,NEVADA,NV,US,STATE,0,CASES
1941,33,NEVADA,NV,US,STATE,0,CASES
1941,34,NEVADA,NV,US,STATE,0,CASES
