year,week,loc,state,country,loc_type,number,event
1937,3,NEW YORK,NY,US,STATE,59,CASES
1937,43,NEW YORK,NY,US,STATE,307,CASES
1937,44,NEW YORK,NY,US,STATE,318,CASES
1937,45,NEW YORK,NY,US,STATE,397,CASES
1937,46,NEW YORK,NY,US,STATE,392,CASES
1937,47,NEW YORK,NY,US,STATE,346,CASES
1937,48,NEW YORK,NY,US,STATE,393,CASES
1937,49,NEW YORK,NY,US,STATE,388,CASES
1937,50,NEW YORK,NY,US,STATE,375,CASES
1937,51,NEW YORK,NY,US,STATE,240,CASES
1938,1,NEW YORK,NY,US,STATE,349,CASES
1938,2,NEW YORK,NY,US,STATE,330,CASES
1938,3,NEW YORK,NY,US,STATE,389,CASES
1938,4,NEW YORK,NY,US,STATE,462,CASES
1938,5,NEW YORK,NY,US,STATE,472,CASES
1938,6,NEW YORK,NY,US,STATE,385,CASES
1938,7,NEW YORK,NY,US,STATE,505,CASES
1938,8,NEW YORK,NY,US,STATE,410,CASES
1938,9,NEW YORK,NY,US,STATE,472,CASES
1938,10,NEW YORK,NY,US,STATE,451,CASES
1938,11,NEW YORK,NY,US,STATE,404,CASES
1938,12,NEW YORK,NY,US,STATE,449,CASES
1938,13,NEW YORK,NY,US,STATE,393,CASES
1938,14,NEW YORK,NY,US,STATE,458,CASES
1938,15,NEW YORK,NY,US,STATE,418,CASES
1938,16,NEW YORK,NY,US,STATE,389,CASES
1938,17,NEW YORK,NY,US,STATE,535,CASES
1938,18,NEW YORK,NY,US,STATE,546,CASES
1938,19,NEW YORK,NY,US,STATE,519,CASES
1938,20,NEW YORK,NY,US,STATE,463,CASES
1938,21,NEW YORK,NY,US,STATE,452,CASES
1938,22,NEW YORK,NY,US,STATE,433,CASES
1938,23,NEW YORK,NY,US,STATE,531,CASES
1938,24,NEW YORK,NY,US,STATE,541,CASES
1938,25,NEW YORK,NY,US,STATE,194,CASES
1938,26,NEW YORK,NY,US,STATE,190,CASES
1938,27,NEW YORK,NY,US,STATE,163,CASES
1938,28,NEW YORK,NY,US,STATE,243,CASES
1938,29,NEW YORK,NY,US,STATE,624,CASES
1938,30,NEW YORK,NY,US,STATE,229,CASES
1938,31,NEW YORK,NY,US,STATE,579,CASES
1938,32,NEW YORK,NY,US,STATE,269,CASES
1938,33,NEW YORK,NY,US,STATE,263,CASES
1938,34,NEW YORK,NY,US,STATE,294,CASES
1938,35,NEW YORK,NY,US,STATE,195,CASES
1938,36,NEW YORK,NY,US,STATE,279,CASES
1938,37,NEW YORK,NY,US,STATE,241,CASES
1938,38,NEW YORK,NY,US,STATE,472,CASES
1938,39,NEW YORK,NY,US,STATE,481,CASES
1938,40,NEW YORK,NY,US,STATE,354,CASES
1938,41,NEW YORK,NY,US,STATE,338,CASES
1938,42,NEW YORK,NY,US,STATE,203,CASES
1938,43,NEW YORK,NY,US,STATE,461,CASES
1938,44,NEW YORK,NY,US,STATE,190,CASES
1938,45,NEW YORK,NY,US,STATE,485,CASES
1938,46,NEW YORK,NY,US,STATE,265,CASES
1938,47,NEW YORK,NY,US,STATE,233,CASES
1938,48,NEW YORK,NY,US,STATE,257,CASES
1938,49,NEW YORK,NY,US,STATE,279,CASES
1938,50,NEW YORK,NY,US,STATE,254,CASES
1938,51,NEW YORK,NY,US,STATE,473,CASES
1938,52,NEW YORK,NY,US,STATE,440,CASES
1939,1,NEW YORK,NY,US,STATE,237,CASES
1939,2,NEW YORK,NY,US,STATE,755,CASES
1939,3,NEW YORK,NY,US,STATE,211,CASES
1939,4,NEW YORK,NY,US,STATE,261,CASES
1939,5,NEW YORK,NY,US,STATE,395,CASES
1939,6,NEW YORK,NY,US,STATE,508,CASES
1939,7,NEW YORK,NY,US,STATE,552,CASES
1939,8,NEW YORK,NY,US,STATE,568,CASES
1939,9,NEW YORK,NY,US,STATE,491,CASES
1939,10,NEW YORK,NY,US,STATE,575,CASES
1939,11,NEW YORK,NY,US,STATE,560,CASES
1939,12,NEW YORK,NY,US,STATE,545,CASES
1939,13,NEW YORK,NY,US,STATE,506,CASES
1939,14,NEW YORK,NY,US,STATE,501,CASES
1939,15,NEW YORK,NY,US,STATE,430,CASES
1939,16,NEW YORK,NY,US,STATE,148,CASES
1939,17,NEW YORK,NY,US,STATE,195,CASES
1939,18,NEW YORK,NY,US,STATE,446,CASES
1939,19,NEW YORK,NY,US,STATE,193,CASES
1939,20,NEW YORK,NY,US,STATE,164,CASES
1939,21,NEW YORK,NY,US,STATE,410,CASES
1939,22,NEW YORK,NY,US,STATE,334,CASES
1939,23,NEW YORK,NY,US,STATE,398,CASES
1939,24,NEW YORK,NY,US,STATE,171,CASES
1939,25,NEW YORK,NY,US,STATE,362,CASES
1939,26,NEW YORK,NY,US,STATE,396,CASES
1939,27,NEW YORK,NY,US,STATE,165,CASES
1939,28,NEW YORK,NY,US,STATE,413,CASES
1939,29,NEW YORK,NY,US,STATE,356,CASES
1939,30,NEW YORK,NY,US,STATE,420,CASES
1939,31,NEW YORK,NY,US,STATE,480,CASES
1939,32,NEW YORK,NY,US,STATE,157,CASES
1939,33,NEW YORK,NY,US,STATE,368,CASES
1939,34,NEW YORK,NY,US,STATE,359,CASES
1939,35,NEW YORK,NY,US,STATE,264,CASES
1939,36,NEW YORK,NY,US,STATE,126,CASES
1939,37,NEW YORK,NY,US,STATE,408,CASES
1939,38,NEW YORK,NY,US,STATE,130,CASES
1939,39,NEW YORK,NY,US,STATE,110,CASES
1939,40,NEW YORK,NY,US,STATE,114,CASES
1939,41,NEW YORK,NY,US,STATE,94,CASES
1939,42,NEW YORK,NY,US,STATE,217,CASES
1939,43,NEW YORK,NY,US,STATE,109,CASES
1939,44,NEW YORK,NY,US,STATE,318,CASES
1939,45,NEW YORK,NY,US,STATE,300,CASES
1939,46,NEW YORK,NY,US,STATE,141,CASES
1939,47,NEW YORK,NY,US,STATE,334,CASES
1939,48,NEW YORK,NY,US,STATE,167,CASES
1939,49,NEW YORK,NY,US,STATE,198,CASES
1939,50,NEW YORK,NY,US,STATE,172,CASES
1939,51,NEW YORK,NY,US,STATE,351,CASES
1939,52,NEW YORK,NY,US,STATE,157,CASES
1940,2,NEW YORK,NY,US,STATE,487,CASES
1940,3,NEW YORK,NY,US,STATE,434,CASES
1940,4,NEW YORK,NY,US,STATE,405,CASES
1940,6,NEW YORK,NY,US,STATE,394,CASES
1940,7,NEW YORK,NY,US,STATE,418,CASES
1940,8,NEW YORK,NY,US,STATE,354,CASES
1940,9,NEW YORK,NY,US,STATE,492,CASES
1940,10,NEW YORK,NY,US,STATE,404,CASES
1940,11,NEW YORK,NY,US,STATE,319,CASES
1940,12,NEW YORK,NY,US,STATE,382,CASES
1940,13,NEW YORK,NY,US,STATE,319,CASES
1940,14,NEW YORK,NY,US,STATE,401,CASES
1940,15,NEW YORK,NY,US,STATE,440,CASES
1940,16,NEW YORK,NY,US,STATE,442,CASES
1940,17,NEW YORK,NY,US,STATE,332,CASES
1940,18,NEW YORK,NY,US,STATE,279,CASES
1940,19,NEW YORK,NY,US,STATE,346,CASES
1940,20,NEW YORK,NY,US,STATE,322,CASES
1940,21,NEW YORK,NY,US,STATE,313,CASES
1940,22,NEW YORK,NY,US,STATE,343,CASES
1940,23,NEW YORK,NY,US,STATE,279,CASES
1940,24,NEW YORK,NY,US,STATE,259,CASES
1940,25,NEW YORK,NY,US,STATE,300,CASES
1940,26,NEW YORK,NY,US,STATE,262,CASES
1940,27,NEW YORK,NY,US,STATE,245,CASES
1940,28,NEW YORK,NY,US,STATE,265,CASES
1940,29,NEW YORK,NY,US,STATE,205,CASES
1940,30,NEW YORK,NY,US,STATE,321,CASES
1940,31,NEW YORK,NY,US,STATE,311,CASES
1940,32,NEW YORK,NY,US,STATE,343,CASES
1940,33,NEW YORK,NY,US,STATE,298,CASES
1940,34,NEW YORK,NY,US,STATE,247,CASES
1940,35,NEW YORK,NY,US,STATE,216,CASES
1940,36,NEW YORK,NY,US,STATE,266,CASES
1940,37,NEW YORK,NY,US,STATE,255,CASES
1940,38,NEW YORK,NY,US,STATE,237,CASES
1940,39,NEW YORK,NY,US,STATE,224,CASES
1940,40,NEW YORK,NY,US,STATE,201,CASES
1940,41,NEW YORK,NY,US,STATE,281,CASES
1940,42,NEW YORK,NY,US,STATE,329,CASES
1940,43,NEW YORK,NY,US,STATE,405,CASES
1940,44,NEW YORK,NY,US,STATE,431,CASES
1940,45,NEW YORK,NY,US,STATE,450,CASES
1940,46,NEW YORK,NY,US,STATE,465,CASES
1940,47,NEW YORK,NY,US,STATE,465,CASES
1940,48,NEW YORK,NY,US,STATE,562,CASES
1940,49,NEW YORK,NY,US,STATE,473,CASES
1940,50,NEW YORK,NY,US,STATE,403,CASES
1940,51,NEW YORK,NY,US,STATE,410,CASES
1940,52,NEW YORK,NY,US,STATE,323,CASES
1941,1,NEW YORK,NY,US,STATE,375,CASES
1941,2,NEW YORK,NY,US,STATE,540,CASES
1941,3,NEW YORK,NY,US,STATE,451,CASES
1941,4,NEW YORK,NY,US,STATE,351,CASES
1941,5,NEW YORK,NY,US,STATE,315,CASES
1941,6,NEW YORK,NY,US,STATE,337,CASES
1941,7,NEW YORK,NY,US,STATE,332,CASES
1941,9,NEW YORK,NY,US,STATE,341,CASES
1941,10,NEW YORK,NY,US,STATE,361,CASES
1941,11,NEW YORK,NY,US,STATE,318,CASES
1941,12,NEW YORK,NY,US,STATE,294,CASES
1941,13,NEW YORK,NY,US,STATE,334,CASES
1941,14,NEW YORK,NY,US,STATE,335,CASES
1941,15,NEW YORK,NY,US,STATE,283,CASES
1941,16,NEW YORK,NY,US,STATE,230,CASES
1941,17,NEW YORK,NY,US,STATE,348,CASES
1941,18,NEW YORK,NY,US,STATE,285,CASES
1941,19,NEW YORK,NY,US,STATE,289,CASES
1941,20,NEW YORK,NY,US,STATE,257,CASES
1941,21,NEW YORK,NY,US,STATE,270,CASES
1941,22,NEW YORK,NY,US,STATE,215,CASES
1941,23,NEW YORK,NY,US,STATE,359,CASES
1941,24,NEW YORK,NY,US,STATE,293,CASES
1941,25,NEW YORK,NY,US,STATE,283,CASES
1941,26,NEW YORK,NY,US,STATE,270,CASES
1941,27,NEW YORK,NY,US,STATE,226,CASES
1941,28,NEW YORK,NY,US,STATE,301,CASES
1941,29,NEW YORK,NY,US,STATE,291,CASES
1941,30,NEW YORK,NY,US,STATE,279,CASES
1941,31,NEW YORK,NY,US,STATE,235,CASES
1941,32,NEW YORK,NY,US,STATE,272,CASES
1941,33,NEW YORK,NY,US,STATE,214,CASES
1941,34,NEW YORK,NY,US,STATE,253,CASES
1941,35,NEW YORK,NY,US,STATE,299,CASES
1941,36,NEW YORK,NY,US,STATE,270,CASES
1941,37,NEW YORK,NY,US,STATE,319,CASES
1941,38,NEW YORK,NY,US,STATE,370,CASES
1941,39,NEW YORK,NY,US,STATE,343,CASES
1941,40,NEW YORK,NY,US,STATE,359,CASES
1941,41,NEW YORK,NY,US,STATE,297,CASES
1941,42,NEW YORK,NY,US,STATE,287,CASES
1941,43,NEW YORK,NY,US,STATE,387,CASES
1941,44,NEW YORK,NY,US,STATE,426,CASES
1941,45,NEW YORK,NY,US,STATE,459,CASES
1941,46,NEW YORK,NY,US,STATE,466,CASES
1941,47,NEW YORK,NY,US,STATE,474,CASES
1941,48,NEW YORK,NY,US,STATE,619,CASES
1941,49,NEW YORK,NY,US,STATE,675,CASES
1941,50,NEW YORK,NY,US,STATE,640,CASES
1941,51,NEW YORK,NY,US,STATE,504,CASES
1941,52,NEW YORK,NY,US,STATE,392,CASES
1941,53,NEW YORK,NY,US,STATE,407,CASES
1942,1,NEW YORK,NY,US,STATE,665,CASES
1942,2,NEW YORK,NY,US,STATE,577,CASES
1942,3,NEW YORK,NY,US,STATE,578,CASES
1942,4,NEW YORK,NY,US,STATE,683,CASES
1942,5,NEW YORK,NY,US,STATE,594,CASES
1942,6,NEW YORK,NY,US,STATE,417,CASES
1942,7,NEW YORK,NY,US,STATE,504,CASES
1942,8,NEW YORK,NY,US,STATE,422,CASES
1942,9,NEW YORK,NY,US,STATE,536,CASES
1942,10,NEW YORK,NY,US,STATE,487,CASES
1942,11,NEW YORK,NY,US,STATE,527,CASES
1942,12,NEW YORK,NY,US,STATE,455,CASES
1942,14,NEW YORK,NY,US,STATE,419,CASES
1942,15,NEW YORK,NY,US,STATE,433,CASES
1942,16,NEW YORK,NY,US,STATE,441,CASES
1942,17,NEW YORK,NY,US,STATE,499,CASES
1942,18,NEW YORK,NY,US,STATE,474,CASES
1942,19,NEW YORK,NY,US,STATE,437,CASES
1942,20,NEW YORK,NY,US,STATE,441,CASES
1942,21,NEW YORK,NY,US,STATE,323,CASES
1942,22,NEW YORK,NY,US,STATE,381,CASES
1942,23,NEW YORK,NY,US,STATE,368,CASES
1942,24,NEW YORK,NY,US,STATE,446,CASES
1942,25,NEW YORK,NY,US,STATE,436,CASES
1942,26,NEW YORK,NY,US,STATE,379,CASES
