year,week,loc,state,country,loc_type,number,event
1968,1,NEW YORK CITY,NY,US,STATE,40,CASES
1968,3,NEW YORK CITY,NY,US,STATE,84,CASES
1968,4,NEW YORK CITY,NY,US,STATE,50,CASES
1968,5,NEW YORK CITY,NY,US,STATE,93,CASES
1968,6,NEW YORK CITY,NY,US,STATE,67,CASES
1968,7,NEW YORK CITY,NY,US,STATE,69,CASES
1968,8,NEW YORK CITY,NY,US,STATE,77,CASES
1968,9,NEW YORK CITY,NY,US,STATE,103,CASES
1968,10,NEW YORK CITY,NY,US,STATE,105,CASES
1968,11,NEW YORK CITY,NY,US,STATE,77,CASES
1968,12,NEW YORK CITY,NY,US,STATE,111,CASES
1968,13,NEW YORK CITY,NY,US,STATE,114,CASES
1968,14,NEW YORK CITY,NY,US,STATE,140,CASES
1968,15,NEW YORK CITY,NY,US,STATE,127,CASES
1968,16,NEW YORK CITY,NY,US,STATE,154,CASES
1968,17,NEW YORK CITY,NY,US,STATE,119,CASES
1968,18,NEW YORK CITY,NY,US,STATE,136,CASES
1968,19,NEW YORK CITY,NY,US,STATE,125,CASES
1968,20,NEW YORK CITY,NY,US,STATE,108,CASES
1968,21,NEW YORK CITY,NY,US,STATE,141,CASES
1968,22,NEW YORK CITY,NY,US,STATE,129,CASES
1968,23,NEW YORK CITY,NY,US,STATE,129,CASES
1968,24,NEW YORK CITY,NY,US,STATE,120,CASES
1968,25,NEW YORK CITY,NY,US,STATE,119,CASES
1968,26,NEW YORK CITY,NY,US,STATE,128,CASES
1968,27,NEW YORK CITY,NY,US,STATE,59,CASES
1968,28,NEW YORK CITY,NY,US,STATE,101,CASES
1968,29,NEW YORK CITY,NY,US,STATE,97,CASES
1968,30,NEW YORK CITY,NY,US,STATE,120,CASES
1968,31,NEW YORK CITY,NY,US,STATE,57,CASES
1968,32,NEW YORK CITY,NY,US,STATE,67,CASES
1968,33,NEW YORK CITY,NY,US,STATE,62,CASES
1968,34,NEW YORK CITY,NY,US,STATE,56,CASES
1968,35,NEW YORK CITY,NY,US,STATE,36,CASES
1968,36,NEW YORK CITY,NY,US,STATE,50,CASES
1968,37,NEW YORK CITY,NY,US,STATE,43,CASES
1968,39,NEW YORK CITY,NY,US,STATE,33,CASES
1968,40,NEW YORK CITY,NY,US,STATE,25,CASES
1968,41,NEW YORK CITY,NY,US,STATE,30,CASES
1968,42,NEW YORK CITY,NY,US,STATE,26,CASES
1968,43,NEW YORK CITY,NY,US,STATE,31,CASES
1968,44,NEW YORK CITY,NY,US,STATE,31,CASES
1968,45,NEW YORK CITY,NY,US,STATE,26,CASES
1968,46,NEW YORK CITY,NY,US,STATE,33,CASES
1968,47,NEW YORK CITY,NY,US,STATE,30,CASES
1968,48,NEW YORK CITY,NY,US,STATE,32,CASES
1968,49,NEW YORK CITY,NY,US,STATE,22,CASES
1968,50,NEW YORK CITY,NY,US,STATE,23,CASES
1968,51,NEW YORK CITY,NY,US,STATE,25,CASES
1968,52,NEW YORK CITY,NY,US,STATE,24,CASES
1969,1,NEW YORK CITY,NY,US,STATE,16,CASES
1969,2,NEW YORK CITY,NY,US,STATE,41,CASES
