year,week,loc,state,country,loc_type,number,event
1966,1,UPSTATE NEW YORK,NY,US,STATE,12,CASES
1966,2,NEW YORK CITY,NY,US,STATE,26,CASES
1966,2,UPSTATE NEW YORK,NY,US,STATE,141,CASES
1966,3,NEW YORK CITY,NY,US,STATE,31,CASES
1966,3,UPSTATE NEW YORK,NY,US,STATE,23,CASES
1966,4,NEW YORK CITY,NY,US,STATE,26,CASES
1966,4,UPSTATE NEW YORK,NY,US,STATE,15,CASES
1966,5,NEW YORK CITY,NY,US,STATE,27,CASES
1966,5,UPSTATE NEW YORK,NY,US,STATE,16,CASES
1966,6,NEW YORK CITY,NY,US,STATE,41,CASES
1966,6,UPSTATE NEW YORK,NY,US,STATE,35,CASES
1966,7,NEW YORK CITY,NY,US,STATE,46,CASES
1966,7,UPSTATE NEW YORK,NY,US,STATE,20,CASES
1966,8,NEW YORK CITY,NY,US,STATE,36,CASES
1966,8,UPSTATE NEW YORK,NY,US,STATE,21,CASES
1966,9,NEW YORK CITY,NY,US,STATE,38,CASES
1966,9,UPSTATE NEW YORK,NY,US,STATE,30,CASES
1966,10,NEW YORK CITY,NY,US,STATE,48,CASES
1966,10,UPSTATE NEW YORK,NY,US,STATE,37,CASES
1966,11,NEW YORK CITY,NY,US,STATE,46,CASES
1966,11,UPSTATE NEW YORK,NY,US,STATE,58,CASES
1966,12,NEW YORK CITY,NY,US,STATE,48,CASES
1966,12,UPSTATE NEW YORK,NY,US,STATE,101,CASES
1966,13,NEW YORK CITY,NY,US,STATE,48,CASES
1966,13,UPSTATE NEW YORK,NY,US,STATE,93,CASES
1966,14,NEW YORK CITY,NY,US,STATE,32,CASES
1966,14,UPSTATE NEW YORK,NY,US,STATE,94,CASES
1966,15,NEW YORK CITY,NY,US,STATE,26,CASES
1966,15,UPSTATE NEW YORK,NY,US,STATE,96,CASES
1966,16,NEW YORK CITY,NY,US,STATE,32,CASES
1966,16,UPSTATE NEW YORK,NY,US,STATE,53,CASES
1966,17,NEW YORK CITY,NY,US,STATE,40,CASES
1966,17,UPSTATE NEW YORK,NY,US,STATE,33,CASES
1966,18,NEW YORK CITY,NY,US,STATE,28,CASES
1966,18,UPSTATE NEW YORK,NY,US,STATE,63,CASES
1966,19,NEW YORK CITY,NY,US,STATE,27,CASES
1966,19,UPSTATE NEW YORK,NY,US,STATE,51,CASES
1966,20,NEW YORK CITY,NY,US,STATE,30,CASES
