year,week,loc,state,country,loc_type,number,event
1937,43,OHIO,OH,US,STATE,100,CASES
1937,44,OHIO,OH,US,STATE,142,CASES
1937,45,OHIO,OH,US,STATE,181,CASES
1937,46,OHIO,OH,US,STATE,106,CASES
1937,47,OHIO,OH,US,STATE,122,CASES
1937,48,OHIO,OH,US,STATE,638,CASES
1937,49,OHIO,OH,US,STATE,155,CASES
1937,50,OHIO,OH,US,STATE,64,CASES
1937,51,OHIO,OH,US,STATE,43,CASES
1938,1,OHIO,OH,US,STATE,42,CASES
1938,2,OHIO,OH,US,STATE,144,CASES
1938,3,OHIO,OH,US,STATE,69,CASES
1938,4,OHIO,OH,US,STATE,149,CASES
1938,5,OHIO,OH,US,STATE,115,CASES
1938,6,OHIO,OH,US,STATE,120,CASES
1938,7,OHIO,OH,US,STATE,87,CASES
1938,8,OHIO,OH,US,STATE,169,CASES
1938,9,OHIO,OH,US,STATE,116,CASES
1938,10,OHIO,OH,US,STATE,188,CASES
1938,11,OHIO,OH,US,STATE,82,CASES
1938,12,OHIO,OH,US,STATE,223,CASES
1938,13,OHIO,OH,US,STATE,142,CASES
1938,14,OHIO,OH,US,STATE,75,CASES
1938,15,OHIO,OH,US,STATE,235,CASES
1938,16,OHIO,OH,US,STATE,109,CASES
1938,17,OHIO,OH,US,STATE,287,CASES
1938,18,OHIO,OH,US,STATE,113,CASES
1938,19,OHIO,OH,US,STATE,240,CASES
1938,20,OHIO,OH,US,STATE,141,CASES
1938,21,OHIO,OH,US,STATE,212,CASES
1938,22,OHIO,OH,US,STATE,133,CASES
1938,23,OHIO,OH,US,STATE,104,CASES
1938,24,OHIO,OH,US,STATE,196,CASES
1938,25,OHIO,OH,US,STATE,77,CASES
1938,26,OHIO,OH,US,STATE,213,CASES
1938,27,OHIO,OH,US,STATE,121,CASES
1938,28,OHIO,OH,US,STATE,234,CASES
1938,29,OHIO,OH,US,STATE,72,CASES
1938,30,OHIO,OH,US,STATE,292,CASES
1938,31,OHIO,OH,US,STATE,344,CASES
1938,32,OHIO,OH,US,STATE,303,CASES
1938,33,OHIO,OH,US,STATE,70,CASES
1938,34,OHIO,OH,US,STATE,166,CASES
1938,35,OHIO,OH,US,STATE,115,CASES
1938,36,OHIO,OH,US,STATE,77,CASES
1938,38,OHIO,OH,US,STATE,65,CASES
1938,39,OHIO,OH,US,STATE,228,CASES
1938,40,OHIO,OH,US,STATE,38,CASES
1938,41,OHIO,OH,US,STATE,125,CASES
1938,42,OHIO,OH,US,STATE,54,CASES
1938,43,OHIO,OH,US,STATE,153,CASES
1938,44,OHIO,OH,US,STATE,101,CASES
1938,45,OHIO,OH,US,STATE,191,CASES
1938,46,OHIO,OH,US,STATE,118,CASES
1938,47,OHIO,OH,US,STATE,146,CASES
1938,48,OHIO,OH,US,STATE,103,CASES
1938,49,OHIO,OH,US,STATE,108,CASES
1938,50,OHIO,OH,US,STATE,167,CASES
1938,51,OHIO,OH,US,STATE,105,CASES
1938,52,OHIO,OH,US,STATE,76,CASES
1939,1,OHIO,OH,US,STATE,285,CASES
1939,2,OHIO,OH,US,STATE,200,CASES
1939,3,OHIO,OH,US,STATE,151,CASES
1939,4,OHIO,OH,US,STATE,204,CASES
1939,5,OHIO,OH,US,STATE,170,CASES
1939,6,OHIO,OH,US,STATE,216,CASES
1939,7,OHIO,OH,US,STATE,202,CASES
1939,8,OHIO,OH,US,STATE,213,CASES
1939,9,OHIO,OH,US,STATE,159,CASES
1939,10,OHIO,OH,US,STATE,110,CASES
1939,11,OHIO,OH,US,STATE,199,CASES
1939,12,OHIO,OH,US,STATE,146,CASES
1939,13,OHIO,OH,US,STATE,209,CASES
1939,14,OHIO,OH,US,STATE,133,CASES
1939,15,OHIO,OH,US,STATE,157,CASES
1939,16,OHIO,OH,US,STATE,95,CASES
1939,17,OHIO,OH,US,STATE,229,CASES
1939,18,OHIO,OH,US,STATE,157,CASES
1939,19,OHIO,OH,US,STATE,220,CASES
1939,20,OHIO,OH,US,STATE,55,CASES
1939,21,OHIO,OH,US,STATE,181,CASES
