year,week,loc,state,country,loc_type,number,event
1927,47,OHIO,OH,US,STATE,46,CASES
1927,48,OHIO,OH,US,STATE,52,CASES
1927,49,OHIO,OH,US,STATE,59,CASES
1927,51,OHIO,OH,US,STATE,109,CASES
1927,52,OHIO,OH,US,STATE,104,CASES
1928,1,OHIO,OH,US,STATE,166,CASES
1928,3,OHIO,OH,US,STATE,321,CASES
1928,4,OHIO,OH,US,STATE,291,CASES
1928,5,OHIO,OH,US,STATE,405,CASES
1928,6,OHIO,OH,US,STATE,352,CASES
1928,7,OHIO,OH,US,STATE,423,CASES
1928,8,OHIO,OH,US,STATE,538,CASES
1928,9,OHIO,OH,US,STATE,495,CASES
1928,10,OHIO,OH,US,STATE,934,CASES
1928,11,OHIO,OH,US,STATE,865,CASES
1928,12,OHIO,OH,US,STATE,1071,CASES
1928,13,OHIO,OH,US,STATE,966,CASES
1928,14,OHIO,OH,US,STATE,814,CASES
1928,15,OHIO,OH,US,STATE,1034,CASES
1928,16,OHIO,OH,US,STATE,915,CASES
1928,17,OHIO,OH,US,STATE,702,CASES
1928,18,OHIO,OH,US,STATE,930,CASES
1928,19,OHIO,OH,US,STATE,1073,CASES
1928,20,OHIO,OH,US,STATE,983,CASES
1928,21,OHIO,OH,US,STATE,1039,CASES
1928,22,OHIO,OH,US,STATE,1210,CASES
1928,23,OHIO,OH,US,STATE,785,CASES
1928,24,OHIO,OH,US,STATE,1099,CASES
1928,25,OHIO,OH,US,STATE,700,CASES
1928,26,OHIO,OH,US,STATE,995,CASES
1928,27,OHIO,OH,US,STATE,477,CASES
1928,28,OHIO,OH,US,STATE,573,CASES
1928,29,OHIO,OH,US,STATE,223,CASES
1928,30,OHIO,OH,US,STATE,321,CASES
1928,31,OHIO,OH,US,STATE,195,CASES
1928,32,OHIO,OH,US,STATE,66,CASES
1928,33,OHIO,OH,US,STATE,131,CASES
1928,34,OHIO,OH,US,STATE,24,CASES
1928,35,OHIO,OH,US,STATE,61,CASES
1928,36,OHIO,OH,US,STATE,20,CASES
1928,37,OHIO,OH,US,STATE,47,CASES
1928,38,OHIO,OH,US,STATE,22,CASES
1928,39,OHIO,OH,US,STATE,65,CASES
1928,41,OHIO,OH,US,STATE,67,CASES
1928,42,OHIO,OH,US,STATE,70,CASES
1928,43,OHIO,OH,US,STATE,125,CASES
1928,46,OHIO,OH,US,STATE,206,CASES
1928,47,OHIO,OH,US,STATE,123,CASES
1928,48,OHIO,OH,US,STATE,236,CASES
1928,49,OHIO,OH,US,STATE,177,CASES
1928,50,OHIO,OH,US,STATE,353,CASES
1928,51,OHIO,OH,US,STATE,170,CASES
1928,52,OHIO,OH,US,STATE,646,CASES
1929,1,OHIO,OH,US,STATE,358,CASES
1929,2,OHIO,OH,US,STATE,655,CASES
1929,3,OHIO,OH,US,STATE,299,CASES
1929,4,OHIO,OH,US,STATE,395,CASES
1929,5,OHIO,OH,US,STATE,765,CASES
1929,6,OHIO,OH,US,STATE,346,CASES
1929,7,OHIO,OH,US,STATE,1311,CASES
1929,8,OHIO,OH,US,STATE,485,CASES
1929,9,OHIO,OH,US,STATE,1664,CASES
1929,10,OHIO,OH,US,STATE,847,CASES
1929,11,OHIO,OH,US,STATE,2009,CASES
1929,12,OHIO,OH,US,STATE,1263,CASES
