year,week,loc,state,country,loc_type,number,event
1968,1,OHIO,OH,US,STATE,152,CASES
1968,2,OHIO,OH,US,STATE,56,CASES
1968,3,OHIO,OH,US,STATE,293,CASES
1968,4,OHIO,OH,US,STATE,75,CASES
1968,5,OHIO,OH,US,STATE,115,CASES
1968,6,OHIO,OH,US,STATE,63,CASES
1968,7,OHIO,OH,US,STATE,33,CASES
1968,8,OHIO,OH,US,STATE,121,CASES
1968,9,OHIO,OH,US,STATE,71,CASES
1968,10,OHIO,OH,US,STATE,49,CASES
1968,11,OHIO,OH,US,STATE,162,CASES
1968,12,OHIO,OH,US,STATE,81,CASES
1968,13,OHIO,OH,US,STATE,36,CASES
1968,14,OHIO,OH,US,STATE,113,CASES
1968,15,OHIO,OH,US,STATE,52,CASES
1968,16,OHIO,OH,US,STATE,229,CASES
1968,17,OHIO,OH,US,STATE,142,CASES
1968,18,OHIO,OH,US,STATE,89,CASES
1968,19,OHIO,OH,US,STATE,39,CASES
1968,20,OHIO,OH,US,STATE,37,CASES
1968,21,OHIO,OH,US,STATE,68,CASES
1968,22,OHIO,OH,US,STATE,48,CASES
1968,23,OHIO,OH,US,STATE,23,CASES
1968,24,OHIO,OH,US,STATE,27,CASES
1968,25,OHIO,OH,US,STATE,53,CASES
1968,26,OHIO,OH,US,STATE,67,CASES
1968,27,OHIO,OH,US,STATE,18,CASES
1968,28,OHIO,OH,US,STATE,31,CASES
1968,29,OHIO,OH,US,STATE,13,CASES
1968,30,OHIO,OH,US,STATE,16,CASES
1968,31,OHIO,OH,US,STATE,17,CASES
1968,32,OHIO,OH,US,STATE,12,CASES
1968,33,OHIO,OH,US,STATE,37,CASES
1968,34,OHIO,OH,US,STATE,17,CASES
1968,35,OHIO,OH,US,STATE,8,CASES
1968,36,OHIO,OH,US,STATE,4,CASES
1968,37,OHIO,OH,US,STATE,4,CASES
1968,38,OHIO,OH,US,STATE,7,CASES
1968,39,OHIO,OH,US,STATE,10,CASES
1968,40,OHIO,OH,US,STATE,20,CASES
1968,41,OHIO,OH,US,STATE,17,CASES
1968,42,OHIO,OH,US,STATE,26,CASES
1968,43,OHIO,OH,US,STATE,31,CASES
1968,44,OHIO,OH,US,STATE,36,CASES
1968,45,OHIO,OH,US,STATE,36,CASES
1968,46,OHIO,OH,US,STATE,34,CASES
1968,47,OHIO,OH,US,STATE,30,CASES
1968,48,OHIO,OH,US,STATE,51,CASES
1968,49,OHIO,OH,US,STATE,30,CASES
1968,50,OHIO,OH,US,STATE,80,CASES
1968,51,OHIO,OH,US,STATE,60,CASES
1968,52,OHIO,OH,US,STATE,35,CASES
1969,1,OHIO,OH,US,STATE,31,CASES
1969,2,OHIO,OH,US,STATE,40,CASES
1969,3,OHIO,OH,US,STATE,55,CASES
1969,4,OHIO,OH,US,STATE,45,CASES
1969,5,OHIO,OH,US,STATE,39,CASES
1969,6,OHIO,OH,US,STATE,65,CASES
1969,7,OHIO,OH,US,STATE,36,CASES
1969,8,OHIO,OH,US,STATE,40,CASES
1969,9,OHIO,OH,US,STATE,39,CASES
1969,10,OHIO,OH,US,STATE,27,CASES
1969,12,OHIO,OH,US,STATE,71,CASES
1969,13,OHIO,OH,US,STATE,67,CASES
1969,14,OHIO,OH,US,STATE,72,CASES
1969,15,OHIO,OH,US,STATE,52,CASES
1969,16,OHIO,OH,US,STATE,27,CASES
1969,17,OHIO,OH,US,STATE,44,CASES
1969,18,OHIO,OH,US,STATE,18,CASES
1969,19,OHIO,OH,US,STATE,71,CASES
1969,20,OHIO,OH,US,STATE,38,CASES
1969,21,OHIO,OH,US,STATE,41,CASES
1969,22,OHIO,OH,US,STATE,65,CASES
1969,23,OHIO,OH,US,STATE,43,CASES
1969,24,OHIO,OH,US,STATE,162,CASES
1969,25,OHIO,OH,US,STATE,52,CASES
1969,26,OHIO,OH,US,STATE,21,CASES
1969,27,OHIO,OH,US,STATE,77,CASES
1969,28,OHIO,OH,US,STATE,46,CASES
1969,29,OHIO,OH,US,STATE,16,CASES
1969,30,OHIO,OH,US,STATE,15,CASES
1969,31,OHIO,OH,US,STATE,20,CASES
1969,32,OHIO,OH,US,STATE,5,CASES
1969,33,OHIO,OH,US,STATE,8,CASES
1969,34,OHIO,OH,US,STATE,15,CASES
1969,35,OHIO,OH,US,STATE,9,CASES
1969,36,OHIO,OH,US,STATE,5,CASES
1969,37,OHIO,OH,US,STATE,11,CASES
1969,38,OHIO,OH,US,STATE,2,CASES
1969,39,OHIO,OH,US,STATE,3,CASES
1969,40,OHIO,OH,US,STATE,16,CASES
1969,41,OHIO,OH,US,STATE,26,CASES
1969,42,OHIO,OH,US,STATE,20,CASES
1969,43,OHIO,OH,US,STATE,16,CASES
1969,44,OHIO,OH,US,STATE,36,CASES
1969,45,OHIO,OH,US,STATE,30,CASES
1969,46,OHIO,OH,US,STATE,74,CASES
1969,47,OHIO,OH,US,STATE,54,CASES
1969,48,OHIO,OH,US,STATE,55,CASES
1969,49,OHIO,OH,US,STATE,43,CASES
1969,50,OHIO,OH,US,STATE,92,CASES
1969,51,OHIO,OH,US,STATE,40,CASES
1969,52,OHIO,OH,US,STATE,69,CASES
1970,1,OHIO,OH,US,STATE,33,CASES
1970,2,OHIO,OH,US,STATE,59,CASES
1970,3,OHIO,OH,US,STATE,25,CASES
1970,4,OHIO,OH,US,STATE,62,CASES
1970,5,OHIO,OH,US,STATE,119,CASES
