year,week,loc,state,country,loc_type,number,event
1968,9,OKLAHOMA,OK,US,STATE,7,CASES
1968,31,OKLAHOMA,OK,US,STATE,3,CASES
1968,33,OKLAHOMA,OK,US,STATE,4,CASES
1968,34,OKLAHOMA,OK,US,STATE,1,CASES
1968,35,OKLAHOMA,OK,US,STATE,2,CASES
1968,36,OKLAHOMA,OK,US,STATE,5,CASES
1968,42,OKLAHOMA,OK,US,STATE,2,CASES
1968,43,OKLAHOMA,OK,US,STATE,2,CASES
1968,44,OKLAHOMA,OK,US,STATE,5,CASES
1968,46,OKLAHOMA,OK,US,STATE,1,CASES
1968,47,OKLAHOMA,OK,US,STATE,2,CASES
1968,48,OKLAHOMA,OK,US,STATE,2,CASES
1968,49,OKLAHOMA,OK,US,STATE,3,CASES
1968,50,OKLAHOMA,OK,US,STATE,4,CASES
1968,51,OKLAHOMA,OK,US,STATE,9,CASES
1969,1,OKLAHOMA,OK,US,STATE,2,CASES
1969,2,OKLAHOMA,OK,US,STATE,10,CASES
1969,3,OKLAHOMA,OK,US,STATE,3,CASES
1969,4,OKLAHOMA,OK,US,STATE,19,CASES
1969,6,OKLAHOMA,OK,US,STATE,11,CASES
1969,7,OKLAHOMA,OK,US,STATE,4,CASES
1969,8,OKLAHOMA,OK,US,STATE,13,CASES
1969,9,OKLAHOMA,OK,US,STATE,12,CASES
1969,10,OKLAHOMA,OK,US,STATE,146,CASES
1969,12,OKLAHOMA,OK,US,STATE,166,CASES
1969,13,OKLAHOMA,OK,US,STATE,128,CASES
1969,14,OKLAHOMA,OK,US,STATE,92,CASES
1969,15,OKLAHOMA,OK,US,STATE,30,CASES
1969,16,OKLAHOMA,OK,US,STATE,12,CASES
1969,17,OKLAHOMA,OK,US,STATE,430,CASES
1969,18,OKLAHOMA,OK,US,STATE,162,CASES
1969,19,OKLAHOMA,OK,US,STATE,153,CASES
1969,20,OKLAHOMA,OK,US,STATE,109,CASES
1969,21,OKLAHOMA,OK,US,STATE,127,CASES
1969,22,OKLAHOMA,OK,US,STATE,38,CASES
1969,23,OKLAHOMA,OK,US,STATE,55,CASES
1969,25,OKLAHOMA,OK,US,STATE,2,CASES
1969,28,OKLAHOMA,OK,US,STATE,1,CASES
1969,38,OKLAHOMA,OK,US,STATE,5,CASES
1969,39,OKLAHOMA,OK,US,STATE,10,CASES
1969,40,OKLAHOMA,OK,US,STATE,1,CASES
1969,41,OKLAHOMA,OK,US,STATE,1,CASES
1969,42,OKLAHOMA,OK,US,STATE,8,CASES
1969,43,OKLAHOMA,OK,US,STATE,5,CASES
1969,44,OKLAHOMA,OK,US,STATE,7,CASES
1969,45,OKLAHOMA,OK,US,STATE,8,CASES
1969,46,OKLAHOMA,OK,US,STATE,3,CASES
1969,47,OKLAHOMA,OK,US,STATE,13,CASES
1969,48,OKLAHOMA,OK,US,STATE,9,CASES
1969,49,OKLAHOMA,OK,US,STATE,15,CASES
1969,51,OKLAHOMA,OK,US,STATE,19,CASES
1969,52,OKLAHOMA,OK,US,STATE,14,CASES
1970,1,OKLAHOMA,OK,US,STATE,19,CASES
1970,2,OKLAHOMA,OK,US,STATE,25,CASES
1970,3,OKLAHOMA,OK,US,STATE,48,CASES
1970,4,OKLAHOMA,OK,US,STATE,96,CASES
1970,5,OKLAHOMA,OK,US,STATE,89,CASES
1970,6,OKLAHOMA,OK,US,STATE,44,CASES
1970,7,OKLAHOMA,OK,US,STATE,59,CASES
1970,8,OKLAHOMA,OK,US,STATE,10,CASES
1970,9,OKLAHOMA,OK,US,STATE,46,CASES
