year,week,loc,state,country,loc_type,number,event
1937,43,OREGON,OR,US,STATE,18,CASES
1937,44,OREGON,OR,US,STATE,23,CASES
1937,45,OREGON,OR,US,STATE,34,CASES
1937,46,OREGON,OR,US,STATE,32,CASES
1937,47,OREGON,OR,US,STATE,18,CASES
1937,49,OREGON,OR,US,STATE,42,CASES
1937,50,OREGON,OR,US,STATE,20,CASES
1937,51,OREGON,OR,US,STATE,28,CASES
1937,52,OREGON,OR,US,STATE,10,CASES
1938,1,OREGON,OR,US,STATE,10,CASES
1938,2,OREGON,OR,US,STATE,13,CASES
1938,3,OREGON,OR,US,STATE,21,CASES
1938,4,OREGON,OR,US,STATE,28,CASES
1938,5,OREGON,OR,US,STATE,30,CASES
1938,6,OREGON,OR,US,STATE,28,CASES
1938,7,OREGON,OR,US,STATE,43,CASES
1938,8,OREGON,OR,US,STATE,26,CASES
1938,9,OREGON,OR,US,STATE,7,CASES
1938,10,OREGON,OR,US,STATE,16,CASES
1938,11,OREGON,OR,US,STATE,28,CASES
1938,12,OREGON,OR,US,STATE,20,CASES
1938,13,OREGON,OR,US,STATE,17,CASES
1938,14,OREGON,OR,US,STATE,25,CASES
1938,15,OREGON,OR,US,STATE,11,CASES
1938,16,OREGON,OR,US,STATE,28,CASES
1938,17,OREGON,OR,US,STATE,18,CASES
1938,18,OREGON,OR,US,STATE,11,CASES
1938,19,OREGON,OR,US,STATE,20,CASES
1938,20,OREGON,OR,US,STATE,23,CASES
1938,21,OREGON,OR,US,STATE,27,CASES
1938,22,OREGON,OR,US,STATE,38,CASES
1938,23,OREGON,OR,US,STATE,32,CASES
1938,24,OREGON,OR,US,STATE,16,CASES
1938,25,OREGON,OR,US,STATE,244,CASES
1938,26,OREGON,OR,US,STATE,132,CASES
1938,27,OREGON,OR,US,STATE,208,CASES
1938,28,OREGON,OR,US,STATE,178,CASES
1938,29,OREGON,OR,US,STATE,142,CASES
1938,30,OREGON,OR,US,STATE,127,CASES
1938,31,OREGON,OR,US,STATE,188,CASES
1938,32,OREGON,OR,US,STATE,102,CASES
1938,33,OREGON,OR,US,STATE,112,CASES
1938,34,OREGON,OR,US,STATE,66,CASES
1938,35,OREGON,OR,US,STATE,41,CASES
1938,36,OREGON,OR,US,STATE,132,CASES
1938,37,OREGON,OR,US,STATE,239,CASES
1938,38,OREGON,OR,US,STATE,15,CASES
1938,39,OREGON,OR,US,STATE,9,CASES
1938,40,OREGON,OR,US,STATE,10,CASES
1938,41,OREGON,OR,US,STATE,9,CASES
1938,42,OREGON,OR,US,STATE,10,CASES
1938,43,OREGON,OR,US,STATE,4,CASES
1938,44,OREGON,OR,US,STATE,36,CASES
1938,45,OREGON,OR,US,STATE,10,CASES
1938,46,OREGON,OR,US,STATE,5,CASES
1938,47,OREGON,OR,US,STATE,81,CASES
1938,48,OREGON,OR,US,STATE,122,CASES
