year,week,loc,state,country,loc_type,number,event
1927,47,OREGON,OR,US,STATE,4,CASES
1927,48,OREGON,OR,US,STATE,18,CASES
1927,49,OREGON,OR,US,STATE,8,CASES
1927,51,OREGON,OR,US,STATE,7,CASES
1927,52,OREGON,OR,US,STATE,21,CASES
1928,1,OREGON,OR,US,STATE,46,CASES
1928,2,OREGON,OR,US,STATE,46,CASES
1928,3,OREGON,OR,US,STATE,34,CASES
1928,4,OREGON,OR,US,STATE,21,CASES
1928,5,OREGON,OR,US,STATE,43,CASES
1928,6,OREGON,OR,US,STATE,46,CASES
1928,7,OREGON,OR,US,STATE,78,CASES
1928,8,OREGON,OR,US,STATE,72,CASES
1928,9,OREGON,OR,US,STATE,98,CASES
1928,10,OREGON,OR,US,STATE,24,CASES
1928,11,OREGON,OR,US,STATE,115,CASES
1928,12,OREGON,OR,US,STATE,125,CASES
1928,13,OREGON,OR,US,STATE,69,CASES
1928,14,OREGON,OR,US,STATE,77,CASES
1928,15,OREGON,OR,US,STATE,68,CASES
1928,16,OREGON,OR,US,STATE,107,CASES
1928,17,OREGON,OR,US,STATE,90,CASES
1928,18,OREGON,OR,US,STATE,71,CASES
1928,19,OREGON,OR,US,STATE,40,CASES
1928,20,OREGON,OR,US,STATE,29,CASES
1928,21,OREGON,OR,US,STATE,43,CASES
1928,22,OREGON,OR,US,STATE,38,CASES
1928,23,OREGON,OR,US,STATE,24,CASES
1928,24,OREGON,OR,US,STATE,35,CASES
1928,25,OREGON,OR,US,STATE,40,CASES
1928,26,OREGON,OR,US,STATE,37,CASES
1928,27,OREGON,OR,US,STATE,23,CASES
1928,28,OREGON,OR,US,STATE,23,CASES
1928,29,OREGON,OR,US,STATE,8,CASES
1928,30,OREGON,OR,US,STATE,12,CASES
1928,31,OREGON,OR,US,STATE,14,CASES
1928,32,OREGON,OR,US,STATE,6,CASES
1928,33,OREGON,OR,US,STATE,9,CASES
1928,34,OREGON,OR,US,STATE,8,CASES
1928,35,OREGON,OR,US,STATE,2,CASES
1928,36,OREGON,OR,US,STATE,5,CASES
1928,37,OREGON,OR,US,STATE,3,CASES
1928,38,OREGON,OR,US,STATE,3,CASES
1928,39,OREGON,OR,US,STATE,7,CASES
1928,41,OREGON,OR,US,STATE,13,CASES
1928,42,OREGON,OR,US,STATE,16,CASES
1928,43,OREGON,OR,US,STATE,13,CASES
1928,44,OREGON,OR,US,STATE,20,CASES
1928,45,OREGON,OR,US,STATE,32,CASES
1928,46,OREGON,OR,US,STATE,13,CASES
1928,47,OREGON,OR,US,STATE,58,CASES
1928,48,OREGON,OR,US,STATE,48,CASES
1928,49,OREGON,OR,US,STATE,55,CASES
1928,50,OREGON,OR,US,STATE,88,CASES
1928,51,OREGON,OR,US,STATE,41,CASES
1928,52,OREGON,OR,US,STATE,39,CASES
1929,1,OREGON,OR,US,STATE,53,CASES
1929,2,OREGON,OR,US,STATE,49,CASES
1929,3,OREGON,OR,US,STATE,44,CASES
1929,4,OREGON,OR,US,STATE,80,CASES
1929,5,OREGON,OR,US,STATE,103,CASES
1929,6,OREGON,OR,US,STATE,127,CASES
