year,week,loc,state,country,loc_type,number,event
1968,1,OREGON,OR,US,STATE,15,CASES
1968,2,OREGON,OR,US,STATE,33,CASES
1968,3,OREGON,OR,US,STATE,19,CASES
1968,4,OREGON,OR,US,STATE,40,CASES
1968,5,OREGON,OR,US,STATE,19,CASES
1968,6,OREGON,OR,US,STATE,11,CASES
1968,7,OREGON,OR,US,STATE,25,CASES
1968,8,OREGON,OR,US,STATE,48,CASES
1968,9,OREGON,OR,US,STATE,19,CASES
1968,10,OREGON,OR,US,STATE,36,CASES
1968,11,OREGON,OR,US,STATE,17,CASES
1968,12,OREGON,OR,US,STATE,38,CASES
1968,13,OREGON,OR,US,STATE,39,CASES
1968,14,OREGON,OR,US,STATE,21,CASES
1968,15,OREGON,OR,US,STATE,10,CASES
1968,16,OREGON,OR,US,STATE,2,CASES
1968,17,OREGON,OR,US,STATE,36,CASES
1968,18,OREGON,OR,US,STATE,42,CASES
1968,19,OREGON,OR,US,STATE,33,CASES
1968,20,OREGON,OR,US,STATE,16,CASES
1968,21,OREGON,OR,US,STATE,58,CASES
1968,22,OREGON,OR,US,STATE,25,CASES
1968,23,OREGON,OR,US,STATE,61,CASES
1968,24,OREGON,OR,US,STATE,15,CASES
1968,25,OREGON,OR,US,STATE,10,CASES
1968,26,OREGON,OR,US,STATE,19,CASES
1968,27,OREGON,OR,US,STATE,20,CASES
1968,28,OREGON,OR,US,STATE,15,CASES
1968,29,OREGON,OR,US,STATE,15,CASES
1968,30,OREGON,OR,US,STATE,13,CASES
1968,31,OREGON,OR,US,STATE,7,CASES
1968,32,OREGON,OR,US,STATE,23,CASES
1968,33,OREGON,OR,US,STATE,5,CASES
1968,34,OREGON,OR,US,STATE,2,CASES
1968,35,OREGON,OR,US,STATE,5,CASES
1968,36,OREGON,OR,US,STATE,2,CASES
1968,37,OREGON,OR,US,STATE,2,CASES
1968,38,OREGON,OR,US,STATE,10,CASES
1968,39,OREGON,OR,US,STATE,13,CASES
1968,40,OREGON,OR,US,STATE,10,CASES
1968,41,OREGON,OR,US,STATE,1,CASES
1968,42,OREGON,OR,US,STATE,16,CASES
1968,43,OREGON,OR,US,STATE,3,CASES
1968,44,OREGON,OR,US,STATE,16,CASES
1968,45,OREGON,OR,US,STATE,18,CASES
1968,46,OREGON,OR,US,STATE,25,CASES
1968,47,OREGON,OR,US,STATE,29,CASES
1968,48,OREGON,OR,US,STATE,3,CASES
1968,49,OREGON,OR,US,STATE,12,CASES
1968,50,OREGON,OR,US,STATE,24,CASES
1968,51,OREGON,OR,US,STATE,24,CASES
1969,1,OREGON,OR,US,STATE,14,CASES
1969,2,OREGON,OR,US,STATE,16,CASES
1969,3,OREGON,OR,US,STATE,18,CASES
1969,4,OREGON,OR,US,STATE,5,CASES
1969,5,OREGON,OR,US,STATE,27,CASES
1969,6,OREGON,OR,US,STATE,4,CASES
1969,7,OREGON,OR,US,STATE,3,CASES
1969,8,OREGON,OR,US,STATE,20,CASES
1969,9,OREGON,OR,US,STATE,22,CASES
1969,10,OREGON,OR,US,STATE,18,CASES
1969,12,OREGON,OR,US,STATE,12,CASES
1969,13,OREGON,OR,US,STATE,26,CASES
1969,14,OREGON,OR,US,STATE,18,CASES
1969,15,OREGON,OR,US,STATE,12,CASES
1969,16,OREGON,OR,US,STATE,7,CASES
1969,17,OREGON,OR,US,STATE,6,CASES
1969,18,OREGON,OR,US,STATE,8,CASES
1969,19,OREGON,OR,US,STATE,5,CASES
1969,20,OREGON,OR,US,STATE,9,CASES
1969,21,OREGON,OR,US,STATE,10,CASES
1969,22,OREGON,OR,US,STATE,3,CASES
1969,23,OREGON,OR,US,STATE,16,CASES
1969,24,OREGON,OR,US,STATE,5,CASES
1969,25,OREGON,OR,US,STATE,1,CASES
1969,26,OREGON,OR,US,STATE,3,CASES
